YEAR,RURAL,,,,,,,,URBAN,,,,,,,,UNKNOWN,TOTAL
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,,
1980,"2,263 ", ,"6,217 ","6,051 ","7,950 ","2,054 ","5,010 ","29,545 ","2,184 ","2,120 ","5,872 ","4,760 ","2,226 ", ,"4,384 ","21,546 ", ,"51,091 "
1981,"2,397 ", ,"6,484 ","5,361 ","7,663 ","1,786 ","4,779 ","28,470 ","2,155 ","2,195 ","5,868 ","4,835 ","2,051 ", ,"3,727 ","20,831 ", ,"49,301 "
1982,"2,131 ", ,"4,869 ","5,662 ","6,768 ","1,567 ","4,034 ","25,031 ","1,968 ","1,159 ","5,908 ","4,901 ","1,627 ", ,"3,351 ","18,914 ", ,"43,945 "
1983,"2,070 ", ,"4,571 ","5,647 ","6,107 ","1,706 ","4,051 ","24,152 ","1,929 ","1,249 ","5,889 ","4,644 ","1,595 ", ,"3,131 ","18,437 ", ,"42,589 "
1984,"2,207 ", ,"4,666 ","5,618 ","6,669 ","1,602 ","4,274 ","25,036 ","2,113 ","1,231 ","6,465 ","4,699 ","1,776 ", ,"3,057 ","19,341 ", ,"44,377 "
1985,"2,141 ", ,"4,741 ","5,199 ","6,664 ","1,545 ","4,202 ","24,492 ","2,025 ","1,125 ","6,689 ","4,707 ","1,696 ", ,"3,091 ","19,333 ", ,"43,825 "
1986,"2,156 ", ,"5,233 ","5,514 ","6,901 ","1,736 ","4,649 ","26,189 ","2,146 ","1,151 ","6,483 ","4,873 ","1,731 ", ,"3,514 ","19,898 ", ,"46,087 "
1987,"2,507 ", ,"5,363 ","5,700 ","6,983 ","1,810 ","4,283 ","26,646 ","2,127 ","1,412 ","6,781 ","4,481 ","1,447 ", ,"3,496 ","19,744 ", ,"46,390 "
1988,"2,826 ", ,"5,291 ","5,765 ","7,283 ","1,854 ","4,616 ","27,635 ","2,299 ","1,199 ","6,446 ","4,443 ","1,558 ", ,"3,507 ","19,452 ", ,"47,087 "
1989,"2,696 ", ,"4,862 ","5,310 ","6,950 ","1,710 ","4,529 ","26,057 ","2,307 ","1,328 ","6,378 ","4,427 ","1,516 ", ,"3,569 ","19,525 ", ,"45,582 "
1990,"2,707 ", ,"4,811 ","5,082 ","6,972 ","1,880 ","4,334 ","25,786 ","2,252 ","1,099 ","6,660 ","3,983 ","1,427 ", ,"3,392 ","18,813 ", ,"44,599 "
1991,"2,559 ", ,"4,463 ","4,902 ","6,359 ","1,655 ","4,455 ","24,393 ","1,931 ","1,253 ","5,834 ","3,545 ","1,288 ", ,"3,264 ","17,115 ", ,"41,508 "
1992,"2,470 ", ,"4,122 ","4,383 ","6,253 ","1,604 ","3,960 ","22,792 ","1,853 ","1,159 ","5,733 ","3,230 ","1,110 ", ,"3,373 ","16,458 ", ,"39,250 "
1993,"2,574 ", ,"4,747 ","4,243 ","6,390 ","1,676 ","3,696 ","23,326 ","1,971 ","1,039 ","5,601 ","3,272 ","1,283 ", ,"3,658 ","16,824 ", ,"40,150 "
1994,"2,550 ", ,"5,194 ","4,179 ","6,104 ","1,571 ","4,116 ","23,714 ","2,136 ","1,971 ","4,889 ","3,654 ","1,272 ", ,"3,080 ","17,002 ", ,"40,716 "
