STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
Dist. of Columbia,-, 12 , 12 ,-, 122 , 122 ,-, 134 , 134 ,-, 319 , 319 ,-, 454 , 454 ,-," 1,053 "," 1,053 "," 1,507 "
Florida, 717 , 778 ," 1,495 "," 2,744 "," 4,531 "," 7,274 "," 3,461 "," 5,309 "," 8,770 "," 6,259 "," 12,539 "," 18,798 "," 9,720 "," 17,847 "," 27,568 "," 26,769 "," 68,323 "," 95,092 "," 122,659 "
Georgia, 536 , 712 ," 1,247 "," 3,132 "," 2,796 "," 5,928 "," 3,668 "," 3,508 "," 7,175 "," 15,598 "," 9,061 "," 24,659 "," 19,266 "," 12,569 "," 31,835 "," 58,522 "," 37,777 "," 96,299 "," 128,134 "
Hawaii,-, 55 , 55 , 80 , 314 , 394 , 80 , 369 , 449 , 475 , 640 ," 1,115 ", 554 ," 1,009 "," 1,564 "," 1,113 "," 1,778 "," 2,891 "," 4,455 "
Idaho, 521 , 90 , 612 ," 1,717 ", 396 ," 2,113 "," 2,238 ", 487 ," 2,725 "," 7,436 "," 1,492 "," 8,928 "," 9,674 "," 1,979 "," 11,653 "," 35,557 "," 3,953 "," 39,510 "," 51,163 "
Illinois," 1,243 ", 942 ," 2,185 "," 2,311 "," 3,359 "," 5,670 "," 3,555 "," 4,300 "," 7,855 "," 17,705 "," 10,164 "," 27,869 "," 21,260 "," 14,465 "," 35,725 "," 74,925 "," 35,190 "," 110,115 "," 145,840 "
Indiana, 768 , 498 ," 1,265 "," 1,647 "," 1,945 "," 3,592 "," 2,415 "," 2,443 "," 4,858 "," 12,074 "," 6,780 "," 18,854 "," 14,489 "," 9,223 "," 23,711 "," 51,868 "," 20,991 "," 72,859 "," 96,571 "
Iowa, 612 , 176 , 788 ," 3,419 ", 927 ," 4,346 "," 4,031 "," 1,103 "," 5,134 "," 18,127 "," 2,935 "," 21,062 "," 22,158 "," 4,038 "," 26,196 "," 79,811 "," 8,435 "," 88,246 "," 114,442 "
Kansas, 639 , 234 , 874 ," 3,031 ", 531 ," 3,562 "," 3,671 ", 765 ," 4,436 "," 26,697 "," 3,482 "," 30,179 "," 30,368 "," 4,247 "," 34,615 "," 96,412 "," 9,627 "," 106,039 "," 140,654 "
Kentucky, 622 , 220 , 842 ," 1,720 ", 717 ," 2,437 "," 2,342 ", 937 ," 3,280 "," 8,130 "," 2,860 "," 10,990 "," 10,473 "," 3,797 "," 14,270 "," 54,349 "," 11,239 "," 65,588 "," 79,857 "
Louisiana, 532 , 405 , 937 ," 1,135 "," 1,161 "," 2,296 "," 1,668 "," 1,566 "," 3,234 "," 6,533 "," 4,328 "," 10,862 "," 8,201 "," 5,894 "," 14,095 "," 35,607 "," 11,717 "," 47,324 "," 61,419 "
Maine, 299 , 66 , 365 , 795 , 166 , 962 ," 1,095 ", 232 ," 1,327 "," 4,228 ", 759 ," 4,987 "," 5,323 ", 991 ," 6,314 "," 14,587 "," 2,010 "," 16,597 "," 22,911 "
Maryland, 142 , 338 , 480 , 363 ," 1,498 "," 1,861 ", 505 ," 1,836 "," 2,341 "," 2,025 "," 3,628 "," 5,653 "," 2,530 "," 5,464 "," 7,994 "," 10,931 "," 13,112 "," 24,043 "," 32,037 "
Massachusetts, 64 , 510 , 575 , 121 ," 2,209 "," 2,330 ", 185 ," 2,719 "," 2,904 "," 1,178 "," 7,210 "," 8,387 "," 1,363 "," 9,929 "," 11,292 "," 5,006 "," 20,125 "," 25,131 "," 36,423 "
Michigan, 566 , 686 ," 1,252 "," 2,484 "," 2,734 "," 5,218 "," 3,050 "," 3,420 "," 6,470 "," 21,248 "," 8,935 "," 30,183 "," 24,298 "," 12,355 "," 36,653 "," 60,024 "," 25,609 "," 85,633 "," 122,286 "
Minnesota, 594 , 320 , 914 ," 3,467 ", 965 ," 4,432 "," 4,061 "," 1,286 "," 5,346 "," 22,527 "," 5,237 "," 27,764 "," 26,588 "," 6,522 "," 33,110 "," 90,036 "," 15,621 "," 105,657 "," 138,767 "
Mississippi, 554 , 253 , 807 ," 1,813 "," 1,014 "," 2,827 "," 2,367 "," 1,267 "," 3,634 "," 15,659 "," 2,663 "," 18,322 "," 18,026 "," 3,930 "," 21,956 "," 45,885 "," 8,935 "," 54,821 "," 76,777 "
Missouri, 842 , 538 ," 1,380 "," 2,989 "," 1,380 "," 4,369 "," 3,831 "," 1,918 "," 5,749 "," 20,372 "," 4,718 "," 25,090 "," 24,203 "," 6,636 "," 30,839 "," 82,962 "," 17,748 "," 100,710 "," 131,549 "
Montana," 1,094 ", 98 ," 1,192 "," 2,773 ", 217 ," 2,990 "," 3,867 ", 315 ," 4,182 "," 9,718 ", 785 ," 10,503 "," 13,585 "," 1,100 "," 14,685 "," 57,237 "," 3,086 "," 60,323 "," 75,007 "
Nebraska, 415 , 67 , 482 ," 2,745 ", 491 ," 3,236 "," 3,160 ", 558 ," 3,718 "," 15,516 "," 1,383 "," 16,899 "," 18,675 "," 1,942 "," 20,617 "," 68,660 "," 5,204 "," 73,864 "," 94,481 "
Nevada, 448 , 150 , 597 ," 1,539 ", 421 ," 1,960 "," 1,986 ", 571 ," 2,557 "," 2,885 "," 2,072 "," 4,957 "," 4,871 "," 2,643 "," 7,514 "," 29,391 "," 6,995 "," 36,386 "," 43,900 "
New Hampshire, 142 , 83 , 225 , 388 , 318 , 706 , 530 , 402 , 931 ," 1,610 "," 1,005 "," 2,615 "," 2,140 "," 1,406 "," 3,546 "," 8,943 "," 3,649 "," 12,592 "," 16,138 "
New Jersey, 45 , 387 , 432 , 193 ," 2,346 "," 2,539 ", 238 ," 2,732 "," 2,970 "," 1,062 "," 6,892 "," 7,954 "," 1,300 "," 9,624 "," 10,924 "," 4,385 "," 23,756 "," 28,141 "," 39,065 "
New Mexico, 847 , 153 ," 1,000 "," 1,772 ", 605 ," 2,377 "," 2,618 ", 758 ," 3,377 "," 6,966 "," 1,976 "," 8,942 "," 9,584 "," 2,734 "," 12,319 "," 51,128 "," 5,622 "," 56,750 "," 69,069 "
New York, 803 , 941 ," 1,744 "," 2,252 "," 4,001 "," 6,254 "," 3,055 "," 4,942 "," 7,997 "," 8,455 "," 11,259 "," 19,715 "," 11,510 "," 16,202 "," 27,712 "," 52,887 "," 33,766 "," 86,653 "," 114,365 "
North Carolina, 551 , 720 ," 1,271 "," 2,151 "," 2,442 "," 4,593 "," 2,702 "," 3,163 "," 5,865 "," 10,407 "," 7,219 "," 17,626 "," 13,109 "," 10,382 "," 23,490 "," 52,393 "," 30,450 "," 82,843 "," 106,334 "
North Dakota, 511 , 60 , 571 ," 2,964 ", 186 ," 3,150 "," 3,475 ", 246 ," 3,721 "," 14,504 ", 633 ," 15,137 "," 17,979 ", 879 ," 18,858 "," 67,024 "," 1,246 "," 68,271 "," 87,128 "
Ohio, 643 , 931 ," 1,574 "," 1,827 "," 3,204 "," 5,031 "," 2,470 "," 4,135 "," 6,605 "," 13,700 "," 9,766 "," 23,466 "," 16,170 "," 13,901 "," 30,071 "," 59,322 "," 33,533 "," 92,854 "," 122,926 "
Oklahoma, 646 , 286 , 933 ," 2,245 "," 1,032 "," 3,278 "," 2,892 "," 1,319 "," 4,210 "," 23,802 "," 4,148 "," 27,950 "," 26,693 "," 5,467 "," 32,160 "," 68,096 "," 12,455 "," 80,551 "," 112,711 "
Oregon, 495 , 234 , 730 ," 2,658 ", 921 ," 3,579 "," 3,153 "," 1,155 "," 4,308 "," 10,397 "," 3,901 "," 14,297 "," 13,550 "," 5,056 "," 18,605 "," 45,092 "," 9,847 "," 54,938 "," 73,544 "
Pennsylvania," 1,112 ", 756 ," 1,867 "," 1,934 "," 3,416 "," 5,350 "," 3,046 "," 4,172 "," 7,218 "," 11,901 "," 9,418 "," 21,319 "," 14,947 "," 13,590 "," 28,537 "," 57,545 "," 34,009 "," 91,554 "," 120,091 "
Rhode Island, 18 , 52 , 70 , 108 , 424 , 532 , 126 , 476 , 602 , 244 , 914 ," 1,158 ", 370 ," 1,390 "," 1,760 ", 991 ," 3,295 "," 4,286 "," 6,046 "
South Carolina, 546 , 304 , 851 ," 1,591 "," 1,161 "," 2,752 "," 2,137 "," 1,465 "," 3,602 "," 13,008 "," 4,650 "," 17,658 "," 15,145 "," 6,115 "," 21,260 "," 42,536 "," 12,454 "," 54,989 "," 76,250 "
South Dakota, 591 , 88 , 679 ," 2,892 ", 153 ," 3,044 "," 3,483 ", 240 ," 3,723 "," 15,375 ", 782 ," 16,157 "," 18,857 "," 1,023 "," 19,880 "," 60,336 "," 2,360 "," 62,696 "," 82,576 "
Tennessee, 573 , 531 ," 1,104 "," 1,695 "," 1,948 "," 3,643 "," 2,269 "," 2,479 "," 4,748 "," 7,945 "," 6,144 "," 14,089 "," 10,214 "," 8,623 "," 18,837 "," 54,122 "," 22,678 "," 76,800 "," 95,637 "
Texas," 2,001 "," 1,416 "," 3,417 "," 7,632 "," 6,932 "," 14,564 "," 9,633 "," 8,348 "," 17,981 "," 46,355 "," 25,508 "," 71,864 "," 55,988 "," 33,857 "," 89,844 "," 149,235 "," 74,516 "," 223,751 "," 313,596 "
Utah, 684 , 253 , 937 ," 1,892 ", 770 ," 2,662 "," 2,576 "," 1,023 "," 3,599 "," 3,877 "," 2,068 "," 5,945 "," 6,454 "," 3,091 "," 9,544 "," 28,793 "," 7,961 "," 36,754 "," 46,299 "
Vermont, 259 , 62 , 320 , 308 , 129 , 438 , 567 , 191 , 758 ," 2,721 ", 406 ," 3,127 "," 3,288 ", 597 ," 3,885 "," 9,503 ", 864 ," 10,367 "," 14,252 "
Virginia, 469 , 653 ," 1,122 "," 1,382 "," 2,150 "," 3,532 "," 1,852 "," 2,803 "," 4,654 "," 10,442 "," 6,148 "," 16,590 "," 12,293 "," 8,951 "," 21,244 "," 34,980 "," 18,838 "," 53,817 "," 75,061 "
Washington, 429 , 335 , 764 ," 1,926 "," 1,867 "," 3,793 "," 2,355 "," 2,202 "," 4,557 "," 10,111 "," 5,636 "," 15,748 "," 12,466 "," 7,838 "," 20,304 "," 43,839 "," 16,194 "," 60,034 "," 80,338 "
West Virginia, 309 , 245 , 554 ," 1,002 ", 426 ," 1,429 "," 1,311 ", 671 ," 1,982 "," 6,677 "," 1,907 "," 8,584 "," 7,988 "," 2,578 "," 10,567 "," 23,638 "," 4,565 "," 28,203 "," 38,770 "
Wisconsin, 512 , 363 , 876 ," 3,158 "," 1,923 "," 5,080 "," 3,670 "," 2,286 "," 5,956 "," 16,746 "," 5,932 "," 22,678 "," 20,416 "," 8,218 "," 28,634 "," 71,300 "," 15,438 "," 86,737 "," 115,372 "
Wyoming, 808 , 106 , 914 ," 1,986 ", 232 ," 2,218 "," 2,794 ", 338 ," 3,132 "," 3,956 ", 793 ," 4,749 "," 6,750 "," 1,132 "," 7,881 "," 19,261 "," 1,800 "," 21,060 "," 28,942 "
U.S. Total," 28,990 "," 19,063 "," 48,053 "," 96,674 "," 78,015 "," 174,690 "," 125,664 "," 97,078 "," 222,743 "," 541,642 "," 258,182 "," 799,825 "," 667,307 "," 355,261 ","1,022,567 ","2,278,206 "," 853,953 ","3,132,160 "," 4,154,727 "
Puerto Rico (1), 42 , 240 , 282 , 19 , 111 , 130 , 61 , 351 , 412 , 498 ," 2,594 "," 3,092 ", 559 ," 2,945 "," 3,504 "," 2,545 "," 10,641 "," 13,186 "," 16,690 "
Grand Total," 29,032 "," 19,303 "," 48,335 "," 96,693 "," 78,126 "," 174,820 "," 125,725 "," 97,429 "," 223,155 "," 542,140 "," 260,776 "," 802,917 "," 667,866 "," 358,206 ","1,026,071 ","2,280,751 "," 864,594 ","3,145,346 "," 4,171,417 "
