STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL LANE MILES
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR (2),LOCAL (2),TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL (2),TOTAL,
New Hampshire,567 ,37 ,674 ,"1,263 ","2,085 ","2,133 ","15,753 ","22,513 ",431 ,315 ,550 ,"1,072 ","1,080 ",-,"7,301 ","10,750 ","33,263 "
New Jersey,278 ,176 ,364 ,605 ,"1,553 ",668 ,"8,101 ","11,745 ","2,695 ","2,513 ","5,940 ","8,122 ","5,959 ",832 ,"47,513 ","73,573 ","85,318 "
New Mexico,"3,431 ",-,"6,076 ","4,731 ","9,145 ","6,302 ","95,954 ","125,640 ",747 ,49 ,"2,632 ","1,888 ","1,801 ",629 ,"11,244 ","18,990 ","144,629 "
New York,"3,279 ",478 ,"4,718 ","5,934 ","11,222 ","18,692 ","87,082 ","131,405 ","4,785 ","3,798 ","9,253 ","12,962 ","11,323 ",467 ,"67,543 ","110,132 ","241,537 "
North Carolina,"2,271 ","1,622 ","4,711 ","6,581 ","15,113 ","12,068 ","92,754 ","135,120 ","3,785 ","1,975 ","7,263 ","8,948 ","7,174 ",882 ,"60,906 ","90,934 ","226,054 "
North Dakota,"2,045 ",-,"6,968 ","5,032 ","23,979 ",-,"134,049 ","172,073 ",252 ,-,602 ,659 ,666 ,-,"2,493 ","4,672 ","176,746 "
Ohio,"2,997 ","1,322 ","4,169 ","5,408 ","22,288 ","12,546 ","106,097 ","154,829 ","5,169 ","2,440 ","8,115 ","10,821 ","12,512 ","1,262 ","67,096 ","107,416 ","262,244 "
Oklahoma,"2,596 ",-,"6,665 ","5,866 ","42,526 ","5,973 ","130,220 ","193,846 ","1,386 ",947 ,"4,185 ","5,520 ","3,213 ",250 ,"24,910 ","40,411 ","234,257 "
Oregon,"2,021 ",-,"5,907 ","4,545 ","16,349 ","16,075 ","74,113 ","119,010 ","1,108 ",250 ,"2,745 ","2,995 ","4,290 ",994 ,"19,706 ","32,088 ","151,099 "
Pennsylvania,"4,526 ","1,448 ","3,719 ","9,351 ","14,813 ","13,959 ","101,130 ","148,947 ","3,360 ","2,178 ","8,160 ","8,744 ","11,021 ",-,"68,018 ","101,480 ","250,428 "
