Year,Vehicles
2005,"11,028"
2006,"10,988"
2007,"10,935"
2008,"10,564"
2010,"10,476"
2011,"10,395"
2012,"10,506"
2013,"10,367"
2014,"10,371"
2015,"10,660 "
