,STATE,RURAL,URBAN,RURAL AND URBAN,MILES ,LANE- MILES  (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL  RURAL (2),MILES .1,LANE- MILES (3),DVMT (4).1,AADT/ LANE (5).1,%  OF  STATEWIDE  TOTAL  URBAN (2),MILES .2,LANE- MILES (3).1,DVMT (4).2,AADT/ LANE (5).2,%  OF  STATEWIDE  TOTAL   (2),MILES .3,LANE- MILES ,DVMT ,MILES .4,LANE- MILES .1,DVMT .1,MILES .5,LANE- MILES .2,DVMT .2
31,New Mexico,11007.0,26197.0,27944.0,1067.0,18.1,20.9,65.7,969,3307,16069,4860,11.6,17.4,49.3,11976,29504,44014,1492,17.3,20.4,58.6,,,,,,
32,New York,9617.0,21217.0,35763.0,1686.0,14.9,16.1,42.3,5433,17103,124256,7265,10.9,15.5,47.1,15049,38320,160019,4176,13.2,15.9,45.9,,,,,,
33,North Carolina,59229.0,122574.0,72228.0,589.0,90.4,90.7,70.1,20330,49114,155078,3158,49.8,54.0,76.2,79559,171687,227306,1324,74.8,75.9,74.2,,,,,,
34,North Dakota,7184.0,16432.0,14186.0,863.0,8.5,9.5,71.0,223,785,3242,4129,10.5,16.8,43.1,7406,17217,17428,1012,8.5,9.7,63.4,,,,,,
35,Ohio,13555.0,30400.0,61448.0,2021.0,18.0,19.6,66.4,5673,19016,122525,6443,12.0,17.7,56.0,19228,49416,183974,3723,15.6,18.8,59.1,,,,,,
36,Oklahoma,10851.0,25003.0,38449.0,1538.0,11.4,12.9,66.3,1406,5352,31605,5905,7.8,13.2,43.5,12257,30356,70054,2308,10.9,13.0,53.6,,,,,,
37,Oregon,6431.0,14589.0,25670.0,1760.0,11.0,12.3,65.5,1230,4005,31467,7857,8.3,12.5,52.9,7661,18594,57137,3073,10.4,12.3,57.9,,,,,,
38,Pennsylvania,28522.0,60405.0,69006.0,1142.0,39.3,40.6,71.2,11234,27893,130277,4671,23.6,27.5,72.5,39756,88297,199283,2257,33.1,35.3,72.1,,,,,,
39,Rhode Island,374.0,837.0,2231.0,2666.0,27.5,29.8,91.7,717,2011,14388,7153,15.3,20.2,75.6,1091,2848,16619,5835,18.0,22.3,77.4,,,,,,
40,South Carolina,29792.0,62736.0,55630.0,887.0,51.6,52.9,86.0,11567,27728,70054,2526,62.3,66.2,90.9,41359,90465,125684,1389,54.2,56.4,88.7,,,,,,
41,South Dakota,7507.0,16984.0,13697.0,806.0,9.5,10.6,76.8,259,937,3422,3652,7.7,12.6,44.4,7766,17921,17119,955,9.4,10.7,67.0,,,,,,
42,Tennessee,10028.0,23789.0,52630.0,2212.0,15.6,18.0,75.4,3851,13431,89991,6700,12.3,19.1,64.1,13878,37220,142620,3832,14.5,18.4,67.9,,,,,,
43,Texas,64729.0,144138.0,170190.0,1181.0,31.5,33.9,90.2,15694,51618,341620,6618,14.5,20.4,65.9,80423,195756,511809,2615,25.6,28.9,72.4,,,,,,
44,Utah,4685.0,11270.0,16907.0,1500.0,13.3,15.6,74.5,1186,4857,36862,7589,10.7,19.3,63.1,5871,16127,53769,3334,12.7,16.5,66.3,,,,,,
45,Vermont,2377.0,5320.0,9730.0,1829.0,18.6,20.3,68.3,252,683,3085,4518,17.2,21.9,53.2,2629,6003,12816,2135,18.4,20.5,64.0,,,,,,
46,Virginia,44922.0,93574.0,54375.0,581.0,95.0,95.2,84.1,13726,33684,110355,3276,49.4,52.1,68.2,58648,127258,164730,1294,78.1,78.1,72.8,,,,,,
47,Washington,5515.0,12505.0,30409.0,2432.0,9.8,11.0,67.2,1543,5973,60941,10203,6.4,11.3,51.6,7058,18478,91351,4944,8.8,11.1,55.9,,,,,,
48,West Virginia,29964.0,61059.0,21386.0,350.0,94.7,94.7,80.3,4439,9929,23289,2346,62.1,64.3,84.1,34403,70987,44675,629,88.7,88.8,82.2,,,,,,
49,Wisconsin,9596.0,22094.0,51617.0,2336.0,10.5,11.9,58.7,2150,7575,47679,6294,9.1,14.5,58.1,11746,29669,99296,3347,10.2,12.4,58.4,,,,,,
50,Wyoming,6259.0,14303.0,13791.0,964.0,24.1,26.6,75.7,459,1422,3751,2637,15.7,21.9,46.5,6718,15726,17543,1116,23.2,26.1,66.7,,,,,,
51,U.S.,610551.0,1351173.0,1799661.0,1332.0,20.7,22.4,70.7,170280,526435,3367203,6396,14.1,19.4,56.7,780831,1877608,5166865,2752,18.8,21.5,60.9,,,,,,
52,Puerto Rico (6),1026.0,2166.0,3297.0,1522.0,33.0,34.3,92.6,3549,8517,41972,4928,26.4,29.9,85.8,4575,10683,45269,4238,27.6,30.7,86.3,,,,,,
53,Grand Total,611577.0,1353339.0,1802958.0,1332.0,20.7,22.4,70.8,173829,534952,3409175,6373,14.2,19.3,57.1,785406,1888291,5212134,2760,18.8,21.5,61.2,,,,,,
