STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL    ARTERIAL,,,,,,
,DIVIDED    HIGHWAYS (2),,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2    LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
,FULL ACCESS CONTROL,,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,
,4 LANES,> 4 LANES,,,,NONE,PARTIAL,FULL,,,,,NONE,PARTIAL,FULL,,,
Pennsylvania,580 ,173 ,0 ,753 ,1 ,2 ,11 ,500 ,513 ,5 ,519 ,"1,527 ",662 ,90 ,91 ,842 ,426 ,"2,795 "
Rhode Island,12 ,41 ,-,52 ,4 ,-,23 ,54 ,76 ,-,80 ,230 ,10 ,4 ,-,14 ,96 ,341 
South Carolina,143 ,161 ,-,304 ,0 ,-,22 ,60 ,82 ,1 ,84 ,160 ,787 ,21 ,1 ,810 ,89 ,"1,059 "
South Dakota,87 ,-,1 ,88 ,0 ,6 ,10 ,0 ,17 ,1 ,18 ,30 ,9 ,18 ,-,28 ,77 ,134 
Tennessee,299 ,231 ,-,530 ,1 ,12 ,10 ,136 ,158 ,3 ,162 ,399 ,598 ,3 ,48 ,649 ,746 ,"1,794 "
Texas,573 ,842 ,0 ,"1,415 ",63 ,74 ,249 ,937 ,"1,260 ",171 ,"1,494 ","1,267 ","1,534 ",143 ,62 ,"1,738 ","3,075 ","6,080 "
Utah,103 ,149 ,-,252 ,11 ,-,2 ,31 ,32 ,0 ,44 ,167 ,75 ,45 ,2 ,123 ,356 ,647 
Vermont,60 ,-,1 ,62 ,11 ,-,3 ,1 ,4 ,1 ,16 ,79 ,1 ,8 ,15 ,25 ,8 ,112 
Virginia,335 ,308 ,9 ,651 ,28 ,10 ,54 ,247 ,311 ,5 ,345 ,237 ,946 ,161 ,38 ,"1,145 ",274 ,"1,656 "
Washington,108 ,226 ,1 ,335 ,82 ,10 ,88 ,205 ,303 ,30 ,415 ,567 ,176 ,3 ,10 ,188 ,684 ,"1,440 "
West Virginia,182 ,60 ,1 ,243 ,2 ,-,1 ,10 ,11 ,-,13 ,145 ,68 ,125 ,13 ,207 ,58 ,410 
Wisconsin,232 ,108 ,6 ,346 ,2 ,38 ,58 ,209 ,306 ,1 ,308 ,"1,011 ",465 ,221 ,1 ,686 ,219 ,"1,917 "
Wyoming,105 ,-,1 ,106 ,-,-,-,3 ,3 ,-,3 ,86 ,42 ,-,-,42 ,101 ,229 
U.S. Total,"8,985 ","9,636 ",193 ,"18,813 ",433 ,394 ,"1,900 ","8,705 ","10,999 ",417 ,"11,849 ","22,926 ","19,478 ","5,059 ","1,233 ","25,770 ","17,698 ","66,395 "
Puerto Rico (4),104 ,46 ,84 ,234 ,3 ,-,18 ,44 ,62 ,1 ,66 ,138 ,100 ,59 ,4 ,163 ,89 ,390 
Grand Total,"9,089 ","9,682 ",277 ,"19,047 ",436 ,394 ,"1,918 ","8,749 ","11,061 ",418 ,"11,915 ","23,064 ","19,578 ","5,118 ","1,237 ","25,933 ","17,787 ","66,785 "
