STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,,
,INTERSTATE SYSTEM,,,,,,,,,,OTHER,,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Nebraska,474 ,"1,136 ","1,506 ",504 ,218 ,218 ,96 ,51 ,-,"3,729 ","2,246 ",633 ,"1,500 ",828 ,731 ,685 ,534 ,485 ,"1,233 ","6,628 "
Nevada,4 ,"4,689 ","2,610 ","1,767 ","1,209 ",752 ,240 ,120 ,22 ,"11,408 ",63 ,"4,994 ","3,733 ","1,885 ","1,234 ",562 ,278 ,169 ,264 ,"13,119 "
New Hampshire,-,"4,087 ",854 ,179 ,55 ,37 ,14 ,14 ,-,"5,241 ",11 ,"3,556 ","1,876 ",679 ,416 ,271 ,191 ,131 ,394 ,"7,513 "
New Jersey,176 ,"12,057 ","13,833 ","4,621 ","2,757 ","1,864 ","1,259 ","1,308 ","1,974 ","39,674 ",78 ,"13,137 ","22,443 ","9,980 ","7,876 ","6,358 ","4,562 ","3,691 ","10,953 ","79,000 "
New Mexico,4 ,"4,304 ","1,322 ",587 ,578 ,249 ,89 ,30 ,39 ,"7,198 ",731 ,"1,245 ","1,954 ","1,356 ","1,280 ","1,107 ",725 ,573 ,"1,330 ","9,569 "
New York,678 ,"9,995 ","21,441 ","7,928 ","4,876 ","3,289 ","2,405 ","1,595 ","4,383 ","55,911 ",875 ,"2,992 ","21,297 ","15,931 ","12,663 ","10,877 ","7,792 ","6,340 ","20,533 ","98,425 "
North Carolina,"2,315 ","17,761 ","19,467 ","6,070 ","2,478 ","1,103 ",413 ,249 ,171 ,"47,712 ","2,444 ","6,825 ","20,539 ","10,342 ","6,147 ","3,428 ","1,778 ","1,113 ","2,888 ","53,060 "
North Dakota,-,354 ,634 ,223 ,43 ,30 ,4 ,-,4 ,"1,293 ",-,176 ,528 ,402 ,396 ,306 ,160 ,112 ,256 ,"2,334 "
Ohio,29 ,"22,914 ","24,554 ","6,533 ","4,262 ","2,504 ","1,120 ",654 ,566 ,"63,108 ",214 ,"7,836 ","15,473 ","7,827 ","6,213 ","4,811 ","3,351 ","2,472 ","6,014 ","53,997 "
Oklahoma,6 ,"3,103 ","6,072 ","2,258 ","1,217 ",833 ,675 ,396 ,548 ,"15,101 ",281 ,"2,206 ","5,401 ","3,056 ","2,346 ","2,101 ","1,520 ","1,234 ","2,091 ","19,955 "
Oregon,-,"5,029 ","6,610 ","1,552 ",686 ,505 ,387 ,231 ,169 ,"15,170 ",51 ,"3,414 ","5,583 ","2,985 ","1,891 ","1,341 ",969 ,725 ,"1,778 ","18,686 "
Pennsylvania,631 ,"12,074 ","15,561 ","4,575 ","3,344 ","2,235 ","1,080 ",830 ,741 ,"40,442 ",335 ,"4,862 ","16,308 ","11,238 ","8,717 ","6,896 ","4,427 ","3,245 ","6,382 ","62,074 "
Rhode Island,-,"1,487 ","2,296 ",563 ,285 ,110 ,164 ,93 ,93 ,"5,091 ",19 ,336 ,"1,679 ","1,038 ","1,069 ",941 ,740 ,690 ,"1,789 ","8,282 "
South Carolina,-,"2,756 ","8,853 ","4,182 ","2,617 ","1,136 ",364 ,104 ,15 ,"20,026 ",-,"1,027 ","6,931 ","6,515 ","4,918 ","2,435 ",866 ,470 ,324 ,"23,485 "
South Dakota,-,239 ,"1,087 ",311 ,173 ,105 ,35 ,7 ,3 ,"1,959 ",1 ,45 ,304 ,217 ,178 ,158 ,172 ,113 ,314 ,"1,501 "
Tennessee,348 ,"25,204 ","8,333 ","2,414 ","1,321 ",563 ,342 ,205 ,331 ,"38,712 ",912 ,"11,468 ","13,213 ","5,280 ","3,095 ","2,109 ","1,267 ","1,050 ","1,814 ","39,296 "
Texas,35 ,"22,185 ","50,173 ","25,156 ","15,520 ","9,597 ","4,365 ","2,548 ","1,890 ","131,434 ","1,654 ","17,021 ","57,127 ","35,619 ","26,558 ","19,562 ","11,169 ","7,427 ","16,035 ","190,518 "
Utah,11 ,"4,612 ","8,277 ","3,863 ","2,073 ","1,126 ",326 ,79 ,31 ,"20,387 ","2,763 ","2,435 ","4,676 ","2,298 ","1,316 ",952 ,445 ,332 ,346 ,"12,799 "
Vermont,33 ,825 ,476 ,94 ,25 ,22 ,2 ,-,-,"1,444 ",48 ,128 ,468 ,282 ,190 ,135 ,83 ,56 ,124 ,"1,466 "
Virginia,"1,227 ","10,511 ","23,587 ","8,826 ","3,960 ","1,823 ",879 ,384 ,234 ,"50,203 ",975 ,"4,568 ","16,395 ","10,378 ","7,241 ","5,340 ","3,159 ","2,117 ","2,843 ","52,042 "
Washington,-,"9,728 ","11,370 ","4,041 ","2,139 ","1,791 ","1,112 ","1,088 ","1,148 ","32,417 ",14 ,"5,047 ","11,152 ","6,729 ","4,560 ","3,503 ","2,376 ","2,012 ","6,297 ","41,678 "
West Virginia,56 ,"3,962 ","3,630 ",850 ,541 ,325 ,147 ,50 ,54 ,"9,559 ",70 ,471 ,"2,658 ","1,404 ",881 ,552 ,346 ,263 ,331 ,"6,906 "
Wisconsin,-,"5,674 ","6,063 ","4,743 ","2,004 ","1,306 ",756 ,287 ,345 ,"21,180 ",41 ,"1,792 ","5,254 ","4,977 ","4,713 ","3,713 ","2,412 ","1,771 ","4,924 ","29,555 "
Wyoming,-,298 ,608 ,296 ,112 ,60 ,41 ,26 ,31 ,"1,473 ",171 ,178 ,559 ,349 ,256 ,181 ,123 ,123 ,262 ,"2,032 "
U.S. Total,"22,326 ","459,150 ","531,950 ","190,905 ","115,701 ","70,765 ","38,015 ","24,247 ","29,416 ","1,460,150 ","56,700 ","259,323 ","541,455 ","289,473 ","214,759 ","161,895 ","104,693 ","81,575 ","206,753 ","1,859,926 "
Puerto Rico (3),30 ,-,"1,595 ","4,260 ","3,103 ","2,933 ","1,660 ",346 ,294 ,"14,191 ",41 ,-,15 ,267 ,780 ,"1,462 ","1,050 ",531 ,869 ,"4,974 "
Grand Total,"22,355 ","459,150 ","533,545 ","195,165 ","118,804 ","73,698 ","39,675 ","24,594 ","29,711 ","1,474,341 ","56,741 ","259,323 ","541,469 ","289,741 ","215,539 ","163,357 ","105,743 ","82,105 ","207,623 ","1,864,899 "
