,STATE,RURAL,URBAN,TOTAL,INTERSTATE ,OTHER FREEWAYS  AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE .1,OTHER FREEWAYS  AND EXPRESSWAYS .1,OTHER PRINCIPAL ARTERIAL .1,MINOR ARTERIAL .1,MAJOR COLLECTOR .1,MINOR COLLECTOR .1,LOCAL .1,TOTAL .1
0,Alabama,6012,-,5286,34,4,-,-,11336,8736,532,8734,183,24,-,10,18219,29555,,
1,Alaska,835,-,305,32,11,0,0,1183,750,-,924,44,3,-,0,1721,2904,,
2,Arizona,6361,30,3198,16,23,-,-,9629,7468,7517,5708,159,17,-,-,20868,30497,,
3,Arkansas,3860,369,3554,11,4,0,0,7799,5072,1041,3143,88,12,-,3,9359,17158,,
4,California,15463,5217,9546,65,66,-,14,30370,72627,60234,51941,380,90,-,97,185368,215739,,
5,Colorado,4444,236,4034,-,1,-,-,8715,9030,5218,8906,58,11,-,-,23223,31938,,
6,Connecticut,469,297,420,-,-,-,-,1186,9926,4142,3764,3,0,-,0,17835,19021,,
7,Delaware,-,610,865,20,-,-,-,1495,1351,603,2093,51,-,-,-,4099,5593,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,457,374,991,-,-,-,-,1822,1822,,
9,Florida,9589,1815,7565,15,6,-,-,18990,28456,13360,41455,1146,73,6,6,84502,103492,,
10,Georgia,7091,-,5868,966,86,-,0,14011,23497,3526,15584,1534,71,0,22,44235,58245,,
11,Hawaii,-,-,323,2,-,-,0,325,1877,505,2083,12,4,-,1,4482,4807,,
12,Idaho,2484,-,2185,29,-,-,-,4698,1488,-,2103,98,1,-,-,3690,8388,,
13,Illinois,8747,103,3456,33,26,-,0,12365,23835,1159,19380,709,212,0,14,45309,57675,,
14,Indiana,7360,725,3930,81,70,-,3,12170,10875,1380,9256,906,79,0,2,22499,34669,,
15,Iowa,4966,-,6043,1,-,-,-,11009,3105,-,4102,58,1,-,2,7267,18276,,
16,Kansas,3545,1251,3125,-,-,-,-,7921,4047,1909,1428,12,2,0,-,7398,15320,,
17,Kentucky,7965,1834,3411,9,8,-,0,13227,6604,872,4643,26,10,1,2,12157,25384,,
18,Louisiana,5681,204,2859,82,22,-,3,8852,9352,766,7798,334,20,0,10,18281,27133,,
19,Maine,2293,-,1881,28,-,-,0,4202,839,143,682,43,16,-,0,1723,5925,,
20,Maryland,2063,-,2218,47,8,-,-,4336,15039,6211,11293,185,38,-,17,32783,37119,,
21,Massachusetts,806,64,269,6,-,-,-,1145,16488,5797,11804,208,12,-,0,34310,35454,,
22,Michigan,5030,2386,4045,8,5,-,-,11474,17147,6150,17205,31,4,-,1,40538,52012,,
23,Minnesota,3850,9,6831,0,-,-,0,10691,8807,3568,5217,40,5,-,0,17638,28328,,
24,Mississippi,4256,-,5047,63,24,-,1,9391,4069,451,5103,72,-,-,1,9696,19087,,
25,Missouri,6819,3818,4016,18,3,-,0,14674,13893,5166,5797,21,4,-,1,24882,39556,,
26,Montana,2473,-,2422,-,-,-,-,4895,597,-,1047,-,-,-,-,1643,6539,,
27,Nebraska,2845,963,2347,79,2,-,-,6235,1534,1149,2068,15,7,-,-,4773,11008,,
28,Nevada,2118,-,1509,9,-,-,-,3635,4165,1686,3090,34,-,2,-,8977,12612,,
29,New Hampshire,1044,142,1034,183,-,-,-,2403,1913,1347,1316,78,4,-,2,4659,7062,,
30,New Jersey,1180,426,704,-,-,-,-,2310,14545,12135,16366,327,35,0,1,43408,45718,,
31,New Mexico,4392,-,3008,39,0,-,-,7439,2629,81,3539,96,35,9,-,6388,13827,,
32,New York,5717,539,3889,13,1,-,-,10158,20655,16810,19079,297,44,0,14,56899,67058,,
33,North Carolina,5803,2324,4983,674,266,0,20,14071,18260,5401,13722,1066,53,-,17,38519,52590,,
34,North Dakota,1517,-,2539,-,1,-,-,4056,472,-,852,-,-,-,-,1324,5380,,
35,Ohio,8348,1696,4118,99,22,-,0,14283,23045,5980,12680,1030,88,-,8,42832,57115,,
36,Oklahoma,5124,-,5028,2,13,-,-,10167,5514,3095,4257,17,17,-,-,12900,23067,,
37,Oregon,3758,-,4010,-,1,-,1,7770,5537,1387,5308,124,16,0,5,12378,20147,,
38,Pennsylvania,11126,2084,4112,19,10,-,0,17350,14992,6775,15781,181,42,-,0,37771,55121,,
39,Rhode Island,305,65,223,-,-,-,-,593,1858,1186,1842,1,1,-,-,4888,5481,,
40,South Carolina,7724,230,4107,1,-,-,-,12062,7310,714,7787,65,6,-,-,15882,27943,,
41,South Dakota,1945,411,1503,6,0,-,-,3866,715,64,483,1,-,-,-,1263,5129,,
42,Tennessee,7446,-,4752,52,2,-,-,12253,14257,2317,12141,189,29,-,0,28933,41186,,
43,Texas (2),17046,-,19743,202,54,-,-,37046,47986,32694,36903,440,104,-,2,118129,155175,,
44,Utah,3082,77,1775,353,74,2,-,5363,7445,413,4980,245,22,0,19,13125,18488,,
45,Vermont,1219,5,693,-,1,-,-,1917,539,57,472,17,6,-,-,1092,3009,,
46,Virginia,6460,544,4905,40,4,-,0,11954,18772,5154,13849,295,50,2,2,38123,50077,,
47,Washington,4609,1753,2200,28,9,-,0,8599,11832,5719,9392,72,33,-,3,27052,35650,,
48,West Virginia,2190,44,2191,-,-,-,-,4425,3510,84,2459,3,-,-,-,6056,10481,,
49,Wisconsin,5788,844,6731,123,15,-,-,13501,7731,3181,7573,39,10,-,-,18534,32035,,
50,Wyoming,2517,-,1627,4,-,0,-,4148,538,12,791,1,0,-,0,1342,5489,,
