STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
Dist. of Columbia,-,457 ,457 ,-,"1,365 ","1,365 ",-,"1,822 ","1,822 ",-,965 ,965 ,-,"2,787 ","2,787 ",-,770 ,770 ,"3,557 "
Florida,"9,589 ","28,456 ","38,046 ","9,401 ","56,046 ","65,447 ","18,990 ","84,502 ","103,492 ","7,114 ","50,170 ","57,284 ","26,104 ","134,672 ","160,776 ","7,026 ","39,180 ","46,206 ","206,982 "
Georgia,"7,091 ","23,497 ","30,588 ","6,919 ","20,738 ","27,657 ","14,011 ","44,235 ","58,245 ","9,504 ","22,333 ","31,837 ","23,514 ","66,568 ","90,082 ","5,075 ","22,949 ","28,024 ","118,107 "
Hawaii,-,"1,877 ","1,877 ",325 ,"2,605 ","2,930 ",325 ,"4,482 ","4,807 ",692 ,"1,927 ","2,619 ","1,017 ","6,409 ","7,427 ",756 ,"2,118 ","2,874 ","10,301 "
Idaho,"2,484 ","1,488 ","3,972 ","2,214 ","2,202 ","4,416 ","4,698 ","3,690 ","8,388 ","2,311 ","2,527 ","4,838 ","7,010 ","6,217 ","13,227 ","2,528 ",907 ,"3,435 ","16,662 "
Illinois,"8,747 ","23,835 ","32,582 ","3,618 ","21,474 ","25,093 ","12,365 ","45,309 ","57,675 ","8,901 ","23,340 ","32,241 ","21,267 ","68,649 ","89,916 ","3,764 ","11,544 ","15,307 ","105,223 "
Indiana,"7,360 ","10,875 ","18,235 ","4,810 ","11,624 ","16,434 ","12,170 ","22,499 ","34,669 ","9,241 ","13,470 ","22,711 ","21,411 ","35,968 ","57,379 ","6,811 ","14,628 ","21,439 ","78,819 "
Iowa,"4,966 ","3,105 ","8,071 ","6,043 ","4,162 ","10,205 ","11,009 ","7,267 ","18,276 ","5,978 ","4,611 ","10,589 ","16,987 ","11,877 ","28,864 ","2,302 ","1,994 ","4,297 ","33,161 "
Kansas,"3,545 ","4,047 ","7,592 ","4,377 ","3,351 ","7,728 ","7,921 ","7,398 ","15,320 ","4,922 ","6,621 ","11,543 ","12,843 ","14,020 ","26,863 ","2,137 ","2,379 ","4,516 ","31,379 "
Kentucky,"7,965 ","6,604 ","14,569 ","5,262 ","5,553 ","10,815 ","13,227 ","12,157 ","25,384 ","7,564 ","7,837 ","15,401 ","20,791 ","19,995 ","40,785 ","5,341 ","2,548 ","7,889 ","48,675 "
Louisiana,"5,681 ","9,352 ","15,033 ","3,171 ","8,929 ","12,100 ","8,852 ","18,281 ","27,133 ","6,380 ","9,777 ","16,158 ","15,232 ","28,059 ","43,291 ","3,288 ","1,601 ","4,889 ","48,180 "
Maine,"2,293 ",839 ,"3,132 ","1,909 ",884 ,"2,793 ","4,202 ","1,723 ","5,925 ","4,001 ","1,910 ","5,911 ","8,203 ","3,632 ","11,836 ","2,346 ",448 ,"2,794 ","14,629 "
Maryland,"2,063 ","15,039 ","17,102 ","2,273 ","17,744 ","20,017 ","4,336 ","32,783 ","37,119 ","3,396 ","11,260 ","14,656 ","7,732 ","44,043 ","51,775 ","2,637 ","3,104 ","5,741 ","57,516 "
Massachusetts,806 ,"16,488 ","17,294 ",339 ,"17,821 ","18,160 ","1,145 ","34,310 ","35,454 ",993 ,"14,107 ","15,100 ","2,138 ","48,417 ","50,555 ",685 ,"8,018 ","8,703 ","59,257 "
Michigan,"5,030 ","17,147 ","22,177 ","6,444 ","23,391 ","29,835 ","11,474 ","40,538 ","52,012 ","14,477 ","20,566 ","35,043 ","25,951 ","61,104 ","87,055 ","3,165 ","7,623 ","10,788 ","97,843 "
Minnesota,"3,850 ","8,807 ","12,657 ","6,841 ","8,831 ","15,671 ","10,691 ","17,638 ","28,328 ","8,874 ","11,726 ","20,600 ","19,564 ","29,364 ","48,928 ","3,888 ","4,578 ","8,467 ","57,395 "
Mississippi,"4,256 ","4,069 ","8,325 ","5,135 ","5,627 ","10,762 ","9,391 ","9,696 ","19,087 ","7,364 ","4,321 ","11,686 ","16,755 ","14,017 ","30,773 ","5,405 ","3,713 ","9,118 ","39,890 "
Missouri,"6,819 ","13,893 ","20,712 ","7,855 ","10,989 ","18,844 ","14,674 ","24,882 ","39,556 ","8,513 ","9,649 ","18,162 ","23,187 ","34,531 ","57,718 ","6,257 ","7,942 ","14,200 ","71,918 "
Montana,"2,473 ",597 ,"3,070 ","2,422 ","1,047 ","3,469 ","4,895 ","1,643 ","6,539 ","1,980 ","1,267 ","3,247 ","6,875 ","2,911 ","9,786 ","1,654 ",906 ,"2,560 ","12,345 "
Nebraska,"2,845 ","1,534 ","4,379 ","3,390 ","3,239 ","6,629 ","6,235 ","4,773 ","11,008 ","3,818 ","2,716 ","6,534 ","10,053 ","7,489 ","17,542 ","1,330 ","1,229 ","2,559 ","20,101 "
Nevada,"2,118 ","4,165 ","6,283 ","1,517 ","4,811 ","6,329 ","3,635 ","8,977 ","12,612 ",712 ,"6,546 ","7,258 ","4,348 ","15,523 ","19,870 ",663 ,"5,392 ","6,055 ","25,925 "
New Hampshire,"1,044 ","1,913 ","2,957 ","1,359 ","2,746 ","4,105 ","2,403 ","4,659 ","7,062 ","1,920 ","2,478 ","4,398 ","4,323 ","7,137 ","11,460 ",843 ,791 ,"1,634 ","13,094 "
New Jersey,"1,180 ","14,545 ","15,725 ","1,130 ","28,863 ","29,993 ","2,310 ","43,408 ","45,718 ","1,481 ","16,056 ","17,537 ","3,791 ","59,465 ","63,256 ","1,044 ","11,094 ","12,138 ","75,393 "
New Mexico,"4,392 ","2,629 ","7,021 ","3,047 ","3,759 ","6,806 ","7,439 ","6,388 ","13,827 ","3,733 ","3,751 ","7,484 ","11,172 ","10,139 ","21,311 ","4,360 ","1,764 ","6,124 ","27,435 "
New York,"5,717 ","20,655 ","26,372 ","4,442 ","36,245 ","40,686 ","10,158 ","56,899 ","67,058 ","7,145 ","24,890 ","32,035 ","17,303 ","81,790 ","99,093 ","13,583 ","14,554 ","28,137 ","127,230 "
North Carolina,"5,803 ","18,260 ","24,063 ","8,268 ","20,259 ","28,527 ","14,071 ","38,519 ","52,590 ","12,419 ","21,378 ","33,797 ","26,490 ","59,897 ","86,386 ","11,143 ","14,349 ","25,492 ","111,879 "
North Dakota,"1,517 ",472 ,"1,988 ","2,540 ",852 ,"3,392 ","4,056 ","1,324 ","5,380 ","2,074 ",913 ,"2,987 ","6,131 ","2,237 ","8,368 ","1,160 ",508 ,"1,669 ","10,036 "
Ohio,"8,348 ","23,045 ","31,393 ","5,935 ","19,787 ","25,722 ","14,283 ","42,832 ","57,115 ","12,099 ","24,065 ","36,163 ","26,382 ","66,896 ","93,278 ","7,401 ","12,993 ","20,394 ","113,673 "
Oklahoma,"5,124 ","5,514 ","10,638 ","5,043 ","7,386 ","12,429 ","10,167 ","12,900 ","23,067 ","8,260 ","7,867 ","16,127 ","18,426 ","20,767 ","39,194 ","2,743 ","5,776 ","8,519 ","47,713 "
Oregon,"3,758 ","5,537 ","9,295 ","4,012 ","6,841 ","10,853 ","7,770 ","12,378 ","20,147 ","3,539 ","7,201 ","10,740 ","11,309 ","19,578 ","30,887 ","2,994 ","2,117 ","5,111 ","35,999 "
Pennsylvania,"11,126 ","14,992 ","26,118 ","6,224 ","22,779 ","29,004 ","17,350 ","37,771 ","55,121 ","10,632 ","19,282 ","29,914 ","27,982 ","57,053 ","85,035 ","7,413 ","8,497 ","15,910 ","100,945 "
Rhode Island,305 ,"1,858 ","2,164 ",288 ,"3,030 ","3,318 ",593 ,"4,888 ","5,481 ",249 ,"1,672 ","1,921 ",842 ,"6,561 ","7,402 ",46 ,384 ,430 ,"7,833 "
South Carolina,"7,724 ","7,310 ","15,033 ","4,338 ","8,572 ","12,910 ","12,062 ","15,882 ","27,943 ","8,334 ","10,200 ","18,534 ","20,396 ","26,082 ","46,477 ","3,215 ","2,034 ","5,249 ","51,726 "
South Dakota,"1,945 ",715 ,"2,660 ","1,921 ",548 ,"2,469 ","3,866 ","1,263 ","5,129 ","2,043 ","1,266 ","3,309 ","5,909 ","2,530 ","8,438 ",603 ,283 ,886 ,"9,324 "
Tennessee,"7,446 ","14,257 ","21,703 ","4,807 ","14,676 ","19,483 ","12,253 ","28,933 ","41,186 ","7,049 ","13,501 ","20,550 ","19,302 ","42,434 ","61,736 ","6,165 ","8,770 ","14,935 ","76,670 "
Texas (2),"17,046 ","47,986 ","65,032 ","20,000 ","70,143 ","90,143 ","37,046 ","118,129 ","155,175 ","25,529 ","60,606 ","86,136 ","62,576 ","178,735 ","241,311 ","6,314 ","10,498 ","16,811 ","258,122 "
Utah,"3,082 ","7,445 ","10,528 ","2,280 ","5,680 ","7,960 ","5,363 ","13,125 ","18,488 ","1,261 ","4,352 ","5,613 ","6,624 ","17,477 ","24,101 ","1,663 ","3,839 ","5,502 ","29,604 "
Vermont,"1,219 ",539 ,"1,758 ",698 ,552 ,"1,251 ","1,917 ","1,092 ","3,009 ","2,127 ",643 ,"2,770 ","4,044 ","1,735 ","5,779 ","1,154 ",381 ,"1,535 ","7,314 "
Virginia,"6,460 ","18,772 ","25,232 ","5,494 ","19,351 ","24,845 ","11,954 ","38,123 ","50,077 ","8,066 ","15,548 ","23,614 ","20,019 ","53,672 ","73,691 ","3,582 ","5,351 ","8,933 ","82,625 "
Washington,"4,609 ","11,832 ","16,441 ","3,990 ","15,219 ","19,209 ","8,599 ","27,052 ","35,650 ","5,687 ","11,344 ","17,031 ","14,285 ","38,396 ","52,681 ","2,229 ","4,742 ","6,971 ","59,653 "
West Virginia,"2,190 ","3,510 ","5,700 ","2,235 ","2,546 ","4,781 ","4,425 ","6,056 ","10,481 ","3,853 ","3,312 ","7,165 ","8,279 ","9,368 ","17,646 ","1,444 ",737 ,"2,180 ","19,827 "
Wisconsin,"5,788 ","7,731 ","13,518 ","7,714 ","10,803 ","18,516 ","13,501 ","18,534 ","32,035 ","12,616 ","8,918 ","21,534 ","26,117 ","27,452 ","53,569 ","6,002 ","2,502 ","8,504 ","62,073 "
Wyoming,"2,517 ",538 ,"3,055 ","1,631 ",804 ,"2,435 ","4,148 ","1,342 ","5,489 ","1,161 ",878 ,"2,038 ","5,308 ","2,219 ","7,527 ","1,344 ",725 ,"2,070 ","9,597 "
U.S. Total,"235,766 ","541,186 ","776,952 ","215,928 ","699,607 ","915,535 ","451,693 ","1,240,794 ","1,692,487 ","298,863 ","622,866 ","921,729 ","750,557 ","1,863,659 ","2,614,216 ","178,348 ","302,809 ","481,157 ","3,095,373 "
Puerto Rico (3),462 ,"5,033 ","5,495 ",62 ,"1,797 ","1,859 ",524 ,"6,829 ","7,353 ",527 ,"8,754 ","9,281 ","1,052 ","15,583 ","16,635 ",239 ,"1,946 ","2,186 ","18,820 "
Grand Total,"236,228 ","546,219 ","782,447 ","215,990 ","701,404 ","917,394 ","452,218 ","1,247,623 ","1,699,840 ","299,391 ","631,619 ","931,010 ","751,608 ","1,879,242 ","2,630,851 ","178,587 ","304,755 ","483,342 ","3,114,193 "
