STATE,MINOR ARTERIAL,,,,,,,MAJOR COLLECTOR,,,,,,,MINOR COLLECTOR,,,,,,
,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL
North Carolina,20 ,123 ,433 ,740 ,"1,489 ",72 ,"2,878 ",65 ,254 ,994 ,568 ,748 ,64 ,"2,694 ",1 ,-,13 ,15 ,7 ,-,37 
North Dakota,-,-,-,2 ,300 ,1 ,303 ,-,-,-,28 ,301 ,-,329 ,-,-,-,-,-,-,-
Ohio,5 ,191 ,902 ,465 ,"2,151 ",261 ,"3,974 ",72 ,589 ,"2,180 ",608 ,"1,725 ",195 ,"5,369 ",26 ,167 ,266 ,43 ,78 ,13 ,593 
Oklahoma,10 ,123 ,374 ,652 ,698 ,348 ,"2,205 ",32 ,122 ,274 ,448 ,270 ,346 ,"1,491 ",7 ,1 ,6 ,75 ,14 ,6 ,109 
Oregon,-,1 ,41 ,306 ,743 ,195 ,"1,286 ",2 ,79 ,252 ,485 ,975 ,328 ,"2,121 ",2 ,-,39 ,182 ,253 ,19 ,495 
Pennsylvania,11 ,121 ,613 ,"1,616 ","1,090 ",526 ,"3,976 ",80 ,312 ,"2,002 ","1,522 ",963 ,540 ,"5,420 ",-,-,-,-,-,-,-
Rhode Island,-,-,12 ,66 ,208 ,57 ,343 ,3 ,22 ,77 ,169 ,159 ,109 ,540 ,-,3 ,-,-,18 ,5 ,26 
South Carolina,-,3 ,204 ,252 ,673 ,636 ,"1,767 ",26 ,65 ,"1,118 ",353 ,636 ,608 ,"2,807 ",21 ,26 ,13 ,-,12 ,-,73 
South Dakota,-,2 ,7 ,1 ,421 ,-,431 ,-,1 ,7 ,34 ,310 ,-,351 ,-,-,-,-,-,-,-
Tennessee,4 ,26 ,394 ,666 ,"1,570 ",12 ,"2,672 ",18 ,236 ,671 ,536 ,850 ,33 ,"2,343 ",35 ,78 ,269 ,142 ,202 ,-,726 
Texas,0 ,14 ,340 ,"1,266 ","5,982 ",342 ,"7,945 ",50 ,344 ,"1,432 ","2,889 ","9,756 ","1,343 ","15,813 ",26 ,101 ,168 ,157 ,421 ,123 ,996 
Utah,-,-,-,5 ,616 ,36 ,656 ,-,-,14 ,2 ,"1,006 ",78 ,"1,100 ",-,-,-,-,-,-,-
Vermont,2 ,3 ,38 ,74 ,26 ,8 ,151 ,-,12 ,100 ,91 ,28 ,8 ,240 ,-,2 ,8 ,4 ,1 ,-,16 
Virginia,31 ,60 ,905 ,372 ,"1,211 ",111 ,"2,691 ",181 ,312 ,875 ,391 ,765 ,181 ,"2,705 ",77 ,57 ,227 ,58 ,205 ,52 ,677 
Washington,-,2 ,302 ,776 ,"1,528 ",102 ,"2,711 ",-,49 ,351 ,875 ,"1,350 ",119 ,"2,744 ",-,11 ,29 ,68 ,76 ,3 ,187 
West Virginia,17 ,111 ,235 ,74 ,301 ,22 ,761 ,108 ,260 ,315 ,91 ,260 ,13 ,"1,047 ",-,-,-,-,-,-,-
Wisconsin,28 ,9 ,71 ,259 ,599 ,"1,703 ","2,670 ",-,29 ,195 ,457 ,328 ,"1,783 ","2,791 ",-,-,-,-,-,-,-
Wyoming,-,-,-,236 ,-,-,236 ,-,-,-,516 ,-,-,516 ,-,-,-,42 ,-,-,42 
U.S. Total,789 ,"1,911 ","12,108 ","18,717 ","63,246 ","15,863 ","112,634 ","2,386 ","6,321 ","24,012 ","21,664 ","57,741 ","16,283 ","128,408 ",451 ,946 ,"2,992 ","2,032 ","4,500 ","1,141 ","12,063 "
Puerto Rico (2),77 ,-,633 ,-,2 ,298 ,"1,010 ",285 ,-,738 ,-,-,215 ,"1,238 ", , , , , , ,-
Grand Total,866 ,"1,911 ","12,741 ","18,717 ","63,248 ","16,161 ","113,644 ","2,671 ","6,321 ","24,750 ","21,664 ","57,741 ","16,498 ","129,646 ",451 ,946 ,"2,992 ","2,032 ","4,500 ","1,141 ","12,063 "
