, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; U.S. official reserve assets; liability,FL893111005,170.0,155.4,153.7,158.6,155.4,158.3,158.4,160.6,153.7,1
1,Federal government; special drawing rights (SDRs) allocations; liability,FL313111303,51.2,48.9,47.5,49.6,48.9,49.8,49.4,49.3,47.5,2
2,Rest of the world; U.S. official reserve assets; liability,FL263111005,118.9,106.4,106.2,109.0,106.4,108.5,109.0,111.3,106.2,3
3,Federal government; special drawing rights (SDRs) holdings; asset,FL313011303,51.9,49.7,48.9,50.3,49.7,50.5,50.2,50.1,48.9,4
4,Rest of the world; reserve position in IMF (net); liability,FL263111403,25.2,17.6,18.4,18.9,17.6,16.7,16.7,18.3,18.4,5
5,Rest of the world; other U.S. reserve assets (total); liability,FL263111503,41.8,39.1,38.9,39.8,39.1,41.3,42.1,42.9,38.9,6
6,All sectors; U.S. official reserve assets,FL893011005,181.1,166.4,164.7,169.7,166.4,169.3,169.5,171.6,164.7,7
7,Federal government; U.S. official reserve assets,FL313011005,98.0,86.9,86.9,89.2,86.9,88.0,88.1,90.0,86.9,8
8,Federal government; monetary gold; asset(2),FL313011205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
9,Federal government; special drawing rights (SDRs) holdings; asset,FL313011303,51.9,49.7,48.9,50.3,49.7,50.5,50.2,50.1,48.9,10
10,Federal government; reserve position in IMF (net); asset,FL313011405,25.3,17.7,18.7,19.0,17.7,16.9,17.0,18.6,18.7,11
11,Federal government; other reserves; asset,FL313011505,20.7,19.5,19.3,19.8,19.5,20.5,20.9,21.3,19.3,12
12,Federal government; special drawing rights (SDRs) allocations; liability,FL313111303,51.2,48.9,47.5,49.6,48.9,49.8,49.4,49.3,47.5,13
13,Monetary authority; U.S. official reserve assets,FL713011005,32.0,30.5,30.4,30.9,30.5,31.6,32.0,32.4,30.4,14
14,Monetary authority; monetary gold; asset(2),FL713011203,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15
15,Monetary authority; reserve position in IMF (net); asset,FL713011405,-0.1,-0.1,-0.3,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3,16
16,Monetary authority; foreign currency denominated assets,FL713011505,21.1,19.6,19.6,20.0,19.6,20.9,21.2,21.6,19.6,17
17,Instrument discrepancies; U.S. official reserve assets,FL903011005,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,18
