, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Closed-end funds; total financial assets,FA554090005,4.9,1.7,0.9,2.0,-2.3,0.7,-1.2,2.7,1.5,1
1,Closed-end funds; debt securities; asset,FA554022005,-2.7,1.4,1.0,1.7,-1.4,1.4,-1.4,2.4,1.5,2
2,Closed-end funds; Treasury securities; asset,FA553061103,-0.2,-0.5,-2.2,-0.7,-0.7,-0.6,-6.9,0.3,-1.7,3
3,Closed-end funds; municipal securities; asset,FA553062003,0.6,-0.1,0.4,0.8,-0.7,1.2,0.7,-0.1,0.0,4
4,Closed-end funds; corporate and foreign bonds; asset,FA553063003,-3.1,1.9,2.8,1.7,0.0,0.8,4.8,2.3,3.2,5
5,Closed-end funds; corporate equities; asset,FA553064103,7.6,0.3,-0.1,0.3,-0.9,-0.8,0.2,0.3,0.0,6
6,Closed-end funds; total financial assets,FA554090005,4.9,1.7,0.9,2.0,-2.3,0.7,-1.2,2.7,1.5,7
7,Closed-end funds; total financial assets in domestic equity funds,FA554091603,3.8,0.1,-0.0,0.1,-0.4,-0.4,0.1,0.1,0.0,8
8,Closed-end funds; total financial assets in world equity funds,FA554092603,0.5,1.0,-0.2,1.2,-0.3,-0.1,-1.0,0.3,-0.1,9
9,Closed-end funds; total financial assets in domestic taxable bond funds,FA554091303,0.3,0.7,1.2,0.4,-0.8,-0.1,0.9,2.5,1.6,10
10,Closed-end funds; total financial assets in municipal bond funds,FA554091203,0.6,-0.1,0.4,0.8,-0.7,1.2,0.7,-0.1,0.0,11
11,Closed-end funds; total financial assets in world bond funds,FA554092303,-0.2,-0.1,-0.5,-0.5,-0.0,0.0,-1.9,-0.1,-0.0,12
