,April 3,Foreign Exchange Rates - G.5  10:00 a.m. ET
0,April 5,FOMC Minutes  Meeting of March 14-15  2:00 p.m. ET
1,April 7,Consumer Credit - G.19  3:00 p.m. ET
2,April 18,Industrial Production and Capacity Utilization - G.17  9:15 a.m. ET
3,April 19,Beige Book  2:00 p.m. ET
