, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",FA263191005,-117.9,-240.9,-42.0,-265.8,-326.7,153.1,-182.2,-55.8,-83.1,1
1,Households and nonprofit organizations; private foreign deposits; asset,FA153091003,-6.4,-14.1,-2.1,-15.0,-17.9,3.3,-8.3,-0.8,-2.5,2
2,Nonfinancial corporate business; private foreign deposits; asset,FA103091003,-7.8,-20.9,3.5,-32.5,-4.1,-42.5,46.5,11.3,-1.4,3
3,Money market mutual funds; private foreign deposits; asset,FA633091003,-9.8,-13.4,-9.2,-39.7,-6.0,26.0,-18.6,-34.2,-10.0,4
4,Instrument discrepancies; private foreign deposits,FA903091005,-94.0,-192.4,-34.2,-178.6,-298.7,166.3,-201.8,-32.0,-69.2,5
