, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Exchange-traded funds; total financial assets,LM564090005,1974.4,2100.7,2524.4,1955.8,2100.7,2155.0,2229.4,2387.4,2524.4,1
1,Exchange-traded funds; debt securities; asset,LM564022005,297.4,341.6,429.0,334.5,341.6,381.3,403.3,429.0,429.0,2
2,Exchange-traded funds; Treasury securities; asset,LM563061103,67.5,80.3,94.7,85.3,80.3,92.3,93.5,94.1,94.7,3
3,Exchange-traded funds; municipal securities; asset,LM563062003,15.1,19.1,24.7,17.5,19.1,21.0,23.1,24.5,24.7,4
4,Exchange-traded funds; corporate and foreign bonds; asset,LM563063003,214.8,242.2,309.6,231.7,242.2,268.0,286.7,310.4,309.6,5
5,Exchange-traded funds; corporate equities; asset,LM563064103,1620.0,1709.7,2032.6,1568.6,1709.7,1710.0,1749.5,1881.0,2032.6,6
6,Exchange-traded funds; unidentified miscellaneous assets (commodity funds)(1),LM563093003,57.0,49.3,62.8,52.7,49.3,63.6,76.6,77.4,62.8,7
7,Exchange-traded funds; total financial assets,LM564090005,1974.4,2100.7,2524.4,1955.8,2100.7,2155.0,2229.4,2387.4,2524.4,8
8,Exchange-traded funds; total financial assets in domestic equity funds,LM564091603,1203.2,1232.7,1526.8,1121.4,1232.7,1240.4,1282.2,1377.6,1526.8,9
9,Exchange-traded funds; total financial assets in world equity funds,LM564092603,414.8,474.6,502.7,444.9,474.6,467.1,464.7,500.5,502.7,10
10,Exchange-traded funds; unidentified miscellaneous assets (commodity funds)(1),LM563093003,57.0,49.3,62.8,52.7,49.3,63.6,76.6,77.4,62.8,11
11,Exchange-traded funds; total financial assets in hybrid funds,LM564091403,3.0,3.7,5.0,3.6,3.7,3.9,4.3,4.7,5.0,12
12,Exchange-traded funds; total financial assets in taxable bond funds,LM564091303,281.3,321.2,402.5,315.6,321.2,358.9,378.6,402.8,402.5,13
13,Exchange-traded funds; total financial assets in municipal bond funds,LM564091203,15.1,19.1,24.6,17.5,19.1,21.0,23.1,24.5,24.6,14
