, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Exchange-traded funds; total financial assets,FA564090005,240.8,231.0,283.9,172.6,363.1,138.4,123.2,365.3,508.7,1
1,Exchange-traded funds; debt securities; asset,FA564022005,51.5,55.3,83.9,86.3,49.2,126.3,59.9,96.8,52.4,2
2,Exchange-traded funds; Treasury securities; asset,FA563061103,13.2,14.3,14.3,58.7,-16.4,40.5,-0.0,4.0,12.9,3
3,Exchange-traded funds; municipal securities; asset,FA563062003,3.2,3.9,6.2,2.0,5.9,7.1,6.5,6.2,4.9,4
4,Exchange-traded funds; corporate and foreign bonds; asset,FA563063003,35.2,37.2,63.4,25.6,59.7,78.8,53.4,86.7,34.6,5
5,Exchange-traded funds; corporate equities; asset,FA563064103,190.7,173.5,188.4,88.6,312.1,-27.2,34.8,260.5,485.4,6
6,Exchange-traded funds; unidentified miscellaneous assets (commodity funds)(1),FA563093003,-1.4,2.1,11.7,-2.4,1.8,39.3,28.5,8.0,-29.0,7
7,Exchange-traded funds; total financial assets,FA564090005,240.8,231.0,283.9,172.6,363.1,138.4,123.2,365.3,508.7,8
8,Exchange-traded funds; total financial assets in domestic equity funds,FA564091603,142.9,63.1,167.5,88.8,228.6,-4.3,36.9,224.4,413.0,9
9,Exchange-traded funds; total financial assets in world equity funds,FA564092603,46.6,109.7,20.2,-0.8,83.2,-23.3,-3.0,35.3,71.7,10
10,Exchange-traded funds; unidentified miscellaneous assets (commodity funds)(1),FA563093003,-1.4,2.1,11.7,-2.4,1.8,39.3,28.5,8.0,-29.0,11
11,Exchange-traded funds; total financial assets in hybrid funds,FA564091403,1.6,1.1,1.1,0.9,0.4,0.5,1.5,1.2,1.2,12
12,Exchange-traded funds; total financial assets in taxable bond funds,FA564091303,47.8,51.0,77.3,84.0,43.1,119.1,52.8,90.2,47.0,13
13,Exchange-traded funds; total financial assets in municipal bond funds,FA564091203,3.2,3.9,6.2,2.0,5.9,7.1,6.5,6.2,4.9,14
