, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Monetary authority; SDR certificates issued by federal government; asset,FL713014003,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,1
1,Monetary authority; SDR certificates issued by federal government; asset,FL713014003,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,2
2,Federal government; Treasury currency; liability,FL313112003,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,3
3,Monetary authority; Treasury currency; asset,FL713012003,46.3,47.6,48.5,47.3,47.6,47.7,48.0,48.4,48.5,4
4,Instrument discrepancies; Treasury currency (seigniorage),FL903012005,-21.0,-22.2,-23.2,-22.0,-22.2,-22.4,-22.7,-23.0,-23.2,5
