, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",FL263191005,827.4,585.9,544.5,667.6,585.9,624.5,579.2,565.3,544.5,1
1,Households and nonprofit organizations; private foreign deposits; asset,FL153091003,45.7,31.6,29.5,36.1,31.6,32.4,30.3,30.1,29.5,2
2,Nonfinancial corporate business; private foreign deposits; asset,FL103091003,69.7,48.8,52.3,49.8,48.8,38.2,49.8,52.6,52.3,3
3,Money market mutual funds; private foreign deposits; asset,FL633091003,24.5,11.1,1.9,12.6,11.1,17.6,12.9,4.4,1.9,4
4,Instrument discrepancies; private foreign deposits,FL903091005,687.5,494.4,460.8,569.1,494.4,536.4,486.1,478.1,460.8,5
