, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Mutual funds; total financial assets,LM654090000,13150.6,12897.2,13615.6,12605.7,12897.2,12962.1,13208.8,13682.6,13615.6,1
1,Mutual funds; security repurchase agreements; asset,FL652051003,94.1,81.7,80.6,82.9,81.7,86.8,84.3,84.5,80.6,2
2,Mutual funds; debt securities; asset (market value),LM654022005,3834.5,3834.2,4065.7,3881.2,3834.2,3930.6,4103.6,4214.5,4065.7,3
3,Mutual funds; commercial paper; asset,LM653069100,94.1,81.7,80.6,82.9,81.7,86.8,84.3,84.5,80.6,4
4,Mutual funds; Treasury securities; asset (market value),LM653061105,682.9,826.6,870.9,789.1,826.6,835.5,879.8,898.2,870.9,5
5,Mutual funds; agency- and GSE-backed securities; asset (market value),LM653061703,689.8,584.9,637.4,627.0,584.9,609.5,629.6,644.5,637.4,6
6,Mutual funds; municipal securities; asset (market value),LM653062003,586.6,603.7,633.0,593.2,603.7,628.8,668.2,683.4,633.0,7
7,Mutual funds; corporate and foreign bonds; asset (market value),LM653063005,1781.2,1737.3,1843.9,1789.0,1737.3,1769.9,1841.7,1903.8,1843.9,8
8,Mutual funds; syndicated loans to nonfinancial corporate business; asset,FL653069803,154.5,138.9,157.5,141.6,138.9,144.4,139.5,147.1,157.5,9
9,Mutual funds; corporate equities; asset,LM653064100,8799.2,8625.3,9187.8,8282.6,8625.3,8555.7,8649.3,9007.5,9187.8,10
10,Mutual funds; unidentified miscellaneous assets,FL653093005,268.3,217.1,124.0,217.4,217.1,244.6,232.0,229.0,124.0,11
11,Mutual funds; total financial assets,LM654090000,13150.6,12897.2,13615.6,12605.7,12897.2,12962.1,13208.8,13682.6,13615.6,12
12,Variable annuity mutual funds; total financial assets (market value),LM654090500,1671.2,1596.1,1637.1,1553.2,1596.1,1583.5,1597.2,1642.0,1637.1,13
13,Mutual funds; total financial assets in domestic equity funds,LM654091603,6232.6,6045.6,6414.9,5790.3,6045.6,5997.6,6087.0,6307.1,6414.9,14
14,Mutual funds; total financial assets in world equity funds,LM654092603,2081.4,2102.4,2162.5,2043.2,2102.4,2118.6,2116.9,2234.1,2162.5,15
15,Mutual funds; total financial assets in hybrid funds,LM654091403,1374.1,1334.3,1388.7,1321.5,1334.3,1341.7,1373.7,1401.1,1388.7,16
16,Mutual funds; total financial assets in taxable bond funds,LM654091303,2894.1,2820.0,3035.8,2873.9,2820.0,2886.4,2982.5,3073.6,3035.8,17
17,Mutual funds; total financial assets in municipal bond funds,LM654091203,566.5,593.4,613.7,575.6,593.4,615.7,649.6,664.7,613.7,18
