Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
,All institutions,37876879,,2067030,,21187061,,1845519,,3116233,,763177,,919673,,450543,,6455847,,1071796,
1.0,Johns Hopkins U.a,1992837,,29004,,620336,,163062,,155811,,3109,,9945,,52759,,954967,,3844,
2.0,"U. Washington, Seattle",906768,,96457,,580050,,18561,,42099,,7518,,9231,,0,,97657,,55195,
3.0,"U. Michigan, Ann Arbor",735447,,7590,,410117,,11764,,33258,,11789,,75359,,860,,177975,,6735,
4.0,Stanford U.,675930,,10310,,429720,,23670,,72882,,9067,,5687,,0,,94297,,30297,
5.0,U. Pennsylvania,611620,,1270,,480653,,15038,,25196,,18365,,17124,,681,,39464,,13829,
6.0,"U. California, San Diego",603343,,90156,,347109,,29295,,49905,,13276,,6076,,2596,,62771,,2159,
7.0,Columbia U. in the City of New York,592545,,77913,,393719,,20964,,36690,,3618,,3507,,0,,41422,,14712,
8.0,"U. North Carolina, Chapel Hill",585758,,17326,,426725,,20699,,19184,,27251,,63068,,0,,3321,,8184,
9.0,"U. Pittsburgh, Pittsburgh",561210,,9338,,475758,,6195,,15790,,15188,,2354,,6259,,23776,,6552,
10.0,Duke U.,559217,,11559,,423192,,16320,,15056,,5935,,17557,,0,,68947,,651,
11.0,Georgia Institute of Technology,551084,,14223,,11099,,82982,,34650,,5803,,5134,,3984,,390188,,3021,
12.0,Harvard U.,545202,,22822,,316102,,13825,,47741,,4662,,16065,,70749,,38416,,14820,
13.0,"U. California, San Francisco",535457,,0,,501004,,0,,34453,,0,,0,,0,,0,,0,
14.0,U. Wisconsin-Madison,533286,,36534,,286893,,20626,,49724,,4084,,20211,,2593,,86245,,26376,
15.0,"Pennsylvania State U., University Park and Hershey Medical Center",513410,,34521,,127546,,58312,,34649,,17489,,19743,,0,,215629,,5521,
16.0,"U. California, Los Angeles",489404,,18212,,330746,,19088,,40432,,11210,,6715,,10911,,45457,,6633,
17.0,Massachusetts Institute of Technology,488421,,38881,,71213,,52860,,97322,,475,,2669,,5589,,217641,,1771,
18.0,Yale U.,477143,,3020,,401665,,6918,,25884,,4131,,2689,,1536,,25538,,5762,
19.0,"U. Minnesota, Twin Cities",476029,,7580,,309362,,21769,,28165,,19095,,18815,,71,,63625,,7547,
20.0,Cornell U.,446360,,9266,,255487,,16043,,84586,,5099,,13987,,249,,60549,,1094,
21.0,Ohio State U.,446048,,6268,,261805,,14662,,27624,,5632,,14929,,9299,,66722,,39107,
22.0,"Washington U., Saint Louis",432228,,5484,,375887,,4274,,11560,,3939,,417,,1944,,21218,,7505,
23.0,U. Southern California,421227,,15564,,237185,,85356,,8000,,6361,,12122,,251,,43266,,13122,
24.0,Vanderbilt U.,401738,,3227,,304201,,983,,26620,,8275,,4075,,1032,,42288,,11037,
25.0,Northwestern U.,393186,,1014,,276462,,1604,,29217,,2659,,9875,,15759,,49278,,7318,
26.0,U. Colorado Boulder,353341,,123179,,20305,,9084,,70937,,13637,,6658,,18691,,79337,,11513,
27.0,Emory U.,348071,,923,,323570,,1634,,12080,,1708,,1648,,0,,4971,,1537,
28.0,"U. California, Berkeley",346262,,6686,,97122,,6105,,112263,,5445,,14971,,29259,,70191,,4220,
29.0,"U. Texas, Austin",346215,,22345,,50092,,65012,,54850,,7706,,6676,,671,,124036,,14827,
30.0,New York U.,344570,,0,,264804,,19529,,12485,,21423,,4021,,0,,4429,,17879,
31.0,"U. Illinois, Urbana-Champaign",338178,,5880,,84794,,81975,,45236,,8463,,8794,,357,,94980,,7699,
32.0,"U. Maryland, College Park",332393,,37464,,65669,,30245,,70658,,4773,,53892,,0,,69378,,314,
33.0,Icahn School of Medicine at Mt. Sinai,329641,,0,,329641,,0,,0,,0,,0,,0,,0,,0,
34.0,"U. Alabama, Birmingham",328531,,2200,,283219,,738,,2646,,3505,,186,,0,,32514,,3523,
35.0,"U. California, Davis",326039,,9183,,239720,,8954,,18697,,2160,,10797,,166,,33242,,3120,
36.0,"Rutgers, State U. New Jersey, New Brunswick",323675,,20311,,194386,,17577,,29475,,7818,,13737,,411,,36596,,3364,
37.0,Case Western Reserve U.,308434,,810,,265916,,720,,6705,,1252,,1751,,0,,30806,,474,
38.0,"Texas A&M U., College Station and Health Science Center",304437,,82591,,106835,,11769,,19560,,1285,,3675,,651,,65348,,12723,
39.0,Uniformed Services U. of the Health Sciences,299007,,0,,298467,,0,,0,,540,,0,,0,,0,,0,
40.0,U. Chicago,296402,,7280,,199592,,24616,,40646,,7476,,6000,,28,,5759,,5005,
41.0,U. Florida,287230,,8461,,196508,,5901,,14537,,3646,,5574,,0,,46690,,5913,
42.0,U. Utah,274375,,8112,,189363,,25797,,13629,,2250,,3784,,0,,27376,,4064,
43.0,U. Colorado Denver and Anschutz Medical Campus,274345,,31,,258395,,592,,626,,897,,77,,0,,5529,,8198,
44.0,Scripps Research Institute,274097,,0,,274097,,0,,0,,0,,0,,0,,0,,0,
45.0,Michigan State U.,272838,,1083,,108258,,11675,,86855,,5077,,18191,,1475,,23614,,16610,
46.0,California Institute of Technology,272673,,23607,,48020,,8227,,150096,,0,,0,,0,,39206,,3517,
47.0,U. Arizona,269959,,16684,,119232,,8117,,80881,,2048,,8063,,3152,,27701,,4081,
48.0,U. Rochester,262681,,1319,,158769,,2779,,9086,,10027,,18,,501,,78524,,1658,
49.0,Boston U.,259736,,5663,,179300,,5968,,22466,,10515,,1001,,338,,31311,,3174,
50.0,Baylor C. of Medicine,256895,,0,,256895,,0,,0,,0,,0,,0,,0,,0,
51.0,U. Cincinnati,251717,,377,,233973,,771,,3794,,1503,,1471,,0,,8568,,1260,
52.0,Oregon Health and Science U.,245509,,6878,,220269,,0,,0,,2847,,0,,6190,,7692,,1633,
53.0,U. Iowa,225587,,976,,173405,,1733,,16096,,5660,,2092,,37,,23731,,1857,
54.0,"Colorado State U., Fort Collins",219321,,102038,,72001,,5947,,8571,,2340,,3590,,63,,19135,,5636,
55.0,"U. South Florida, Tampa",218338,,8752,,135915,,1945,,4443,,6258,,12811,,466,,25625,,22123,
56.0,"Purdue U., West Lafayette",217330,,3155,,63855,,17849,,19180,,2374,,7375,,0,,95217,,8325,
57.0,"U. Maryland, Baltimore",216687,,358,,208114,,0,,0,,0,,0,,0,,3301,,4914,
58.0,U. Miami,216008,,47919,,146685,,1976,,6159,,8883,,269,,0,,3085,,1032,
59.0,"Indiana U., Bloomington",210899,,1727,,150581,,21293,,17523,,8772,,6235,,132,,0,,4636,
60.0,"U. Virginia, Charlottesville",203401,,3406,,121911,,6108,,15461,,3549,,828,,1298,,34115,,16725,
61.0,"U. Hawaii, Manoa",200202,,58643,,70846,,20885,,17525,,299,,1192,,13210,,17218,,384,
62.0,North Carolina State U.,199862,,15201,,60918,,23547,,13908,,1976,,5052,,7991,,67465,,3804,
63.0,Arizona State U.,196528,,28288,,45495,,13630,,11225,,11116,,17635,,6106,,53395,,9638,
64.0,Virginia Polytechnic Institute and State U.,196096,,2993,,73575,,14732,,7091,,2626,,1122,,844,,88097,,5016,
65.0,"U. Illinois, Chicago",196010,,809,,151822,,8336,,7743,,6515,,5311,,3694,,8700,,3080,
66.0,Carnegie Mellon U.,187259,,229,,7482,,87050,,12389,,7039,,4804,,2760,,65506,,0,
67.0,U. Texas Southwestern Medical Center,183787,,0,,183787,,0,,0,,0,,0,,0,,0,,0,
68.0,"U. Massachusetts, Medical School",183588,,0,,183588,,0,,0,,0,,0,,0,,0,,0,
69.0,Yeshiva U.,180791,,0,,180791,,0,,0,,0,,0,,0,,0,,0,
70.0,"SUNY, U. Buffalo",177441,,1775,,103764,,6591,,8097,,2816,,1765,,0,,49338,,3295,
71.0,"U. California, Irvine",174875,,5693,,103873,,10161,,24951,,2632,,2398,,0,,20914,,4253,
72.0,Woods Hole Oceanographic Institution,172995,,97457,,0,,0,,0,,0,,0,,0,,75538,,0,
73.0,U. Texas M. D. Anderson Cancer Center,161171,,0,,140441,,4764,,7789,,6639,,1538,,0,,0,,0,
74.0,Princeton U.,158313,,13918,,27170,,12648,,42391,,8687,,6646,,127,,46280,,446,
75.0,U. Kansas,155835,,10127,,89466,,3085,,12384,,1253,,1900,,1333,,8826,,27461,
76.0,U. New Mexico,154794,,4650,,94461,,3743,,7822,,6441,,3540,,5186,,25776,,3175,
77.0,Oregon State U.,153017,,39410,,57764,,7345,,2129,,0,,2256,,12242,,29479,,2392,
78.0,Wake Forest U.,148451,,0,,144998,,196,,2645,,245,,0,,0,,0,,367,
79.0,U. Kentucky,146548,,980,,101103,,2073,,5253,,8569,,1675,,4114,,21330,,1451,
80.0,Dartmouth C.,146233,,2420,,107556,,4842,,7553,,2844,,625,,994,,18973,,426,
81.0,Virginia Commonwealth U.,142447,,553,,102629,,1612,,5785,,7368,,161,,0,,5557,,18782,
82.0,Florida State U.,139597,,8655,,20053,,5727,,32199,,26718,,4242,,5382,,30593,,6028,
83.0,George Washington U.,139016,,462,,108299,,4584,,2889,,2402,,6084,,4375,,6572,,3349,
84.0,U. Connecticut,137980,,6488,,82171,,3635,,7649,,10457,,3082,,473,,21394,,2631,
85.0,Washington State U.,134889,,4291,,67518,,3115,,21372,,871,,5568,,525,,18367,,13262,
86.0,Brown U.,132142,,2642,,64679,,17811,,11666,,5944,,3116,,5724,,16304,,4256,
87.0,U. Georgia,132118,,7886,,95063,,3501,,5148,,8432,,4368,,0,,3427,,4293,
88.0,Temple U.,129499,,479,,94558,,3745,,8072,,8641,,1746,,432,,2272,,9554,
89.0,"U. Oklahoma, Norman and Health Science Center",127709,,23200,,64364,,1821,,9636,,1355,,8904,,0,,13638,,4791,
90.0,"U. Texas Health Science Center, Houston",125890,,0,,125890,,0,,0,,0,,0,,0,,0,,0,
91.0,Tufts U.,121428,,159,,80599,,5427,,5668,,3164,,9829,,0,,15335,,1247,
92.0,Utah State U.,120369,,1882,,27456,,1543,,2958,,6917,,752,,0,,78303,,558,
93.0,Medical U. South Carolina,117255,,0,,117255,,0,,0,,0,,0,,0,,0,,0,
94.0,"U. California, Santa Barbara",116232,,14325,,9047,,8555,,24429,,3601,,5987,,0,,48652,,1636,
95.0,"SUNY, Stony Brook U.",115150,,14008,,51930,,10735,,20707,,2184,,372,,2140,,12955,,119,
96.0,Iowa State U.,114518,,1183,,54411,,7789,,6581,,754,,4663,,3076,,34986,,1075,
97.0,U. Delaware,114245,,13049,,30319,,5875,,13100,,3325,,7054,,154,,36382,,4987,
98.0,Wayne State U.,109586,,371,,83412,,2646,,8929,,2870,,702,,0,,9291,,1365,
99.0,Medical C. Wisconsin,109542,,0,,109542,,0,,0,,0,,0,,0,,0,,0,
100.0,"U. Tennessee, Knoxville",105417,,3703,,10457,,17963,,11421,,738,,4275,,13895,,39156,,3809,
101.0,"U. Missouri, Columbia",105015,,1194,,75802,,4220,,5503,,1640,,5344,,0,,9149,,2163,
102.0,"U. Massachusetts, Amherst",103417,,2980,,32353,,15065,,19630,,3810,,1324,,886,,21158,,6211,
103.0,U. Texas Medical Branch,98050,,0,,96627,,0,,0,,0,,0,,0,,1423,,0,
104.0,"U. Nebraska, Lincoln",95831,,1977,,41037,,6074,,16234,,5650,,3269,,3195,,17327,,1068,
105.0,"U. California, Santa Cruz",92870,,12352,,16362,,2210,,12994,,275,,1539,,133,,45384,,1621,
106.0,U. New Hampshire,92040,,42520,,21340,,1468,,2189,,0,,3446,,0,,12143,,8934,
107.0,"U. South Carolina, Columbia",90453,,1956,,48461,,2823,,7832,,5780,,1271,,1773,,14827,,5730,
108.0,U. Central Florida,88814,,4952,,8637,,17226,,20406,,2090,,1942,,16,,26519,,7026,
109.0,Georgetown U.,88015,,0,,77649,,1401,,3494,,895,,3829,,0,,0,,747,
110.0,"U. Texas Health Science Center, San Antonio",85940,,0,,85940,,0,,0,,0,,0,,0,,0,,0,
111.0,Tulane U.,84166,,355,,74985,,1374,,3227,,676,,979,,0,,2547,,23,
112.0,U. Vermont,83733,,498,,67293,,765,,869,,1860,,136,,7244,,5068,,0,
113.0,U. Notre Dame,83710,,0,,11972,,6163,,24991,,3407,,708,,1011,,34363,,1095,
114.0,"Louisiana State U., Baton Rouge",83644,,8595,,45528,,2971,,11552,,447,,2607,,613,,9963,,1368,
115.0,Rockefeller U.,81949,,312,,77182,,73,,4382,,0,,0,,0,,0,,0,
116.0,"U. Alaska, Fairbanks",81586,,46010,,12355,,660,,6425,,0,,1615,,8231,,3689,,2601,
117.0,Northeastern U.,80576,,1618,,18595,,9156,,12211,,3427,,4460,,0,,28912,,2197,
118.0,Mississippi State U.,80097,,2711,,32279,,6474,,2409,,273,,7578,,3424,,24033,,916,
