Rank,Institution,Other agency R&D expendituresa,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
241.0,National U.,1560.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1560.0,,0
242.0,"Rutgers, State U. New Jersey, Newark",1548.0,,0.0,,2.0,,15.0,,0.0,,0.0,,113.0,,336.0,,0.0,,0.0,,1082.0,,0
243.0,Illinois Institute of Technology,1542.0,,153.0,,52.0,,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1319.0,,0.0,,0
244.0,"Loyola U., Chicago",1475.0,,0.0,,380.0,,1048.0,,0.0,,0.0,,39.0,,7.0,,0.0,,0.0,,1.0,,0
245.0,Clarkson U.,1428.0,,0.0,,0.0,,24.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1404.0,,0.0,,0
246.0,Salisbury U.,1394.0,,26.0,,224.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1144.0,,0
247.0,U. Toledo,1384.0,,0.0,,484.0,,342.0,,0.0,,0.0,,0.0,,0.0,,0.0,,463.0,,95.0,,0
248.0,"U. Washington, Tacoma",1371.0,,0.0,,1068.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,303.0,,0
249.0,U. Texas Southwestern Medical Center,1333.0,,0.0,,0.0,,1333.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
250.0,Winthrop U.,1275.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1275.0,,0
251.0,Illinois State U.,1270.0,,0.0,,23.0,,13.0,,0.0,,27.0,,0.0,,0.0,,0.0,,0.0,,1207.0,,0
252.0,"California State U., Northridge",1268.0,,0.0,,6.0,,0.0,,0.0,,23.0,,0.0,,719.0,,46.0,,0.0,,474.0,,0
