Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  "
51.0,"U. California, Davis",36070,,33723,,33242,,0,,11304,,4779,,5985,,8626,,2548,,0,,0,
52.0,"U. Alabama, Birmingham",16828,,13732,,32514,,7474,,1385,,3900,,510,,1004,,3453,,14788,,0,
53.0,Rice U.,30319,,31406,,32366,,0,,11368,,2737,,1683,,10875,,1286,,4376,,41,
54.0,Boston U.,31794,,31358,,31311,,477,,16165,,0,,0,,8192,,3239,,3238,,0,
55.0,Case Western Reserve U.,35396,,32987,,30806,,0,,9224,,5968,,662,,3947,,3508,,3333,,4164,
56.0,Florida State U.,32424,,33994,,30593,,181,,199,,813,,2167,,7127,,15101,,5005,,0,
57.0,Oregon State U.,24586,,25696,,29479,,112,,1264,,8352,,4098,,2471,,4562,,534,,8086,
58.0,Northeastern U.,31688,,28613,,28912,,0,,0,,1790,,4503,,12406,,7777,,0,,2436,
59.0,"U. Alabama, Huntsville",43465,,36592,,27822,,21835,,0,,287,,1517,,1172,,2496,,199,,316,
60.0,U. Arizona,29922,,26009,,27701,,1332,,2331,,2290,,487,,8958,,7389,,2031,,2883,
61.0,Naval Postgraduate School,20667,,29950,,27524,,7331,,0,,0,,0,,4834,,1959,,596,,12804,
62.0,U. Utah,35184,,29317,,27376,,0,,3929,,4455,,5541,,3969,,2991,,5753,,738,
63.0,U. Central Florida,21104,,13736,,26519,,14459,,0,,0,,2440,,5123,,2237,,1534,,726,
64.0,Clemson U.,24699,,23948,,25980,,0,,5302,,0,,5673,,5590,,1367,,4192,,3856,
65.0,U. New Mexico,27981,,25273,,25776,,1527,,1880,,3628,,4129,,10512,,926,,0,,3174,
66.0,"U. South Florida, Tampa",20596,,22642,,25625,,0,,515,,596,,17514,,1760,,2681,,0,,2559,
67.0,Yale U.,25456,,25960,,25538,,0,,4382,,3017,,0,,4606,,4089,,0,,9444,
