Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  "
239.0,U. Central Oklahoma,402,,581,,731,,0,,731,,0,,0,,0,,0,,0,,0,
240.0,U. Colorado Colorado Springs,438,,992,,676,,0,,73,,0,,0,,373,,226,,0,,4,
241.0,Pace U.,580,,544,,668,,0,,0,,0,,0,,0,,668,,0,,0,
242.0,U. New Orleans,2426,,1040,,635,,0,,0,,0,,0,,291,,13,,0,,331,
243.0,"Arkansas State U., Jonesboro",530,,357,,613,,0,,0,,0,,333,,256,,24,,0,,0,
244.0,Kettering U.,1077,,829,,602,,0,,0,,553,,0,,43,,6,,0,,0,
244.0,"Southern Illinois U., Edwardsville",840,,821,,602,,194,,0,,0,,203,,25,,159,,0,,21,
246.0,Miami U.,1858,,988,,595,,0,,296,,0,,0,,210,,82,,0,,7,
247.0,"U. Minnesota, Duluth",459,,198,,584,,0,,0,,0,,423,,141,,20,,0,,0,
248.0,New York Institute of Technology,887,,1269,,578,,0,,0,,0,,0,,515,,15,,0,,48,
249.0,James Madison U.,1445,,567,,537,,0,,0,,6,,531,,0,,0,,0,,0,
250.0,San Jose State U.,680,,809,,532,,0,,0,,13,,0,,326,,25,,0,,168,
251.0,"Pennsylvania State U., Harrisburg",23,,135,,515,,0,,129,,0,,128,,129,,129,,0,,0,
252.0,Kent State U.,458,,517,,503,,0,,8,,88,,0,,40,,0,,298,,69,
253.0,Baylor U.,195,,332,,474,,104,,0,,0,,19,,242,,104,,0,,5,
254.0,Milwaukee School of Engineering,500,,606,,464,,0,,238,,0,,163,,0,,63,,0,,0,
255.0,Texas A&M U.-Corpus Christi,154,,175,,443,,0,,0,,87,,16,,0,,179,,0,,161,
256.0,"California State U., Northridge",558,,513,,431,,0,,0,,0,,0,,190,,241,,0,,0,
257.0,Bucknell U.,711,,652,,405,,0,,10,,110,,12,,103,,144,,0,,26,
258.0,Georgia Southern U.,100,,367,,402,,0,,0,,0,,103,,130,,169,,0,,0,
259.0,Santa Clara U.,677,,858,,398,,0,,12,,0,,0,,0,,285,,0,,101,
260.0,"U. Alaska, Anchorage",1127,,376,,393,,0,,0,,0,,117,,58,,64,,0,,154,
261.0,U. North Florida,839,,596,,380,,0,,0,,0,,133,,37,,1,,0,,209,
262.0,Western Washington U.,598,,324,,378,,0,,0,,362,,0,,0,,16,,0,,0,
263.0,"Union C., Schenectady",493,,828,,377,,0,,0,,0,,0,,73,,304,,0,,0,
264.0,Xavier U. Louisiana,84,,94,,369,,0,,0,,0,,0,,0,,0,,0,,369,
265.0,U. Wisconsin-Stevens Point,0,,0,i,349,i,0,i,0,i,0,i,0,i,0,i,0,i,121,i,228,i
266.0,"U. Oklahoma, Tulsa",ne,,ne,,347,,0,,0,,0,,0,,347,,0,,0,,0,
267.0,Central Michigan U.,125,,176,,339,,0,,92,,66,,0,,167,,0,,0,,14,
268.0,"California State U., Fullerton",229,,291,,334,,0,,0,,0,,37,,183,,114,,0,,0,
268.0,Western Kentucky U.,3,,77,,334,,0,,0,,0,,334,,0,,0,,0,,0,
270.0,Benedict C.,1090,,1010,,327,,0,,0,,0,,0,,327,,0,,0,,0,
270.0,"SUNY, C. of Environmental Science and Forestry",1550,i,1095,i,327,,0,,0,,250,,77,,0,,0,,0,,0,
272.0,Duquesne U.,0,,34,,317,,0,,317,,0,,0,,0,,0,,0,,0,
273.0,"SUNY, Farmingdale State C.",1896,,582,,308,,0,,0,,0,,0,,0,,0,,308,,0,
274.0,Lafayette C.,374,,387,,305,,0,,0,,135,,166,,0,,4,,0,,0,
275.0,Youngstown State U.,82,,466,,300,,0,,0,,0,,10,,0,,290,,0,,0,
276.0,Pittsburg State U.,592,,797,,296,,18,,0,,277,,0,,1,,0,,0,,0,
277.0,U. Oregon,47,,45,,286,,0,,0,,0,,286,,0,,0,,0,,0,
278.0,Swarthmore C.,26,,150,,280,,0,,0,,0,,230,,50,,0,,0,,0,
279.0,Harvey Mudd C.,381,,214,,262,,0,i,20,i,40,i,15,i,115,i,49,i,6,i,17,i
280.0,Seattle U.,ne,,208,,253,,0,,27,,0,,0,,149,,77,,0,,0,
281.0,"U. Massachusetts, Boston",191,,120,,250,,0,,0,,0,,30,,220,,0,,0,,0,
282.0,"California State U., Chico",739,,400,,249,,0,,0,,0,,92,,21,,96,,0,,40,
283.0,U. Tampa,240,,278,,247,,0,,0,,247,,0,,0,,0,,0,,0,
284.0,"California State U., Long Beach",1948,,452,,237,,0,,0,,8,,15,,61,,0,,0,,153,
285.0,U. of the Incarnate Word,ne,,ne,,236,,0,,0,,0,,0,,0,,236,,0,,0,
286.0,San Francisco State U.,914,,514,,222,,0,,0,,0,,180,,32,,10,,0,,0,
287.0,U. del Turabo,293,,251,,221,,0,,0,,0,,0,,0,,0,,0,,221,
288.0,"Pennsylvania State U., Behrend",135,,146,,218,,0,,49,,0,,24,,48,,49,,48,,0,
289.0,"Indiana U.-Purdue U., Fort Wayne",432,,164,,217,,0,,0,,0,,0,,0,,123,,0,,94,
290.0,East Carolina U.,336,,292,,216,,0,,0,,0,,0,,122,,94,,0,,0,
291.0,Hope C.,29,,43,,209,,59,,0,,0,,0,,0,,0,,0,,150,
292.0,Northern Arizona U.,166,,171,,205,,0,,0,,16,,116,,0,,73,,0,,0,
293.0,Florida Polytechnic U.,na,,na,,203,,0,,0,,0,,0,,0,,0,,203,,0,
294.0,U. of the Pacific,90,,183,,201,,0,,36,,125,,0,,40,,0,,0,,0,
295.0,"CUNY, C. Staten Island",133,,117,,186,,0,,186,,0,,0,,0,,0,,0,,0,
296.0,U. New Haven,152,,338,i,180,,0,,0,,0,,0,,0,,0,,0,,180,
297.0,Bradley U.,758,,441,,179,,0,,0,,0,,159,,5,,15,,0,,0,
297.0,Missouri State U.,443,,191,,179,,0,,0,,0,,0,,0,,0,,0,,179,
297.0,U. South Dakota,219,,47,,179,,0,,179,,0,,0,,0,,0,,0,,0,
300.0,"U. Missouri, Kansas City",310,,257,,174,,0,,0,,0,,174,,0,,0,,0,,0,
301.0,Saginaw Valley State U.,153,,ne,,166,,0,,0,,0,,0,,0,,15,,151,,0,
301.0,U. Wisconsin-Oshkosh,0,i,230,i,166,i,0,i,0,i,0,i,0,i,78,i,42,i,0,i,46,i
303.0,"California State U., Fresno",278,,216,,165,,0,,0,,0,,52,,113,,0,,0,,0,
304.0,Franklin and Marshall C.,0,,0,,164,,0,,0,,0,,0,,0,,0,,0,,164,
305.0,Vassar C.,144,,87,,151,,35,,61,,0,,0,,0,,0,,0,,55,
306.0,U. Houston-Downtown,0,,0,,146,,0,,0,,0,,0,,0,,0,,0,,146,
307.0,Middle Tennessee State U.,68,,75,,137,,58,,0,,0,,0,,0,,0,,71,,8,
307.0,"Rutgers, State U. New Jersey, Newark",156,,53,,137,,0,,8,,0,,8,,0,,76,,0,,45,
309.0,"U. North Carolina, general administration",ne,,ne,,135,,0,,35,,0,,0,,0,,0,,0,,100,
310.0,"U. Missouri, Saint Louis",0,,26,,130,,0,,0,,0,,130,,0,,0,,0,,0,
311.0,Fayetteville State U.,132,,128,,128,,0,,0,,0,,0,,0,,0,,0,,128,
311.0,Lamar U.,1129,,840,,128,,0,,0,,70,,12,,0,,1,,0,,45,
313.0,"California State U., San Marcos",48,,11,,121,,0,,0,,0,,121,,0,,0,,0,,0,
313.0,Eastern Michigan U.,144,,174,,121,,0,,0,,0,,0,,0,,0,,121,,0,
315.0,"Minnesota State U., Mankato",82,,91,,116,,0,,0,,0,,0,,0,,116,,0,,0,
316.0,Indiana State U.,77,,92,,111,,0,,0,,0,,0,,0,,111,,0,,0,
316.0,U. Wisconsin-Green Bay,130,i,121,i,111,i,0,i,0,i,0,i,0,i,22,i,69,i,0,i,20,i
318.0,Central Connecticut State U.,64,,62,,110,,110,,0,,0,,0,,0,,0,,0,,0,
319.0,U. Metropolitana,0,,0,,105,,0,,0,,0,,0,,0,,0,,0,,105,
320.0,Central State U.,90,,117,,91,,16,,0,,0,,13,,57,,0,,0,,5,
320.0,Florida Gulf Coast U.,485,,152,,91,,0,,0,,0,,0,,0,,0,,0,,91,
322.0,"California State U., San Bernardino",270,,0,,88,,0,,0,,0,,88,,0,,0,,0,,0,
323.0,Suffolk U.,0,,47,,79,,0,,0,,0,,0,,79,,0,,0,,0,
324.0,"U. Texas, Permian Basin",0,,151,,75,,0,,0,,0,,0,,0,,0,,0,,75,
325.0,Spelman C.,0,,72,,72,,0,,0,,0,,72,,0,,0,,0,,0,
326.0,"CUNY, Advanced Science Research Center",na,,na,,70,,0,,0,,0,,70,,0,,0,,0,,0,
327.0,U. Wisconsin-Platteville,ne,,80,i,63,i,0,i,0,i,0,i,4,i,0,i,43,i,3,i,13,i
328.0,"Trinity C., Hartford",104,,98,,54,,0,,54,,0,,0,,0,,0,,0,,0,
329.0,Savannah State U.,17,,61,,53,,0,,0,,0,,0,,0,,0,,0,,53,
330.0,East Central U.,ne,,0,,52,,0,,0,,0,,0,,0,,0,,0,,52,
331.0,Clark Atlanta U.,5,,56,,51,,0,,0,,0,,0,,0,,0,,0,,51,
332.0,Christopher Newport U.,0,,0,,50,,0,,0,,0,,50,,0,,0,,0,,0,
333.0,Loyola Marymount U.,213,,86,,47,,0,,0,,0,,47,,0,,0,,0,,0,
333.0,McNeese State U.,6,,22,,47,,0,,0,,28,,0,,0,,19,,0,,0,
335.0,U. San Diego,83,,66,,44,,0,,0,,0,,0,,0,,0,,0,,44,
336.0,U. Detroit Mercy,ne,,138,,42,,0,,0,,0,,42,,0,,0,,0,,0,
337.0,Texas Southern U.,99,,88,,40,,22,,0,,0,,0,,0,,0,,0,,18,
338.0,Norwich U.,190,,54,,36,,14,,0,,0,,22,,0,,0,,0,,0,
339.0,Elon U.,0,,32,,34,,0,,0,,0,,0,,0,,0,,0,,34,
340.0,Grand Valley State U.,118,,151,,32,,0,,0,,0,,0,,32,,0,,0,,0,
341.0,West Virginia State U.,201,,0,,29,,0,,29,,0,,0,,0,,0,,0,,0,
342.0,Quinnipiac U.,30,i,ne,,27,i,0,i,0,i,0,i,9,i,0,i,18,i,0,i,0,i
343.0,"U. Texas, Tyler",317,,3,,23,,0,,0,,0,,23,,0,,0,,0,,0,
344.0,"U. North Carolina, Wilmington",105,,184,,22,,0,,0,,0,,6,,16,,0,,0,,0,
345.0,Gonzaga U.,75,,55,,20,,0,,0,,0,,20,,0,,0,,0,,0,
345.0,Kentucky State U.,0,,3,,20,,20,,0,,0,,0,,0,,0,,0,,0,
347.0,"U. Maryland, Eastern Shore",54,,259,,19,,0,,0,,0,,0,,0,,19,,0,,0,
348.0,California Maritime Academy,1257,,122,,15,,0,,0,,0,,0,,0,,0,,0,,15,
349.0,"U. Alaska, Southeast",17,,27,,14,,14,,0,,0,,0,,0,,0,,0,,0,
349.0,Western Carolina U.,109,,38,,14,,0,,0,,0,,0,,8,,6,,0,,0,
351.0,Texas Christian U.,130,,97,,13,,0,,0,,0,,13,,0,,0,,0,,0,
352.0,U. Southern Mississippi,146,,65,,10,,0,,0,,0,,0,,0,,0,,0,,10,
352.0,"U. Texas, Brownsville",31,,71,,10,,0,,0,,0,,0,,0,,0,,0,,10,
354.0,Bates C.,12,,4,,8,,0,,0,,0,,0,,8,,0,,0,,0,
354.0,Fairfield U.,3,,6,,8,,0,,0,,0,,0,,0,,0,,0,,8,
354.0,Gallaudet U.,46,,47,,8,,0,,0,,0,,0,,0,,0,,0,,8,
357.0,"CUNY, Medgar Evers C.",0,,76,,3,,0,,3,,0,,0,,0,,0,,0,,0,
358.0,U. West Florida,0,,1,,2,,0,,0,,0,,0,,0,,0,,0,,2,
359.0,"Oklahoma State U., Center for Health Sciences",0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,
359.0,Trinity U.,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,
359.0,Western Illinois U.,686,,93,,1,,0,,0,,0,,0,,0,,0,,1,,0,
,All other surveyed institutions,32949,,954,,0,,0,,0,,0,,0,,0,,0,,0,,0,
