Field,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
All R&D fieldsa,18736599,20349436,22012891,23845845,23778509,24508418,25588929,27569563,29238643,30790922
Science,14839829,16003317,17367500,18673331,18242750,18584798,19419474,20858489,22393276,23624344
Computer sciences,424572,404851,435018,493568,463711,448205,461888,516217,537242,542944
Environmental sciences,833101,873884,970834,1032987,978098,971986,969520,1100731,1179489,1182038
Atmospheric sciences,100977,91684,85335,94587,90667,97535,87634,95840,112276,120899
Earth sciences,305785,309560,347460,374356,349906,342747,350161,396014,418974,413734
Oceanography,278514,320774,365030,365876,354926,343777,351508,389164,408852,403158
"Environmental sciences, nec",147825,151866,173009,198168,182599,187927,180217,219713,239387,244247
Life sciences,10523827,11478799,12533706,13456150,13248070,13676038,14448435,15340577,16691401,17632955
Agricultural sciences,1913578,2016151,2133075,2192134,2029712,2075262,2163513,2243136,2306317,2375833
Biological sciences,2802240,3018885,3398797,3524454,3357133,3642672,3870913,4077022,4467939,4603539
Medical sciences,5367676,5990490,6505457,7171918,7199145,7213813,7648935,8167221,8968163,9598242
"Life sciences, nec",440333,453273,496377,567644,662080,744291,765074,853198,948982,1055341
Mathematical sciences,157901,164462,172455,178185,176469,181494,183911,206209,216495,216821
Physical sciences,1113616,1174390,1188880,1319680,1238653,1241583,1235390,1335765,1460458,1595064
Astronomy,152532,162059,186001,190501,167275,174884,171364,158341,186141,269813
Chemistry,446177,484692,494446,545130,550102,539845,535386,569014,643525,663019
Physics,395731,396045,391733,509085,440710,448053,453216,529127,546157,585173
"Physical sciences, nec",119176,131594,116700,74964,80566,78801,75424,79283,84635,77059
Psychology,246388,269124,290212,316123,319791,323751,319788,351865,390691,420839
Social sciences,993375,1040415,1133696,1226214,1096095,1116108,1137885,1275652,1295900,1402219
Economics,219484,224913,271045,258178,222412,238465,239073,271034,291239,310348
Political science,210053,213499,214324,231605,221961,222079,248793,284149,281279,323621
Sociology,183248,190867,200607,206570,193822,200665,213272,244815,253435,262471
"Social sciences, nec",380590,411136,447720,529861,457900,454899,436747,475654,469947,505779
"Sciences, nec",547049,597392,642699,650424,721863,625633,662657,731473,621600,631464
Engineering,2787292,3061420,3232661,3613527,3605972,3757221,3841240,4234478,4553024,4614411
Aeronautical and astronautical engineering,97676,130995,137873,182439,168243,163221,160722,176419,187807,218064
Bioengineering and biomedical engineering,182289,218329,237764,262563,273912,301959,319476,327838,344771,397409
Chemical engineering,240012,276620,314560,336116,399771,422986,398860,431870,435514,451984
Civil engineering,523691,506663,539287,580171,645843,663600,662641,718581,678907,717312
Electrical engineering,539312,571924,593766,644353,676521,695435,709749,766053,737437,721448
Mechanical engineering,362790,430765,425208,443007,505463,524252,514600,586373,557757,558101
Metallurgical and materials engineering,257097,255310,269644,298970,274502,283170,295721,346583,708660,599572
"Engineering, nec",584425,670814,714559,865908,661717,702598,779471,880761,902171,950521
Non-S&Ea,1109478,1284699,1412730,1558987,1929787,2166399,2328215,2476596,2292343,2552167
Business and management,194766,221668,264613,276460,282021,300663,346425,380879,405750,501547
"Communications, journalism, and library science",54869,59834,60551,77875,88567,100461,106593,97841,112523,126021
Education,382580,432043,419977,441405,458329,488581,544896,554874,582553,649426
Humanities,161047,181612,190623,195041,205168,251584,271940,309950,327010,370253
Law,41126,45219,62431,84760,78726,97375,106954,150957,124979,150080
Social work,49308,52883,64821,76384,82907,88995,89949,100638,116873,113725
Visual and performing arts,42496,42143,55563,68674,61576,70823,74177,80728,86761,92107
"Non-S&E, nec",183285,249187,294023,338388,672493,767917,787281,800729,535894,549008
