Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
All institutions,30908742,,31240581,,32100859,,33442570,,37475234,,40765887,,40140077,,39443574,,37960992,,37876879,,,-1
1.0,Johns Hopkins U.a,1319214,,1374029,,1463709,,1597205,,1737261,,1884025,,1857580,,1898927,,1950016,,1992837.0,,0
2.0,"U. Washington, Seattle",,,,,,,,,829885,,948976,,909652,,928193,,909034,,906768.0,,0
3.0,"U. Michigan, Ann Arbor",,,,,,,,,747778,,820125,,791729,,814167,,742160,,735447.0,,0
4.0,Stanford U.,542316,,537232,,511649,,481439,,593016,,656114,,636348,,652472,,637730,,675930.0,,0
5.0,U. Pennsylvania,488902,,460258,,493435,,509689,,642180,,707051,,669970,,636589,,620396,,611620.0,,0
6.0,"U. California, San Diego",463913,,475821,,491160,,511790,,580279,,636879,,656891,,632593,,599095,,603343.0,,0
7.0,Columbia U. in the City of New York,451187,,459748,,461029,,491837,,572213,,645233,,645573,,635987,,608588,,592545.0,,0
8.0,"U. North Carolina, Chapel Hill",330201,,347958,,374295,,433896,,545993,,600843,,606348,,623237,,610664,,585758.0,,0
9.0,"U. Pittsburgh, Pittsburgh",426257,,446151,,459230,,467465,,594675,,662471,,637857,,622232,,582136,,561210.0,,0
10.0,Duke U.,414859,,459605,,452200,,439187,,514084,,585262,,587268,,581695,,557969,,559217.0,,0
11.0,Georgia Institute of Technology,259139,,261127,,281829,,323738,,372122,,427867,,484212,,522134,,512015,,551084.0,,0
12.0,Harvard U.,443065,,419113,,418765,,426813,,474899,,543097,,589860,,594392,,572918,,545202.0,,0
13.0,"U. California, San Francisco",464660,,467402,,472642,,483667,,514693,,570116,,559329,,566117,,544697,,535457.0,,0
14.0,U. Wisconsin-Madison,513120,,489986,,481259,,514875,,545189,,593633,,580661,,555875,,548388,,533286.0,,0
15.0,"Pennsylvania State U., University Park and Hershey Medical Center",,,,,,,,,464750,,468705,,531421,,558871,,520574,,513410.0,,0
16.0,"U. California, Los Angeles",492626,,498742,,480779,,477817,,538521,,563560,,539054,,501368,,465170,,489404.0,,0
17.0,Massachusetts Institute of Technology,481471,,482014,,501531,,539160,,457575,,489080,,496132,,490809,,483891,,488421.0,,0
18.0,Yale U.,349969,,350933,,376314,,380576,,475794,,519844,,518184,,503227,,480384,,477143.0,,0
19.0,"U. Minnesota, Twin Cities",,,,,,,,,426359,,489480,,485462,,494206,,489767,,476029.0,,0
20.0,Cornell U.,391130,,368468,,359407,,363695,,448085,,476583,,472673,,445116,,439770,,446360.0,,0
21.0,Ohio State U.,319606,,316763,,341257,,349863,,399942,,493130,,445635,,456590,,454484,,446048.0,,0
22.0,"Washington U., Saint Louis",411660,,426659,,395643,,415234,,468642,,469490,,441406,,411299,,419122,,432228.0,,0
23.0,U. Southern California,341966,,359306,,351761,,378391,,408564,,453283,,443842,,437813,,431430,,421227.0,,0
24.0,Vanderbilt U.,308597,,323504,,347415,,353587,,397656,,458173,,448948,,445044,,422448,,401738.0,,0
25.0,Northwestern U.,254472,,253338,,269026,,305306,,360980,,399719,,393074,,396138,,391946,,393186.0,,0
26.0,U. Colorado Boulder,227013,,228297,,228129,,248259,,292030,,323078,,330089,,319869,,314890,,353341.0,,0
27.0,Emory U.,268095,,271938,,291742,,295951,,336986,,369982,,361165,,365121,,330378,,348071.0,,0
28.0,"U. California, Berkeley",266130,,256147,,255005,,266554,,312789,,336191,,338759,,311809,,313390,,346262.0,,0
29.0,"U. Texas, Austin",294832,,314131,,351541,,335519,,350308,,355437,,354873,,372633,,332758,,346215.0,,0
30.0,New York U.,197621,,205547,,211756,,214206,,260463,,302221,,316208,,300730,,330484,,344570.0,,0
31.0,"U. Illinois, Urbana-Champaign",268877,,258149,,270908,,292522,,303852,,323454,,359989,,468798,,343275,,338178.0,,0
32.0,"U. Maryland, College Park",217797,,224385,,241224,,250895,,297896,,338780,,340180,,342778,,333409,,332393.0,,0
33.0,Icahn School of Medicine at Mt. Sinai,224911,,221397,,253319,,264914,,302770,,296835,,271722,,277517,,300667,,329641.0,,0
34.0,"U. Alabama, Birmingham",294259,,269943,,304107,,302697,,325103,,344164,,306210,,290082,,280333,,328531.0,,0
35.0,"U. California, Davis",248573,,257597,,269952,,297140,,332325,,362976,,358577,,347038,,330367,,326039.0,,0
36.0,"Rutgers, State U. New Jersey, New Brunswick",,,,,,,,,224894,,239908,,279161,,295028,,360157,,323675.0,,0
37.0,Case Western Reserve U.,311169,,309522,,306760,,313774,,333689,,353470,,359000,,349487,,329320,,308434.0,,0
38.0,"Texas A&M U., College Station and Health Science Center",214197,,237842,,257559,,272087,,288173,,291812,,269460,,314104,,311920,,304437.0,,0
39.0,Uniformed Services U. of the Health Sciences,39461,,37275,,67345,,124314,,72125,,117781,,102134,,119647,,213389,,299007.0,,0
40.0,U. Chicago,256442,,264461,,287164,,304575,,352728,,372288,,336125,,300718,,281464,,296402.0,,0
41.0,U. Florida,254350,,247721,,240366,,242964,,279649,,306349,,305067,,296199,,289327,,287230.0,,0
42.0,U. Utah,175089,,175034,,171913,,192489,,227021,,264234,,273150,,301045,,288514,,274375.0,,0
