Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources
,All institutions,45481635,,23392083,,3446703,,12231701.0,,2514856.0,,2389412.0,,1506880,
1.0,"U. Michigan, Ann Arbor",1369278,,735447,,1696,,497063.0,,60408.0,,58478.0,,16186,
2.0,"U. Washington, Seattle",1180563,,906768,,19617,,69690.0,,42081.0,,97136.0,,45271,
3.0,"U. California, San Francisco",1126620,,535457,,36907,,237843.0,,69101.0,,143974.0,,103338,
4.0,"U. California, San Diego",1101466,,603343,,41983,,185660.0,,84672.0,,77616.0,,108192,
5.0,U. Wisconsin-Madison,1069077,,533286,,68250,,371776.0,,23708.0,,47200.0,,24857,
6.0,"U. California, Los Angeles",1021227,,489404,,42674,,212532.0,,55613.0,,149027.0,,71977,
7.0,"U. North Carolina, Chapel Hill",966781,,585758,,26104,,246490.0,,28998.0,,62736.0,,16695,
8.0,"U. Minnesota, Twin Cities",880618,,476029,,54156,,273869.0,,25520.0,,10590.0,,40454,
9.0,"Texas A&M U., College Station and Health Science Center",866678,,304437,,180289,,247330.0,,71559.0,,44519.0,,18544,
10.0,"U. Pittsburgh, Pittsburgh",861205,,561210,,8330,,149256.0,,16531.0,,51596.0,,74282,
11.0,U. Texas M. D. Anderson Cancer Center,833406,,161171,,244316,,174431.0,,81076.0,,37030.0,,135382,
12.0,Ohio State U.,817881,,446048,,71902,,113918.0,,119272.0,,34977.0,,31764,
13.0,"Pennsylvania State U., University Park and Hershey Medical Center",791031,,513410,,44324,,162251.0,,33715.0,,35448.0,,1883,
14.0,"U. California, Berkeley",788505,,346262,,50655,,174007.0,,75480.0,,88823.0,,53278,
15.0,Georgia Institute of Technology,765370,,551084,,10250,,148060.0,,41092.0,,6330.0,,8554,
16.0,U. Florida,739522,,287230,,121694,,230025.0,,41375.0,,34958.0,,24240,
17.0,"U. California, Davis",721077,,326039,,59438,,202475.0,,40945.0,,44030.0,,48150,
18.0,"U. Texas, Austin",650608,,346215,,22261,,166856.0,,75268.0,,30577.0,,9431,
19.0,"U. Illinois, Urbana-Champaign",639817,,338178,,31518,,185060.0,,45550.0,,20993.0,,18518,
20.0,"Rutgers, State U. New Jersey, New Brunswick",628613,,323675,,79931,,148707.0,,23398.0,,41803.0,,11099,
21.0,U. Arizona,606219,,269959,,16498,,169197.0,,15558.0,,31305.0,,103702,
