Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All social sciences,Unnamed: 10,Economics,Unnamed: 12,Political science,Unnamed: 14,Sociology,Unnamed: 16,"Social sciences, nec",Unnamed: 18,shift
336.0,Central Washington U.,429,,413,,478,,135.0,,0.0,,0.0,,0.0,,135.0,,,0
337.0,"California State U., Stanislaus",29,,74,,256,,132.0,,0.0,,37.0,,95.0,,0.0,,,0
338.0,Shaw U.,0,i,ne,,0,i,130.0,i,39.0,i,27.0,i,64.0,i,0.0,i,,0
338.0,Skidmore C.,38,,16,,43,,130.0,,7.0,,0.0,,123.0,,0.0,,,0
340.0,Hamilton C.,8,,153,,219,,128.0,,14.0,,36.0,,25.0,,53.0,,,0
340.0,Northeast Ohio Medical U.,109,,150,,50,,128.0,,0.0,,0.0,,34.0,,94.0,,,0
340.0,"U. Puerto Rico, Mayaguez",203,,205,,105,,128.0,,45.0,,0.0,,83.0,,0.0,,,0
343.0,C. of Saint Benedict,ne,,85,,83,,127.0,,43.0,,41.0,,19.0,,24.0,,,0
344.0,U. Texas Pan American,179,,145,,154,,125.0,,34.0,,70.0,,1.0,,20.0,,,0
345.0,Indiana State U.,61,,15,,131,,124.0,,0.0,,0.0,,3.0,,121.0,,,0
345.0,Northern Kentucky U.,9,,6,,55,,124.0,,6.0,,4.0,,114.0,,0.0,,,0
347.0,"Indiana U.-Purdue U., Fort Wayne",506,,581,,179,,122.0,,0.0,,32.0,,6.0,,84.0,,,0
348.0,McNeese State U.,104,,131,,192,,121.0,,0.0,,0.0,,0.0,,121.0,,,0
348.0,Middlebury C.,701,,523,,141,,121.0,,38.0,,0.0,,83.0,,0.0,,,0
348.0,Missouri State U.,0,,7,,23,,121.0,,1.0,,11.0,,109.0,,0.0,,,0
351.0,Smith C.,139,,56,,96,,117.0,,38.0,,45.0,,34.0,,0.0,,,0
351.0,"U. Michigan, Dearborn",335,,167,,101,,117.0,,0.0,,0.0,,39.0,,78.0,,,0
353.0,Hawaii Pacific U.,276,,204,,189,,116.0,,0.0,,0.0,,116.0,,0.0,,,0
354.0,Duquesne U.,20,,0,,25,,115.0,,6.0,,100.0,,9.0,,0.0,,,0
354.0,East Tennessee State U.,49,,20,,70,,115.0,,0.0,,0.0,,115.0,,0.0,,,0
354.0,"Trinity C., Hartford",64,,154,,136,,115.0,,15.0,,71.0,,29.0,,0.0,,,0
354.0,"Wheaton C., Wheaton",14,,ne,,167,,115.0,,104.0,,0.0,,11.0,,0.0,,,0
358.0,Hope C.,8,,0,,0,,112.0,,0.0,,0.0,,12.0,,100.0,,,0
359.0,Colby C.,187,,145,,118,,110.0,,41.0,,39.0,,30.0,,0.0,,,0
360.0,"California State U., Dominguez Hills",667,,195,,146,i,109.0,,0.0,,0.0,,109.0,,0.0,,,0
361.0,"U. South Florida, Sarasota-Manatee",ne,,ne,,86,,108.0,,0.0,,0.0,,0.0,,108.0,,,0
