Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec",Unnamed: 18,shift
17.0,"U. Washington, Seattle",45080,,40950,,40468,,42099.0,,5501.0,,18329.0,,18269.0,,0.0,,,0
18.0,U. Chicago,51467,,48376,,44460,,40646.0,,13095.0,,12446.0,,10867.0,,4238.0,,,0
19.0,"U. California, Los Angeles",57106,,44486,,38433,,40432.0,,0.0,,12257.0,,28175.0,,0.0,,,0
20.0,Columbia U. in the City of New York,43386,,37918,,34451,,36690.0,,6714.0,,8251.0,,21725.0,,0.0,,,0
21.0,Georgia Institute of Technology,37163,,39898,,36109,,34650.0,,0.0,,20351.0,,14299.0,,0.0,,,0
22.0,"Pennsylvania State U., University Park and Hershey Medical Center",43790,,38459,,34370,,34649.0,,7379.0,,10710.0,,16560.0,,0.0,,,0
23.0,"U. California, San Francisco",10930,,8899,,14974,,34453.0,,0.0,,34434.0,,19.0,,0.0,,,0
24.0,"U. Michigan, Ann Arbor",33291,,32690,,32112,,33258.0,,3224.0,,16131.0,,13903.0,,0.0,,,0
25.0,Florida State U.,36699,,37695,,36299,,32199.0,,12.0,,11553.0,,20634.0,,0.0,,,0
26.0,"Rutgers, State U. New Jersey, New Brunswick",43609,,33113,,34787,,29475.0,,840.0,,19791.0,,8147.0,,697.0,,,0
27.0,Northwestern U.,32505,,31247,,27799,,29217.0,,0.0,,22568.0,,5312.0,,1337.0,,,0
28.0,"U. Minnesota, Twin Cities",27486,,35825,,33992,,28165.0,,1310.0,,12332.0,,14523.0,,0.0,,,0
29.0,Ohio State U.,26633,,25321,,25913,,27624.0,,1791.0,,10546.0,,15287.0,,0.0,,,0
30.0,Vanderbilt U.,22677,,21757,,24433,,26620.0,,0.0,,17630.0,,8990.0,,0.0,,,0
31.0,Yale U.,24959,,25940,,25799,,25884.0,,2259.0,,11172.0,,12453.0,,0.0,,,0
32.0,U. Pennsylvania,25456,,24667,,22250,,25196.0,,0.0,,9308.0,,15888.0,,0.0,,,0
33.0,U. Notre Dame,28724,,25719,,25859,,24991.0,,0.0,,13874.0,,11117.0,,0.0,,,0
34.0,"U. California, Irvine",25064,,25251,,24740,,24951.0,,0.0,,15560.0,,9391.0,,0.0,,,0
35.0,"U. California, Santa Barbara",28611,,31242,,26888,,24429.0,,1638.0,,7005.0,,15775.0,,11.0,,,0
36.0,Boston U.,29831,,23791,,24780,,22466.0,,1712.0,,5594.0,,13975.0,,1185.0,,,0
37.0,Washington State U.,15208,,16267,,18020,,21372.0,,193.0,,7341.0,,9036.0,,4802.0,,,0
38.0,"SUNY, Stony Brook U.",19931,,18726,,17710,,20707.0,,1081.0,,8406.0,,11220.0,,0.0,,,0
39.0,U. Central Florida,14087,,15356,,15867,,20406.0,,0.0,,2961.0,,17445.0,,0.0,,,0
40.0,"U. Massachusetts, Amherst",21754,,21934,,21059,,19630.0,,2122.0,,9061.0,,8447.0,,0.0,,,0
41.0,"Texas A&M U., College Station and Health Science Center",23586,,20469,,19278,,19560.0,,969.0,,8956.0,,8260.0,,1375.0,,,0
42.0,"U. North Carolina, Chapel Hill",25260,,27150,,21656,,19184.0,,0.0,,12986.0,,6198.0,,0.0,,,0
43.0,"Purdue U., West Lafayette",23604,,21251,,19346,,19180.0,,0.0,,9186.0,,9994.0,,0.0,,,0
44.0,"U. California, Davis",21315,,20068,,19563,,18697.0,,0.0,,7815.0,,7154.0,,3728.0,,,0
45.0,"U. Hawaii, Manoa",26414,,25629,,23525,,17525.0,,9170.0,,1508.0,,5730.0,,1117.0,,,0
46.0,"Indiana U., Bloomington",20002,,21021,,17373,,17523.0,,577.0,,8147.0,,8799.0,,0.0,,,0
47.0,Rice U.,19510,,22110,,19605,,16927.0,,0.0,,6778.0,,10149.0,,0.0,,,0
48.0,"U. Nebraska, Lincoln",15830,,14540,,14179,,16234.0,,0.0,,3871.0,,12363.0,,0.0,,,0
49.0,U. Iowa,19910,,19066,,16751,,16096.0,,1105.0,,3814.0,,11177.0,,0.0,,,0
50.0,"U. Pittsburgh, Pittsburgh",15979,,16155,,14616,,15790.0,,963.0,,6539.0,,8288.0,,0.0,,,0
51.0,"U. Virginia, Charlottesville",20612,,17802,,18963,,15461.0,,2226.0,,4831.0,,8404.0,,0.0,,,0
52.0,Duke U.,17399,,17610,,14977,,15056.0,,0.0,,5865.0,,9191.0,,0.0,,,0
53.0,Catholic U. of America,12888,,12585,,12767,,14557.0,,0.0,,449.0,,7588.0,,6520.0,,,0
54.0,U. Florida,20431,,18463,,15810,,14537.0,,1236.0,,5081.0,,8220.0,,0.0,,,0
55.0,North Carolina State U.,12064,,12013,,13156,,13908.0,,0.0,,4794.0,,7282.0,,1832.0,,,0
56.0,U. Utah,16014,,14727,,13580,,13629.0,,0.0,,8972.0,,4657.0,,0.0,,,0
57.0,U. Delaware,15614,,14189,,12687,,13100.0,,1475.0,,7014.0,,4611.0,,0.0,,,0
58.0,"U. California, Santa Cruz",15358,,14680,,12614,,12994.0,,2631.0,,5351.0,,5012.0,,0.0,,,0
59.0,New York U.,13739,,11635,,10952,,12485.0,,0.0,,8139.0,,4346.0,,0.0,,,0
60.0,Carnegie Mellon U.,10924,,10850,,10909,,12389.0,,0.0,,3245.0,,5945.0,,3199.0,,,0
61.0,U. Kansas,13841,,15034,,13081,,12384.0,,619.0,,9012.0,,2753.0,,0.0,,,0
62.0,"Montana State U., Bozeman",18547,,14958,,13486,,12226.0,,0.0,,7259.0,,4967.0,,0.0,,,0
63.0,Northeastern U.,13767,,15203,,13565,,12211.0,,0.0,,5194.0,,7017.0,,0.0,,,0
64.0,Emory U.,9703,,11163,,10126,,12080.0,,0.0,,11200.0,,880.0,,0.0,,,0
65.0,Brown U.,14960,,9204,,12321,,11666.0,,0.0,,2657.0,,3772.0,,5237.0,,,0
66.0,"U. California, Riverside",12815,,10865,,10208,,11609.0,,0.0,,5808.0,,5801.0,,0.0,,,0
67.0,"Washington U., Saint Louis",13732,,12400,,10765,,11560.0,,0.0,,6175.0,,5385.0,,0.0,,,0
68.0,"Louisiana State U., Baton Rouge",13088,,12493,,12964,,11552.0,,0.0,,3778.0,,7723.0,,51.0,,,0
69.0,"U. Tennessee, Knoxville",14137,,13082,,13507,,11421.0,,0.0,,4503.0,,6918.0,,0.0,,,0
70.0,Arizona State U.,20843,,15009,,14247,,11225.0,,0.0,,6978.0,,4247.0,,0.0,,,0
71.0,Naval Postgraduate School,10781,,8147,,10432,,11103.0,,0.0,,496.0,,10208.0,,399.0,,,0
72.0,U. Oregon,17281,,16251,,14581,,11068.0,,0.0,,5382.0,,5686.0,,0.0,,,0
73.0,"U. Massachusetts, Lowell",8668,,8875,,10311,,10573.0,,0.0,,2664.0,,7909.0,,0.0,,,0
74.0,New Mexico State U.,10787,,9001,,5194,,9723.0,,2006.0,,5570.0,,2147.0,,0.0,,,0
75.0,"U. Oklahoma, Norman and Health Science Center",10296,,10448,,8156,,9636.0,,0.0,,6584.0,,3052.0,,0.0,,,0
76.0,Georgia State U.,5355,,5851,,6159,,9289.0,,661.0,,4554.0,,4074.0,,0.0,,,0
77.0,U. Rochester,12550,,11895,,10269,,9086.0,,0.0,,4307.0,,4779.0,,0.0,,,0
78.0,Wayne State U.,9575,,7969,,8153,,8929.0,,0.0,,6551.0,,2378.0,,0.0,,,0
79.0,"Colorado State U., Fort Collins",9493,,9729,,8912,,8571.0,,0.0,,5216.0,,3355.0,,0.0,,,0
80.0,"SUNY, U. Buffalo",9943,,10761,,9523,,8097.0,,0.0,,4943.0,,3154.0,,0.0,,,0
81.0,Temple U.,6173,,7814,,7906,,8072.0,,0.0,,3296.0,,4776.0,,0.0,,,0
82.0,U. Southern California,10931,,9454,,8974,,8000.0,,27.0,,5855.0,,2118.0,,0.0,,,0
83.0,Syracuse U.,6710,,5962,,6958,,7868.0,,0.0,,1162.0,,6706.0,,0.0,,,0
84.0,"U. South Carolina, Columbia",7611,,7026,,7016,,7832.0,,0.0,,4609.0,,3223.0,,0.0,,,0
85.0,U. New Mexico,10526,,9168,,8410,,7822.0,,0.0,,2506.0,,5316.0,,0.0,,,0
86.0,U. Texas M. D. Anderson Cancer Center,7643,,8784,,5934,,7789.0,,0.0,,0.0,,7789.0,,0.0,,,0
87.0,"U. Illinois, Chicago",10383,,8674,,7494,,7743.0,,0.0,,3666.0,,4077.0,,0.0,,,0
88.0,"U. Puerto Rico, Rio Piedras",10543,,8631,,7153,,7678.0,,0.0,,4739.0,,2454.0,,485.0,,,0
89.0,U. Wisconsin-Milwaukee,7048,,7617,,7451,,7675.0,,0.0,,3110.0,,4565.0,,0.0,,,0
90.0,U. Connecticut,7253,,6305,,7212,,7649.0,,0.0,,3443.0,,4206.0,,0.0,,,0
91.0,Howard U.,2834,,1897,,1228,,7599.0,,0.0,,7217.0,,382.0,,0.0,,,0
92.0,Dartmouth C.,7125,,7526,,7501,,7553.0,,0.0,,2829.0,,4724.0,,0.0,,,0
93.0,Rochester Institute of Technology,6463,,6453,,7097,,7380.0,,0.0,,314.0,,2379.0,,4687.0,,,0
94.0,"U. Texas, Dallas",7890,,7375,,6944,,7334.0,,4216.0,,1043.0,,1253.0,,822.0,,,0
95.0,Virginia Polytechnic Institute and State U.,10320,,10017,,7946,,7091.0,,0.0,,3614.0,,3337.0,,140.0,,,0
96.0,Kansas State U.,9791,,9259,,7450,,6919.0,,0.0,,1893.0,,5026.0,,0.0,,,0
97.0,Case Western Reserve U.,6704,,8049,,7422,,6705.0,,173.0,,2923.0,,3609.0,,0.0,,,0
98.0,North Dakota State U.,11333,,7760,,6714,,6620.0,,0.0,,5243.0,,343.0,,1034.0,,,0
99.0,Iowa State U.,11380,,7901,,8317,,6581.0,,0.0,,3382.0,,3199.0,,0.0,,,0
100.0,"CUNY, City C.",8702,,7532,,7157,,6578.0,,0.0,,3991.0,,2587.0,,0.0,,,0
101.0,Jackson State U.,14393,,13065,,6231,,6531.0,,0.0,,4510.0,,2021.0,,0.0,,,0
102.0,Brandeis U.,6949,,7072,,6662,,6525.0,,0.0,,1666.0,,4859.0,,0.0,,,0
103.0,"U. Alaska, Fairbanks",7965,,9495,,8647,,6425.0,,6262.0,,163.0,,0.0,,0.0,,,0
104.0,U. Southern Mississippi,8534,,7434,,6368,,6350.0,,0.0,,5715.0,,352.0,,283.0,,,0
105.0,Rensselaer Polytechnic Institute,9113,,6881,,6014,,6242.0,,0.0,,2301.0,,3941.0,,0.0,,,0
106.0,West Virginia U.,5475,,5100,,5149,,6221.0,,0.0,,1226.0,,4995.0,,0.0,,,0
107.0,U. Mississippi,11471,,10404,,8714,,6186.0,,0.0,,1435.0,,4751.0,,0.0,,,0
108.0,U. Miami,3368,,4110,,4574,,6159.0,,0.0,,1429.0,,4730.0,,0.0,,,0
109.0,"U. Texas, Arlington",5625,,4994,,5934,,6091.0,,0.0,,1192.0,,4867.0,,32.0,,,0
110.0,Fisk U.,4058,,4724,i,6409,,5918.0,i,0.0,i,0.0,i,5918.0,i,0.0,i,,0
111.0,"U. Alabama, Huntsville",6177,,5628,,5361,,5832.0,,4366.0,,9.0,,1391.0,,66.0,,,0
112.0,Virginia Commonwealth U.,5295,,8007,,6832,,5785.0,,0.0,,4624.0,,1161.0,,0.0,,,0
113.0,Illinois Institute of Technology,4394,,4515,,4915,,5688.0,,435.0,,221.0,,4904.0,,128.0,,,0
114.0,Tufts U.,5794,,5652,,5486,,5668.0,,0.0,,4215.0,,1453.0,,0.0,,,0
115.0,"U. Missouri, Columbia",5915,,6444,,5960,,5503.0,,0.0,,3319.0,,2184.0,,0.0,,,0
116.0,U. Toledo,5568,,4539,,5309,,5406.0,,697.0,,2263.0,,2446.0,,0.0,,,0
117.0,"U. Arkansas, Fayetteville",6106,,4068,,5370,,5371.0,,208.0,,2521.0,,2642.0,,0.0,,,0
118.0,Colorado School of Mines,5569,,6113,,5266,,5343.0,,0.0,,1998.0,,3345.0,,0.0,,,0
119.0,"U. Nevada, Las Vegas",5828,,4855,,5217,,5296.0,,0.0,,2385.0,,2911.0,,0.0,,,0
120.0,C. of William and Mary and Virginia Institute of Marine Science,7191,,5572,,6838,,5295.0,,0.0,,110.0,,5185.0,,0.0,,,0
121.0,U. Kentucky,5542,,5257,,5179,,5253.0,,0.0,,2246.0,,3007.0,,0.0,,,0
122.0,Boston C.,7482,,6246,,5976,,5202.0,,0.0,,3658.0,,1544.0,,0.0,,,0
123.0,U. Georgia,6596,,5944,,5762,,5148.0,,0.0,,3056.0,,2092.0,,0.0,,,0
124.0,Old Dominion U.,4832,,4645,,5705,,5140.0,,0.0,,1727.0,,3413.0,,0.0,,,0
125.0,U. Rhode Island,5925,,6072,,3235,,4905.0,,0.0,,4407.0,,159.0,,339.0,,,0
126.0,"U. Maryland, Baltimore County",5635,,5273,,6147,,4873.0,,0.0,,2527.0,,2346.0,,0.0,,,0
127.0,Hampton U.,9101,,6715,,4064,,4769.0,,0.0,,119.0,,4650.0,,0.0,,,0
128.0,Ohio U.,5145,,4893,,3657,,4759.0,,0.0,,1493.0,,3006.0,,260.0,,,0
129.0,U. Houston,5663,,6040,,5623,,4731.0,,0.0,,2173.0,,2558.0,,0.0,,,0
130.0,Clemson U.,4540,,5925,,4804,,4655.0,,0.0,,1925.0,,2721.0,,9.0,,,0
131.0,Florida International U.,3677,,4184,,4067,,4601.0,,0.0,,2488.0,,2113.0,,0.0,,,0
132.0,"U. Nevada, Reno",6606,,5806,,4986,,4547.0,,0.0,,435.0,,3415.0,,697.0,,,0
133.0,Air Force Institute of Technology,4521,,4988,,5067,,4471.0,,0.0,,0.0,,4471.0,,0.0,,,0
134.0,"U. South Florida, Tampa",4476,,5562,,4609,,4443.0,,0.0,,1882.0,,2299.0,,262.0,,,0
135.0,Rockefeller U.,4247,,2576,,3391,,4382.0,,0.0,,4065.0,,317.0,,0.0,,,0
136.0,"U. Texas, El Paso",2775,,3317,,3136,,4211.0,,0.0,,2113.0,,966.0,,1132.0,,,0
137.0,Xavier U. Louisiana,4020,,3133,,4084,,4177.0,,0.0,,3936.0,,0.0,,241.0,,,0
