Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
51.0,U. Chicago,305301,,322488,,357278,,377652,,432943,,446512,,411864,,389900,,378322,,408215.0,,0
52.0,Arizona State U.,201955,,224352,,259503,,281588,,296458,,323567,,344611,,367277,,380581,,403708.0,,0
53.0,U. Colorado Boulder,250255,,259624,,261123,,288388,,335983,,372034,,373512,,369663,,362882,,403654.0,,0
54.0,U. Colorado Denver and Anschutz Medical Campus,258030,,261580,,266525,,352902,,376917,,407517,,422844,,400815,,401230,,400515.0,,0
55.0,Case Western Reserve U.,369264,,372374,,416077,,415539,,417805,,428206,,430246,,422041,,417436,,400167.0,,0
56.0,Scripps Research Institute,367375,,360511,,366047,,382275,,387298,,400768,,398673,,399899,,386231,,384161.0,,0
57.0,"U. Maryland, Baltimore",405260,,358851,,379407,,359542,,355910,,391685,,414754,,412387,,390682,,379465.0,,0
58.0,Boston U.,255615,,249279,,255022,,280814,,344687,,348593,,330247,,359312,,353850,,372267.0,,0
59.0,"SUNY, U. Buffalo",297909,,314837,,329720,,338283,,337976,,337783,,340930,,371387,,370083,,367133.0,,0
60.0,U. Miami,213516,,210534,,241775,,248029,,278664,,321830,,361772,,338568,,342852,,362150.0,,0
61.0,Uniformed Services U. of the Health Sciences,67716,,71307,,106179,,192268,,134126,,175365,,143250,,164232,,262489,,361173.0,,0
62.0,California Institute of Technology,270269,,285488,,272881,,342455,,359245,,374636,,374075,i,333548,i,358137,,350833.0,,0
63.0,U. Rochester,366658,,373247,,375218,,395358,,412704,,428144,,388401,,382399,,347161,,344921.0,,0
64.0,"U. Illinois, Chicago",332176,,342421,,335138,,341655,,355581,,373750,,381918,,358797,,339644,,344619.0,,0
65.0,"U. Virginia, Charlottesville",,,,,,,,,271843,,377757,,363569,,366103,,337732,,339813.0,,0
66.0,U. Georgia,323843,,332612,,350299,,349730,,274380,,300388,,311498,,308486,,313445,,330273.0,,0
67.0,U. Kentucky,323958,,331606,,329354,,351943,,350857,,364175,,354132,,332366,,322313,,325558.0,,0
68.0,Oregon Health and Science U.,272174,,287430,,301396,,309675,,314990,,334324,,305360,,307134,,313112,,325268.0,,0
69.0,Rockefeller U.,215417,,233917,,247505,,252478,,265750,,272491,,292896,,298474,,316368,,323932.0,,0
70.0,"U. California, Irvine",300229,,309554,,324552,,325493,,311105,,328870,,335874,,329500,,322315,,313798.0,,0
71.0,"U. Hawaii, Manoa",249635,,266447,,271835,,290707,,303085,,318316,,312311,,326402,,319818,,313046.0,,0
72.0,"Colorado State U., Fort Collins",253992,,288497,,295235,,304397,,291621,,321130,,335336,,303461,,300572,,308785.0,,0
73.0,Washington State U.,196391,,210010,,276806,,285595,,285120,,299905,,288693,,273037,,287942,i,306989.0,,0
74.0,Yeshiva U.,189416,,192199,,197311,,193010,,314240,,281334,,289027,,271166,,306826,,306174.0,,0
75.0,Iowa State U.,221998,,217158,,224368,,224311,,243890,,261016,,252675,,259320,,297293,,295635.0,,0
76.0,"SUNY, Polytechnic Institute",na,,na,,na,,na,,na,,na,,na,,na,,412851,,295313.0,,0
77.0,Brown U.,157926,,152619,,157670,,161650,,201116,,223455,,234906,,222945,,291917,i,286332.0,i,0
78.0,"Louisiana State U., Baton Rouge",251115,,260924,,273001,,285699,,280432,,281221,,279019,,276748,,282462,,274001.0,,0
79.0,Princeton U.,188165,,188732,,194757,,200580,,231862,,255483,,264980,,264998,,287730,,272379.0,,0
80.0,"U. Nebraska, Lincoln",215850,,216032,,229761,,235492,,180544,,220141,,238471,,245170,,254879,,260152.0,,0
81.0,U. Kansas,195947,,202129,,215364,,225856,,251992,,248076,,256310,,267050,,251186,,257766.0,,0
82.0,U. Connecticut,215184,,224679,,225904,,225217,,230387,,247252,,250468,,236126,,247379,,251621.0,,0
83.0,"U. Massachusetts, Medical School",156452,,157469,,178614,,204033,,232039,,262714,,256090,,245923,,241869,,250338.0,,0
84.0,Medical U. South Carolina,176055,,184624,,189369,,216778,,224632,,213346,,236586,,245451,,242594,,243534.0,,0
85.0,"U. Missouri, Columbia",215240,,228654,,244639,,245058,,133120,,130269,,234975,,232760,,233613,,243430.0,,0
86.0,Oregon State U.,189606,,189368,,188056,,209061,,215400,,227752,,239571,,231342,,229456,,242874.0,,0
87.0,Carnegie Mellon U.,212506,,197143,,210619,,217667,,221376,,240956,,254992,,270898,,250497,,241829.0,,0
88.0,Florida State U.,185633,,189565,,182314,,195244,,208834,,216869,,208005,,224425,,231390,,237427.0,,0
89.0,"U. Texas Health Science Center, Houston",175154,,191724,,197252,,217623,,240772,,261172,,236250,,233256,,233737,,234299.0,,0
90.0,"U. Oklahoma, Norman and Health Science Center",178719,,176825,,192070,,197836,,201187,,223828,,217177,,220916,,227104,,227568.0,,0
91.0,George Washington U.,113982,,126110,,157145,,99945,,189113,,189427,,187652,,192152,,213334,,226132.0,,0
92.0,U. New Mexico,181223,,177430,,197630,,201769,,207906,,217206,,216218,,220840,,221817,,224321.0,,0
93.0,"SUNY, Stony Brook U.",234635,,268282,,189968,,188472,,201846,,206207,,218209,,224030,,210301,,219485.0,,0
94.0,Mississippi State U.,189917,,206207,,210951,,216936,,223032,,217793,,222320,,197359,,200251,,216817.0,,0
95.0,Woods Hole Oceanographic Institution,121888,,137410,,150720,,157289,,181746,,198775,,204352,,198232,,220016,,216592.0,,0
96.0,"U. California, Santa Barbara",174429,,191204,,203719,,215728,,217952,,217877,,222916,,225976,,225614,,213537.0,,0
97.0,Temple U.,79736,,85394,,92486,,101864,,115543,,122663,,126288,,207190,,206556,,210371.0,,0
98.0,Wayne State U.,220731,,235186,,249210,,251854,,248753,,252620,,221666,,217984,,213253,,207830.0,,0
99.0,Dartmouth C.,200277,,192846,,186938,,189351,,193608,,210274,,195251,,198995,,204360,,203660.0,,0
100.0,Medical C. Wisconsin,147140,,158171,,165529,,176237,,191816,,215358,,209040,,201237,,199713,,199283.0,,0
101.0,"U. Massachusetts, Amherst",135272,,141351,,152884,,156216,,164850,,176545,,178207,,172217,,183210,,197183.0,,0
102.0,Virginia Commonwealth U.,149256,,134453,,148655,,150989,,176422,,185566,,179310,,175880,,177540,,196412.0,,0
103.0,"U. South Carolina, Columbia",,,,,,,,,218771,,196820,,186559,,178800,,181363,,181742.0,,0
104.0,Kansas State U.,123746,,123900,,137543,,146310,,154888,,163494,,169863,,177525,,178304,,180082.0,,0
105.0,Utah State U.,138670,,140243,,146128,,143010,,147612,,172563,,155305,,156774,,167256,,173848.0,,0
106.0,U. Texas Medical Branch,179915,,183492,,180026,,184845,,188399,,193555,,180888,,180198,,178014,,173506.0,,0
107.0,Wake Forest U.,183129,,185609,,199915,,201204,,192034,,208460,,203730,,182721,,176380,,171538.0,,0
108.0,U. Notre Dame,78553,,77467,,97171,,97850,,104288,,121466,,143328,,156234,,160461,,171148.0,,0
109.0,"U. Texas Health Science Center, San Antonio",150040,,160282,,201323,,221535,,207115,,198655,,184298,,175983,,172716,,170277.0,,0
110.0,U. Central Florida,107996,,111595,,108067,,113433,,108662,,97309,,102562,,108560,,143063,,169770.0,,0
111.0,U. Delaware,114985,,118245,,125179,,124475,,147204,,160503,,161327,,170470,,169641,,167904.0,,0
112.0,"U. Tennessee, Knoxville",,,,,,,,,133877,i,151814,,165708,,175264,,170471,,166591.0,,0
113.0,Tufts U.,128965,,130826,,139528,,147903,,153113,,154760,,159140,,154694,,156411,,162510.0,,0
114.0,West Virginia U.,122134,,133590,,139770,,139592,,146944,,159206,,161961,,159865,,156946,,160560.0,,0
115.0,U. Louisville,135873,,151226,,148936,,146874,,162447,,166918,,165319,,160338,,163199,,160199.0,,0
116.0,Georgetown U.,118558,,137775,,142623,,147441,,155538,,164301,,171829,,170503,,162983,,157308.0,,0
117.0,North Dakota State U.,103778,,106208,,115513,,113214,,125294,,132717,,133874,,144069,,148352,,148934.0,,0
118.0,"U. California, Santa Cruz",114126,,124856,,135261,,144052,,136964,,149702,,149824,,145092,,147536,,147518.0,,0
119.0,"U. Nebraska, Medical Center",108012,,111751,,112887,,123629,,138219,,133036,,141619,,137485,,139126,,143999.0,,0
120.0,Rice U.,66564,,71435,,74254,,78745,,97288,,109197,,115235,,128621,,136419,,141935.0,,0
121.0,Tulane U.,114397,,137107,,153242,,155139,,151686,,154530,,154196,,151314,,148784,,140118.0,,0
122.0,"U. Alaska, Fairbanks",153470,,122268,,117854,,121019,,127808,,126691,,121640,,118907,,152352,,139605.0,,0
123.0,"U. California, Riverside",124820,,128057,,129605,,130187,,121541,,125902,,129609,,126916,,128506,,136493.0,,0
124.0,"Auburn U., Auburn",,,,,,,,,143874,,161785,,130222,,143545,,140110,,132970.0,,0
125.0,U. Arkansas for Medical Sciences,107871,,108551,,117440,,106314,,119518,,122066,,129056,,133677,,131438,,132451.0,,0
126.0,U. New Hampshire,115117,,114228,,113877,,107860,,103801,,128348,,152276,,134535,,130951,,130700.0,,0
127.0,Texas Tech U.,58591,,57878,,57902,,77895,,106220,,114648,,105147,,114506,,125126,,128554.0,,0
128.0,New Mexico State U.,164994,,148120,,138427,,149798,,146364,,137301,,135214,,136254,,129124,,127000.0,,0
129.0,"Oklahoma State U., Stillwater",,,,,,,,,147094,,162786,,166523,,134500,,126543,,126607.0,,0
130.0,U. Houston,75662,,73542,,84490,,99262,,106646,,98231,,105844,,112469,,122163,,125973.0,,0
131.0,Florida International U.,63567,,90903,,95706,,91278,,92250,,97804,,83639,,92463,,107487,,124631.0,,0
132.0,Drexel U.,96687,,96575,,100911,,102366,,115458,,109729,,112390,,118754,,124464,,122366.0,,0
133.0,Clemson U.,179840,,211760,,195195,,186383,,144562,,135681,,110493,,116138,,116871,,120858.0,,0
134.0,"U. Arkansas, Fayetteville",99271,,101109,,102784,,105446,,104336,,110310,,111502,,112296,,111703,,120679.0,,0
135.0,Thomas Jefferson U.,106986,,107288,,99275,,101188,,103064,,104923,,100506,,89273,,118378,,119631.0,,0
136.0,Northeastern U.,66495,,71502,,59911,,61309,,74998,,81230,,102911,,111134,,111779,,115664.0,,0
137.0,U. Vermont,121841,,113195,,115421,,122558,,129612,,132107,,115569,,115055,,109343,,114090.0,,0
138.0,"SUNY, U. Albany",274354,,309221,,270414,,340259,,356517,,146987,,135673,,135879,,129434,,110284.0,,0
139.0,Rensselaer Polytechnic Institute,70576,,77238,,77295,,77890,,83601,,84346,,92348,,92365,,104844,,102122.0,,0
140.0,"Montana State U., Bozeman",112428,,116999,,120155,,115045,,124227,,114244,,113235,,103144,,104646,,98467.0,,0
141.0,New Jersey Institute of Technology,77583,,88699,,89792,,92891,,81240,,89250,,91407,,97088,,94371,,96386.0,,0
142.0,U. Idaho,86863,,83390,,81532,,88242,,85475,,94345,,95327,,93941,,92512,,95459.0,,0
143.0,U. Dayton,69080,,74005,,81275,,93496,,91943,,89037,,79877,,82349,,83409,,93319.0,,0
144.0,"U. Texas, Dallas",44198,,46477,,59300,,61214,,75236,,89767,,83124,,93582,,94961,,92374.0,,0
145.0,George Mason U.,50381,,58252,,72542,,78487,,77966,,80284,,79913,,82849,,85493,,89845.0,,0
146.0,U. Mississippi,93471,,108244,,90095,,90677,,100712,,113281,,109897,,98354,,97286,,89707.0,,0
147.0,U. Rhode Island,70696,,76237,,77457,,83375,,84523,,101202,,97845,,94381,,84393,,86139.0,,0
148.0,"U. Alabama, Huntsville",59231,,70027,,65396,,71365,,73266,,72988,,83076,,96932,,85994,,84745.0,,0
149.0,Cold Spring Harbor Laboratory,ne,,ne,,ne,,ne,,ne,,89913,,84072,,78236,,76733,,84653.0,,0
150.0,"U. Nevada, Reno",98917,,95809,,102073,,106378,,94420,,86372,,83137,,85085,,81028,,83385.0,,0
151.0,Georgia State U.,52690,,51387,,77709,,60557,,61971,,54221,,62188,,79235,,80955,i,79813.0,,0
152.0,Rush U.,83194,,84370,,89513,,96975,,73398,,79212,,80300,,81770,,80551,,79048.0,,0
153.0,U. Maine,93153,,96135,,95042,,100580,,106238,,111129,,91673,,77169,,100493,,78608.0,,0
154.0,"U. Texas, El Paso",32161,,39965,,48906,,56635,,64134,,67576,,72033,,73005,,70475,,77515.0,,0
