Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec"
38.0,Case Western Reserve U.,365940,,349940,,341879,,340040,,0,,75932,,240435,,23673,
39.0,U. Utah,269486,,327807,,321624,,326552,,15,,52034,,193906,,80597,
40.0,"Indiana U., Bloomington",41339,,46319,,44906,,323487,,0,,86230,,228213,,9044,
41.0,U. Iowa,338959,,326387,,339591,,322019,,0,,91361,,207186,,23472,
42.0,"Texas A&M U., College Station and Health Science Center",217734,,299122,,319265,,320555,,181658,,45752,,92900,,245,
43.0,Yeshiva U.,287889,,270587,,306560,,306174,,0,,0,,306174,,0,
44.0,Rockefeller U.,276070,,283443,,299828,,304586,,0,,290734,,13852,,0,
45.0,Oregon Health and Science U.,270062,,274375,,286399,,296468,,0,,138247,,152220,,6001,
46.0,"U. South Florida, Tampa",300657,,300183,,290276,,295103,,0,,61365,,191432,,42306,
47.0,U. Arizona,295481,,283327,,277225,,289954,,56581,,85807,,137582,,9984,
48.0,U. Chicago,297963,,274064,,256612,,276132,,0,,90707,,175367,,10058,
49.0,U. Miami,281586,,258330,,253589,,268069,,0,,42093,,214948,,11028,
50.0,Michigan State U.,254670,,258895,,251495,,259653,,104617,,100011,,43475,,11550,
51.0,"U. Illinois, Chicago",294870,,273493,,250528,,258065,,0,,57638,,184251,,16176,
52.0,Boston U.,227823,,242154,,242286,,251829,,0,,65116,,179531,,7182,
53.0,"U. Massachusetts, Medical School",256090,,245923,,241869,,250338,,0,,74963,,108063,,67312,
54.0,Medical U. South Carolina,236586,,245451,,242594,,243534,,0,,69204,,97657,,76673,
55.0,"Pennsylvania State U., University Park and Hershey Medical Center",259347,,272478,,250304,,241215,,86469,,52860,,101886,,0,
56.0,"SUNY, U. Buffalo",227647,,245354,,243710,,238676,,0,,77658,,156492,,4526,
57.0,"U. Texas Health Science Center, Houston",236250,,233256,,233737,,234299,,0,,44282,,95995,,94022,
58.0,U. Kentucky,247506,,230343,,231222,,232829,,59511,,56694,,109868,,6756,
59.0,U. Georgia,218239,,212754,,219233,,232592,,79815,,121426,,27574,,3777,
60.0,U. Rochester,251611,,248618,,223772,,231100,,0,,52216,,174735,,4149,
61.0,"U. Virginia, Charlottesville",239197,,244720,,224411,,227649,,0,,59596,,160371,,7682,
62.0,"U. Illinois, Urbana-Champaign",213570,,217191,,208635,,220029,,130410,,69710,,15500,,4409,
63.0,"U. California, Berkeley",208778,,208236,,206587,,211287,,62493,,72212,,76582,,0,
64.0,"Purdue U., West Lafayette",207781,,210663,,206776,,209977,,120012,,32675,,44803,,12487,
65.0,Virginia Polytechnic Institute and State U.,200747,,206550,,211993,,209678,,104627,,62429,,39101,,3521,
66.0,North Carolina State U.,193145,,191061,,189274,,208852,,99041,,97777,,7,,12027,
67.0,Medical C. Wisconsin,209040,,201237,,199713,,199283,,0,,48977,,150306,,0,
68.0,"U. California, Irvine",207237,,199354,,201874,,195401,,0,,78549,,116852,,0,
69.0,U. Kansas,191761,,198933,,187458,,192916,,1714,,72257,,104659,,14286,
70.0,"U. Missouri, Columbia",176277,,173443,,175893,,181701,,86596,,19416,,56832,,18857,
71.0,U. Texas Medical Branch,167520,,173007,,173168,,170469,,0,,103117,,67352,,0,
72.0,"U. Texas Health Science Center, San Antonio",184298,,175983,,172716,,170277,,0,,49859,,107067,,13351,
73.0,Temple U.,90445,,171232,,167584,,169010,,801,,33048,,84656,,50505,
74.0,Wake Forest U.,198744,,178835,,172224,,167549,,0,,1117,,164286,,2146,
75.0,Washington State U.,166791,,166989,,182940,i,166580,,86195,,47352,,30042,,2991,
76.0,Virginia Commonwealth U.,137040,,129330,,151340,,164136,,0,,48445,,93688,,22003,
77.0,George Washington U.,124179,,131005,,154797,,159215,,67,,29822,,93127,,36199,
78.0,Wayne State U.,168836,,162344,,158857,,157211,,0,,28973,,120709,,7529,
79.0,"Louisiana State U., Baton Rouge",155302,,158652,,158545,,154764,,74013,,76574,,3842,,335,
80.0,Dartmouth C.,145246,,151143,,159574,,154731,,0,,69485,,79085,,6161,
81.0,Iowa State U.,129652,,134524,,148924,,149392,,49050,,76544,,16072,,7726,
82.0,"U. Nebraska, Medical Center",141619,,137485,,139126,,143999,,0,,71913,,70945,,1141,
83.0,U. Connecticut,153834,,140472,,146296,,143533,,7011,,68185,,60029,,8308,
84.0,U. New Mexico,125343,,125550,,131719,,141878,,0,,31246,,103218,,7414,
85.0,"U. Nebraska, Lincoln",114300,,121938,,130234,,140320,,81383,,54770,,604,,3563,
86.0,U. Louisville,134091,,129680,,132260,,135970,,29,,46259,,77320,,12362,
87.0,Brown U.,114006,,114981,,140662,i,135232,i,0,i,45293,i,54876,i,35063,i
88.0,U. Arkansas for Medical Sciences,129056,,133677,,131438,,132451,,0,,32357,,97319,,2775,
89.0,Massachusetts Institute of Technology,119712,,118946,,117231,,129161,,3,,80160,,21364,,27634,
90.0,Georgetown U.,147539,,144938,,134183,,128584,,0,,10807,,115633,,2144,
91.0,"U. Oklahoma, Norman and Health Science Center",124597,,126391,,137027,,127529,,0,,40209,,79152,,8168,
92.0,Oregon State U.,126408,,120571,,116353,,122704,,75390,,43780,,1996,,1538,
93.0,Kansas State U.,108728,,111800,,121162,,122684,,78357,,43571,,756,,0,
94.0,"Colorado State U., Fort Collins",127206,,133133,,126224,,122500,,36811,,34971,,49743,,975,
95.0,"U. Hawaii, Manoa",123691,,120481,,123273,,121742,,25662,,26926,,60647,,8507,
96.0,Thomas Jefferson U.,100506,,89273,,118378,,119631,,0,,50163,,65613,,3855,
97.0,Tulane U.,136024,,130354,,129828,,117783,,0,,26213,,31567,,60003,
98.0,"U. Maryland, College Park",98690,,98049,,94818,,115904,,56326,,36048,,19049,,4481,
99.0,Mississippi State U.,109160,,103556,,107722,,115291,,106463,,5947,,1664,,1217,
100.0,"U. South Carolina, Columbia",102242,,106214,,106051,,111133,,4149,,34882,,64487,,7615,
101.0,Tufts U.,121122,,111436,,106310,,110856,,0,,76067,,34789,,0,
102.0,West Virginia U.,97057,,98776,,94535,,96104,,29391,,17226,,26480,,23007,
103.0,North Dakota State U.,84116,,87099,,94302,,95345,,81879,,3086,,10042,,338,
104.0,U. Vermont,93895,,90292,,87412,,93690,,10532,,40647,,37943,,4568,
105.0,"SUNY, Stony Brook U.",99174,,97883,,102430,,88608,,0,,37878,,49656,,1074,
106.0,Cold Spring Harbor Laboratory,84072,,78236,,76733,,84653,,0,,84653,,0,,0,
107.0,"U. Massachusetts, Amherst",61999,,60743,,69749,,81165,,24915,,20002,,12031,,24217,
108.0,Arizona State U.,71979,,86057,,78343,,77870,,0,,62464,,0,,15406,
109.0,"Auburn U., Auburn",68894,,75569,,77333,,75745,,56845,,6975,,9377,,2548,
110.0,"SUNY, U. Albany",103368,,107265,,98069,,75668,,0,,72869,,2799,,0,
111.0,"U. California, Riverside",68689,,68408,,70816,,75624,,16754,,52477,,6358,,35,
112.0,"U. Arkansas, Fayetteville",66792,,70639,,72204,,75201,,68084,,2596,,9,,4512,
113.0,Rush U.,77052,,78365,,76667,,74872,,0,,15593,,57001,,2278,
114.0,"U. Texas, Austin",73512,,71643,,73448,,74068,,287,,45654,,25620,,2507,
115.0,"Oklahoma State U., Stillwater",67292,,70577,,69033,,72605,,30396,,41366,,60,,783,
116.0,Drexel U.,55150,,65228,,71484,,70139,,0,,42714,,23608,,3817,
117.0,Georgia Regents U.,na,,64033,,64079,,67736,,0,,15223,,40802,,11711,
118.0,"U. Tennessee, Health Science Center",76834,,70770,,66777,,64908,,0,,17790,,45902,,1216,
119.0,U. Mississippi,80956,,70066,,69017,,64625,,0,,19191,,42662,,2772,
120.0,California Institute of Technology,64482,i,66401,i,65007,,63913,,0,,63637,,230,,46,
121.0,U. Idaho,60736,,59613,,59772,,63040,,40350,,17357,,5110,,223,
122.0,Utah State U.,50078,,54087,,55130,,59367,,48169,,10453,,745,,0,
123.0,U. Delaware,46311,,50693,,50266,,58329,,32695,,4399,,0,,21235,
124.0,"U. Tennessee, Knoxville, Institute of Agriculture",52020,,50922,,50277,,49852,,41991,,4927,,1504,,1430,
125.0,"Louisiana State U., Health Sciences Center – New Orleans",53712,,49443,,45486,,46840,,0,,17620,,28886,,334,
126.0,"U. North Texas, Health Science Center",46865,,44904,,47002,,46335,,0,,26402,,19933,,0,
127.0,"U. Nevada, Reno",34445,,40101,,46479,,45177,,11575,,16173,,14367,,3062,
128.0,"Loyola U., Chicago",41693,,46870,,45323,,43370,,0,,13142,,28688,,1540,
129.0,"U. Puerto Rico, Medical Sciences Campus",45649,,43374,,40444,,43316,,0,,0,,43316,,0,
130.0,Eastern Virginia Medical School,37745,,44183,,43917,,42296,,0,,5198,,37098,,0,
131.0,Cleveland State U.,39172,,46097,,38481,,42101,i,1,i,32667,i,8266,i,1167,i
132.0,Florida International U.,39635,,42806,,43977,,41709,,4297,,20155,,10317,,6940,
133.0,"Montana State U., Bozeman",46675,,42423,,39049,,41460,,23462,,12185,,2128,,3685,
134.0,Princeton U.,48521,,45364,,46685,,41457,,0,,41457,,0,,0,
135.0,"Southern Illinois U., Carbondale",51037,,48781,,44573,,41425,,16892,,5419,,18907,,207,
136.0,"U. Montana, Missoula",41100,,42821,,40008,,41340,,12341,,17938,,9072,,1989,
137.0,Van Andel Institute,ne,,ne,,ne,,40502,i,0,i,13654,i,25074,i,1774,i
138.0,Georgia State U.,27336,,29550,,44275,i,40303,,288,,12425,,22118,,5472,
139.0,South Dakota State U.,45172,,42533,,40341,,39926,,29108,,2864,,2681,,5273,
140.0,Clemson U.,33776,,38096,,36246,,39591,,12506,,19017,,951,,7117,
141.0,"Texas Tech U., Health Sciences Center",61219,,61309,,36932,,39261,,0,,17986,,21275,,0,
142.0,New Mexico State U.,36503,,33467,,36175,,38212,,30404,,7500,,86,,222,
143.0,U. New Hampshire,28294,,23171,,34160,,37901,,20010,,8202,,0,,9689,
144.0,Texas Tech U.,31502,,33942,,34790,,36133,,27262,,7387,,535,,949,
145.0,Saint Louis U.,43859,,42037,,37408,,35570,,0,,11765,,23319,,486,
146.0,San Diego State U.,33736,,32543,,35957,,34173,,0,,18044,,13687,,2442,
147.0,Northeastern U.,27353,,26226,,26351,,34162,,27,,17708,,7508,,8919,
148.0,Florida State U.,36679,,37476,,30364,,34008,,408,,20380,,9860,,3360,
149.0,Morehouse School of Medicine,37586,,36638,i,41858,,33367,,0,,0,,33367,,0,
150.0,"SUNY, Upstate Medical U.",35897,,34286,,33460,,32453,,0,,8873,,23580,,0,
151.0,U. South Alabama,28631,,29157,,28190,,30848,,0,,332,,12191,,18325,
152.0,Brandeis U.,27461,,24816,,29662,i,30606,i,0,i,30606,i,0,i,0,i
153.0,U. Oregon,36373,,32295,,33281,,30392,,0,,13477,,16915,,0,
154.0,"SUNY, Downstate Medical Center",43257,,39354,,33331,,28652,,0,,8064,,20325,,263,
155.0,U. Maine,32877,,24849,,39251,,28621,,19415,,8633,,26,,547,
156.0,"U. Louisiana, Lafayette",29874,,32490,,33607,,27078,,49,,25272,,640,,1117,
157.0,U. Notre Dame,25382,,24864,,24751,,26987,,0,,26597,,390,,0,
158.0,U. Central Florida,8355,,8656,,25090,,26898,,0,,11967,,1839,,13092,
159.0,U. Colorado Boulder,35599,,31430,,28450,,26760,,10,,19044,,1737,,5969,
160.0,Loma Linda U.,27901,,28266,,23017,,25322,,0,,2545,,20028,,2749,
