Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
50.0,U. Texas Southwestern Medical Center,438824.0,,183787.0,,78617.0,,54932.0,,20906.0,,56387.0,,44195.0,,,0
51.0,U. Cincinnati,436028.0,,251717.0,,10648.0,,121238.0,,26109.0,,26069.0,,247.0,,,0
52.0,U. Chicago,421061.0,,296402.0,,2042.0,,41629.0,,26198.0,,54126.0,,664.0,,,0
53.0,U. Colorado Boulder,420775.0,,353341.0,,1983.0,,32266.0,,10961.0,,22224.0,,0.0,,,0
54.0,U. Colorado Denver and Anschutz Medical Campus,410081.0,,274345.0,,19001.0,,31228.0,,40956.0,,40452.0,,4099.0,,,0
55.0,Case Western Reserve U.,401527.0,,308434.0,,5519.0,,50950.0,,10782.0,,22238.0,,3604.0,,,0
56.0,"U. Maryland, Baltimore",397695.0,,216687.0,,27868.0,,113386.0,,13244.0,,23407.0,,3103.0,,,0
57.0,Boston U.,388336.0,,259736.0,,316.0,,99488.0,,9964.0,,14793.0,,4039.0,,,0
58.0,Scripps Research Institute,384161.0,,274097.0,,5766.0,,62735.0,,29798.0,,11765.0,,0.0,,,0
59.0,"SUNY, U. Buffalo",382935.0,,177441.0,,31156.0,,111688.0,,27077.0,,20326.0,,15247.0,,,0
60.0,California Institute of Technology,374424.0,,272673.0,,3032.0,,30045.0,,13054.0,,36765.0,,18855.0,,,0
61.0,U. Georgia,374264.0,,132118.0,,31373.0,,161929.0,,14737.0,,27299.0,,6808.0,,,0
62.0,"U. Virginia, Charlottesville",373218.0,,203401.0,,3768.0,,122572.0,,17404.0,,22951.0,,3122.0,,,0
63.0,U. Miami,365574.0,,216008.0,,9565.0,,89768.0,,29842.0,,19553.0,,838.0,,,0
64.0,Uniformed Services U. of the Health Sciences,361173.0,,299007.0,,0.0,,58599.0,,0.0,,3567.0,,0.0,,,0
65.0,"U. Illinois, Chicago",354560.0,,196010.0,,10863.0,,112874.0,,6519.0,,24786.0,,3508.0,,,0
66.0,U. Rochester,346932.0,,262681.0,,8826.0,,38418.0,,18056.0,,16307.0,,2644.0,,,0
67.0,Brown U.,342040.0,,132142.0,,1058.0,,187228.0,,3197.0,,15679.0,,2736.0,,,0
68.0,Washington State U.,333134.0,,134889.0,,56775.0,,115560.0,,12548.0,,9593.0,,3769.0,,,0
69.0,U. Kentucky,331705.0,,146548.0,,45761.0,,100866.0,,10574.0,,13379.0,,14577.0,,,0
70.0,"U. California, Irvine",329798.0,,174875.0,,20810.0,,64650.0,,15369.0,,23572.0,,30522.0,,,0
71.0,Oregon Health and Science U.,326915.0,,245509.0,,189.0,,29458.0,,18816.0,,29924.0,,3019.0,,,0
72.0,Rockefeller U.,323932.0,,81949.0,,606.0,,224343.0,,5539.0,,10479.0,,1016.0,,,0
73.0,"Colorado State U., Fort Collins",317219.0,,219321.0,,16803.0,,46484.0,,11345.0,,15635.0,,7631.0,,,0
74.0,"U. Hawaii, Manoa",316497.0,,200202.0,,13969.0,,84190.0,,6502.0,,9547.0,,2087.0,,,0
75.0,U. Kansas,311383.0,,155835.0,,16080.0,,101932.0,,14017.0,,23092.0,,427.0,,,0
76.0,Yeshiva U.,306174.0,,180791.0,,8255.0,,84418.0,,2910.0,,15570.0,,14230.0,,,0
77.0,Iowa State U.,306125.0,,114518.0,,44056.0,,118479.0,,16319.0,,9737.0,,3016.0,,,0
78.0,"SUNY, Polytechnic Institute",295313.0,,14641.0,,27531.0,,39434.0,,187237.0,,26379.0,,91.0,,,0
79.0,"U. Nebraska, Lincoln",284438.0,,95831.0,,4906.0,,159693.0,,12085.0,,3401.0,,8522.0,,,0
80.0,"Louisiana State U., Baton Rouge",281154.0,,83644.0,,73766.0,,102379.0,,10535.0,,9755.0,,1075.0,,,0
