State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United States,49645341,51590017,54113750,57288415,61253743,65274305,65729006,67013137,67199635,68667801
Alabama,609011,663704,724434,775495,847072,898422,830538,837871,812803,902922
Alaska,171769,171304,165419,173275,180888,185942,181983,184472,174431,163012
Arizona,777374,798534,846889,904518,944795,997700,1039424,1065136,1047329,1099837
Arkansas,247598,252716,259319,252883,267405,282628,289364,294572,285691,293494
California,6692497,6948312,7258240,7654804,7832767,8225420,8401638,8357891,8404097,8657121
Colorado,846245,899200,954653,1098369,1180741,1292081,1338888,1253466,1232376,1273753
Connecticut,709879,712775,754792,777963,888949,945705,946289,1059367,1062741,1091381
Delaware,124624,128160,135355,136712,168511,188765,185842,197262,193242,191704
District of Columbia,328913,375849,410798,353613,470217,493469,501534,524241,543149,559222
Florida,1663216,1767837,1821138,1900270,1994860,2125648,2179352,2171626,2272556,2389409
Georgia,1347317,1446604,1586486,1621789,1691603,1808679,1882308,1956245,1950990,2046068
Hawaii,269258,283121,286335,310909,317942,330838,335704,343802,335189,332233
Idaho,114400,115779,115708,122952,126433,142364,146326,143728,142772,146700
Illinois,1923148,1970628,2078089,2229062,2224414,2352326,2362224,2501413,2327098,2391472
Indiana,907994,992586,1062868,1121868,1186421,1271364,1306462,1336343,1308856,1323824
Iowa,589725,604836,540023,572589,706667,724608,718281,714366,773760,758796
Kansas,382485,402368,432378,467821,482901,511048,527122,545364,547813,562254
Kentucky,509947,539199,535357,549484,575277,596081,586240,550941,533834,532991
Louisiana,578846,631793,696448,710810,713675,727510,699228,671580,665754,662778
Maine,122144,142789,151762,156851,137516,139983,120072,104573,126994,107941
Maryland,2560392,2574067,2775603,3046289,3139254,3416687,3359741,3433145,3573167,3741687
Massachusetts,2240760,2286853,2396215,2605290,2749926,2949264,3214549,3532767,3500516,3673620
Michigan,1561189,1603566,1691493,1863341,2031479,2161520,2219505,2267080,2242864,2334546
Minnesota,626377,659452,724319,787190,831754,898741,864938,901404,919257,928999
Mississippi,388585,427380,425439,435382,443625,460962,476078,416772,410543,408232
Missouri,925821,970240,976250,1023460,1087432,1121330,1098287,1074632,1050665,1074115
Montana,183924,189230,198408,196351,207827,195267,196721,185996,181127,181680
Nebraska,372538,379214,392446,411458,367793,412756,438302,444916,454744,463654
Nevada,197772,197292,196206,187293,174247,165437,153325,153427,153571,157528
New Hampshire,322281,313309,310721,309144,311455,359839,366337,354296,365537,358154
New Jersey,894242,903958,909965,952714,1075872,1141570,1113109,1173474,1130474,1106186
New Mexico,433485,420572,427599,446632,422868,405339,400952,403776,412428,390913
New York,3912982,4074240,4083370,4303252,4948442,5288932,5352978,5519542,5638584,5700230
North Carolina,1734153,1917917,2012492,2199367,2465260,2668842,2681840,2739920,2814943,2815343
North Dakota,161049,170859,181736,186956,204049,211057,215642,219115,222032,217926
Ohio,1684329,1814571,1881426,1948462,2051857,2221827,2128968,2168267,2158565,2152826
Oklahoma,307486,311467,347400,354187,400731,444722,437180,420067,419653,419602
Oregon,613188,636260,662924,707287,696272,739733,722421,704764,705688,719881
Pennsylvania,2489745,2501878,2686049,2797547,3128420,3315363,3239240,3361374,3328851,3356723
Rhode Island,269061,254121,263423,274425,428738,459321,495366,479162,447469,453291
South Carolina,535147,581846,589863,626918,660415,620533,636534,648137,655757,665319
South Dakota,74496,82673,92695,110765,131165,136305,129200,117361,104962,103368
Tennessee,772059,799767,833211,880214,938237,1016915,1025283,1032124,1133373,1075972
Texas,3374033,3531505,3869656,4133121,4416323,4661517,4651322,4813050,4898443,5082598
Utah,422667,421283,431877,509920,562349,627180,622244,688972,693796,733407
Vermont,124581,117673,118252,125516,132792,137303,120226,121110,114549,119663
Virginia,1011655,1036170,1122656,1151996,1199244,1390412,1379440,1419504,1381078,1411176
Washington,1033902,1023805,1105007,1134279,1358061,1502284,1475365,1561573,1537190,1549479
West Virginia,153904,172977,183605,186213,194834,210899,202118,196492,195675,199167
Wisconsin,1125974,1152638,1193124,1279464,1335621,1442845,1483983,1419426,1410506,1373787
Wyoming,89707,80041,76711,79684,55319,57549,65611,65490,51422,56996
American Samoa,ne,ne,ne,ne,ne,ne,ne,ne,ne,1337
Guam,7604,7059,6106,5834,5555,5626,6131,6043,7075,6062
Puerto Rico,106368,110198,112913,114408,125123,163853,151532,135659,123285,126792
Virgin Islands,17495,17842,18099,22019,32350,21994,25719,20041,20371,20630
