"State, institutional control, system, and institution",All R&D expenditures,Unnamed: 2
Alabama,905060,
Public,878343,
Alabama A&M U.,29202,
Alabama State U.,2303,
Auburn U. System,136351,
"Auburn U., Auburn",135899,
"Auburn U., Montgomery",452,
Jacksonville State U.,3242,
Troy U.,327,
U. Alabama System,662902,
"U. Alabama, Birmingham",516229,
"U. Alabama, Huntsville",88439,
"U. Alabama, Tuscaloosa",58234,
U. South Alabama,43722,
U. West Alabama,294,
Private,26717,
Oakwood U.,1065,
Tuskegee U.,25652,i
Alaska,163012,
Public (U. Alaska System),161766,
"U. Alaska, Anchorage",17436,
"U. Alaska, Fairbanks",142742,
"U. Alaska, Southeast",1588,
Private,1246,
Alaska Pacific U.,1246,
Arizona,1100160,
Public,1099987,
Arizona Board of Regents,1099837,
Arizona State U.,458412,
Northern Arizona U.,35206,
U. Arizona,606219,
Dine C.,150,i
Private,173,
Prescott C.,173,
Arkansas,296064,
Public,294309,
Arkansas State U. System,8453,
"Arkansas State U., Jonesboro",8453,
Arkansas Tech U.,525,
Southern Arkansas U.,290,
U. Arkansas System,281539,
U. Arkansas for Medical Sciences,132451,
"U. Arkansas, Fayetteville",133660,
"U. Arkansas, Little Rock",7003,
"U. Arkansas, Pine Bluff",8425,
U. Central Arkansas,3502,
Private,1755,
Harding U.,250,
Hendrix C.,770,
John Brown U.,176,
Ouachita Baptist U.,219,i
Philander Smith C.,340,
California,8665977,
Public,6072252,
California State U. System,296994,
California Maritime Academy,1542,
"California Polytechnic State U., San Luis Obispo",16312,
"California State Polytechnic U., Pomona",4611,
"California State U., Bakersfield",3192,
"California State U., Channel Islands",1949,
"California State U., Chico",1837,
"California State U., Dominguez Hills",2557,
"California State U., Fresno",8624,
"California State U., Fullerton",5611,
"California State U., Long Beach",8830,
"California State U., Los Angeles",5010,
"California State U., Monterey Bay",5492,
"California State U., Northridge",13333,
"California State U., Sacramento",17930,
"California State U., San Bernardino",15317,
"California State U., San Marcos",6432,
"California State U., Stanislaus",1080,
Humboldt State U.,11218,
San Diego State U.,93572,
San Francisco State U.,26345,
San Jose State U.,45037,
Sonoma State U.,1163,
Naval Postgraduate School,89170,
U. California System,5686088,
"U. California, Berkeley",788505,
"U. California, Davis",721077,
"U. California, Hastings C. of Law",272,
"U. California, Irvine",329798,
"U. California, Los Angeles",1021227,
"U. California, Merced",29688,
"U. California, Office of the President",48341,
"U. California, Riverside",144511,
"U. California, San Diego",1101466,
"U. California, San Francisco",1126620,
"U. California, Santa Barbara",222870,
"U. California, Santa Cruz",151713,
Private,2593725,
Azusa Pacific U.,7521,
California Institute of Technology,374424,
California Lutheran U.,241,
Chapman U.,5353,
Charles R. Drew U. of Medicine and Science,14128,
The Claremont Colleges,24623,
Claremont Graduate U.,10146,i
Claremont McKenna C.,5513,
Harvey Mudd C.,3272,
Keck Graduate Institute,1722,
Pitzer C.,282,
Pomona C.,3538,
Scripps C.,150,i
Dominican U. California,649,
Fuller Theological Seminary,2998,
International Technological U.,584,
La Sierra U.,1165,
Loma Linda U.,25519,
Loyola Marymount U.,6389,
Marshall B. Ketchum U.,1468,
Mills C.,3159,
National U. System,2305,
