Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
All institutions,10284113,,10733856,,10976410,,11070258,,6442873,,6499378,,6423386,,6455847,,,,,-1
1.0,Johns Hopkins U.a,859561,i,878969,i,935105,i,991937.0,i,829211,,846427,,903522,,954967.0,,,,0
2.0,Georgia Institute of Technology,482758,,503466,,505384,,533329.0,,340465,,362464,,363149,,390188.0,,,,0
3.0,Massachusetts Institute of Technology,365199,,420307,,403208,,416402.0,,213564,,224582,,214215,,217641.0,,,,0
4.0,"Texas A&M U., College Station and Health Science Center",256102,,278536,,291643,,298538.0,,74224,,74703,,72752,,65348.0,,,,0
5.0,"Pennsylvania State U., University Park and Hershey Medical Center",298811,,320195,,302833,,296692.0,,225724,,246100,,223559,,215629.0,,,,0
6.0,"SUNY, Polytechnic Institute",na,,na,,408504,,290663.0,,na,,na,,18364,,11464.0,,,,0
7.0,"U. Michigan, Ann Arbor",221066,,244187,,251302,,254505.0,,148532,,169484,,174530,,177975.0,,,,0
8.0,Virginia Polytechnic Institute and State U.,188918,,214485,,228570,,225702.0,,78757,,88451,,93842,,88097.0,,,,0
9.0,"U. Texas, Austin",198293,,206033,,206531,,216821.0,,114906,,119326,,121270,,124036.0,,,,0
10.0,"Purdue U., West Lafayette",216037,,220926,,205553,,194401.0,,116016,,119990,,106014,,95217.0,,,,0
11.0,"U. California, Berkeley",172433,,177450,,185951,,185078.0,,67669,,71703,,70618,,70191.0,,,,0
12.0,"U. Illinois, Urbana-Champaign",147498,,165186,,172828,,161458.0,,100554,,103806,,105600,,94980.0,,,,0
13.0,Ohio State U.,149341,,155507,,152592,,144216.0,,69704,,69963,,69839,,66722.0,,,,0
14.0,North Carolina State U.,122735,,129817,,150219,,143288.0,,61649,,59044,,61176,,67465.0,,,,0
15.0,U. Wisconsin-Madison,113742,,139011,,147612,,135557.0,,73039,,82463,,96970,,86245.0,,,,0
16.0,Stanford U.,132180,,131406,,132936,,134143.0,,103568,,99464,,99915,,94297.0,,,,0
17.0,"U. Washington, Seattle",104196,,121890,,128996,,129670.0,,81480,,94004,,97986,,97657.0,,,,0
18.0,"U. Maryland, College Park",117243,,120139,,111172,,124268.0,,72273,,74909,,68007,,69378.0,,,,0
19.0,"U. California, San Diego",126107,,125933,,119690,,117170.0,,55925,,59086,,65001,,62771.0,,,,0
20.0,Arizona State U.,100402,,101727,,105490,,116865.0,,49015,,46594,,47620,,53395.0,,,,0
21.0,"U. Minnesota, Twin Cities",90993,,100375,,106416,,114619.0,,53044,,53524,,55884,,63625.0,,,,0
22.0,U. Colorado Boulder,89462,,97680,,93839,,109482.0,,69847,,72416,,68179,,79337.0,,,,0
23.0,Cornell U.,87851,,104640,,110812,,104481.0,,62868,,61662,,59890,,60549.0,,,,0
24.0,U. Utah,83904,,80255,,74732,,104366.0,,45931,,35184,,29317,,27376.0,,,,0
25.0,Utah State U.,83739,,81287,,87498,,92787.0,,69250,,65987,,72740,,78303.0,,,,0
26.0,"U. California, Santa Barbara",100297,,99090,,90215,,89556.0,,59155,,57603,,50259,,48652.0,,,,0
27.0,Carnegie Mellon U.,89532,,94157,,89909,,89054.0,,72719,,72720,,69149,,65506.0,,,,0
