Rank,Institution,All federal R&D expenditures,Unnamed: 3,DOD,Unnamed: 5,DOE,Unnamed: 7,HHS,Unnamed: 9,NASA,Unnamed: 11,NSF,Unnamed: 13,USDA,Unnamed: 15,Othera,Unnamed: 17,shift
47.0,U. Arizona,269959.0,,22981.0,,12628.0,,95483.0,,52406.0,,56864.0,,9666.0,,19931.0,,0
48.0,U. Rochester,262681.0,,8200.0,,70098.0,,167690.0,,1577.0,,13342.0,,75.0,,1699.0,,0
49.0,Boston U.,259736.0,,19652.0,,6073.0,,191718.0,,5930.0,,28370.0,,308.0,,7685.0,,0
50.0,Baylor C. of Medicine,256895.0,,10717.0,,0.0,,207007.0,,20308.0,,1873.0,,16280.0,,710.0,,0
51.0,U. Cincinnati,251717.0,,7389.0,,1315.0,,229523.0,,346.0,,8590.0,,93.0,,4461.0,,0
52.0,Oregon Health and Science U.,245509.0,,6622.0,,481.0,,228876.0,,1197.0,,6350.0,,381.0,,1602.0,,0
53.0,U. Iowa,225587.0,,12251.0,,2022.0,,174715.0,,9445.0,,13170.0,,928.0,,13056.0,,0
54.0,"Colorado State U., Fort Collins",219321.0,,49832.0,,11936.0,,36228.0,,6806.0,,31722.0,,37450.0,,45347.0,,0
55.0,"U. South Florida, Tampa",218338.0,,7685.0,,2445.0,,136518.0,,2657.0,,14222.0,,350.0,,54461.0,,0
56.0,"Purdue U., West Lafayette",217330.0,,29450.0,,20072.0,,37342.0,,7046.0,,72962.0,,27960.0,,22498.0,,0
57.0,"U. Maryland, Baltimore",216687.0,,16321.0,,64.0,,196339.0,,429.0,,1324.0,,383.0,,1827.0,,0
58.0,U. Miami,216008.0,,23140.0,,1530.0,,139908.0,,5250.0,,13962.0,,37.0,,32181.0,,0
59.0,"Indiana U., Bloomington",210899.0,,11719.0,,8015.0,,151630.0,,1808.0,,29031.0,,487.0,,8209.0,,0
60.0,"U. Virginia, Charlottesville",203401.0,,23512.0,,8312.0,,126081.0,,3198.0,,22009.0,,272.0,,20017.0,,0
61.0,"U. Hawaii, Manoa",200202.0,,49844.0,,10497.0,,51238.0,,12481.0,,29215.0,,14776.0,,32151.0,,0
62.0,North Carolina State U.,199862.0,,26505.0,,15773.0,,17897.0,,2130.0,,50773.0,,20325.0,,66459.0,,0
63.0,Arizona State U.,196528.0,,32500.0,,18565.0,,51822.0,,23742.0,,54630.0,,1316.0,,13953.0,,0
64.0,Virginia Polytechnic Institute and State U.,196096.0,,41359.0,,12857.0,,36079.0,,3386.0,,32749.0,,21408.0,,48258.0,,0
65.0,"U. Illinois, Chicago",196010.0,,8464.0,,4616.0,,146527.0,,376.0,,17414.0,,377.0,,18236.0,,0
66.0,Carnegie Mellon U.,187259.0,,55550.0,,11176.0,,26504.0,,4530.0,,69088.0,,437.0,,19974.0,,0
67.0,U. Texas Southwestern Medical Center,183787.0,,4377.0,,86.0,,172416.0,,4349.0,,1226.0,,0.0,,1333.0,,0
68.0,"U. Massachusetts, Medical School",183588.0,,5699.0,,0.0,,175256.0,,0.0,,680.0,,0.0,,1953.0,,0
69.0,Yeshiva U.,180791.0,,1626.0,,186.0,,177939.0,,0.0,,909.0,,131.0,,0.0,,0
70.0,"SUNY, U. Buffalo",177441.0,,20811.0,,1177.0,,113954.0,,2925.0,,24920.0,,899.0,,12755.0,,0
71.0,"U. California, Irvine",174875.0,,14234.0,,7238.0,,106886.0,,4456.0,,36544.0,,113.0,,5404.0,,0
72.0,Woods Hole Oceanographic Institution,172995.0,,28864.0,,349.0,,2100.0,,5878.0,,112665.0,,8.0,,23131.0,,0
73.0,U. Texas M. D. Anderson Cancer Center,161171.0,,4944.0,,0.0,,155636.0,,166.0,,293.0,,0.0,,132.0,,0
74.0,Princeton U.,158313.0,,30779.0,,16454.0,,42428.0,,7751.0,,53196.0,,305.0,,7400.0,,0
75.0,U. Kansas,155835.0,,6928.0,,4848.0,,98287.0,,3245.0,,19008.0,,51.0,,23468.0,,0
76.0,U. New Mexico,154794.0,,19502.0,,8032.0,,86564.0,,3045.0,,29676.0,,949.0,,7026.0,,0
77.0,Oregon State U.,153017.0,,12286.0,,14856.0,,15234.0,,6613.0,,46780.0,,32882.0,,24366.0,,0
78.0,Wake Forest U.,148451.0,,28931.0,,127.0,,114268.0,,583.0,,2473.0,,79.0,,1990.0,,0
79.0,U. Kentucky,146548.0,,2615.0,,5822.0,,99377.0,,1984.0,,13093.0,,12636.0,,11021.0,,0
80.0,Dartmouth C.,146233.0,,9040.0,,3122.0,,109299.0,,3586.0,,17229.0,,199.0,,3758.0,,0
81.0,Virginia Commonwealth U.,142447.0,,11419.0,,1605.0,,103947.0,,297.0,,5518.0,,475.0,,19186.0,,0
82.0,Florida State U.,139597.0,,13391.0,,7683.0,,21247.0,,2979.0,,52982.0,,967.0,,40348.0,,0
83.0,George Washington U.,139016.0,,6924.0,,2218.0,,105819.0,,1036.0,,12347.0,,681.0,,9991.0,,0
84.0,U. Connecticut,137980.0,,8711.0,,4909.0,,80983.0,,1082.0,,19754.0,,5680.0,,16861.0,,0
85.0,Washington State U.,134889.0,,8753.0,,18549.0,,25870.0,,264.0,,17351.0,,35338.0,,28764.0,,0
86.0,Brown U.,132142.0,,12566.0,,7986.0,,74598.0,,4912.0,,28783.0,,0.0,,3297.0,,0
87.0,U. Georgia,132118.0,,4171.0,,11811.0,,51762.0,,2114.0,,27327.0,,21512.0,,13421.0,,0
88.0,Temple U.,129499.0,,6493.0,,4251.0,,99156.0,,412.0,,12041.0,,1188.0,,5958.0,,0
89.0,"U. Oklahoma, Norman and Health Science Center",127709.0,,6751.0,,9000.0,,61376.0,,3309.0,,14260.0,,704.0,,32309.0,,0
90.0,"U. Texas Health Science Center, Houston",125890.0,,5539.0,,0.0,,113241.0,,63.0,,826.0,,338.0,,5883.0,,0
91.0,Tufts U.,121428.0,,8346.0,,1872.0,,63828.0,,783.0,,15284.0,,15922.0,,15393.0,,0
92.0,Utah State U.,120369.0,,51494.0,,3873.0,,8102.0,,14066.0,,14100.0,,11816.0,,16918.0,,0
93.0,Medical U. South Carolina,117255.0,,6228.0,,3892.0,,102120.0,,147.0,,763.0,,0.0,,4105.0,,0
94.0,"U. California, Santa Barbara",116232.0,,35848.0,,7759.0,,17119.0,,3405.0,,43111.0,,122.0,,8868.0,,0
95.0,"SUNY, Stony Brook U.",115150.0,,5910.0,,15338.0,,57576.0,,3800.0,,25485.0,,213.0,,6828.0,,0
96.0,Iowa State U.,114518.0,,8037.0,,6733.0,,11761.0,,1371.0,,34956.0,,37273.0,,14387.0,,0
97.0,U. Delaware,114245.0,,17568.0,,9807.0,,31130.0,,3197.0,,27616.0,,7762.0,,17165.0,,0
98.0,Wayne State U.,109586.0,,6395.0,,2629.0,,86520.0,,47.0,,7798.0,,54.0,,6143.0,,0
99.0,Medical C. Wisconsin,109542.0,,4312.0,,2.0,,102430.0,,79.0,,8.0,,0.0,,2711.0,,0
100.0,"U. Tennessee, Knoxville",105417.0,,8741.0,,36010.0,,5395.0,,2353.0,,38623.0,,1068.0,,13227.0,,0
101.0,"U. Missouri, Columbia",105015.0,,8775.0,,4155.0,,46499.0,,620.0,,18556.0,,17792.0,,8618.0,,0
102.0,"U. Massachusetts, Amherst",103417.0,,11323.0,,7950.0,,21187.0,,3200.0,,36529.0,,9003.0,,14225.0,,0
103.0,U. Texas Medical Branch,98050.0,,5964.0,,366.0,,87738.0,,2164.0,,483.0,,143.0,,1192.0,,0
104.0,"U. Nebraska, Lincoln",95831.0,,9977.0,,3436.0,,15997.0,,2498.0,,27084.0,,19631.0,,17208.0,,0
