Rank,Institution,All non-medical school R&D expenditures,Unnamed: 3,All medical school R&D expenditures,Unnamed: 5,All R&D expenditures,Unnamed: 7,shift
241.0,"Southern Illinois U., Edwardsville",19051.0,,0.0,,19051.0,,0
242.0,U. New Orleans,18960.0,,0.0,,18960.0,,0
243.0,Illinois State U.,18742.0,,0.0,,18742.0,,0
244.0,Florida Atlantic U.,18372.0,,2842.0,,21214.0,,0
245.0,"California State U., Sacramento",17930.0,,0.0,,17930.0,,0
246.0,Idaho State U.,17866.0,,0.0,,17866.0,,0
247.0,Northern Illinois U.,17722.0,,0.0,,17722.0,,0
248.0,"U. Alaska, Anchorage",17436.0,,0.0,,17436.0,,0
249.0,Georgia Southern U.,17152.0,,0.0,,17152.0,,0
250.0,Oakland U.,17090.0,,18.0,,17108.0,,0
251.0,"California Polytechnic State U., San Luis Obispo",16312.0,,0.0,,16312.0,,0
252.0,Duquesne U.,16159.0,,0.0,,16159.0,,0
253.0,U. Denver,16116.0,,0.0,,16116.0,,0
254.0,Miami U.,16108.0,,0.0,,16108.0,,0
255.0,Delaware State U.,15980.0,,0.0,,15980.0,,0
256.0,"Texas Tech U., Health Sciences Center",15606.0,,24832.0,,40438.0,,0
257.0,"U. North Carolina, Wilmington",15564.0,,0.0,,15564.0,,0
258.0,"California State U., San Bernardino",15317.0,,0.0,,15317.0,,0
259.0,U.S. Military Academy,15312.0,,0.0,,15312.0,,0
260.0,South Dakota School of Mines and Technology,14970.0,,0.0,,14970.0,,0
261.0,Hampton U.,14895.0,,0.0,,14895.0,,0
262.0,Villanova U.,14512.0,,0.0,,14512.0,,0
263.0,"U. Hawaii, Hilo",14495.0,,0.0,,14495.0,,0
264.0,Florida Institute of Technology,14282.0,,0.0,,14282.0,,0
265.0,U. South Alabama,13937.0,,29785.0,,43722.0,,0
266.0,Fayetteville State U.,13746.0,,0.0,,13746.0,,0
267.0,Morgan State U.,13577.0,,0.0,,13577.0,,0
268.0,Clarkson U.,13406.0,,0.0,,13406.0,,0
269.0,"Louisiana State U., Health Sciences Center – New Orleans",13390.0,,33450.0,,46840.0,,0
270.0,"California State U., Northridge",13333.0,,0.0,,13333.0,,0
271.0,Prairie View A&M U.,13123.0,,0.0,,13123.0,,0
272.0,South Carolina State U.,12607.0,,0.0,,12607.0,,0
273.0,North Carolina Central U.,12448.0,,0.0,,12448.0,,0
274.0,"U. Texas Health Science Center, Tyler",12191.0,,0.0,,12191.0,,0
275.0,"U. Missouri, Saint Louis",12061.0,,0.0,,12061.0,,0
276.0,Embry-Riddle Aeronautical U.,11942.0,,0.0,,11942.0,,0
277.0,U. Southern Maine,11930.0,i,0.0,i,11930.0,i,0
278.0,Charles R. Drew U. of Medicine and Science,11810.0,i,2318.0,i,14128.0,,0
279.0,Bryn Mawr C.,11692.0,,0.0,,11692.0,,0
280.0,Montana Tech of U. Montana,11595.0,,0.0,,11595.0,,0
281.0,Marshall U.,11474.0,,8462.0,,19936.0,,0
282.0,U. Texas Pan American,11266.0,,0.0,,11266.0,,0
283.0,Humboldt State U.,11218.0,,0.0,,11218.0,,0
284.0,Tennessee Technological U.,11082.0,,0.0,,11082.0,,0
285.0,C. Charleston,10607.0,,0.0,,10607.0,,0
286.0,Central Michigan U.,10578.0,,2302.0,,12880.0,,0
287.0,Ball State U.,10548.0,,0.0,,10548.0,,0
288.0,Winthrop U.,10156.0,,0.0,,10156.0,,0
289.0,Claremont Graduate U.,10146.0,i,0.0,i,10146.0,i,0
