Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All non-S&E fields,Unnamed: 8,Business and management,Unnamed: 10,"Communication, journalism, and library science",Unnamed: 12,Education,Unnamed: 14,Humanities,Unnamed: 16,Law,Unnamed: 18,Social work,Unnamed: 20,Visual and performing arts,Unnamed: 22,Other
172.0,U. Notre Dame,296,,498,,1095,,90,,0,,0,,131,,0,,0,,0,,874,
173.0,Cornell U.,813,,936,,1094,,0,,247,,0,,351,,323,,0,,173,,0,
174.0,Brandeis U.,1374,,1732,,1077,,0,,0,,609,,0,,0,,0,,0,,468,
175.0,Iowa State U.,1059,,988,,1075,,222,,13,,643,,72,,0,,0,,125,,0,
176.0,"U. Nebraska, Lincoln",2058,,1075,,1068,,5,,193,,522,,332,,16,,0,,0,,0,
177.0,"CUNY, John Jay C. of Criminal Justice",707,,1050,,1050,,77,,0,,0,,0,,970,,0,,0,,3,
178.0,Black Hills State U.,1040,,1058,,1039,,0,,0,,1039,,0,,0,,0,,0,,0,
179.0,Plymouth State U.,1215,,968,,1035,,0,,0,,946,,0,,0,,89,,0,,0,
180.0,U. Miami,1555,,933,,1032,,0,,0,,1032,,0,,0,,0,,0,,0,
181.0,"U. Washington, Bothell",825,,1294,,1014,,0,,21,,993,,0,,0,,0,,0,,0,
182.0,American U.,4808,,2001,,1005,,0,,7,,0,,0,,898,,0,,0,,100,
183.0,U. Idaho,1556,,1215,,968,,0,,2,,757,,22,,0,,0,,0,,187,
184.0,"U. Alabama, Tuscaloosa",412,,684,,959,,282,,0,,290,,45,,56,,286,,0,,0,
185.0,Mills C.,1510,,1622,,938,,0,,0,,938,,0,,0,,0,,0,,0,
186.0,Stevens Institute of Technology,1808,,1526,,926,,233,,0,,545,,68,,0,,0,,0,,80,
187.0,Mississippi State U.,241,,1100,,916,,0,,0,,480,,79,,0,,0,,0,,357,
188.0,"U. Alabama, Huntsville",2342,,1430,,887,,832,,0,,55,,0,,0,,0,,0,,0,
189.0,"U. California, Riverside",2033,,1070,,873,,0,,0,,797,,76,,0,,0,,0,,0,
190.0,"California State U., San Marcos",2721,,2914,,864,,0,,0,,864,,0,,0,,0,,0,,0,
191.0,"SUNY, U. Albany",422,,472,,857,,0,,40,,817,,0,,0,,0,,0,,0,
192.0,"U. Texas, Arlington",2227,,778,,854,,44,,0,,511,,86,,0,,205,,8,,0,
193.0,Oakland U.,750,,899,,822,,0,,0,,811,,0,,0,,0,,0,,11,
194.0,Tougaloo C.,782,,391,,821,,0,,0,,821,,0,,0,,0,,0,,0,
195.0,"Loyola U., Chicago",1066,,1200,,820,,28,,0,,3,,1,,0,,788,,0,,0,
196.0,"U. Arkansas, Fayetteville",63,,97,,802,,0,,0,,737,,0,,65,,0,,0,,0,
197.0,U. Houston-Downtown,719,,1304,,798,,0,,0,,798,,0,,0,,0,,0,,0,
198.0,Seattle Pacific U.,1124,,802,,782,,0,,0,,782,,0,,0,,0,,0,,0,
199.0,Stephen F. Austin State U.,781,,732,,775,,0,,0,,738,,0,,0,,37,,0,,0,
200.0,Howard U.,563,,611,,769,,0,,298,,471,,0,,0,,0,,0,,0,
201.0,Alabama A&M U.,762,i,761,i,760,i,0,i,0,i,678,i,0,i,0,i,82,i,0,i,0,i
202.0,U. South Dakota,283,,230,,750,,3,,0,,220,,0,,0,,56,,0,,471,
203.0,Georgetown U.,1057,,908,,747,,500,,52,,0,,137,,58,,0,,0,,0,
204.0,"U. Puerto Rico, Rio Piedras",756,,773,,745,,0,,0,,0,,0,,0,,357,,0,,388,
205.0,Boise State U.,936,,563,,734,,0,,0,,726,,8,,0,,0,,0,,0,
206.0,U. of the Pacific,853,,1690,,732,,0,,308,,0,,42,,0,,0,,10,,372,
207.0,Miami U.,1362,,1737,,730,,0,,0,,639,,56,,0,,0,,0,,35,
208.0,National Defense U.,959,,970,,710,,710,,0,,0,,0,,0,,0,,0,,0,
209.0,U. New Orleans,1322,,774,,705,,208,,0,,319,,0,,0,,0,,2,,176,
210.0,Towson U.,0,,398,,695,,0,,0,,695,,0,,0,,0,,0,,0,
211.0,"Indiana U.-Purdue U., Fort Wayne",780,,673,,694,,0,,0,,3,,15,,0,,0,,0,,676,
212.0,Middle Tennessee State U.,688,,542,,693,,32,,0,,554,,107,,0,,0,,0,,0,
213.0,Colorado School of Mines,814,,873,,688,,0,,0,,638,,50,,0,,0,,0,,0,
214.0,Western Washington U.,502,,614,,667,,0,,0,,442,,0,,0,,0,,0,,225,
215.0,Texas Southern U.,0,,748,,657,,0,,0,,0,,0,,0,,0,,0,,657,
215.0,U. Toledo,2958,,3036,,657,,95,,0,,474,,0,,0,,82,,0,,6,
217.0,Duke U.,1279,,1122,,651,,262,,0,,104,,120,,151,,0,,14,,0,
218.0,New Mexico State U.,260,,352,,650,,0,,0,,650,,0,,0,,0,,0,,0,
219.0,Pacific U.,5,,598,,612,,0,,37,,575,,0,,0,,0,,0,,0,
220.0,North Carolina Agricultural and Technical State U.,707,,764,,611,,0,,0,,0,,0,,0,,0,,0,,611,
221.0,Duquesne U.,1054,,690,,610,,427,,0,,183,,0,,0,,0,,0,,0,
222.0,U. Baltimore,843,,434,,608,,248,,0,,60,,0,,288,,0,,0,,12,
223.0,Montclair State U.,466,,633,,600,,0,,0,,581,,19,,0,,0,,0,,0,
224.0,Worcester Polytechnic Institute,728,,1333,,584,,438,,0,,0,,0,,0,,0,,0,,146,
225.0,North Carolina Central U.,503,,437,,581,,58,,0,,324,,18,,91,,0,,0,,90,
226.0,Roger Williams U.,671,,584,,572,,0,,0,,275,,0,,297,,0,,0,,0,
227.0,"U. Alaska, Anchorage",887,,612,,560,,253,,0,,117,,0,,190,,0,,0,,0,
228.0,Utah State U.,911,,884,,558,,33,,0,,525,,0,,0,,0,,0,,0,
229.0,"California State U., Sacramento",653,,472,,549,,0,,0,,276,,54,,0,,0,,0,,219,
230.0,"CUNY, Queens C.",754,,651,,548,,0,,0,,548,,0,,0,,0,,0,,0,
231.0,"Purdue U., North Central",545,,530,,541,,0,,0,,0,,0,,0,,0,,0,,541,
232.0,Mercyhurst U.,540,,348,,539,,0,,0,,0,,0,,0,,158,,0,,381,
233.0,"CUNY, City C.",338,,235,,534,,0,,95,,439,,0,,0,,0,,0,,0,
234.0,"California State U., Fresno",0,,69,,533,,0,,0,,533,,0,,0,,0,,0,,0,
235.0,"U. Arkansas, Little Rock",772,,629,,523,,0,,0,,60,,9,,454,,0,,0,,0,
235.0,"U. Nevada, Las Vegas",522,,365,,523,,43,,0,,461,,0,,0,,19,,0,,0,
237.0,"U. Missouri, Kansas City",368,,565,,517,,0,,0,,0,,13,,0,,504,,0,,0,
238.0,U. Tulsa,238,,286,,499,,0,,0,,304,,10,,0,,0,,53,,132,
239.0,"California State U., Los Angeles",117,,135,,497,,0,,68,,429,,0,,0,,0,,0,,0,
240.0,Case Western Reserve U.,1859,,772,,474,,0,,0,,437,,33,,4,,0,,0,,0,
241.0,East Tennessee State U.,84,,619,,471,,0,,471,,0,,0,,0,,0,,0,,0,
242.0,Western Kentucky U.,118,,467,,467,,52,,0,,415,,0,,0,,0,,0,,0,
243.0,Ball State U.,1173,,354,,463,,0,,0,,30,,30,,0,,124,,0,,279,
244.0,U. Colorado Colorado Springs,936,,868,,453,,0,,0,,0,,0,,161,,0,,0,,292,
245.0,Rice U.,333,,183,,449,,244,,0,,186,,19,,0,,0,,0,,0,
246.0,Princeton U.,471,,472,,446,,0,,9,,0,,312,,0,,0,,40,,85,
247.0,North Dakota State U.,1325,,969,,445,,0,,127,,291,,27,,0,,0,,0,,0,
248.0,Chapman U.,152,,203,,442,,0,,129,,193,,8,,100,,0,,12,,0,
249.0,Dartmouth C.,292,,418,,426,,0,,0,,19,,43,,0,,0,,364,,0,
250.0,Texas Woman's U.,548,,538,,423,,0,,0,,423,,0,,0,,0,,0,,0,
251.0,Elizabeth City State U.,672,,505,,414,,0,,0,,0,,0,,0,,0,,0,,414,
252.0,"Auburn U., Auburn",444,,349,,413,,4,,0,,393,,16,,0,,0,,0,,0,
253.0,East Central U.,ne,,715,,409,,0,,0,,409,,0,,0,,0,,0,,0,
254.0,"U. Texas, San Antonio",1012,,548,,403,,24,,0,,287,,92,,0,,0,,0,,0,
255.0,"CUNY, Graduate Center",647,,183,,399,,0,,0,,121,,278,,0,,0,,0,,0,
256.0,"Indiana U.-Purdue U., Indianapolis",616,,797,,389,,84,,2,,201,,102,,0,,0,,0,,0,
257.0,"U. Puerto Rico, Mayaguez",584,,524,,387,,0,,0,,0,,0,,0,,0,,0,,387,
258.0,"U. Missouri, Saint Louis",1047,,551,,385,,0,,0,,338,,29,,0,,18,,0,,0,
259.0,"U. Hawaii, Manoa",96,,4236,,384,,20,,0,,184,,0,,0,,180,,0,,0,
260.0,Wake Forest U.,0,,0,,367,,0,,245,,122,,0,,0,,0,,0,,0,
261.0,Kettering U.,222,,265,,366,,0,,0,,0,,0,,0,,0,,0,,366,
262.0,"U. Maryland, Baltimore County",405,,545,,363,,0,,0,,82,,26,,0,,0,,0,,255,
263.0,Air Force Institute of Technology,1125,,440,,358,,358,,0,,0,,0,,0,,0,,0,,0,
264.0,Hamilton C.,305,,505,,357,,0,,0,,357,,0,,0,,0,,0,,0,
264.0,Saint Joseph's U.,408,,321,,357,,39,,0,,318,,0,,0,,0,,0,,0,
266.0,Central Michigan U.,139,,205,,356,,0,,136,,109,,0,,0,,0,,0,,111,
267.0,Catholic U. of America,156,,144,,352,,0,,0,,0,,0,,0,,287,,0,,65,
267.0,Pace U.,0,,57,,352,,62,,0,,290,,0,,0,,0,,0,,0,
269.0,Illinois Institute of Technology,64,,173,,347,,0,,0,,297,,0,,0,,0,,0,,50,
270.0,Louisiana Tech U.,1288,,1165,,343,,342,,0,,1,,0,,0,,0,,0,,0,
271.0,Texas A&M U.-Corpus Christi,139,,91,,336,,0,,0,,156,,1,,179,,0,,0,,0,
271.0,U. Maine,349,,251,,336,,0,,0,,336,,0,,0,,0,,0,,0,
273.0,Pepperdine U.,449,,576,,334,,0,,19,,310,,5,,0,,0,,0,,0,
274.0,"CUNY, Brooklyn C.",168,,839,,332,,0,,9,,126,,96,,0,,0,,0,,101,
275.0,"California State U., San Bernardino",557,,410,,331,,0,,0,,36,,59,,0,,0,,0,,236,
276.0,Missouri U. of Science and Technology,20,,337,,326,,267,,0,,50,,0,,0,,0,,0,,9,
277.0,U. New Haven,672,,610,i,324,,0,,0,,56,,0,,268,,0,,0,,0,
278.0,"U. Maryland, College Park",836,,4581,,314,,0,,128,,0,,186,,0,,0,,0,,0,
279.0,New York Institute of Technology,430,,455,,305,,0,,0,,263,,42,,0,,0,,0,,0,
280.0,"Texas Tech U., Health Sciences Center",16,,373,,302,,0,,0,,0,,0,,0,,0,,0,,302,
281.0,U. Southern Mississippi,370,,207,,295,,0,,2,,14,,123,,0,,11,,0,,145,
282.0,"U. Texas, Dallas",2017,,603,,292,,120,,0,,98,,74,,0,,0,,0,,0,
283.0,Elon U.,0,,255,,284,,0,,0,,284,,0,,0,,0,,0,,0,
284.0,Hofstra U.,1301,,1580,,283,,0,,0,,283,,0,,0,,0,,0,,0,
285.0,Gallaudet U.,584,,426,,276,,0,,0,,276,,0,,0,,0,,0,,0,
