Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec"
312.0,Grinnell C.,704,,603,,634,,572,,65,,378,,129,,0,
313.0,Roger Williams U.,25,,536,,1037,,560,,0,,529,,0,,31,
314.0,Pomona C.,457,,1263,,1160,,559,,46,,350,,163,,0,
315.0,"California State U., Fresno",670,,769,,627,,556,,0,,171,,341,,44,
316.0,Southeastern Louisiana U.,472,,283,,243,,551,,0,,466,,85,,0,
317.0,Illinois State U.,1129,,954,,1448,,549,,0,,449,,100,,0,
318.0,Chapman U.,324,,905,,758,,538,,0,,0,,538,,0,
319.0,U. South Alabama,702,,466,,442,,535,,0,,493,,42,,0,
320.0,Oberlin C.,852,,670,,534,,532,,0,,309,,223,,0,
321.0,Colby C.,740,,729,,651,,529,,0,,423,,106,,0,
322.0,Wellesley C.,1261,,1024,,885,,516,,286,,64,,166,,0,
323.0,Franklin and Marshall C.,1043,,721,,760,,515,,15,,236,,27,,237,
324.0,Texas Southern U.,1105,,594,,711,,512,,0,,392,,120,,0,
325.0,Rowan U.,541,,744,,881,,508,,199,,226,,83,,0,
326.0,North Carolina Agricultural and Technical State U.,2221,,881,,654,,503,,0,,60,,443,,0,
326.0,Stevens Institute of Technology,716,,391,,606,,503,,0,,140,,363,,0,
326.0,U. of the Sciences Philadelphia,692,,864,,402,,503,,0,,440,,20,,43,
329.0,"U. Nebraska, Kearney",126,,264,,244,,498,,0,,482,,16,,0,
330.0,Black Hills State U.,415,,424,,302,,496,,0,,181,,315,,0,
331.0,Bates C.,580,,718,,428,,484,,0,,286,,198,,0,
332.0,Ithaca C.,440,,420,,495,,480,,0,,17,,463,,0,
333.0,U.S. Military Academy,1206,,1060,,257,,479,,0,,170,,309,,0,
334.0,"U. North Carolina, Wilmington",694,,567,,636,,477,,0,,353,,26,,98,
335.0,U. Wisconsin-La Crosse,596,,488,,457,,476,,0,,301,,175,,0,
336.0,Swarthmore C.,663,,557,,780,,457,,74,,141,,242,,0,
336.0,West Texas A&M U.,59,,105,,101,,457,,0,,80,,377,,0,
338.0,"SUNY, C. Plattsburgh",208,,ne,,269,,448,,0,,0,,448,,0,
339.0,Grand Valley State U.,337,i,418,,361,,445,,0,,415,,30,,0,
340.0,East Carolina U.,1313,,1065,,861,,436,,0,,151,,285,,0,
341.0,Appalachian State U.,774,,321,,695,,434,,69,,266,,99,,0,
342.0,Sam Houston State U.,400,,248,,357,,426,,0,,406,,20,,0,
343.0,"Southern Illinois U., Edwardsville",1284,,750,,247,,425,,0,,240,,185,,0,
344.0,Reed C.,539,,300,,723,,424,,0,,335,,89,,0,
345.0,Calvin C.,754,,636,,452,,423,i,0,i,334,i,89,i,0,i
346.0,Valparaiso U.,685,,734,,644,,422,,246,,2,,174,,0,
347.0,Southern Connecticut State U.,605,i,497,i,1120,i,420,i,0,i,205,i,215,i,0,i
348.0,Missouri State U.,333,,482,,445,,413,,305,,85,,0,,23,
349.0,Christopher Newport U.,722,,649,,728,,411,,0,,7,,404,,0,
349.0,"SUNY, C. of Environmental Science and Forestry",1070,i,995,i,763,i,411,,0,,411,,0,,0,
351.0,Gonzaga U.,140,,279,,283,,407,,0,,406,,1,,0,
352.0,Fairfield U.,549,i,526,,437,,405,,0,,216,,189,,0,
353.0,Towson U.,313,,527,,459,,397,,164,,179,,54,,0,
354.0,U. of the Pacific,148,,521,,151,,396,,0,,312,,84,,0,
355.0,C. Wooster,274,,ne,,407,,394,i,0,i,263,i,131,i,0,i
356.0,Colorado C.,92,,206,,92,,392,,0,,128,,181,,83,
357.0,Pace U.,419,,380,,325,,386,,0,,386,,0,,0,
358.0,"California State U., Channel Islands",ne,,164,,672,,384,,0,,185,,150,,49,
359.0,St. Olaf C.,523,,494,,437,,381,,0,,227,,154,,0,
360.0,West Chester U. Pennsylvania,287,,196,,347,,378,,88,,169,,121,,0,
361.0,Occidental C.,493,,580,,494,,372,,0,,65,,307,,0,
362.0,"Indiana U., South Bend",390,,527,,462,,365,,0,,0,,365,,0,
363.0,U. Central Arkansas,380,,355,,336,,360,,0,,201,,159,,0,
364.0,Doane C.,228,,ne,,536,,356,,0,,339,,17,,0,
365.0,"California State U., Bakersfield",76,,448,,298,,342,,0,,147,,195,,0,
366.0,Macalester C.,404,,335,,363,,338,,22,,188,,128,,0,
367.0,"U. Arkansas, Pine Bluff",445,,555,,608,,336,,0,,336,,0,,0,
368.0,Vassar C.,244,,231,,347,,335,i,11,i,142,i,182,i,0,i
369.0,Bowdoin C.,739,,308,,255,,332,,135,,197,,0,,0,
370.0,Middlebury C.,477,,448,,248,,313,,71,,160,,82,,0,
371.0,Middle Tennessee State U.,2485,,1049,,119,,312,,28,,271,,13,,0,
372.0,U. Wisconsin-Stevens Point,895,,877,,862,i,309,i,0,i,147,i,162,i,0,i
373.0,Harvey Mudd C.,666,,599,,518,,300,,0,,153,,147,,0,
374.0,Fayetteville State U.,109,,0,,298,,298,,0,,0,,298,,0,
375.0,Texas A&M U.-Corpus Christi,97,,144,,499,,297,,0,,280,,0,,17,
376.0,Spelman C.,581,,778,,579,,294,,0,,274,,20,,0,
377.0,Benedict C.,335,,315,,500,,286,,0,,286,,0,,0,
377.0,Kennesaw State U.,255,i,299,,686,,286,,0,,158,,128,,0,
379.0,Central Washington U.,437,,227,,303,,272,,0,,155,,117,,0,
380.0,Loyola Marymount U.,511,,565,,240,,269,,0,,231,,38,,0,
381.0,Shaw U.,0,i,ne,,0,i,268,i,0,i,268,i,0,i,0,i
382.0,Montana Tech of U. Montana,160,,153,,386,,261,,0,,261,,0,,0,
382.0,"U. Nebraska, Omaha",344,,345,,317,,261,,0,,45,,198,,18,
384.0,Morehead State U.,565,,553,,284,,259,,259,,0,,0,,0,
385.0,Saint Joseph's U.,115,,315,,200,,257,,0,,147,,110,,0,
386.0,"California State Polytechnic U., Pomona",328,,648,i,529,,254,,206,,3,,0,,45,
387.0,Murray State U.,186,,108,,135,,247,,0,,202,,45,,0,
388.0,Seattle U.,196,,ne,,229,,244,,0,,32,,212,,0,
389.0,Dickinson C.,262,,224,,284,,242,,0,,142,,88,,12,
390.0,Hobart and William Smith Colleges,310,,1255,,292,,240,,45,,50,,145,,0,
390.0,Skidmore C.,1199,,518,,294,,240,,0,,209,,31,,0,
392.0,Elon U.,153,i,206,i,158,,237,,0,,76,,123,,38,
393.0,Willamette U.,326,,309,,405,,234,,0,,149,,85,,0,
394.0,"CUNY, Baruch C.",251,,206,,360,,229,,207,,3,,6,,13,
395.0,Ball State U.,246,,350,,281,,220,,0,,167,,53,,0,
395.0,Hamilton C.,259,,399,,595,,220,,0,,103,,117,,0,
397.0,"CUNY, York C.",507,,177,,ne,,216,,0,,121,,95,,0,
398.0,U. Houston-Downtown,1062,,156,,147,,214,,0,,57,,0,,157,
399.0,Stephen F. Austin State U.,125,,97,,116,,212,,15,,197,,0,,0,
400.0,"CUNY, Medgar Evers C.",618,,659,,554,,211,,0,,62,,149,,0,
401.0,Bradley U.,233,,191,,191,,210,,0,,209,,1,,0,
402.0,Santa Clara U.,1062,,536,,491,,209,,0,,81,,128,,0,
403.0,"Union C., Schenectady",294,,570,,265,,198,,153,,18,,27,,0,
404.0,C. of Saint Benedict,ne,,174,,265,,197,,0,,158,,39,,0,
405.0,Azusa Pacific U.,176,i,ne,,ne,,196,,0,,0,,196,,0,
405.0,Lafayette C.,246,,107,,109,,196,,0,,165,,31,,0,
407.0,Bowie State U.,0,,0,,330,,195,,0,,195,,0,,0,
408.0,U. West Georgia,290,,212,,392,,193,,0,,147,,46,,0,
409.0,U. West Florida,75,,55,,42,,191,,0,,0,,0,,191,
410.0,East Tennessee State U.,488,,431,,225,,180,,95,,10,,75,,0,
411.0,Eastern Michigan U.,609,,452,,154,,171,,149,,22,,0,,0,
412.0,Saint Michael's C.,ne,,157,,200,,169,,107,,59,,3,,0,
413.0,"Purdue U., Calumet",304,,235,,257,,168,,0,,168,,0,,0,
413.0,"Wheaton C., Wheaton",438,,ne,,306,,168,,0,,125,,43,,0,
415.0,Texas A&M U.-Kingsville,188,,198,,103,,166,,0,,109,,57,,0,
416.0,U. Detroit Mercy,160,,ne,,206,,165,,0,,165,,0,,0,
417.0,Langston U.,0,,0,,0,,163,,0,,0,,0,,163,
417.0,"Saint John's U., Collegeville",ne,,167,,263,,163,,0,,127,,36,,0,
419.0,Lawrence Technological U.,0,,0,,0,,161,,0,,0,,0,,161,
420.0,U. del Turabo,0,,0,,94,,158,,0,,141,,17,,0,
421.0,Davidson C.,180,,159,,127,,157,,0,,157,,0,,0,
422.0,"Augustana C., Sioux Falls",252,,358,,657,,156,,0,,0,,156,,0,
423.0,DePaul U.,582,,381,,332,,154,,0,,8,,117,,29,
424.0,"Pennsylvania State U., Behrend",110,,143,,161,,151,,0,,75,,76,,0,
424.0,Quinnipiac U.,177,i,204,i,ne,,151,i,0,i,151,i,0,i,0,i
424.0,U. Wisconsin-Oshkosh,235,,193,i,108,i,151,i,25,i,57,i,64,i,5,i
427.0,Eastern Kentucky U.,179,,232,,354,,144,,2,,142,,0,,0,
427.0,Providence C.,ne,,56,,ne,,144,,0,,144,,0,,0,
429.0,"U. Michigan, Dearborn",129,,220,,120,,140,,0,,0,,0,,140,
430.0,Fordham U.,294,,229,,158,,135,,0,,55,,80,,0,
431.0,Niagara U.,414,,258,,158,,121,,0,,121,,0,,0,
432.0,"Indiana U.-Purdue U., Fort Wayne",77,,300,,108,,120,,0,,118,,2,,0,
433.0,Sonoma State U.,ne,,464,,210,,118,,0,,118,,0,,0,
434.0,Fort Valley State U.,127,,103,,112,,114,,0,,114,,0,,0,
434.0,Lamar U.,73,,123,,87,,114,,0,,114,,0,,0,
436.0,Eastern Washington U.,75,,334,,163,,113,,0,,107,,6,,0,
437.0,Austin Peay State U.,25,,31,,26,,111,,0,,0,,111,,0,
438.0,McNeese State U.,77,,104,,107,,110,,0,,110,,0,,0,
438.0,Sewanee: U. of the South,442,,ne,,129,,110,,0,,99,,11,,0,
440.0,La Sierra U.,ne,,ne,,108,,109,,0,,67,,42,,0,
441.0,Dakota State U.,38,,0,,154,,108,,0,,0,,108,,0,
442.0,Kettering U.,53,,70,,180,,104,,0,,39,,65,,0,
443.0,"U. Puerto Rico, Cayey",283,,205,,176,,99,,0,,78,,21,,0,
444.0,U. Wisconsin-Green Bay,102,i,101,i,99,i,98,i,0,i,57,i,41,i,0,i
445.0,"Rutgers, State U. New Jersey, Camden",36,,62,,28,,97,,78,,19,,0,,0,
446.0,La Salle U.,50,,0,,0,,95,,0,,95,,0,,0,
447.0,Salisbury U.,50,,40,,48,,93,,0,,62,,24,,7,
448.0,Norwich U.,40,,38,,87,,91,,0,,27,,64,,0,
449.0,"U. Alaska, Southeast",20,,12,,121,,89,,22,,67,,0,,0,
450.0,"California State U., Sacramento",100,,66,,177,,86,,0,,77,,9,,0,
451.0,Gallaudet U.,38,,65,,69,,83,,13,,70,,0,,0,
452.0,Rhode Island C.,116,,224,,172,,80,,0,,47,,33,,0,
452.0,Texas A&M International U.,53,,109,,416,,80,,0,,73,,7,,0,
454.0,Rider U.,34,,178,i,104,i,77,,0,,57,,20,,0,
455.0,Central Connecticut State U.,91,,62,,120,,71,,0,,30,,41,,0,
456.0,Texas Woman's U.,190,,235,,51,,70,,0,,70,,0,,0,
457.0,Humboldt State U.,37,,82,,89,,69,,0,,0,,69,,0,
458.0,"U. North Carolina, general administration",ne,,ne,,ne,,68,,0,,0,,68,,0,
459.0,Coastal Carolina U.,153,,164,,142,,67,,0,,40,,27,,0,
459.0,U. Wisconsin-Platteville,ne,,ne,,42,i,67,i,0,i,40,i,27,i,0,i
459.0,Washington and Lee U.,ne,,107,,ne,,67,,0,,0,,67,,0,
462.0,Suffolk U.,39,,154,,72,,66,,0,,66,,0,,0,
463.0,Savannah State U.,5,,0,,71,,62,,0,,62,,0,,0,
464.0,Virginia State U.,0,,0,,0,,58,,58,,0,,0,,0,
465.0,U. Houston-Clear Lake,179,,47,,41,,56,,0,,47,,9,,0,
466.0,Milwaukee School of Engineering,49,,60,,27,,54,,0,,0,,54,,0,
467.0,Pacific U.,168,,232,,59,i,51,,0,,14,,37,,0,
468.0,"California State U., San Marcos",287,i,286,,351,i,49,,49,,0,,0,,0,
469.0,"SUNY, C. Brockport",99,,51,,23,,46,,0,,46,,0,,0,
470.0,U. of the Virgin Islands,172,i,244,i,139,i,41,,0,,0,,41,,0,
471.0,"Trinity C., Hartford",108,,102,,157,,40,,0,,23,,17,,0,
472.0,Central State U.,169,,117,,69,,39,,0,,39,,0,,0,
472.0,U. New England,70,,80,,40,,39,,0,,15,,0,,24,
474.0,Hofstra U.,12,,23,,21,,38,,13,,25,,0,,0,
474.0,Stockton U.,25,,ne,,72,,38,,0,,0,,38,,0,
476.0,"CUNY, Advanced Science Research Center",na,,na,,na,,37,,0,,0,,0,,37,
476.0,"SUNY, Buffalo State",139,,52,,0,,37,,0,,0,,37,,0,
478.0,U. of the Incarnate Word,ne,,ne,,ne,,35,,0,,35,,0,,0,
479.0,Saginaw Valley State U.,96,,57,,ne,,32,,0,,27,,5,,0,
480.0,U. of Mary Washington,0,,ne,,ne,,31,,0,,31,,0,,0,
481.0,Mercyhurst U.,74,,95,,55,,30,,0,,10,,20,,0,
482.0,Pittsburg State U.,47,,41,,8,,28,,0,,28,,0,,0,
483.0,Indiana State U.,154,,167,,200,,27,,0,,14,,13,,0,
483.0,Seattle Pacific U.,79,,55,,33,,27,,0,,27,,0,,0,
485.0,"U. Texas, Tyler",53,,25,,35,,26,,0,,26,,0,,0,
486.0,"Minnesota State U., Mankato",81,,49,,33,,25,,0,,23,,2,,0,
486.0,Pepperdine U.,82,i,88,i,57,,25,,0,,24,,1,,0,
488.0,"CUNY, John Jay C. of Criminal Justice",523,,0,,35,,24,,0,,24,,0,,0,
489.0,"U. Tennessee, Chattanooga",126,,40,,48,,22,,0,,22,,0,,0,
490.0,"U. Texas, Permian Basin",0,,0,,10,,20,,0,,20,,0,,0,
491.0,Alfred U.,3,,70,,28,,19,,9,,10,,0,,0,
491.0,Mercer U.,45,,156,,28,,19,,0,,6,,0,,13,
493.0,Barry U.,61,,978,,276,,17,,0,,17,,0,,0,
493.0,U. Central Oklahoma,6,,43,,0,,17,,0,,0,,0,,17,
495.0,Nicholls State U.,15,,3,,21,,16,,12,,4,,0,,0,
496.0,Lake Superior State U.,ne,,ne,,ne,,15,,0,,15,,0,,0,
496.0,"U. Minnesota, Morris",ne,,47,,38,,15,,0,,15,,0,,0,
498.0,Mills C.,0,,20,,7,,13,,0,,13,,0,,0,
499.0,Keene State C.,0,i,0,,286,,12,,0,,0,,0,,12,
499.0,"Purdue U., North Central",43,,18,,8,,12,,0,,12,,0,,0,
501.0,"U. Hawaii, Hilo",19,,145,,0,,11,,0,,0,,11,,0,
502.0,"U. Illinois, Springfield",19,,21,,30,,10,,0,,10,,0,,0,
503.0,Florida Gulf Coast U.,27,,9,,0,,9,,0,,9,,0,,0,
503.0,Hawaii Pacific U.,0,,0,,43,,9,,0,,0,,9,,0,
503.0,"Lincoln U., Jefferson City",88,,1,,4,,9,,0,,0,,9,,0,
506.0,California Maritime Academy,0,,0,,0,,8,,0,,0,,8,,0,
507.0,"Pennsylvania State U., Harrisburg",12,,11,,7,,6,,0,,3,,3,,0,
508.0,Marist C.,ne,,ne,,ne,,5,,0,,5,,0,,0,
509.0,Desert Research Institute,0,,0,,0,,4,,0,,4,,0,,0,
510.0,Albany C. of Pharmacy and Health Sciences,0,,0,,0,,3,,0,,3,,0,,0,
510.0,U. San Francisco,7,,44,,31,,3,,0,,3,,0,,0,
510.0,Western Illinois U.,86,,71,,258,,3,,0,,3,,0,,0,
513.0,Heidelberg U.,ne,,0,,0,,2,,0,,2,,0,,0,
514.0,"California State U., Chico",117,,152,,77,,1,,0,,1,,0,,0,
514.0,"U. Louisiana, Monroe",7,,0,,9,,1,,0,,1,,0,,0,
,All other surveyed institutions,12237,,9577,,4111,,0,,0,,0,,0,,0,
