Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec"
67.0,U. Southern California,19124,,16609,,18985,,16924,,27,,13984,,2913,,0,
68.0,"U. Tennessee, Knoxville",19486,,18067,,18777,,16497,,0,,6942,,9555,,0,
69.0,New Mexico State U.,17728,,16632,,12045,,16454,,6405,,7422,,2483,,144,
70.0,U. Texas M. D. Anderson Cancer Center,15482,,15262,,14590,,16214,,0,,0,,16214,,0,
71.0,U. Delaware,18497,,17004,,16161,,15947,,1798,,8529,,5620,,0,
72.0,U. Kansas,16680,,18227,,17069,,15690,,766,,11562,,3350,,12,
73.0,"Montana State U., Bozeman",21839,,18614,,17373,,15638,,0,,9312,,6322,,4,
74.0,New York U.,15298,,13606,,12935,,15295,,0,,9182,,6113,,0,
75.0,"U. Massachusetts, Lowell",14563,,14194,,15373,,15085,,0,,4550,,10535,,0,
76.0,"U. South Carolina, Columbia",11501,,12180,,14216,,15023,,0,,10748,,4275,,0,
77.0,"U. California, Riverside",15767,,13804,,13423,,14759,,0,,7400,,7359,,0,
78.0,"U. California, Office of the President",13980,,11906,,13646,,14323,,14323,,0,,0,,0,
79.0,"Washington U., Saint Louis",17875,,16520,,14489,,14249,,0,,7875,,6374,,0,
80.0,Carnegie Mellon U.,13608,,12816,,13000,,14162,,0,,4054,,6743,,3365,
81.0,Virginia Polytechnic Institute and State U.,20281,,19439,,14856,,14025,,0,,8526,,4901,,598,
82.0,Georgia State U.,6369,,9336,,9858,i,13791,,1253,,6698,,5840,,0,
83.0,"SUNY, U. Buffalo",17435,,17519,,16872,,13614,,0,,8565,,5049,,0,
84.0,Texas Tech U.,9989,,9792,,12739,,13232,,0,,6853,,6379,,0,
85.0,"U. Texas, Dallas",13837,,14394,,13517,,13175,,4456,,3049,,1662,,4008,
86.0,"Colorado State U., Fort Collins",12155,,14218,,12956,,13059,,0,,9137,,3922,,0,
87.0,"U. Alaska, Fairbanks",9626,,11209,,11526,,12980,,12817,,163,,0,,0,
88.0,U. Oregon,20308,,20647,,18494,,12923,,0,,6532,,6391,,0,
89.0,Temple U.,9570,,10330,,11661,,12886,,0,,6282,,6178,,426,
90.0,"U. Oklahoma, Norman and Health Science Center",12835,,13702,,12972,,12856,,0,,8304,,4552,,0,
91.0,"SUNY, Binghamton U.",9851,,10600,,9807,,11994,,0,,8769,,3225,,0,
92.0,U. Georgia,12340,,11880,,12042,,11700,,0,,7824,,3876,,0,
93.0,"U. Texas, Arlington",10572,,10764,,12448,,11596,,0,,2054,,9487,,55,
94.0,U. Wisconsin-Milwaukee,9782,,9685,,11316,,11375,,0,,5339,,5883,,153,
95.0,"U. Illinois, Chicago",14285,,13021,,12665,,11360,,0,,6296,,5064,,0,
96.0,Naval Postgraduate School,11249,,8304,,10631,,11234,,0,,496,,10251,,487,
97.0,Rochester Institute of Technology,10842,,10413,,10808,,11153,,0,,421,,3239,,7493,
98.0,U. Connecticut,8915,,7877,,9977,,10993,,0,,5900,,5093,,0,
99.0,North Dakota State U.,14364,,14329,,11551,,10951,,0,,8388,,840,,1723,
100.0,U. Southern Mississippi,11697,,11413,,11199,,10862,,0,,10213,,366,,283,
101.0,U. Rochester,14588,,13733,,12422,,10618,,0,,5407,,5211,,0,
102.0,U. Toledo,13625,,12334,,11023,,10467,,964,,3603,,5789,,111,
103.0,Syracuse U.,9121,,8150,,9444,,10311,,0,,2234,,8077,,0,
104.0,"U. South Florida, Tampa",8192,,10629,,10124,,9923,,0,,5090,,4470,,363,
105.0,West Virginia U.,9473,,9583,,9200,,9916,,0,,2496,,7417,,3,
106.0,Rensselaer Polytechnic Institute,13165,,11130,,11342,,9688,,0,,3689,,5999,,0,
107.0,Ohio U.,7488,,6991,,8244,i,9644,i,10,i,2853,i,6362,i,419,i
108.0,Case Western Reserve U.,10786,,12676,,10341,,9583,,285,,4259,,4947,,92,
109.0,Rockefeller U.,8744,,6433,,8055,,9449,,0,,7031,,2418,,0,
110.0,"CUNY, City C.",12466,,10909,,9921,,9361,,0,,5344,,3148,,869,
111.0,"U. Arkansas, Fayetteville",10273,,8261,,8828,,9360,,366,,4915,,4079,,0,
112.0,Howard U.,3397,,2432,,1513,,9113,,0,,8607,,506,,0,
113.0,"U. Puerto Rico, Rio Piedras",11994,,10218,,8673,,9100,,0,,5147,,3468,,485,
114.0,"U. Alabama, Huntsville",7368,,8232,,7808,,9075,,5223,,999,,2769,,84,
115.0,Brandeis U.,7983,,7846,,8925,i,9043,i,0,i,2792,i,6251,i,0,i
116.0,U. Mississippi,15527,,12957,,11794,,9033,,0,,1991,,7042,,0,
117.0,Clemson U.,7774,,9049,,8681,,9028,,0,,3673,,4415,,940,
118.0,U. Miami,4932,,5931,,6719,,9018,,0,,2086,,6932,,0,
119.0,Kent State U.,10992,,9464,,11342,,8974,,0,,2690,,4257,,2027,
120.0,Kansas State U.,11314,,11038,,9778,,8956,,0,,3034,,5922,,0,
121.0,Dartmouth C.,8475,,8493,,9244,,8904,,0,,3396,,5508,,0,
122.0,U. New Mexico,12789,,11341,,9984,,8853,,0,,2953,,5900,,0,
123.0,"Oklahoma State U., Stillwater",8762,,7528,,8273,,8636,,0,,5051,,3585,,0,
124.0,Florida International U.,4945,,6865,,5296,,8314,,0,,3914,,4274,,126,
125.0,Boston C.,9991,,9070,,9547,,8297,,0,,5384,,2913,,0,
126.0,San Diego State U.,5064,,7169,,9819,,8216,,765,,1689,,5762,,0,
127.0,Mississippi State U.,6857,,7188,,8598,,7635,,0,,4431,,3204,,0,
128.0,New Jersey Institute of Technology,13174,,14239,,12081,,7571,,0,,2239,,5332,,0,
129.0,"U. North Texas, Denton",8092,,8431,,6616,,7331,,0,,3913,,3418,,0,
130.0,Jackson State U.,15450,,14239,,7282,,7213,,0,,4881,,2332,,0,
131.0,U. Kentucky,10499,,10470,,9010,,7163,,0,,3562,,3601,,0,
132.0,Idaho State U.,7054,,5264,,4847,,6997,,0,,377,,6620,,0,
133.0,"U. Texas, El Paso",6800,,6866,,6326,,6990,,0,,3112,,1900,,1978,
134.0,Baylor U.,2533,,3931,,6181,,6829,,0,,4261,,2568,,0,
135.0,U. Cincinnati,7197,,8712,,7954,,6775,,0,,3699,,3076,,0,
136.0,C. of William and Mary and Virginia Institute of Marine Science,8819,,7488,,7849,,6770,,0,,235,,6535,,0,
137.0,"U. Nevada, Las Vegas",6103,,5879,,6778,,6745,,0,,3706,,3037,,2,
138.0,"U. Texas, San Antonio",5036,,4755,,4867,,6646,,0,,3401,,3245,,0,
139.0,Colorado School of Mines,6804,,7637,,6248,,6643,,0,,2631,,4012,,0,
140.0,"U. Maryland, Baltimore County",7871,,7454,,7997,,6614,,0,,3572,,3042,,0,
141.0,Tufts U.,6450,,6347,,6381,,6504,,0,,4861,,1643,,0,
142.0,"U. Missouri, Columbia",6996,,7780,,7375,,6364,,0,,3642,,2722,,0,
143.0,Old Dominion U.,11888,,10483,,7598,,6363,,0,,2374,,3989,,0,
144.0,Virginia Commonwealth U.,5525,,8657,,7503,,6350,,0,,4982,,1368,,0,
145.0,"U. Nevada, Reno",7337,,6480,,6591,,6347,,0,,1762,,3807,,778,
146.0,"U. Alabama, Tuscaloosa",7989,,7647,,6730,,6118,,174,,2851,,3093,,0,
147.0,Illinois Institute of Technology,4650,,4691,,5320,,6011,,469,,304,,5101,,137,
148.0,Fisk U.,4058,,4724,i,6409,,5918,i,0,i,0,i,5918,i,0,i
149.0,Air Force Institute of Technology,7214,,5986,,5577,,5764,,0,,0,,5764,,0,
150.0,Georgetown U.,5643,,4873,,5126,,5746,,0,,3835,,1911,,0,
151.0,U. Rhode Island,6783,,6852,,3989,,5723,,0,,5014,,202,,507,
152.0,"U. California, Merced",3751,,2523,,2800,,5714,,0,,3821,,1893,,0,
153.0,"CUNY, Hunter C.",7064,,7229,,6141,,5585,,164,,3921,,1500,,0,
154.0,Lehigh U.,4754,,5285,,5618,,5290,,0,,3353,,1937,,0,
155.0,Tulane U.,4722,,4555,,3575,,4946,,0,,2785,,2161,,0,
156.0,"Brigham Young U., Provo",4911,,3768,,3477,,4869,,0,,3125,,1744,,0,
157.0,Hampton U.,9101,,6715,,4064,,4769,,0,,119,,4650,,0,
158.0,"Auburn U., Auburn",5363,,5847,,5770,,4678,,0,,1558,,3120,,0,
159.0,Georgia Southern U.,784,,1411,,1541,,4554,,0,,4308,,246,,0,
160.0,"SUNY, U. Albany",3122,,3016,,4149,,4531,,0,,3650,,881,,0,
161.0,Xavier U. Louisiana,4663,,3481,,4299,,4442,,0,,4187,,0,,255,
162.0,Utah State U.,5839,,5344,,4365,,4366,,0,,2241,,777,,1348,
163.0,George Washington U.,4970,,6068,,5078,,4291,,67,,1730,,2494,,0,
164.0,U. Wyoming,4494,,4724,,3578,,4068,,0,,2203,,1865,,0,
165.0,U.S. Air Force Academy,5462,,3356,,4004,i,4044,,0,,801,,3243,,0,
166.0,Duquesne U.,4807,,4283,,4584,,3959,,0,,3740,,219,,0,
167.0,North Carolina Central U.,1150,,187,,2214,,3932,,0,,726,,3206,,0,
168.0,U. South Dakota,7857,,8346,,6693,,3894,,0,,2652,,1242,,0,
169.0,George Mason U.,7103,,6362,,4650,,3825,,2319,,109,,1307,,90,
170.0,U. Metropolitana,7089,,5178,,4034,,3642,,3642,,0,,0,,0,
171.0,San Francisco State U.,3088,,3159,,3322,,3590,,656,,2067,,867,,0,
172.0,"U. Puerto Rico, Mayaguez",3955,,3841,,3742,,3514,,0,,2974,,540,,0,
173.0,Missouri U. of Science and Technology,2945,,3848,,3509,,3472,,0,,2939,,533,,0,
174.0,"California State U., Northridge",4409,,2919,,4258,,3441,,192,,880,,2369,,0,
175.0,"U. North Carolina, Charlotte",2992,,3022,,2568,,3413,,0,,447,,2966,,0,
176.0,Western Kentucky U.,6638,,4611,,3561,,3406,,164,,2280,,813,,149,
177.0,Portland State U.,9294,,6517,,4240,,3403,,0,,2744,,659,,0,
178.0,U. New Orleans,5841,,5210,,4358,,3314,,0,,2684,,630,,0,
179.0,Wake Forest U.,3883,,2922,,3100,,3304,,0,,566,,2738,,0,
180.0,Bowling Green State U.,3957,,6342,,2970,,3232,,0,,2685,,194,,353,
181.0,"U. Montana, Missoula",3310,,3212,,2376,,3203,,0,,2558,,645,,0,
182.0,Michigan Technological U.,4939,,5061,,2978,,3103,,0,,1089,,2014,,0,
183.0,Delaware State U.,2782,,2977,,2644,,3009,,0,,861,,2148,,0,
184.0,Texas State U.,1877,,4096,,2141,,3007,,0,,2182,,758,,67,
185.0,Miami U.,925,,3686,i,3328,,3004,,0,,2514,,280,,210,
186.0,"U. Alabama, Birmingham",3292,,2881,,2819,,3003,,0,,781,,2222,,0,
187.0,Oregon State U.,5018,,3334,,3681,,2968,,0,,2243,,599,,126,
188.0,Clark Atlanta U.,4034,,3334,,3076,,2938,,0,,2418,,520,,0,
189.0,South Dakota State U.,3406,,3542,,2824,,2898,,0,,2820,,78,,0,
190.0,Wright State U.,3310,,3173,,2913,,2865,,0,,710,,2153,,2,
191.0,Southern Methodist U.,2912,,2781,,2656,,2640,,0,,723,,1917,,0,
192.0,Morehouse C.,1638,,2904,,2786,,2632,,0,,0,,108,,2524,
193.0,U. Denver,3215,,3681,,2982,,2589,,137,,1930,,522,,0,
194.0,Florida Institute of Technology,2433,,2281,,3413,i,2586,,0,,1124,,1462,,0,
195.0,Louisiana Tech U.,3409,,2692,,2513,,2560,,0,,1405,,1067,,88,
195.0,Northern Illinois U.,3005,,3098,,3561,i,2560,,0,,444,,2116,,0,
197.0,"U. North Carolina, Greensboro",1993,,2066,,3098,,2492,,0,,2074,,418,,0,
198.0,Oakland U.,3755,,2894,,2398,,2487,,0,,1240,,1247,,0,
199.0,U. Idaho,2638,,2446,,2438,,2470,,357,,1602,,484,,27,
200.0,"U. Texas, Brownsville",4499,,7129,,3546,,2410,,1294,,68,,561,,487,
201.0,Drexel U.,2563,,1948,,1702,,2327,,0,,180,,2147,,0,
202.0,U. New Hampshire,3208,,2804,,2492,,2312,,0,,737,,1150,,425,
