Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All environmental sciences,Unnamed: 10,Atmospheric sciences,Unnamed: 12,Earth sciences,Unnamed: 14,Oceanography,Unnamed: 16,"Environmental sciences, nec",Unnamed: 18,shift
All institutions,2203399,,2094690,,2050512,,2067030,,455561,,696323,,648494,,266652,,,,-1
1.0,U. Colorado Boulder,93629,,90634,,90720,,123179.0,,97551.0,,13638.0,,678.0,,11312.0,,,0
2.0,"Colorado State U., Fort Collins",112779,,82378,,88524,,102038.0,,32838.0,,66096.0,,0.0,,3104.0,,,0
3.0,Woods Hole Oceanographic Institution,117304,,105787,,110763,,97457.0,,0.0,,0.0,,97457.0,,0.0,,,0
4.0,"U. Washington, Seattle",145483,,100663,,98395,,96457.0,,41940.0,,5805.0,,47681.0,,1031.0,,,0
5.0,"U. California, San Diego",93784,,89805,,87910,,90156.0,,9711.0,,14155.0,,66290.0,,0.0,,,0
6.0,"Texas A&M U., College Station and Health Science Center",71476,,81881,,81904,,82591.0,,3565.0,,9245.0,,62822.0,,6959.0,,,0
7.0,Columbia U. in the City of New York,85107,,80138,,78284,,77913.0,,13399.0,,26576.0,,36889.0,,1049.0,,,0
8.0,"U. Hawaii, Manoa",54281,,66856,,62140,,58643.0,,2383.0,,15805.0,,39118.0,,1337.0,,,0
9.0,U. Miami,46267,,41533,,46922,,47919.0,,35151.0,,89.0,,11124.0,,1555.0,,,0
10.0,"U. Alaska, Fairbanks",47436,,47556,,49523,,46010.0,,5789.0,,23102.0,,13659.0,,3460.0,,,0
11.0,U. New Hampshire,57017,,51927,,49415,,42520.0,,18867.0,,10118.0,,13535.0,,0.0,,,0
12.0,Oregon State U.,42691,,39415,,40016,,39410.0,,2985.0,,5682.0,,18332.0,,12411.0,,,0
13.0,Massachusetts Institute of Technology,31692,,35161,,38927,,38881.0,,8018.0,,12724.0,,5414.0,,12725.0,,,0
14.0,"U. Maryland, College Park",28799,,34797,,34745,,37464.0,,1347.0,,36117.0,,0.0,,0.0,,,0
15.0,U. Wisconsin-Madison,37449,,37285,,36405,,36534.0,,26306.0,,5513.0,,556.0,,4159.0,,,0
16.0,"Pennsylvania State U., University Park and Hershey Medical Center",32686,,33124,,38211,,34521.0,,14231.0,,16235.0,,4055.0,,0.0,,,0
17.0,Johns Hopkins U.a,37423,,35698,,31806,,29004.0,,2939.0,,8327.0,,4506.0,,13232.0,,,0
18.0,Arizona State U.,23697,,25211,,27250,,28288.0,,0.0,,28288.0,,0.0,,0.0,,,0
19.0,U. Rhode Island,36239,,32677,,27643,,26460.0,,303.0,,3698.0,,19865.0,,2594.0,,,0
20.0,California Institute of Technology,13634,,15374,,18722,,23607.0,,6838.0,,16769.0,,0.0,,0.0,,,0
21.0,"U. Oklahoma, Norman and Health Science Center",21701,,22223,,19779,,23200.0,,20423.0,,2777.0,,0.0,,0.0,,,0
22.0,Harvard U.,20973,,22728,,23315,,22822.0,,263.0,,4934.0,,0.0,,17625.0,,,0
23.0,"U. Texas, Austin",25697,,25405,,21481,,22345.0,,0.0,,18873.0,,2977.0,,495.0,,,0
24.0,"Rutgers, State U. New Jersey, New Brunswick",20397,,19167,,19218,,20311.0,,2062.0,,175.0,,14750.0,,3324.0,,,0
25.0,U. Wyoming,26044,,25755,,14931,,18898.0,,4359.0,,1684.0,,0.0,,12855.0,,,0
26.0,"U. California, Los Angeles",12590,,14247,,14485,,18212.0,,4253.0,,11963.0,,0.0,,1996.0,,,0
27.0,"U. North Carolina, Chapel Hill",20266,,20106,,18499,,17326.0,,0.0,,12211.0,,3249.0,,1866.0,,,0
28.0,U. Arizona,13597,,16261,,14880,,16684.0,,2101.0,,9192.0,,0.0,,5391.0,,,0
29.0,U. Southern California,15251,,11697,,12421,,15564.0,,0.0,,11062.0,,4502.0,,0.0,,,0
30.0,North Carolina State U.,11504,,13195,,13645,,15201.0,,6046.0,,0.0,,1906.0,,7249.0,,,0
31.0,"U. California, Santa Barbara",15815,,8916,,9675,,14325.0,,0.0,,7003.0,,7322.0,,0.0,,,0
32.0,Georgia Institute of Technology,11210,,11542,,11543,,14223.0,,5665.0,,188.0,,0.0,,8370.0,,,0
33.0,"SUNY, Stony Brook U.",13389,,12734,,14063,,14008.0,,0.0,,4840.0,,9168.0,,0.0,,,0
34.0,Princeton U.,12947,,11877,,11592,,13918.0,,6256.0,,3823.0,,0.0,,3839.0,,,0
35.0,"U. Maryland, Baltimore County",13343,,13134,,12917,,13770.0,,0.0,,13770.0,,0.0,,0.0,,,0
36.0,U. Delaware,15062,,14922,,14318,,13049.0,,0.0,,2081.0,,7366.0,,3602.0,,,0
37.0,C. of William and Mary and Virginia Institute of Marine Science,12430,,11981,,11467,,12669.0,,0.0,,42.0,,12627.0,,0.0,,,0
38.0,"U. California, Santa Cruz",12325,,13333,,13197,,12352.0,,0.0,,2129.0,,5233.0,,4990.0,,,0
39.0,San Jose State U.,5050,,6696,,9196,,11912.0,,305.0,,446.0,,11138.0,,23.0,,,0
40.0,Desert Research Institute,25519,,20821,,18277,,11808.0,,3808.0,,7775.0,,0.0,,225.0,,,0
41.0,Duke U.,12510,,11334,,10936,,11559.0,,0.0,,1979.0,,3749.0,,5831.0,,,0
