Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
,All institutions,4000614,,127302,,2312980,,99419,,137354,,14657,,51422,,63663,,1088357,,105460,
1.0,Duke U.,240640,,68,,238279,,56,,291,,78,,392,,0,,1104,,372,
2.0,"SUNY, Polytechnic Institute",187237,,0,,435,,0,,0,,0,,0,,0,,186802,,0,
3.0,Massachusetts Institute of Technology,150001,,5600,,9146,,12104,,4524,,0,,1069,,10586,,69732,,37240,
4.0,Ohio State U.,119272,,330,,70852,,5453,,544,,26,,89,,581,,40270,,1127,
5.0,U. Pennsylvania,97755,,0,,93697,,283,,1090,,351,,34,,0,,1461,,839,
6.0,Stanford U.,90177,,9396,,51375,,2513,,8189,,123,,600,,0,,17748,,233,
7.0,"U. California, San Diego",84672,,3016,,62351,,2503,,2755,,1399,,326,,84,,12223,,15,
8.0,U. Texas M. D. Anderson Cancer Center,81076,,0,,79424,,29,,561,,874,,188,,0,,0,,0,
9.0,"U. California, Berkeley",75480,,172,,4570,,281,,6586,,87,,3799,,31422,,26398,,2165,
10.0,"U. Texas, Austin",75268,,21736,,2423,,3135,,3258,,59,,926,,305,,39610,,3816,
11.0,"Texas A&M U., College Station and Health Science Center",71559,,1483,,15654,,351,,252,,2,,402,,4,,53340,,71,
12.0,U. Utah,69856,,860,,35612,,1817,,64,,0,,180,,0,,31323,,0,
13.0,"U. California, San Francisco",69101,,0,,65165,,0,,3936,,0,,0,,0,,0,,0,
14.0,Johns Hopkins U.a,66221,,174,,61937,,184,,157,,0,,66,,18,,3631,,54,
15.0,"U. Michigan, Ann Arbor",60408,,112,,36919,,162,,564,,204,,607,,0,,21656,,184,
16.0,"Washington U., Saint Louis",56524,,0,,55157,,110,,0,,326,,0,,0,,477,,454,
17.0,"U. California, Los Angeles",55613,,165,,42464,,954,,2592,,589,,91,,1444,,6692,,622,
18.0,North Carolina State U.,52836,,1206,,24358,,2707,,782,,233,,1941,,988,,19970,,651,
19.0,"U. Alabama, Birmingham",48540,,6067,,41947,,0,,3,,5,,0,,0,,516,,2,
20.0,Harvard U.,48177,,2860,,30819,,216,,4062,,59,,2532,,4410,,2810,,409,
21.0,"U. Illinois, Urbana-Champaign",45550,,368,,14804,,5107,,3480,,2392,,350,,38,,18186,,825,
22.0,Yale U.,43666,,0,,40287,,53,,968,,134,,625,,76,,1224,,299,
23.0,"U. Washington, Seattle",42081,,3369,,29468,,1163,,666,,71,,0,,0,,7205,,139,
24.0,"Purdue U., West Lafayette",42017,,72,,15450,,2615,,2887,,95,,226,,1,,20083,,588,
25.0,U. Florida,41375,,39,,34123,,169,,1707,,41,,46,,0,,5213,,37,
26.0,Georgia Institute of Technology,41092,,107,,251,,9463,,1243,,254,,462,,36,,29203,,73,
27.0,U. Colorado Denver and Anschutz Medical Campus,40956,,0,,40800,,45,,16,,0,,16,,0,,65,,14,
28.0,"U. California, Davis",40945,,1890,,26777,,710,,644,,8,,313,,0,,9890,,713,
29.0,Cornell U.,40690,,27,,35389,,935,,706,,0,,121,,0,,3512,,0,
30.0,Icahn School of Medicine at Mt. Sinai,40181,,0,,40181,,0,,0,,0,,0,,0,,0,,0,
31.0,Columbia U. in the City of New York,39629,,1017,,33285,,1470,,596,,52,,195,,0,,2965,,49,
32.0,Vanderbilt U.,34673,,0,,28787,,0,,335,,0,,3,,95,,1382,,4071,
33.0,"Pennsylvania State U., University Park and Hershey Medical Center",33715,,674,,7939,,1557,,1526,,178,,532,,0,,17639,,3670,
34.0,U. Southern California,32862,,1,,23525,,1048,,2003,,1,,541,,0,,5393,,350,
35.0,Emory U.,31863,,0,,31699,,0,,80,,0,,84,,0,,0,,0,
36.0,Wichita State U.,31257,,0,,0,,0,,0,,36,,0,,0,,30587,,634,
37.0,Virginia Polytechnic Institute and State U.,30292,,383,,7292,,328,,1510,,302,,131,,0,,20293,,53,
38.0,U. Miami,29842,,4760,,23876,,18,,131,,307,,1,,0,,748,,1,
39.0,Scripps Research Institute,29798,,0,,29798,,0,,0,,0,,0,,0,,0,,0,
40.0,"U. North Carolina, Chapel Hill",28998,,724,,25618,,192,,1370,,133,,357,,0,,105,,499,
41.0,"U. South Florida, Tampa",28327,,46,,23431,,237,,29,,207,,0,,0,,2398,,1979,
42.0,"SUNY, U. Buffalo",27077,,0,,13889,,46,,320,,0,,5,,0,,12425,,392,
43.0,U. Chicago,26198,,0,,25202,,77,,316,,0,,0,,0,,453,,150,
44.0,U. Cincinnati,26109,,0,,16894,,40,,83,,0,,2253,,519,,5319,,1001,
45.0,"U. Minnesota, Twin Cities",25520,,47,,18284,,786,,1359,,155,,149,,0,,4618,,122,
46.0,U. Wisconsin-Madison,23708,,564,,15816,,890,,1441,,0,,30,,0,,4613,,354,
47.0,"Rutgers, State U. New Jersey, New Brunswick",23398,,478,,18618,,465,,751,,27,,730,,0,,2298,,31,
48.0,Carnegie Mellon U.,22833,,0,,0,,11953,,236,,11,,186,,65,,10382,,0,
49.0,New York U.,22825,,0,,18299,,265,,873,,425,,867,,0,,721,,1375,
50.0,Northwestern U.,21615,,0,,21615,,0,,0,,0,,0,,0,,0,,0,
51.0,U. Texas Southwestern Medical Center,20906,,0,,20906,,0,,0,,0,,0,,0,,0,,0,
52.0,"U. California, Santa Barbara",20689,,2798,,1710,,1590,,2965,,611,,71,,0,,10910,,34,
53.0,U. Iowa,19873,,1,,12577,,38,,338,,74,,4246,,0,,2226,,373,
54.0,"Indiana U., Bloomington",19616,,241,,16444,,474,,2007,,0,,0,,0,,0,,450,
55.0,Oregon Health and Science U.,18816,,0,,17918,,0,,0,,0,,0,,7,,891,,0,
56.0,Clemson U.,18265,,0,,3508,,490,,491,,35,,769,,0,,9388,,3584,
57.0,U. Rochester,18056,,103,,16311,,75,,174,,234,,0,,0,,1159,,0,
58.0,"U. Virginia, Charlottesville",17404,,75,,11999,,224,,60,,22,,12,,0,,4948,,64,
59.0,Colorado School of Mines,16570,,6572,,0,,0,,574,,0,,0,,0,,9424,,0,
60.0,"U. Pittsburgh, Pittsburgh",16531,,138,,14829,,188,,16,,0,,0,,34,,1265,,61,
61.0,Iowa State U.,16319,,1,,7707,,118,,33,,0,,13,,278,,8122,,47,
62.0,Baylor C. of Medicine,16083,,0,,16083,,0,,0,,0,,0,,0,,0,,0,
63.0,U. Arizona,15558,,718,,6198,,110,,4248,,6,,106,,0,,4080,,92,
64.0,"U. California, Irvine",15369,,196,,9712,,780,,1464,,161,,248,,0,,2798,,10,
65.0,Medical U. South Carolina,15021,,0,,15021,,0,,0,,0,,0,,0,,0,,0,
66.0,U. Georgia,14737,,848,,12458,,19,,10,,192,,336,,0,,587,,287,
67.0,"U. Louisiana, Lafayette",14462,,2,,10029,,245,,0,,0,,0,,0,,4136,,50,
68.0,Arizona State U.,14312,,142,,927,,849,,198,,18,,343,,2364,,8371,,1100,
69.0,U. Tulsa,14145,,37,,16,,5,,55,,0,,7,,0,,14025,,0,
70.0,U. Kansas,14017,,486,,12114,,48,,205,,8,,7,,0,,1047,,102,
71.0,"U. Maryland, Baltimore",13244,,47,,13197,,0,,0,,0,,0,,0,,0,,0,
72.0,California Institute of Technology,13054,,924,,1106,,23,,390,,0,,0,,0,,10014,,597,
73.0,Washington State U.,12548,,197,,10065,,1,,446,,62,,134,,23,,1619,,1,
74.0,U. North Dakota,12180,,344,,10,,0,,14,,0,,0,,0,,11707,,105,
75.0,West Virginia U.,12107,,266,,9841,,0,,0,,15,,81,,0,,1875,,29,
76.0,"U. Nebraska, Lincoln",12085,,27,,8395,,164,,136,,51,,117,,962,,2148,,85,
77.0,Rush U.,11856,,0,,11856,,0,,0,,0,,0,,0,,0,,0,
78.0,"Colorado State U., Fort Collins",11345,,275,,4985,,0,,1626,,0,,270,,0,,4120,,69,
79.0,"U. Arkansas, Fayetteville",11097,,124,,8671,,0,,48,,0,,38,,0,,2055,,161,
80.0,Texas Tech U.,11033,,827,,3708,,124,,1659,,112,,1386,,0,,1703,,1514,
81.0,U. Colorado Boulder,10961,,413,,408,,354,,669,,33,,2127,,214,,6504,,239,
82.0,Rice U.,10930,,317,,280,,1502,,2911,,0,,0,,0,,5920,,0,
83.0,Mississippi State U.,10854,,332,,8728,,21,,302,,2,,268,,34,,1167,,0,
84.0,Case Western Reserve U.,10782,,0,,6514,,0,,432,,0,,0,,0,,3812,,24,
85.0,U. Kentucky,10574,,24,,8064,,10,,11,,17,,81,,0,,2123,,244,
86.0,"Louisiana State U., Baton Rouge",10535,,921,,6883,,126,,193,,23,,62,,87,,2130,,110,
87.0,Medical C. Wisconsin,10135,,0,,10135,,0,,0,,0,,0,,0,,0,,0,
88.0,U. Connecticut,10073,,22,,3780,,58,,892,,182,,30,,0,,5084,,25,
89.0,Boston U.,9964,,0,,7885,,128,,915,,0,,94,,0,,913,,29,
90.0,"U. Texas Health Science Center, Houston",9850,,0,,9850,,0,,0,,0,,0,,0,,0,,0,
91.0,Oregon State U.,9792,,208,,5453,,343,,44,,0,,49,,84,,3611,,0,
92.0,U. Houston,9604,,1587,,841,,309,,1685,,425,,8,,0,,4451,,298,
93.0,"U. Massachusetts, Medical School",9452,,0,,9452,,0,,0,,0,,0,,0,,0,,0,
94.0,"U. South Carolina, Columbia",9411,,437,,3901,,0,,2507,,31,,546,,0,,1739,,250,
95.0,Thomas Jefferson U.,9315,,0,,9315,,0,,0,,0,,0,,0,,0,,0,
96.0,Michigan State U.,9199,,11,,4172,,314,,660,,4,,101,,95,,2198,,1644,
97.0,Tufts U.,9151,,0,,6811,,55,,180,,0,,508,,0,,1224,,373,
98.0,"U. Oklahoma, Norman and Health Science Center",9114,,806,,6124,,0,,169,,14,,66,,0,,1935,,0,
99.0,Wake Forest U.,9013,,0,,8350,,39,,624,,0,,0,,0,,0,,0,
100.0,"U. Texas, Arlington",8751,,259,,3310,,262,,805,,7,,270,,0,,3356,,482,
101.0,Princeton U.,8641,,2223,,206,,169,,2788,,128,,0,,0,,3127,,0,
102.0,"U. California, Santa Cruz",8571,,321,,235,,371,,1126,,48,,165,,1341,,4931,,33,
103.0,U. New Hampshire,8568,,754,,514,,85,,52,,74,,92,,0,,6664,,333,
104.0,Northeastern U.,8507,,117,,2674,,320,,847,,295,,356,,0,,3715,,183,
105.0,U. Mississippi,8476,,5477,,2492,,67,,0,,0,,1,,0,,436,,3,
106.0,U. Central Florida,8175,,836,,363,,836,,1708,,0,,47,,1,,2283,,2101,
107.0,"U. Maryland, College Park",8144,,0,,1118,,626,,1323,,81,,934,,0,,3989,,73,
108.0,Mercer U.,8055,,0,,1435,,0,,0,,0,,0,,0,,6620,,0,
109.0,"U. Texas Health Science Center, San Antonio",7856,,0,,7856,,0,,0,,0,,0,,0,,0,,0,
110.0,Rensselaer Polytechnic Institute,7715,,0,,0,,2262,,553,,60,,32,,0,,4808,,0,
111.0,Temple U.,7632,,0,,7391,,0,,147,,0,,0,,0,,91,,3,
112.0,"U. Nebraska, Medical Center",7585,,0,,7585,,0,,0,,0,,0,,0,,0,,0,
113.0,Woods Hole Oceanographic Institution,7472,,3559,,0,,0,,0,,0,,0,,0,,3913,,0,
114.0,Georgia Southern U.,7419,,82,,351,,0,,3379,,39,,186,,0,,3382,,0,
115.0,"U. Massachusetts, Amherst",7393,,0,,1320,,390,,2359,,10,,680,,0,,2529,,105,
116.0,Georgetown U.,7260,,0,,6976,,0,,56,,0,,60,,0,,0,,168,
117.0,"SUNY, Stony Brook U.",6957,,187,,2800,,1141,,451,,5,,184,,732,,1457,,0,
118.0,Virginia Commonwealth U.,6924,,85,,6158,,34,,67,,37,,59,,0,,261,,223,
119.0,Michigan Technological U.,6876,,1193,,0,,178,,0,,49,,3,,0,,5453,,0,
120.0,"Southern Illinois U., Carbondale",6807,,31,,5820,,15,,76,,0,,19,,96,,750,,0,
121.0,"U. California, Riverside",6726,,99,,3311,,221,,220,,0,,37,,0,,2824,,14,
122.0,Dartmouth C.,6621,,0,,5433,,126,,0,,0,,0,,0,,1062,,0,
123.0,Wayne State U.,6596,,0,,5600,,39,,342,,19,,31,,0,,494,,71,
124.0,"U. Illinois, Chicago",6519,,0,,5889,,113,,0,,0,,70,,0,,447,,0,
125.0,"U. Hawaii, Manoa",6502,,1463,,1799,,0,,44,,0,,74,,2720,,399,,3,
126.0,"U. Texas, Dallas",6357,,128,,118,,278,,119,,5,,30,,51,,5461,,167,
127.0,"U. Tennessee, Knoxville",6333,,215,,282,,911,,278,,0,,205,,0,,4442,,0,
128.0,U. Dayton,6271,,31,,5,,495,,227,,0,,0,,0,,5513,,0,
129.0,"Auburn U., Auburn",6165,,0,,3947,,0,,26,,0,,0,,0,,2164,,28,
130.0,Ohio U.,6118,,187,,462,,0,,108,,0,,70,,0,,5171,,120,
131.0,"Oklahoma State U., Stillwater",5676,,907,,3069,,224,,255,,73,,163,,42,,816,,127,
132.0,Rockefeller U.,5539,,0,,5539,,0,,0,,0,,0,,0,,0,,0,
