Field,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
All R&D fieldsa,49645341,51590017,54113750,57288415,61253743,65274305,65729006,67013137,67199635,68667801
Science,40663615,41977651,43914300,46214473,49032201,51955662,51914451,52621088,52795079,53973580
Computer sciences,1443055,1430660,1471454,1600447,1639054,1742485,1822318,2068518,1927125,1963572
Environmental sciences,2601097,2681473,2798750,2923404,2991852,3153192,3172919,3195421,3230001,3249068
Atmospheric sciences,507583,446184,423055,416826,429354,481275,476729,493460,501667,576460
Earth sciences,897499,910886,950631,1019429,1085000,1142653,1168946,1163784,1159665,1110057
Oceanography,839504,992484,1051136,1077634,1021856,1049629,1025396,1051383,1072122,1051652
"Environmental sciences, nec",356511,331919,373928,409515,455642,479635,501848,486794,496547,510899
Life sciences,28803658,29805328,31192916,32778944,34948346,37337511,37200134,37565750,37961141,38820016
Agricultural sciences,2796961,2913260,2995518,3055512,2986456,3116839,3300097,3352448,3389720,3464738
Biological sciences,9049032,9207593,9760099,10146059,10935508,11855494,11611633,11681425,11705921,11710677
Medical sciences,15805806,16553616,17254161,18229453,19267742,20398355,20330412,20454601,20710816,21347494
"Life sciences, nec",1151859,1130859,1183138,1347920,1758640,1966823,1957992,2077276,2154684,2297107
Mathematical sciences,532832,573070,619854,546915,594244,640460,674445,670802,657901,641712
Physical sciences,3813770,3863269,3931833,4282795,4622928,4768923,4709976,4646802,4616558,4711297
Astronomy,469955,467604,539112,578406,573229,583843,706544,558781,567025,672838
Chemistry,1414311,1460415,1486721,1582562,1750222,1783553,1748881,1703959,1723824,1758127
Physics,1611248,1615766,1606997,1869890,1998131,2108520,1985828,2097064,2056085,2052860
"Physical sciences, nec",318256,319484,299003,251937,301346,293007,268723,286998,269624,227472
Psychology,875641,872547,925069,972319,1078311,1159199,1179288,1128267,1141626,1184016
Social sciences,1706003,1803115,1949741,2080953,1996863,2063056,2053639,2173148,2215748,2321892
Economics,339800,349313,398730,379720,350086,387069,383405,408162,430236,461574
Political science,317044,348310,339294,368887,374503,370705,390058,427524,427014,460196
Sociology,399697,397748,403226,408444,420284,433499,461011,482294,505377,524867
"Social sciences, nec",649462,707744,808491,923902,851990,871783,819165,855168,853121,875255
"Sciences, nec",887559,948189,1024683,1028696,1160603,1090836,1101732,1172380,1044979,1082007
Engineering,7095085,7517262,7957504,8648525,9324604,10032588,10284113,10733856,10976410,11070258
Aeronautical and astronautical engineering,385254,471097,537251,613828,635234,667757,662444,689553,662420,734144
Bioengineering and biomedical engineering,477119,539137,601908,648099,744124,817389,871918,884360,951723,1003803
Chemical engineering,560005,598944,655603,695842,821040,913904,903613,910412,907028,914713
Civil engineering,858346,862260,924620,980451,1106723,1208592,1232944,1296971,1256865,1288098
Electrical engineering,1615996,1636983,1704953,1844482,2049832,2206893,2311666,2408824,2479754,2493901
Mechanical engineering,1048506,1126726,1162428,1243910,1458707,1556893,1550151,1647643,1504646,1515893
Metallurgical and materials engineering,643244,632941,646523,688225,703914,738892,757967,812240,1203035,1096021
"Engineering, nec",1506615,1649174,1724218,1933688,1805030,1922268,1993410,2083853,2010939,2023685
Non-S&Ea,1886641,2095104,2241946,2425417,2896938,3286055,3530442,3658193,3428146,3623963
Business and management,247335,276280,329931,343916,368461,400324,443084,476106,483025,571483
"Communications, journalism, and library science",84784,90832,89203,107484,129906,153727,159930,148901,166860,168496
Education,819004,905247,868830,915976,994073,1120698,1233956,1221460,1245353,1292225
Humanities,217263,241683,246713,255289,262678,313004,339632,386754,402125,430284
Law,69387,74809,90907,107966,98064,124763,131529,173479,148771,174524
Social work,89993,93540,123984,138283,177329,194656,199308,212331,226048,215652
Visual and performing arts,46100,46155,59285,72867,66419,77344,84612,87767,95817,100716
"Non-S&E, nec",312774,366448,432965,483636,800008,901539,938391,951395,660147,670583
