Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  ",Unnamed: 24,shift
All institutions,10733856,,10976410,,11070258,,734144,,1003803,,914713,,1288098,,2493901,,1515893,,1096021,,2023685,,,,-1
1.0,Johns Hopkins U.a,878969,i,935105,i,991937.0,i,84382.0,i,37798.0,i,11741.0,i,19377.0,i,459635.0,i,151893.0,i,11081.0,i,216030.0,i,,0
2.0,Georgia Institute of Technology,503466,,505384,,533329.0,,57043.0,,31544.0,,32687.0,,30329.0,,216149.0,,102488.0,,25634.0,,37455.0,,,0
3.0,Massachusetts Institute of Technology,420307,,403208,,416402.0,,25605.0,,75316.0,,33225.0,,27703.0,,55603.0,,60088.0,,30188.0,,108674.0,,,0
4.0,"Texas A&M U., College Station and Health Science Center",278536,,291643,,298538.0,,10639.0,,11160.0,,38056.0,,89625.0,,32830.0,,36901.0,,6933.0,,72394.0,,,0
5.0,"Pennsylvania State U., University Park and Hershey Medical Center",320195,,302833,,296692.0,,16509.0,,5925.0,,12445.0,,21558.0,,88443.0,,73514.0,,78298.0,,0.0,,,0
6.0,"SUNY, Polytechnic Institute",na,,408504,,290663.0,,0.0,,0.0,,0.0,,0.0,,55.0,,26.0,,290582.0,,0.0,,,0
7.0,"U. Michigan, Ann Arbor",244187,,251302,,254505.0,,13587.0,,12575.0,,13386.0,,19828.0,,65786.0,,31987.0,,12321.0,,85035.0,,,0
8.0,Virginia Polytechnic Institute and State U.,214485,,228570,,225702.0,,11344.0,,12522.0,,3517.0,,59867.0,,49920.0,,30596.0,,13080.0,,44856.0,,,0
9.0,"U. Texas, Austin",206033,,206531,,216821.0,,11439.0,,8145.0,,51920.0,,32605.0,,42255.0,,8652.0,,17613.0,,44192.0,,,0
10.0,"Purdue U., West Lafayette",220926,,205553,,194401.0,,17302.0,,13425.0,,12208.0,,38449.0,,39452.0,,27608.0,,5660.0,,40297.0,,,0
11.0,"U. California, Berkeley",177450,,185951,,185078.0,,0.0,,340.0,,6474.0,,14703.0,,115829.0,,304.0,,4.0,,47424.0,,,0
12.0,"U. Illinois, Urbana-Champaign",165186,,172828,,161458.0,,8411.0,,7692.0,,8435.0,,30134.0,,50363.0,,21406.0,,19504.0,,15513.0,,,0
13.0,Ohio State U.,155507,,152592,,144216.0,,1586.0,,1356.0,,8115.0,,8334.0,,24427.0,,61940.0,,25658.0,,12800.0,,,0
14.0,North Carolina State U.,129817,,150219,,143288.0,,2539.0,,10351.0,,24744.0,,11425.0,,34733.0,,7073.0,,27439.0,,24984.0,,,0
15.0,U. Wisconsin-Madison,139011,,147612,,135557.0,,0.0,,29677.0,,10821.0,,16691.0,,11611.0,,7607.0,,9471.0,,49679.0,,,0
16.0,Stanford U.,131406,,132936,,134143.0,,15055.0,,22327.0,,9032.0,,12537.0,,31339.0,,28590.0,,5875.0,,9388.0,,,0
17.0,"U. Washington, Seattle",121890,,128996,,129670.0,,7677.0,,24185.0,,7857.0,,16168.0,,33554.0,,10031.0,,5402.0,,24796.0,,,0
18.0,"U. Maryland, College Park",120139,,111172,,124268.0,,13362.0,,6664.0,,3805.0,,25281.0,,18292.0,,17534.0,,13978.0,,25352.0,,,0
19.0,"U. California, San Diego",125933,,119690,,117170.0,,0.0,,33087.0,,0.0,,0.0,,59730.0,,14397.0,,0.0,,9956.0,,,0
20.0,Arizona State U.,101727,,105490,,116865.0,,0.0,,20056.0,,3037.0,,8042.0,,53547.0,,0.0,,6758.0,,25425.0,,,0
21.0,"U. Minnesota, Twin Cities",100375,,106416,,114619.0,,8390.0,,22927.0,,20795.0,,16394.0,,15981.0,,18453.0,,0.0,,11679.0,,,0
22.0,U. Colorado Boulder,97680,,93839,,109482.0,,49499.0,,4270.0,,17613.0,,14572.0,,12091.0,,9034.0,,242.0,,2161.0,,,0
23.0,Cornell U.,104640,,110812,,104481.0,,92.0,,11872.0,,10934.0,,5301.0,,17711.0,,11746.0,,12691.0,,34134.0,,,0
24.0,U. Utah,80255,,74732,,104366.0,,2218.0,,6603.0,,8479.0,,21123.0,,5808.0,,4872.0,,7829.0,,47434.0,,,0
25.0,Utah State U.,81287,,87498,,92787.0,,71821.0,,1871.0,,0.0,,10334.0,,4692.0,,3488.0,,0.0,,581.0,,,0
26.0,"U. California, Santa Barbara",99090,,90215,,89556.0,,0.0,,18051.0,,11473.0,,1.0,,27266.0,,6740.0,,25968.0,,57.0,,,0
27.0,Carnegie Mellon U.,94157,,89909,,89054.0,,2526.0,,5338.0,,6254.0,,6637.0,,21013.0,,8149.0,,8222.0,,30915.0,,,0
28.0,"SUNY, U. Buffalo",82189,,82076,,88489.0,,91.0,,14994.0,,23771.0,,11812.0,,5024.0,,12002.0,,1443.0,,19352.0,,,0
29.0,U. Florida,88911,,85271,,87307.0,,4632.0,,17082.0,,5275.0,,2721.0,,14798.0,,11405.0,,10422.0,,20972.0,,,0
30.0,U. Dayton,77587,,78165,,87160.0,,7789.0,,0.0,,4290.0,,2013.0,,8611.0,,2952.0,,44484.0,,17021.0,,,0
31.0,Woods Hole Oceanographic Institution,58804,,78228,,86277.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,86277.0,,,0
