Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All non-S&E fields,Unnamed: 8,Business and management,Unnamed: 10,"Communication, journalism, and library science",Unnamed: 12,Education,Unnamed: 14,Humanities,Unnamed: 16,Law,Unnamed: 18,Social work,Unnamed: 20,Visual and performing arts,Unnamed: 22,Other,Unnamed: 24,shift
All institutions,3658193,,3428146,,3623963,,571483,,168496,,1292225,,430284,,174524,,215652,,100716,,670583,,,,-1
1.0,U. Wisconsin-Madison,125978,,123734,,130711.0,,62325.0,,3508.0,,38323.0,,14278.0,,1742.0,,1223.0,,1305.0,,8007.0,,,0
2.0,New York U.,36814,,33009,,96970.0,,1710.0,,0.0,,25791.0,,13804.0,,2696.0,,6070.0,,583.0,,46316.0,,,0
3.0,"U. Washington, Seattle",81005,,85205,,79485.0,,1258.0,,12350.0,,45518.0,,2122.0,,3919.0,,13915.0,,207.0,,196.0,,,0
4.0,Ohio State U.,50052,,62239,,72643.0,,4912.0,,2430.0,,59199.0,,3111.0,,114.0,,1397.0,,600.0,,880.0,,,0
5.0,Massachusetts Institute of Technology,66640,,93009,,71802.0,,36130.0,,0.0,,9469.0,,1601.0,,0.0,,0.0,,681.0,,23921.0,,,0
6.0,"U. Michigan, Ann Arbor",71043,,69659,,68938.0,,11773.0,,2699.0,,10817.0,,25506.0,,5848.0,,4801.0,,2960.0,,4534.0,,,0
7.0,"U. South Florida, Tampa",49317,,52063,,65352.0,,7366.0,,8218.0,,30168.0,,6213.0,,0.0,,362.0,,3160.0,,9865.0,,,0
8.0,Georgia State U.,32764,,42960,i,59783.0,,13089.0,,4943.0,,21101.0,,28.0,,2020.0,,4814.0,,909.0,,12879.0,,,0
9.0,"Purdue U., West Lafayette",67175,,62466,,59724.0,,14148.0,,778.0,,6124.0,,3752.0,,0.0,,0.0,,1076.0,,33846.0,,,0
10.0,Harvard U.,102197,,58011,,58507.0,,8385.0,,789.0,,34773.0,,4872.0,,8414.0,,0.0,,1274.0,,0.0,,,0
11.0,Brown U.,138065,,49614,i,55708.0,i,3587.0,i,2777.0,i,21626.0,i,20429.0,i,0.0,i,0.0,i,3734.0,i,3555.0,i,,0
12.0,Arizona State U.,37877,,46070,,54704.0,,8159.0,,2519.0,,14702.0,,7741.0,,1475.0,,1608.0,,676.0,,17824.0,,,0
13.0,U. Kansas,31448,,50348,,53617.0,,634.0,,86.0,,37643.0,,1309.0,,166.0,,13603.0,,169.0,,7.0,,,0
14.0,Stanford U.,44903,,47003,,52908.0,,545.0,,1732.0,,46925.0,,2188.0,,1220.0,,0.0,,0.0,,298.0,,,0
15.0,"U. Texas, Austin",61173,,59078,,52722.0,,8584.0,,7679.0,,13530.0,,689.0,,564.0,,4834.0,,360.0,,16482.0,,,0
16.0,Clemson U.,36306,,44199,,50357.0,,521.0,,199.0,,4197.0,,159.0,,0.0,,0.0,,4.0,,45277.0,,,0
17.0,U. Central Florida,18121,,42492,,45749.0,,17667.0,,706.0,,11288.0,,6531.0,,324.0,,66.0,,3446.0,,5721.0,,,0
18.0,U. Georgia,41739,,42026,,43991.0,,8305.0,,3586.0,,10454.0,,8604.0,,5985.0,,722.0,,4769.0,,1566.0,,,0
19.0,Columbia U. in the City of New York,43341,,45876,,42149.0,,3137.0,,5094.0,,3512.0,,12621.0,,5383.0,,12142.0,,259.0,,1.0,,,0
20.0,U. Southern California,35254,,36716,,40574.0,,2753.0,,10265.0,,6291.0,,2475.0,,2099.0,,12629.0,,3356.0,,706.0,,,0
21.0,"U. California, Berkeley",36703,,35858,,40366.0,,8250.0,,2485.0,,11149.0,,3519.0,,14275.0,,0.0,,688.0,,0.0,,,0
22.0,U. Florida,52561,,56185,,39772.0,,4004.0,,1592.0,,7160.0,,2757.0,,875.0,,80.0,,1395.0,,21909.0,,,0
23.0,Florida International U.,35607,,25044,,38402.0,,7380.0,,1400.0,,11458.0,,11766.0,,919.0,,1214.0,,2332.0,,1933.0,,,0
24.0,Michigan State U.,36562,,34405,,38254.0,,4874.0,,4331.0,,16517.0,,2486.0,,0.0,,533.0,,281.0,,9232.0,,,0
25.0,"U. Minnesota, Twin Cities",24197,,25990,,36602.0,,17064.0,,242.0,,10728.0,,1787.0,,1451.0,,1264.0,,1630.0,,2436.0,,,0
26.0,U. Pennsylvania,38157,,36036,,35419.0,,10454.0,,7038.0,,7212.0,,3078.0,,2083.0,,4298.0,,1256.0,,0.0,,,0
27.0,Texas Tech U.,28170,,34182,,35343.0,,11444.0,,2483.0,,13842.0,,3498.0,,1544.0,,0.0,,2532.0,,0.0,,,0
28.0,"Indiana U., Bloomington",24433,,33659,,33568.0,,6508.0,,1786.0,,7890.0,,173.0,,1502.0,,0.0,,3283.0,,12426.0,,,0
29.0,"U. Virginia, Charlottesville",19725,,20844,,33405.0,,4118.0,,2.0,,19434.0,,5646.0,,730.0,,0.0,,110.0,,3365.0,,,0
30.0,American U.,37293,,25590,,32975.0,,4880.0,,3322.0,,0.0,,0.0,,13537.0,,0.0,,0.0,,11236.0,,,0
31.0,"U. Massachusetts, Boston",30505,,31165,,32069.0,,1637.0,,0.0,,27602.0,,387.0,,0.0,,570.0,,51.0,,1822.0,,,0
32.0,"Texas A&M U., College Station and Health Science Center",23914,,28062,,30428.0,,7697.0,,0.0,,19126.0,,2124.0,,535.0,,0.0,,0.0,,946.0,,,0
33.0,"U. California, Los Angeles",32524,,28014,,29218.0,,7572.0,,668.0,,11209.0,,4647.0,,2603.0,,0.0,,1759.0,,760.0,,,0
34.0,Northwestern U.,27772,,23829,,28847.0,,8415.0,,6677.0,,7363.0,,1776.0,,1486.0,,0.0,,969.0,,2161.0,,,0
35.0,Vanderbilt U.,23517,,24472,,27950.0,,335.0,,502.0,,21406.0,,3267.0,,2156.0,,0.0,,35.0,,249.0,,,0
36.0,U. Cincinnati,23904,,23302,,27616.0,,2329.0,,81.0,,4374.0,,3189.0,,679.0,,477.0,,3198.0,,13289.0,,,0
37.0,"U. North Carolina, Chapel Hill",30540,,34165,,27529.0,,1941.0,,3237.0,,376.0,,5367.0,,608.0,,5891.0,,2084.0,,8025.0,,,0
38.0,"U. South Carolina, Columbia",24565,,24810,,26994.0,,1482.0,,330.0,,18310.0,,1980.0,,0.0,,4691.0,,48.0,,153.0,,,0
39.0,Washington State U.,68045,,38472,i,26145.0,,2062.0,,4173.0,,17585.0,,657.0,,414.0,,1125.0,,85.0,,44.0,,,0
40.0,U. West Florida,15328,,14499,,26052.0,,20483.0,,242.0,,2684.0,,161.0,,0.0,,1851.0,,2.0,,629.0,,,0
