Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All social sciences,Unnamed: 10,Economics,Unnamed: 12,Political science,Unnamed: 14,Sociology,Unnamed: 16,"Social sciences, nec",Unnamed: 18,shift
All institutions,915754,,897496,,919848,,919673,,151226,,136575,,262396,,369476,,,,-1
1.0,"U. Michigan, Ann Arbor",84170,,83301,,76708,,75359.0,,21794.0,,11324.0,,13421.0,,28820.0,,,0
2.0,"U. North Carolina, Chapel Hill",60166,,58929,,66304,,63068.0,,0.0,,2059.0,,55125.0,,5884.0,,,0
3.0,"U. Maryland, College Park",58367,,57266,,69263,,53892.0,,489.0,,2778.0,,4202.0,,46423.0,,,0
4.0,U. Wisconsin-Madison,23404,,21015,,25450,,20211.0,,3180.0,,86.0,,5673.0,,11272.0,,,0
5.0,"Pennsylvania State U., University Park and Hershey Medical Center",11246,,12252,,15636,,19743.0,,794.0,,3491.0,,15458.0,,0.0,,,0
6.0,"U. Minnesota, Twin Cities",15360,,17458,,17405,,18815.0,,1933.0,,2387.0,,13919.0,,576.0,,,0
7.0,Michigan State U.,16685,,15068,,13545,,18191.0,,11687.0,,797.0,,1461.0,,4246.0,,,0
8.0,Arizona State U.,14119,,16447,,17629,,17635.0,,294.0,,2647.0,,8251.0,,6443.0,,,0
9.0,Duke U.,13046,,14009,,17174,,17557.0,,4125.0,,7498.0,,5188.0,,746.0,,,0
10.0,U. Pennsylvania,15718,,16188,,16007,,17124.0,,708.0,,803.0,,3551.0,,12062.0,,,0
11.0,Harvard U.,12904,,18549,,20234,,16065.0,,2104.0,,1326.0,,658.0,,11977.0,,,0
12.0,"U. California, Berkeley",11283,,12335,,14528,,14971.0,,11319.0,,456.0,,1000.0,,2196.0,,,0
13.0,Ohio State U.,15536,,15070,,13003,,14929.0,,2962.0,,2136.0,,2494.0,,7337.0,,,0
14.0,Cornell U.,8971,,8313,,9674,,13987.0,,5423.0,,220.0,,8038.0,,306.0,,,0
15.0,"Rutgers, State U. New Jersey, New Brunswick",15541,,26166,,21408,,13737.0,,397.0,,572.0,,251.0,,12517.0,,,0
16.0,Brandeis U.,9953,,10447,,12924,,13345.0,,30.0,,243.0,,13072.0,,0.0,,,0
17.0,"U. South Florida, Tampa",3584,,2471,,12264,,12811.0,,10.0,,0.0,,1900.0,,10901.0,,,0
18.0,U. Southern California,6263,,7146,,10104,,12122.0,,6013.0,,142.0,,146.0,,5821.0,,,0
19.0,"U. California, Davis",9568,,9022,,9220,,10797.0,,4755.0,,250.0,,658.0,,5134.0,,,0
20.0,Johns Hopkins U.a,6790,,5486,,7594,,9945.0,,292.0,,0.0,,9636.0,,17.0,,,0
21.0,Northwestern U.,6521,,7915,,9490,,9875.0,,831.0,,8216.0,,255.0,,573.0,,,0
22.0,Tufts U.,3026,,3145,,8196,,9829.0,,0.0,,9829.0,,0.0,,0.0,,,0
23.0,"U. Washington, Seattle",4924,,8135,,8270,,9231.0,,49.0,,3806.0,,4366.0,,1010.0,,,0
24.0,"U. Oklahoma, Norman and Health Science Center",2722,,1862,,1020,,8904.0,,270.0,,1426.0,,435.0,,6773.0,,,0
25.0,"U. Illinois, Urbana-Champaign",4059,,6610,,5896,,8794.0,,3358.0,,1747.0,,331.0,,3358.0,,,0
26.0,U. Arizona,9033,,9328,,7976,,8063.0,,1487.0,,932.0,,3749.0,,1895.0,,,0
27.0,Dillard U.,0,,0,,0,,7994.0,,0.0,,0.0,,233.0,,7761.0,,,0
28.0,North Dakota State U.,7141,,6341,,7409,,7929.0,,648.0,,41.0,,82.0,,7158.0,,,0
29.0,Mississippi State U.,8093,,8535,,6613,,7578.0,,370.0,,0.0,,118.0,,7090.0,,,0
30.0,"U. Maryland, Baltimore County",6328,,6167,,7533,,7477.0,,0.0,,7477.0,,0.0,,0.0,,,0
31.0,"Purdue U., West Lafayette",6952,,6109,,5204,,7375.0,,3195.0,,0.0,,4101.0,,79.0,,,0
32.0,Naval Postgraduate School,11791,,4840,,9742,,7260.0,,108.0,,5421.0,,318.0,,1413.0,,,0
33.0,U. Delaware,2847,,4010,,6157,,7054.0,,629.0,,20.0,,1519.0,,4886.0,,,0
34.0,"Columbia U., Teachers C.",4049,,2598,,3392,,6775.0,,4380.0,,0.0,,0.0,,2395.0,,,0
35.0,"U. California, Los Angeles",6039,,7021,,5757,,6715.0,,0.0,,8.0,,1022.0,,5685.0,,,0
36.0,"U. Texas, Austin",9829,,9116,,6359,,6676.0,,89.0,,122.0,,4899.0,,1566.0,,,0
37.0,U. Colorado Boulder,8206,,7912,,7137,,6658.0,,0.0,,30.0,,4911.0,,1717.0,,,0
38.0,Princeton U.,9068,,9577,,8819,,6646.0,,468.0,,6040.0,,120.0,,18.0,,,0
39.0,"Indiana U., Bloomington",5578,,5676,,5434,,6235.0,,361.0,,3162.0,,1193.0,,1519.0,,,0
40.0,George Washington U.,14552,,10116,,7386,,6084.0,,463.0,,1964.0,,1340.0,,2317.0,,,0
41.0,"U. California, San Diego",4954,,4876,,6580,,6076.0,,464.0,,4512.0,,1078.0,,22.0,,,0
42.0,U. Chicago,2709,,4174,,4795,,6000.0,,605.0,,1020.0,,1207.0,,3168.0,,,0
43.0,"U. California, Santa Barbara",6107,,6094,,6093,,5987.0,,958.0,,0.0,,9.0,,5020.0,,,0
44.0,C. of William and Mary and Virginia Institute of Marine Science,1298,,2054,,4686,,5804.0,,0.0,,5365.0,,0.0,,439.0,,,0
45.0,Stanford U.,7994,,8998,,6540,,5687.0,,1745.0,,49.0,,2858.0,,1035.0,,,0
46.0,U. Florida,6064,,5132,,5452,,5574.0,,687.0,,0.0,,1658.0,,3229.0,,,0
47.0,Washington State U.,9645,,6095,,3733,,5568.0,,579.0,,32.0,,351.0,,4606.0,,,0
48.0,George Mason U.,9972,,8181,,7218,,5458.0,,511.0,,699.0,,327.0,,3921.0,,,0
49.0,"U. Missouri, Columbia",4072,,3421,,4401,,5344.0,,4530.0,,468.0,,68.0,,278.0,,,0
50.0,"U. Illinois, Chicago",4079,,4059,,5046,,5311.0,,0.0,,0.0,,0.0,,5311.0,,,0
51.0,Georgia Institute of Technology,5862,,5822,,5771,,5134.0,,2614.0,,2425.0,,95.0,,0.0,,,0
52.0,North Carolina State U.,3892,,5543,,4806,,5052.0,,948.0,,438.0,,1766.0,,1900.0,,,0
53.0,Carnegie Mellon U.,4258,,4501,,4279,,4804.0,,161.0,,1783.0,,0.0,,2860.0,,,0
54.0,National Defense U.,ne,,3620,,6553,,4772.0,,0.0,,150.0,,110.0,,4512.0,,,0
55.0,Iowa State U.,8354,,7345,,6031,,4663.0,,206.0,,0.0,,4457.0,,0.0,,,0
56.0,Northeastern U.,1022,,2860,,4445,,4460.0,,4.0,,1421.0,,1199.0,,1836.0,,,0
57.0,U. Georgia,3756,,3011,,2666,,4368.0,,1138.0,,1012.0,,325.0,,1893.0,,,0
58.0,"U. Tennessee, Knoxville",4369,,4639,,4260,,4275.0,,2736.0,,365.0,,685.0,,489.0,,,0
59.0,Florida State U.,1977,,2581,,4924,,4242.0,,210.0,,193.0,,213.0,,3626.0,,,0
60.0,Vanderbilt U.,4062,,4103,,4134,,4075.0,,195.0,,3477.0,,310.0,,93.0,,,0
61.0,New York U.,3484,,3709,,4191,,4021.0,,368.0,,323.0,,445.0,,2885.0,,,0
62.0,Georgetown U.,3245,,3803,,4532,,3829.0,,0.0,,3530.0,,7.0,,292.0,,,0
63.0,American U.,3744,,2405,,3292,,3791.0,,450.0,,536.0,,556.0,,2249.0,,,0
64.0,U. Utah,2179,,6720,,5178,,3784.0,,68.0,,22.0,,256.0,,3438.0,,,0
65.0,"SUNY, U. Albany",6531,,5140,,6374,,3781.0,,34.0,,868.0,,1175.0,,1704.0,,,0
66.0,Portland State U.,6901,,6843,,5158,,3675.0,,0.0,,116.0,,922.0,,2637.0,,,0
66.0,"Texas A&M U., College Station and Health Science Center",2569,,2249,,2467,,3675.0,,403.0,,523.0,,447.0,,2302.0,,,0
68.0,"Colorado State U., Fort Collins",4002,,3057,,2859,,3590.0,,1667.0,,23.0,,1226.0,,674.0,,,0
69.0,U. New Mexico,3228,,3885,,3783,,3540.0,,406.0,,32.0,,2183.0,,919.0,,,0
70.0,Columbia U. in the City of New York,6965,,4851,,4104,,3507.0,,646.0,,1702.0,,1159.0,,0.0,,,0
71.0,U. New Hampshire,3026,,2025,,3995,,3446.0,,139.0,,0.0,,3132.0,,175.0,,,0
72.0,Kansas State U.,3056,,2836,,2657,,3361.0,,2485.0,,0.0,,167.0,,709.0,,,0
73.0,"U. Nebraska, Lincoln",5716,,6540,,3247,,3269.0,,374.0,,843.0,,1307.0,,745.0,,,0
74.0,"U. Texas, El Paso",811,,223,,1228,,3158.0,,0.0,,0.0,,1328.0,,1830.0,,,0
75.0,Brown U.,2937,,2814,,2707,,3116.0,,404.0,,0.0,,64.0,,2648.0,,,0
75.0,U. Rhode Island,711,,2327,,3015,,3116.0,,21.0,,0.0,,6.0,,3089.0,,,0
77.0,U. Connecticut,3198,,3236,,3377,,3082.0,,957.0,,19.0,,1332.0,,774.0,,,0
78.0,"U. Montana, Missoula",1380,,1095,,964,,2970.0,,680.0,,0.0,,2286.0,,4.0,,,0
79.0,Yale U.,2718,,7491,,3135,,2689.0,,1521.0,,45.0,,823.0,,300.0,,,0
80.0,Massachusetts Institute of Technology,5330,,5341,,5122,,2669.0,,1354.0,,256.0,,0.0,,1059.0,,,0
81.0,Clemson U.,1989,,1609,,1489,,2659.0,,337.0,,2.0,,108.0,,2212.0,,,0
82.0,Syracuse U.,2395,,1824,,2470,,2642.0,,448.0,,882.0,,1121.0,,191.0,,,0
83.0,"Louisiana State U., Baton Rouge",2992,,2855,,2659,,2607.0,,1870.0,,0.0,,130.0,,607.0,,,0
84.0,"U. California, Irvine",3640,,3474,,2944,,2398.0,,272.0,,42.0,,537.0,,1547.0,,,0
85.0,"Oklahoma State U., Stillwater",1683,,1479,,571,,2371.0,,1591.0,,36.0,,743.0,,1.0,,,0
86.0,"Auburn U., Auburn",2875,,2511,,2534,,2368.0,,92.0,,0.0,,0.0,,2276.0,,,0
87.0,"U. Pittsburgh, Pittsburgh",2904,,2946,,3075,,2354.0,,173.0,,1227.0,,194.0,,760.0,,,0
88.0,U. Wyoming,1731,,1932,,1314,,2346.0,,432.0,,0.0,,665.0,,1249.0,,,0
89.0,U. Baltimore,2391,,1960,,2513,,2284.0,,1431.0,,164.0,,0.0,,689.0,,,0
90.0,Oregon State U.,3068,,3066,,2483,,2256.0,,708.0,,0.0,,1459.0,,89.0,,,0
91.0,Alcorn State U.,2577,,2536,,2355,,2220.0,,2220.0,,0.0,,0.0,,0.0,,,0
92.0,Hampton U.,0,,62,,401,,2108.0,,0.0,,0.0,,0.0,,2108.0,,,0
93.0,U. Iowa,1960,,2132,,2376,,2092.0,,22.0,,1373.0,,88.0,,609.0,,,0
94.0,Texas State U.,635,,458,,1922,,2059.0,,30.0,,0.0,,541.0,,1488.0,,,0
95.0,U. Central Florida,2115,,1829,,1806,,1942.0,,1301.0,,92.0,,193.0,,356.0,,,0
96.0,"U. California, Riverside",336,,760,,466,,1927.0,,0.0,,58.0,,309.0,,1560.0,,,0
97.0,U. Kansas,3000,,2763,,2277,,1900.0,,122.0,,73.0,,466.0,,1239.0,,,0
98.0,San Diego State U.,2850,,1548,,1577,,1889.0,,26.0,,121.0,,425.0,,1317.0,,,0
99.0,"U. Massachusetts, Lowell",1519,,946,,1326,,1883.0,,0.0,,0.0,,0.0,,1883.0,,,0
100.0,"U. Tennessee, Knoxville, Institute of Agriculture",1536,,1859,,1911,,1864.0,,1864.0,,0.0,,0.0,,0.0,,,0
101.0,"SUNY, Binghamton U.",2572,,1557,,1583,,1828.0,,0.0,,112.0,,15.0,,1701.0,,,0
102.0,U. Oregon,2884,,3411,,1375,,1805.0,,66.0,,724.0,,451.0,,564.0,,,0
103.0,"SUNY, U. Buffalo",1894,,1613,,1865,,1765.0,,0.0,,0.0,,13.0,,1752.0,,,0
104.0,Case Western Reserve U.,3869,,3539,,3240,,1751.0,,5.0,,0.0,,605.0,,1141.0,,,0
105.0,Temple U.,1688,,1617,,1567,,1746.0,,114.0,,75.0,,28.0,,1529.0,,,0
106.0,Kent State U.,1937,,1148,,1443,,1721.0,,0.0,,0.0,,102.0,,1619.0,,,0
