Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
All institutions,30131579,,30430176,,31271643,,32576140,,36508083,,39646231,,38937850,,38261977,,36825189,,36805083,,,-1
1.0,Johns Hopkins U.a,1307453,,1362836,,1454426,,1587547,,1731818,,1875410,,1845845,,1881959,,1936953,,1988993.0,,0
2.0,"U. Washington, Seattle",,,,,,,,,809433,,921399,,876941,,869623,,849713,,851573.0,,0
3.0,"U. Michigan, Ann Arbor",,,,,,,,,729779,,801194,,773766,,802114,,733779,,728712.0,,0
4.0,Stanford U.,540069,,534787,,509477,,477507,,576553,,633287,,607578,,625144,,608342,,645633.0,,0
5.0,"U. California, San Diego",463807,,475708,,490963,,511428,,578889,,635223,,653549,,630009,,597270,,601184.0,,0
6.0,U. Pennsylvania,478773,,449687,,482321,,499498,,626816,,689571,,656425,,623939,,606115,,597791.0,,0
7.0,Columbia U. in the City of New York,451187,,459748,,461029,,483111,,561531,,634973,,631961,,619557,,591523,,577833.0,,0
8.0,"U. North Carolina, Chapel Hill",329215,,346672,,373098,,431837,,541910,,592541,,597629,,614627,,601933,,577574.0,,0
9.0,Duke U.,414419,,459122,,451317,,438767,,513469,,584161,,585636,,580416,,556847,,558566.0,,0
10.0,"U. Pittsburgh, Pittsburgh",422316,,441357,,456172,,463192,,581148,,647060,,620070,,601358,,565409,,554658.0,,0
11.0,Georgia Institute of Technology,257751,,260230,,281184,,322452,,370532,,426088,,482349,,520754,,510422,,548063.0,,0
12.0,"U. California, San Francisco",464660,,467402,,472642,,483667,,514693,,570116,,559329,,566117,,544697,,535457.0,,0
13.0,Harvard U.,403458,,392103,,383330,,385704,,467237,,530908,,574346,,575868,,554944,,530382.0,,0
14.0,"Pennsylvania State U., University Park and Hershey Medical Center",,,,,,,,,463301,,459333,,526212,,556185,,516300,,507889.0,,0
15.0,U. Wisconsin-Madison,491810,,469076,,474440,,507898,,522473,,568389,,557688,,533220,,522251,,506910.0,,0
16.0,Massachusetts Institute of Technology,476362,,476318,,495008,,532618,,451050,,482544,,478955,,487647,,480991,,486650.0,,0
17.0,"U. California, Los Angeles",483873,,488846,,471932,,467505,,522423,,545882,,527899,,489820,,458157,,482771.0,,0
18.0,Yale U.,348500,,349027,,374551,,378914,,475010,,518195,,517072,,502439,,475585,,471381.0,,0
19.0,"U. Minnesota, Twin Cities",,,,,,,,,420102,,482639,,480531,,489318,,483542,,468482.0,,0
20.0,Cornell U.,390043,,367094,,358944,,363144,,446705,,476163,,471024,,444303,,438834,,445266.0,,0
21.0,"Washington U., Saint Louis",408402,,424451,,393918,,414045,,466993,,460282,,432434,,402702,,410115,,424723.0,,0
22.0,U. Southern California,333378,,355084,,348713,,375024,,402372,,443458,,433136,,423708,,421887,,408105.0,,0
23.0,Ohio State U.,315914,,313242,,335121,,339820,,384633,,471331,,416304,,425547,,416177,,406941.0,,0
24.0,Vanderbilt U.,300423,,312178,,331296,,336405,,377185,,434213,,430445,,432752,,408743,,390701.0,,0
25.0,Northwestern U.,249980,,249411,,264984,,300619,,356193,,393449,,385377,,389757,,385888,,385868.0,,0
26.0,Emory U.,267894,,271445,,291126,,295831,,336948,,369945,,360934,,364136,,329254,,346534.0,,0
27.0,"U. California, Berkeley",261718,,251043,,249163,,262069,,303201,,326120,,333179,,305932,,309305,,342042.0,,0
28.0,U. Colorado Boulder,223666,,223021,,219556,,239687,,282008,,313531,,319019,,309072,,302877,,341828.0,,0
