Rank,Institution,NASA R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
66.0,Yale U.,3591.0,,0.0,,536.0,,911.0,,0.0,,1909.0,,0.0,,0.0,,0.0,,230.0,,5.0,,0
67.0,Dartmouth C.,3586.0,,0.0,,178.0,,258.0,,0.0,,2681.0,,0.0,,0.0,,0.0,,469.0,,0.0,,0
68.0,U. Toledo,3558.0,,0.0,,27.0,,0.0,,0.0,,650.0,,0.0,,0.0,,0.0,,2881.0,,0.0,,0
69.0,U. Utah,3554.0,,134.0,,1626.0,,1107.0,,0.0,,185.0,,0.0,,0.0,,0.0,,502.0,,0.0,,0
70.0,"U. Texas, Dallas",3409.0,,0.0,,0.0,,0.0,,0.0,,3379.0,,0.0,,0.0,,0.0,,30.0,,0.0,,0
71.0,"U. California, Santa Barbara",3405.0,,0.0,,2470.0,,23.0,,0.0,,748.0,,0.0,,164.0,,0.0,,0.0,,0.0,,0
72.0,Virginia Polytechnic Institute and State U.,3386.0,,0.0,,54.0,,746.0,,0.0,,185.0,,0.0,,0.0,,0.0,,2401.0,,0.0,,0
73.0,Case Western Reserve U.,3341.0,,0.0,,666.0,,38.0,,5.0,,502.0,,0.0,,0.0,,0.0,,2130.0,,0.0,,0
74.0,"U. Oklahoma, Norman and Health Science Center",3309.0,,0.0,,1942.0,,0.0,,0.0,,525.0,,5.0,,0.0,,0.0,,837.0,,0.0,,0
75.0,U. Kansas,3245.0,,19.0,,2125.0,,125.0,,0.0,,406.0,,0.0,,0.0,,0.0,,570.0,,0.0,,0
76.0,"U. Massachusetts, Amherst",3200.0,,563.0,,135.0,,200.0,,4.0,,1477.0,,0.0,,0.0,,0.0,,821.0,,0.0,,0
77.0,"U. Virginia, Charlottesville",3198.0,,32.0,,570.0,,0.0,,0.0,,1253.0,,0.0,,0.0,,0.0,,1343.0,,0.0,,0
78.0,U. Delaware,3197.0,,31.0,,319.0,,345.0,,0.0,,1770.0,,0.0,,0.0,,19.0,,713.0,,0.0,,0
79.0,"U. California, Davis",3061.0,,0.0,,542.0,,1428.0,,0.0,,760.0,,0.0,,0.0,,0.0,,331.0,,0.0,,0
80.0,U. New Mexico,3045.0,,0.0,,2174.0,,33.0,,0.0,,266.0,,0.0,,86.0,,0.0,,486.0,,0.0,,0
81.0,New Jersey Institute of Technology,3027.0,,0.0,,0.0,,0.0,,50.0,,11.0,,0.0,,0.0,,0.0,,2966.0,,0.0,,0
82.0,Florida State U.,2979.0,,0.0,,2137.0,,99.0,,0.0,,53.0,,0.0,,0.0,,0.0,,690.0,,0.0,,0
83.0,"SUNY, U. Buffalo",2925.0,,0.0,,345.0,,147.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2433.0,,0.0,,0
84.0,"Louisiana State U., Baton Rouge",2913.0,,47.0,,243.0,,225.0,,0.0,,1401.0,,0.0,,0.0,,0.0,,988.0,,9.0,,0
85.0,Duke U.,2912.0,,0.0,,181.0,,1920.0,,0.0,,125.0,,0.0,,0.0,,0.0,,686.0,,0.0,,0
86.0,"U. Montana, Missoula",2867.0,,47.0,,131.0,,2273.0,,0.0,,416.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
87.0,Loma Linda U.,2833.0,,0.0,,0.0,,2833.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
88.0,Rice U.,2767.0,,61.0,,83.0,,20.0,,153.0,,1555.0,,0.0,,0.0,,20.0,,847.0,,28.0,,0
89.0,Texas State U.,2706.0,,0.0,,189.0,,0.0,,0.0,,0.0,,0.0,,79.0,,0.0,,250.0,,2188.0,,0
90.0,"U. South Florida, Tampa",2657.0,,0.0,,2524.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,107.0,,26.0,,0
91.0,"California State U., Monterey Bay",2534.0,,0.0,,148.0,,2386.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
92.0,"U. Nebraska, Lincoln",2498.0,,20.0,,858.0,,679.0,,0.0,,266.0,,0.0,,0.0,,0.0,,671.0,,4.0,,0
93.0,Michigan State U.,2456.0,,38.0,,80.0,,451.0,,0.0,,600.0,,176.0,,221.0,,102.0,,395.0,,393.0,,0
94.0,"U. Tennessee, Knoxville",2353.0,,0.0,,1381.0,,9.0,,0.0,,108.0,,0.0,,0.0,,0.0,,855.0,,0.0,,0
95.0,U. Idaho,2339.0,,303.0,,136.0,,616.0,,0.0,,234.0,,0.0,,0.0,,0.0,,1050.0,,0.0,,0
96.0,Emory U.,2231.0,,0.0,,0.0,,2127.0,,0.0,,104.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
97.0,Rochester Institute of Technology,2228.0,,0.0,,0.0,,0.0,,3.0,,2225.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
98.0,Michigan Technological U.,2174.0,,0.0,,1747.0,,0.0,,0.0,,2.0,,0.0,,0.0,,0.0,,425.0,,0.0,,0
99.0,U. Wyoming,2168.0,,0.0,,500.0,,0.0,,158.0,,1106.0,,0.0,,115.0,,0.0,,146.0,,143.0,,0
100.0,U. Texas Medical Branch,2164.0,,0.0,,0.0,,2164.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
101.0,North Carolina State U.,2130.0,,0.0,,251.0,,240.0,,0.0,,81.0,,0.0,,0.0,,0.0,,1558.0,,0.0,,0
102.0,U. Georgia,2114.0,,0.0,,464.0,,19.0,,0.0,,710.0,,0.0,,908.0,,0.0,,13.0,,0.0,,0
103.0,"CUNY, City C.",2022.0,,16.0,,1047.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,949.0,,0.0,,0
104.0,U. Maine,2000.0,,0.0,,1463.0,,29.0,,0.0,,58.0,,12.0,,0.0,,0.0,,438.0,,0.0,,0
105.0,U. Kentucky,1984.0,,0.0,,0.0,,0.0,,4.0,,401.0,,0.0,,0.0,,0.0,,1579.0,,0.0,,0
106.0,"U. Texas, El Paso",1878.0,,592.0,,41.0,,0.0,,0.0,,11.0,,0.0,,0.0,,0.0,,1234.0,,0.0,,0
107.0,Northwestern U.,1818.0,,0.0,,61.0,,132.0,,0.0,,221.0,,0.0,,0.0,,901.0,,503.0,,0.0,,0
108.0,"Indiana U., Bloomington",1808.0,,614.0,,538.0,,36.0,,0.0,,296.0,,87.0,,237.0,,0.0,,0.0,,0.0,,0
109.0,"Auburn U., Auburn",1731.0,,0.0,,427.0,,0.0,,0.0,,398.0,,0.0,,0.0,,0.0,,906.0,,0.0,,0
110.0,"Rutgers, State U. New Jersey, New Brunswick",1717.0,,210.0,,503.0,,75.0,,0.0,,590.0,,0.0,,40.0,,0.0,,299.0,,0.0,,0
111.0,"U. South Carolina, Columbia",1702.0,,0.0,,240.0,,298.0,,0.0,,360.0,,0.0,,0.0,,0.0,,804.0,,0.0,,0
112.0,South Dakota School of Mines and Technology,1688.0,,0.0,,0.0,,0.0,,0.0,,150.0,,0.0,,0.0,,0.0,,1538.0,,0.0,,0
113.0,San Diego State U.,1614.0,,0.0,,320.0,,244.0,,192.0,,179.0,,0.0,,339.0,,0.0,,340.0,,0.0,,0
114.0,U. Rochester,1577.0,,0.0,,235.0,,562.0,,0.0,,463.0,,0.0,,0.0,,0.0,,317.0,,0.0,,0
115.0,"U. Puerto Rico, Rio Piedras",1555.0,,0.0,,127.0,,0.0,,0.0,,1297.0,,0.0,,0.0,,131.0,,0.0,,0.0,,0
116.0,U. Mississippi,1485.0,,0.0,,0.0,,180.0,,0.0,,77.0,,0.0,,0.0,,0.0,,1228.0,,0.0,,0
117.0,U. Notre Dame,1472.0,,0.0,,0.0,,0.0,,0.0,,867.0,,0.0,,0.0,,0.0,,605.0,,0.0,,0
118.0,Iowa State U.,1371.0,,0.0,,91.0,,0.0,,0.0,,78.0,,0.0,,0.0,,0.0,,1202.0,,0.0,,0
119.0,U. Vermont,1358.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1358.0,,0.0,,0
120.0,Delaware State U.,1340.0,,0.0,,431.0,,0.0,,0.0,,909.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
121.0,Desert Research Institute,1322.0,,0.0,,1169.0,,32.0,,0.0,,0.0,,0.0,,0.0,,121.0,,0.0,,0.0,,0
122.0,U. Southern Mississippi,1317.0,,0.0,,1071.0,,0.0,,0.0,,222.0,,0.0,,0.0,,24.0,,0.0,,0.0,,0
123.0,Vanderbilt U.,1316.0,,0.0,,62.0,,151.0,,0.0,,375.0,,0.0,,0.0,,0.0,,728.0,,0.0,,0
124.0,"Brigham Young U., Provo",1303.0,,65.0,,101.0,,276.0,,0.0,,208.0,,0.0,,9.0,,0.0,,644.0,,0.0,,0
125.0,Mississippi State U.,1291.0,,0.0,,75.0,,63.0,,0.0,,135.0,,0.0,,0.0,,0.0,,1018.0,,0.0,,0
126.0,Georgetown U.,1281.0,,0.0,,0.0,,1281.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
127.0,Colorado School of Mines,1262.0,,0.0,,45.0,,0.0,,0.0,,432.0,,0.0,,0.0,,0.0,,785.0,,0.0,,0
128.0,Missouri U. of Science and Technology,1256.0,,0.0,,16.0,,7.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1233.0,,0.0,,0
129.0,Rensselaer Polytechnic Institute,1254.0,,0.0,,218.0,,0.0,,0.0,,161.0,,0.0,,0.0,,0.0,,875.0,,0.0,,0
130.0,New Mexico Institute of Mining and Technology,1253.0,,13.0,,44.0,,0.0,,0.0,,594.0,,0.0,,0.0,,0.0,,602.0,,0.0,,0
131.0,Oregon Health and Science U.,1197.0,,0.0,,5.0,,1192.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
132.0,U. Metropolitana,1138.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1138.0,,0
133.0,"SUNY, U. Albany",1127.0,,0.0,,562.0,,565.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
134.0,Wichita State U.,1121.0,,0.0,,0.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1102.0,,0.0,,0
135.0,"U. Alabama, Tuscaloosa",1118.0,,0.0,,15.0,,0.0,,0.0,,321.0,,0.0,,0.0,,0.0,,782.0,,0.0,,0
136.0,C. Charleston,1106.0,,0.0,,885.0,,0.0,,0.0,,214.0,,0.0,,0.0,,0.0,,0.0,,7.0,,0
137.0,"U. Massachusetts, Boston",1103.0,,155.0,,908.0,,40.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
138.0,U. Connecticut,1082.0,,0.0,,484.0,,259.0,,0.0,,0.0,,0.0,,0.0,,0.0,,339.0,,0.0,,0
139.0,U. Arkansas for Medical Sciences,1053.0,,0.0,,0.0,,1053.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
