Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
258.0,"U. Washington, Tacoma",245,,0,,0,,173.0,,130,,0,,0,,173.0,,,,0
259.0,Texas A&M U.-Commerce,192,,168,,174,,168.0,,192,,92,,23,,21.0,,,,0
260.0,Lamar U.,305,,417,,261,,166.0,,305,,405,,261,,138.0,,,,0
260.0,Miami U.,0,,4,i,320,,166.0,,0,,0,,232,,163.0,,,,0
262.0,Mount Holyoke C.,40,,16,,99,,162.0,,0,,0,,21,,97.0,,,,0
262.0,New York Institute of Technology,45,,0,,0,,162.0,,0,,0,,0,,162.0,,,,0
264.0,Southern Connecticut State U.,0,i,20,i,151,i,159.0,i,0,i,0,,63,i,74.0,i,,,0
265.0,Case Western Reserve U.,98,,456,,343,,156.0,,84,,413,,343,,156.0,,,,0
265.0,Emory U.,2762,,578,,354,i,156.0,,2608,,0,,24,,141.0,,,,0
265.0,U. Houston-Clear Lake,0,,64,,138,,156.0,,0,,35,,96,,113.0,,,,0
265.0,Wake Forest U.,617,,469,,524,,156.0,,617,,469,,473,,117.0,,,,0
269.0,Oberlin C.,206,,127,,159,,147.0,,198,,92,,143,,139.0,,,,0
269.0,Spelman C.,139,,79,,161,,147.0,,139,,79,,161,,147.0,,,,0
271.0,Kean U.,0,,33,,ne,,145.0,,0,,0,,ne,,76.0,,,,0
271.0,West Virginia State U.,94,,114,,104,,145.0,,94,,114,,102,,145.0,,,,0
273.0,San Jose State U.,6,,15,,27,,144.0,,0,,0,,1,,30.0,,,,0
274.0,Boston C.,243,,223,,46,,142.0,,174,,158,,46,,84.0,,,,0
275.0,U. Detroit Mercy,1,,ne,,85,,135.0,,1,,ne,,2,,20.0,,,,0
276.0,"California State U., Northridge",0,,0,,14,,132.0,,0,,0,,0,,0.0,,,,0
277.0,"CUNY, Graduate Center",77,,125,,158,,131.0,,77,,93,,150,,71.0,,,,0
278.0,"Purdue U., Calumet",125,,31,,147,,124.0,,74,,0,,83,,27.0,,,,0
278.0,U. Wisconsin-Stevens Point,0,,0,,0,i,124.0,i,0,,0,,0,i,78.0,i,,,0
280.0,"Loyola U., Chicago",28,,68,,123,,118.0,,25,,60,,44,,104.0,,,,0
281.0,Lafayette C.,5,,165,,74,,115.0,,0,,163,,74,,115.0,,,,0
282.0,Wichita State U.,363,,410,,0,,113.0,,0,,45,,0,,0.0,,,,0
283.0,U. Colorado Denver and Anschutz Medical Campus,111,,0,,67,,112.0,,111,,0,,31,,108.0,,,,0
284.0,"California Polytechnic State U., San Luis Obispo",112,,76,,19,,111.0,,33,,64,,19,,37.0,,,,0
284.0,Sam Houston State U.,202,,93,,94,,111.0,,178,,73,,50,,56.0,,,,0
284.0,U. Denver,50,,119,,207,,111.0,,50,,119,,207,,88.0,,,,0
287.0,Carleton C.,3,,65,,20,,110.0,,0,,13,,0,,17.0,,,,0
288.0,Bradley U.,160,,233,,100,,108.0,,0,,1,,5,,0.0,,,,0
289.0,Montclair State U.,141,,102,,117,,105.0,,108,,87,,113,,100.0,,,,0
290.0,Rowan U.,176,,123,,194,,101.0,,1,,57,,72,,30.0,,,,0
290.0,"U. North Carolina, Greensboro",146,,321,,129,,101.0,,146,,316,,124,,101.0,,,,0
292.0,Embry-Riddle Aeronautical U.,85,,72,,142,,100.0,,47,,38,,22,,0.0,,,,0
293.0,"Pennsylvania State U., Behrend",28,,39,,110,,97.0,,0,,15,,16,,24.0,,,,0
294.0,"California State U., Dominguez Hills",444,,683,,127,i,95.0,,444,,683,,127,i,95.0,,,,0
295.0,Central Michigan U.,125,,36,,116,,94.0,,61,,22,,0,,0.0,,,,0
296.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,120,,410,,97,,93.0,,34,,263,,42,,58.0,,,,0
297.0,Siena C.,0,,26,,18,,89.0,,0,,0,,0,,88.0,,,,0
298.0,Clarkson U.,233,,202,,89,,88.0,,122,,192,,30,,40.0,,,,0
298.0,Ohio U.,64,,152,,88,i,88.0,i,55,,123,,62,,62.0,,,,0
300.0,Sonoma State U.,ne,,58,,116,,87.0,,ne,,54,,116,,87.0,,,,0
301.0,C. of Saint Benedict,ne,,85,,99,,85.0,,ne,,22,,24,,19.0,,,,0
301.0,James Madison U.,229,,143,,97,,85.0,,160,,124,,68,,76.0,,,,0
303.0,"CUNY, C. Staten Island",28,,4,i,35,,82.0,,5,,0,,30,,55.0,,,,0
304.0,C. Wooster,39,,ne,,82,,78.0,i,26,,ne,,55,,51.0,i,,,0
304.0,Middlebury C.,151,,98,,49,,78.0,,151,,98,,49,,78.0,,,,0
304.0,"U. South Carolina, Beaufort",ne,,ne,,ne,,78.0,,ne,,ne,,ne,,68.0,,,,0
307.0,East Tennessee State U.,0,,0,,129,,77.0,,0,,0,,129,,76.0,,,,0
308.0,Kettering U.,0,,0,,10,,76.0,,0,,0,,0,,56.0,,,,0
309.0,Benedict C.,28,,19,,38,,75.0,,28,,19,,38,,75.0,,,,0
310.0,"Minnesota State U., Mankato",0,,0,,44,,74.0,,0,,0,,44,,74.0,,,,0
311.0,Ithaca C.,1,,62,,94,,73.0,,0,,54,,94,,69.0,,,,0
311.0,U. Baltimore,0,,0,,0,,73.0,,0,,0,,0,,73.0,,,,0
313.0,Western Washington U.,1,,74,,23,,70.0,,0,,0,,22,,12.0,,,,0
314.0,U. West Florida,16,,42,,57,,65.0,,10,,15,,2,,0.0,,,,0
314.0,Western Kentucky U.,70,,89,,85,,65.0,,0,,0,,0,,0.0,,,,0
316.0,Eastern Michigan U.,70,,5,,0,,64.0,,70,,5,,0,,57.0,,,,0
316.0,Middle Tennessee State U.,97,,260,,0,,64.0,,89,,252,,0,,64.0,,,,0
318.0,"U. Alaska, Anchorage",92,,237,,630,,63.0,,92,,85,,64,,44.0,,,,0
319.0,"Saint John's U., Collegeville",ne,,58,,69,,61.0,,ne,,0,,0,,0.0,,,,0
319.0,U. Wisconsin-Oshkosh,1,,1,i,43,i,61.0,i,1,,1,i,39,i,37.0,i,,,0
321.0,Texas Christian U.,0,,0,,6,,58.0,,0,,0,,6,,58.0,,,,0
322.0,Elon U.,42,i,52,i,54,,56.0,,0,,0,,6,,4.0,,,,0
322.0,Lewis and Clark C.,67,,73,,72,,56.0,,17,,72,,49,,38.0,,,,0
324.0,Azusa Pacific U.,199,i,ne,,ne,,55.0,,199,i,ne,,ne,,0.0,,,,0
324.0,Haverford C.,28,i,80,i,89,i,55.0,i,27,,63,,6,,36.0,,,,0
326.0,Fisk U.,0,,42,i,57,,53.0,i,0,,42,i,57,,53.0,i,,,0
326.0,U. of the Pacific,19,,23,,99,,53.0,,19,,23,,99,,53.0,,,,0
328.0,"U. South Carolina, Aiken",ne,,0,,41,i,51.0,,ne,,0,,0,i,0.0,,,,0
329.0,"California State U., Channel Islands",ne,,0,,260,,49.0,,ne,,0,,0,,0.0,,,,0
330.0,St. Olaf C.,74,,29,,77,,46.0,,57,,28,,70,,45.0,,,,0
331.0,Hofstra U.,156,,195,,91,,45.0,,153,,194,,90,,45.0,,,,0
332.0,Shaw U.,0,i,ne,,0,i,43.0,i,0,i,ne,,0,,38.0,i,,,0
332.0,"U. Texas, Tyler",313,,68,,36,,43.0,,306,,55,,32,,43.0,,,,0
334.0,Gonzaga U.,160,,155,,33,,41.0,,143,,155,,33,,41.0,,,,0
335.0,Northwestern U.,0,,0,,0,,40.0,,0,,0,,0,,0.0,,,,0
335.0,Swarthmore C.,87,,55,,52,,40.0,,82,,46,,48,,28.0,,,,0
337.0,"California State U., San Bernardino",297,,71,,14,,38.0,,297,,61,,0,,0.0,,,,0
337.0,Suffolk U.,147,,150,,49,,38.0,,0,,0,,0,,0.0,,,,0
339.0,"CUNY, Lehman C.",371,,214,,195,,37.0,,251,,200,,188,,37.0,,,,0
339.0,Kennesaw State U.,17,i,19,,0,,37.0,,17,i,19,,0,,0.0,,,,0
339.0,Morgan State U.,663,,9,,86,,37.0,,663,,9,,86,,37.0,,,,0
342.0,Georgia Southern U.,122,,143,,126,,36.0,,0,,22,,62,,26.0,,,,0
342.0,Kentucky State U.,5,,27,,48,,36.0,,0,,12,,0,,0.0,,,,0
344.0,Calvin C.,77,,16,,38,,35.0,i,0,,16,,36,,33.0,i,,,0
344.0,"CUNY, York C.",0,,0,,ne,,35.0,,0,,0,,ne,,25.0,,,,0
346.0,Florida Gulf Coast U.,3,,39,,64,,34.0,,3,,39,,63,,34.0,,,,0
346.0,Grinnell C.,204,,125,,121,,34.0,,36,,0,,0,,0.0,,,,0
348.0,Hamilton C.,147,,81,,121,,33.0,,147,,77,,119,,21.0,,,,0
349.0,Skidmore C.,9,,35,,12,,32.0,,0,,17,,0,,20.0,,,,0
350.0,Norwich U.,27,,40,,155,,30.0,,0,,0,,59,,0.0,,,,0
350.0,U. Wisconsin-Green Bay,34,i,33,i,31,i,30.0,i,29,i,27,i,25,i,23.0,i,,,0
352.0,Colby C.,87,,29,,43,,29.0,,49,,13,,15,,0.0,,,,0
353.0,Loyola Marymount U.,87,,68,,121,,28.0,,58,,48,,65,,17.0,,,,0
354.0,Pomona C.,23,,15,,11,,27.0,,0,,0,,0,,0.0,,,,0
354.0,"Southern Illinois U., Edwardsville",902,,1793,,291,,27.0,,300,,492,,82,,8.0,,,,0
354.0,U. San Francisco,96,,133,,144,,27.0,,92,,133,,144,,27.0,,,,0
357.0,Northern Kentucky U.,171,,204,,160,,26.0,,121,,152,,120,,8.0,,,,0
357.0,Western Illinois U.,16,,45,,44,,26.0,,16,,45,,42,,12.0,,,,0
359.0,Illinois State U.,33,,31,,36,,25.0,,0,,0,,0,,0.0,,,,0
359.0,Saint Michael's C.,ne,,0,,0,,25.0,,ne,,0,,0,,21.0,,,,0
359.0,U. Wisconsin-La Crosse,23,,51,,32,,25.0,,0,,0,,7,,13.0,,,,0
362.0,Quinnipiac U.,28,i,23,i,ne,,23.0,i,22,i,17,i,ne,,16.0,i,,,0
362.0,West Chester U. Pennsylvania,241,,24,,12,,23.0,,54,,21,,0,,0.0,,,,0
364.0,Trinity U.,20,,10,,10,,22.0,,20,,0,,0,,0.0,,,,0
365.0,Furman U.,70,,62,,49,,21.0,,54,,47,,43,,14.0,,,,0
365.0,"Indiana U., South Bend",13,,14,,70,,21.0,,9,,0,,0,,0.0,,,,0
367.0,U. Wisconsin-Platteville,ne,,ne,,15,i,20.0,i,ne,,ne,,13,i,13.0,i,,,0
368.0,Amherst C.,40,i,48,,8,,19.0,,2,i,2,,0,,0.0,,,,0
368.0,Marshall U.,0,,74,,1,,19.0,,0,,54,,0,,5.0,,,,0
370.0,Central Connecticut State U.,6,,18,,13,,18.0,,0,,0,,0,,0.0,,,,0
371.0,"CUNY, Medgar Evers C.",28,,11,,12,,17.0,,28,,11,,7,,17.0,,,,0
372.0,Nova Southeastern U.,0,,0,,1,,16.0,,0,,0,,0,,0.0,,,,0
372.0,Rhode Island School of Design,ne,,ne,,ne,,16.0,,ne,,ne,,ne,,0.0,,,,0
372.0,St. Cloud State U.,36,,23,,8,,16.0,,14,,3,,0,,0.0,,,,0
375.0,Chapman U.,36,,32,,18,,15.0,,0,,0,,0,,0.0,,,,0
375.0,U. Northern Iowa,0,,0,,4,,15.0,,0,,0,,0,,0.0,,,,0
377.0,East Central U.,0,,ne,,7,,14.0,,0,,ne,,0,,0.0,,,,0
378.0,Grand Valley State U.,15,i,17,,6,,13.0,,0,i,0,,0,,5.0,,,,0
378.0,Jacksonville State U.,ne,,ne,,ne,,13.0,,ne,,ne,,ne,,13.0,,,,0
378.0,Saint Louis U.,0,,0,,0,,13.0,,0,,0,,0,,0.0,,,,0
381.0,Claflin U.,0,,63,,18,,12.0,,0,,63,,18,,12.0,,,,0
381.0,Niagara U.,0,,0,,0,,12.0,,0,,0,,0,,4.0,,,,0
383.0,"Indiana U.-Purdue U., Fort Wayne",58,,27,,15,,11.0,,32,,0,,0,,0.0,,,,0
384.0,"California State U., Fullerton",25,,22,,0,,10.0,,0,,0,,0,,0.0,,,,0
384.0,Elizabeth City State U.,0,,19,,13,,10.0,,0,,0,,6,,4.0,,,,0
386.0,Alcorn State U.,551,,325,,112,,9.0,,440,,262,,84,,6.0,,,,0
386.0,Central State U.,169,,21,,15,,9.0,,169,,21,,15,,9.0,,,,0
388.0,"California State Polytechnic U., Pomona",0,,0,i,0,,7.0,,0,,0,,0,,7.0,,,,0
388.0,Saginaw Valley State U.,5,,43,,ne,,7.0,,5,,43,,ne,,2.0,,,,0
390.0,Coastal Carolina U.,0,,9,,0,,6.0,,0,,9,,0,,6.0,,,,0
390.0,"CUNY, Baruch C.",25,,16,,15,,6.0,,0,,14,,0,,0.0,,,,0
390.0,Eastern Connecticut State U.,ne,,ne,,70,,6.0,,ne,,ne,,0,,0.0,,,,0
390.0,Pepperdine U.,0,i,0,i,16,,6.0,,0,,0,,0,,0.0,,,,0
394.0,Dickinson C.,0,,0,,5,,5.0,,0,,0,,0,,0.0,,,,0
394.0,Wiley C.,0,,0,,0,,5.0,,0,,0,,0,,0.0,,,,0
394.0,Winthrop U.,0,,1,,0,,5.0,,0,,0,,0,,0.0,,,,0
397.0,Colorado C.,0,,0,,0,,4.0,,0,,0,,0,,0.0,,,,0
397.0,Davidson C.,0,,0,,0,,4.0,,0,,0,,0,,0.0,,,,0
399.0,Lake Superior State U.,ne,,ne,,ne,,3.0,,ne,,ne,,ne,,3.0,,,,0
399.0,Texas Woman's U.,0,,0,,0,,3.0,,0,,0,,0,,0.0,,,,0
399.0,U. Hartford,40,,91,,46,,3.0,,8,,54,,13,,3.0,,,,0
399.0,"U. North Carolina, Asheville",0,,0,,18,,3.0,,0,,0,,18,,1.0,,,,0
399.0,Virginia State U.,0,,0,,0,,3.0,,0,,0,,0,,0.0,,,,0
404.0,Bowdoin C.,189,,135,,94,,2.0,,187,,134,,93,,2.0,,,,0
404.0,Bowling Green State U.,17,,0,,0,,2.0,,17,,0,,0,,2.0,,,,0
404.0,"Pennsylvania State U., Harrisburg",3,,3,,2,,2.0,,0,,0,,0,,0.0,,,,0
404.0,"Purdue U., North Central",3,,0,,3,,2.0,,0,,0,,0,,0.0,,,,0
404.0,"U. Arkansas, Fayetteville",31,,119,,183,,2.0,,0,,0,,0,,0.0,,,,0
404.0,Youngstown State U.,35,,6,,0,,2.0,,0,,0,,0,,0.0,,,,0
410.0,Valparaiso U.,0,,7,,19,,1.0,,0,,0,,0,,0.0,,,,0
All other surveyed institutions,28947,,11350,,1584,,0.0,,23553,,6889,,729,,0.0,,,,,-1
