Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
55.0,Oregon State U.,3608,,5666,,6528,,7865.0,,3325,,4830,,5502,,6659.0,,,,0
55.0,U. Colorado Boulder,13339,,11391,,8191,,7865.0,,12866,,11022,,8004,,7140.0,,,,0
57.0,U. Notre Dame,6026,,6754,,6892,,7817.0,,4186,,3451,,3347,,3735.0,,,,0
58.0,Rockefeller U.,6361,,6211,,6211,,7667.0,,0,,0,,0,,0.0,,,,0
59.0,"U. Michigan, Ann Arbor",5674,,6755,,9123,,7631.0,,4182,,5103,,6281,,4354.0,,,,0
60.0,"U. Maryland, Baltimore County",6728,,6483,,6328,,7620.0,,5738,,5354,,5593,,6586.0,,,,0
61.0,"SUNY, U. Albany",5182,,5949,,6624,,7617.0,,3948,,4586,,5090,,5693.0,,,,0
62.0,"U. Texas, Dallas",6681,,8334,,7719,,7490.0,,4444,,5071,,5224,,4038.0,,,,0
63.0,U. Arizona,9227,,9664,,8587,,7292.0,,8439,,8248,,7094,,6299.0,,,,0
64.0,"U. Nebraska, Lincoln",8145,,5264,,10559,,7266.0,,4141,,3107,,5165,,3988.0,,,,0
65.0,"U. California, Berkeley",0,,1322,,5567,,7014.0,,0,,0,,50,,55.0,,,,0
66.0,"U. Pittsburgh, Pittsburgh",6951,,6800,,6769,,6745.0,,4632,,4453,,4136,,4280.0,,,,0
67.0,"U. Virginia, Charlottesville",7815,,6872,,6461,,6623.0,,6475,,5723,,5150,,5163.0,,,,0
68.0,"U. South Florida, Tampa",2359,,5573,,6636,,6575.0,,1387,,1443,,1339,,1293.0,,,,0
69.0,George Washington U.,3061,,5168,,5594,,6508.0,,2277,,3142,,3098,,3905.0,,,,0
70.0,Florida State U.,5670,,6548,,5727,,6293.0,,3773,,3497,,3796,,2920.0,,,,0
71.0,"U. Texas, El Paso",8119,,7436,,6616,,6097.0,,6879,,5542,,4723,,4622.0,,,,0
72.0,Duke U.,5214,,5188,,4639,,5693.0,,4365,,4261,,4107,,5237.0,,,,0
73.0,U. Houston,7273,,5405,,5019,,5682.0,,3978,,2834,,2156,,2467.0,,,,0
74.0,New Jersey Institute of Technology,3923,,5100,,5132,,5641.0,,794,,727,,727,,1144.0,,,,0
75.0,Clemson U.,5098,,8288,,8879,,5608.0,,2599,,5134,,5466,,2818.0,,,,0
75.0,Drexel U.,3275,,5713,,6480,,5608.0,,2406,,4643,,4882,,4000.0,,,,0
77.0,Harvard U.,895,,1224,,1787,,5603.0,,768,,936,,1305,,4854.0,,,,0
78.0,Washington State U.,412,,1391,,6226,i,5201.0,,104,,91,,856,,2494.0,,,,0
79.0,"U. North Carolina, Charlotte",6053,,5407,,5253,,5091.0,,5315,,4880,,4746,,4584.0,,,,0
80.0,"SUNY, Binghamton U.",5185,,4833,,5199,,4998.0,,1647,,1652,,1562,,1300.0,,,,0
81.0,DePaul U.,1596,,1479,,2078,,4995.0,,1411,,1289,,1783,,1703.0,,,,0
82.0,U. Delaware,5991,,5619,,5542,,4930.0,,4845,,4485,,4492,,4270.0,,,,0
83.0,Worcester Polytechnic Institute,3231,,3664,,4605,,4924.0,,2377,,2987,,4014,,4248.0,,,,0
84.0,Naval Postgraduate School,16202,,13262,,11634,,4918.0,,15925,,12777,,11360,,4540.0,,,,0
85.0,"U. North Texas, Denton",3101,,3210,,5002,,4856.0,,1341,,1855,,2816,,2445.0,,,,0
86.0,Kansas State U.,3796,,4170,,4442,,4803.0,,2983,,2636,,2869,,3114.0,,,,0
87.0,"U. California, Riverside",3719,,4436,,5022,,4726.0,,3045,,3128,,3936,,3142.0,,,,0
88.0,Wright State U.,4336,,4585,,4803,,4565.0,,1483,,1729,,2067,,1831.0,,,,0
89.0,Boston U.,3884,,5111,,4655,,4522.0,,3361,,4237,,3702,,3208.0,,,,0
90.0,Iowa State U.,6717,,7083,,4485,,4465.0,,3475,,4141,,1908,,1373.0,,,,0
91.0,Dartmouth C.,5416,,5696,,4658,,4444.0,,4530,,5151,,3738,,3927.0,,,,0
92.0,"U. Texas, Arlington",3968,,3919,,4241,,4310.0,,2315,,1921,,1462,,1576.0,,,,0
93.0,U. Georgia,3364,,3484,,3841,,4301.0,,878,,1015,,1474,,1833.0,,,,0
94.0,"U. Texas, San Antonio",6863,,5799,,3718,,4258.0,,5568,,4550,,2524,,2643.0,,,,0
95.0,"U. Massachusetts, Lowell",3327,,4118,,4313,,4178.0,,1890,,2139,,2528,,2350.0,,,,0
96.0,U. New Mexico,3810,,4354,,4410,,4167.0,,3528,,4215,,3469,,2607.0,,,,0
97.0,"Washington U., Saint Louis",4980,,4659,,5060,,4111.0,,4362,,4039,,4431,,3706.0,,,,0
98.0,U. Oregon,7850,,6001,,4859,,4049.0,,7389,,5574,,4469,,3808.0,,,,0
99.0,North Dakota State U.,2620,,3996,,5106,,3949.0,,2043,,1915,,2768,,1924.0,,,,0
100.0,Syracuse U.,10009,,5736,,4857,,3939.0,,2612,,1953,,2482,,2471.0,,,,0
101.0,U. Connecticut,3317,,3765,,3824,,3835.0,,2606,,2831,,2562,,2712.0,,,,0
102.0,Temple U.,3443,,3422,,4355,,3778.0,,2363,,2411,,3311,,2905.0,,,,0
103.0,Texas Tech U.,2737,,3254,,3527,,3750.0,,262,,457,,641,,896.0,,,,0
104.0,"Colorado State U., Fort Collins",3736,,3769,,3909,,3565.0,,3338,,3264,,3478,,3175.0,,,,0
105.0,"U. California, Santa Cruz",6444,,6086,,3527,,3424.0,,3491,,3064,,2314,,1796.0,,,,0
106.0,U.S. Air Force Academy,5756,,2007,,836,i,3401.0,,5629,,1863,,737,,3129.0,,,,0
107.0,Rochester Institute of Technology,2127,,1665,,3608,,3374.0,,1197,,934,,1837,,1974.0,,,,0
108.0,U. Tulsa,4219,,3764,,3094,,3273.0,,3804,,3607,,2766,,2853.0,,,,0
109.0,Wayne State U.,3327,,3406,,3822,,3244.0,,1993,,2260,,2687,,1952.0,,,,0
110.0,Air Force Institute of Technology,2253,,1872,,2111,,3182.0,,1448,,960,,1460,,1553.0,,,,0
111.0,Tufts U.,2442,,2216,,2281,,3141.0,,2208,,1887,,2036,,3022.0,,,,0
112.0,"Louisiana State U., Baton Rouge",2827,,2828,,2767,,3110.0,,1318,,1408,,1809,,1541.0,,,,0
113.0,U. Rochester,3258,,3342,,2719,,2934.0,,2817,,2916,,2344,,2409.0,,,,0
114.0,San Diego State U.,1573,,1583,,1854,,2836.0,,1073,,796,,914,,1840.0,,,,0
115.0,Louisiana Tech U.,3342,,2751,,2902,,2770.0,,1178,,851,,1571,,1383.0,,,,0
116.0,"U. Massachusetts, Boston",2569,,2428,,3048,,2733.0,,1923,,2008,,1843,,1889.0,,,,0
117.0,Boise State U.,292,,1553,,2507,,2634.0,,147,,223,,508,,451.0,,,,0
118.0,"U. Missouri, Columbia",1949,,2209,,1739,,2567.0,,1350,,1867,,1471,,2281.0,,,,0
119.0,"Toyota Technological Institute, Chicago",ne,,ne,,ne,,2543.0,,ne,,ne,,ne,,1392.0,,,,0
120.0,U. Dayton,370,,2124,,2423,,2523.0,,55,,1482,,1883,,1591.0,,,,0
121.0,North Carolina Agricultural and Technical State U.,880,,919,,2065,,2416.0,,732,,871,,1994,,2206.0,,,,0
122.0,U. Idaho,2541,,2452,,2451,,2415.0,,1797,,1893,,1856,,1739.0,,,,0
123.0,"Indiana U.-Purdue U., Indianapolis",1219,,3858,,2933,,2395.0,,757,,1883,,1130,,1121.0,,,,0
124.0,"U. Nebraska, Omaha",2514,,2529,,2537,,2389.0,,2307,,2156,,2157,,2110.0,,,,0
125.0,Brandeis U.,1154,,1764,,2464,i,2382.0,i,1127,,1755,,2037,,1967.0,,,,0
126.0,Georgetown U.,937,,2021,,1680,,2246.0,,914,,1911,,1473,,1116.0,,,,0
127.0,Utah State U.,1359,,1292,,2053,,2203.0,,1037,,691,,943,,1237.0,,,,0
128.0,U. Memphis,3899,,3366,,4129,,2202.0,,2296,,1819,,2338,,1768.0,,,,0
129.0,Illinois Institute of Technology,1843,,3333,,2434,,2169.0,,1667,,3155,,2211,,1790.0,,,,0
130.0,U. Kentucky,3269,,3264,,3085,,2149.0,,1432,,1260,,1275,,1234.0,,,,0
131.0,Stevens Institute of Technology,954,,1399,,1866,,2119.0,,904,,1302,,1831,,2098.0,,,,0
132.0,Georgia State U.,1423,,1910,,2100,i,2102.0,,1091,,986,,789,,900.0,,,,0
133.0,"U. Alaska, Fairbanks",4488,,2703,,2456,,1876.0,,4423,,2693,,1414,,632.0,,,,0
134.0,Missouri U. of Science and Technology,738,,1039,,1390,,1872.0,,631,,882,,1136,,1658.0,,,,0
135.0,Kent State U.,611,,443,,379,,1808.0,,516,,278,,245,,330.0,,,,0
136.0,New Mexico State U.,1786,,1151,,2704,,1792.0,,1236,,988,,2247,,1430.0,,,,0
137.0,Texas State U.,594,,1011,,1287,,1766.0,,329,,700,,921,,1558.0,,,,0
138.0,C. of William and Mary and Virginia Institute of Marine Science,1355,,2097,,2209,,1741.0,,1350,,1995,,2133,,1673.0,,,,0
139.0,Jackson State U.,1480,,1297,,1458,,1723.0,,1411,,1137,,1212,,1361.0,,,,0
140.0,U. Kansas,1352,,862,,1093,,1710.0,,1080,,661,,940,,1574.0,,,,0
141.0,Portland State U.,2237,,2106,,1932,,1703.0,,2064,,1997,,1808,,1399.0,,,,0
142.0,U. Iowa,1442,,1408,,2142,,1661.0,,1272,,1161,,1646,,1121.0,,,,0
143.0,"U. North Carolina, general administration",ne,,ne,,ne,,1607.0,,ne,,ne,,ne,,67.0,,,,0
144.0,U. Miami,832,,1244,,1807,,1574.0,,752,,1171,,1485,,1269.0,,,,0
145.0,"U. Oklahoma, Norman and Health Science Center",3306,,2734,,3648,,1547.0,,2483,,2201,,1521,,1447.0,,,,0
146.0,"U. Missouri, Kansas City",994,,1194,,1250,,1533.0,,705,,315,,180,,358.0,,,,0
147.0,"Oklahoma State U., Stillwater",2496,,1830,,1710,,1519.0,,1315,,353,,271,,254.0,,,,0
148.0,Michigan Technological U.,1597,,1545,,1701,,1492.0,,276,,383,,567,,524.0,,,,0
149.0,"U. California, Office of the President",1606,,1327,,1485,,1485.0,,0,,0,,0,,0.0,,,,0
150.0,U. New Hampshire,314,,375,,348,,1476.0,,282,,353,,307,,1295.0,,,,0
151.0,"U. Arkansas, Little Rock",852,,4703,,1002,,1470.0,,571,,332,,241,,426.0,,,,0
