Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
,All institutions,674445,,670802,,657901,,641712,,490534,,464593,,441406,,424891,
1.0,Johns Hopkins U.a,40467,i,41136,i,45757,i,47552,i,39022,,39480,,44199,,45936,
2.0,Brown U.,14599,,16462,,22174,i,23986,i,9765,,10520,,11749,,12125,
3.0,North Carolina State U.,20846,,22207,,20883,,21317,,11843,,13197,,11519,,11925,
4.0,"U. Michigan, Ann Arbor",14142,,15680,,16485,,17803,,7030,,6944,,6930,,7410,
5.0,U. Texas M. D. Anderson Cancer Center,21258,,16068,,16965,,17797,,5985,,5229,,5141,,4764,
6.0,"Rutgers, State U. New Jersey, New Brunswick",17184,,19357,,16699,,16646,,12582,,13058,,11017,,11640,
7.0,"U. Minnesota, Twin Cities",10469,,12295,,12632,,14334,,7772,,8991,,9355,,10898,
8.0,Iowa State U.,11736,,11268,,12519,,13933,,5639,,4893,,5506,,6416,
9.0,"Pennsylvania State U., University Park and Hershey Medical Center",12042,,11930,,10880,,12424,,9570,,9385,,8068,,8958,
10.0,Duke U.,10532,,12199,,12791,,12126,,9026,,10972,,11671,,11083,
11.0,New York U.,10001,,11056,,10062,,11545,,9475,,10005,,8858,,9783,
12.0,"U. California, Los Angeles",8640,,11506,,10360,,10774,,7381,,8972,,9016,,9527,
13.0,Harvard U.,9573,,10988,,10784,,10558,,9185,,9266,,8353,,8971,
14.0,California Institute of Technology,9841,i,9150,i,9338,,10003,,9227,,8429,,8051,,8227,
15.0,Massachusetts Institute of Technology,8883,,9329,,8679,,9130,,7374,,7436,,6657,,6621,
16.0,"Texas A&M U., College Station and Health Science Center",12378,,13023,,12333,,9079,,6274,,6329,,5835,,4618,
17.0,Michigan State U.,6540,,10413,,9206,,9004,,4823,,6385,,5506,,5310,
18.0,"U. Texas, Austin",19058,,17470,,10069,,8508,,11508,,9602,,4852,,4231,
