Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
,All institutions,1179288,,1128267,,1141626,,1184016,,859500,,776402,,750935,,763177,
1.0,"U. North Carolina, Chapel Hill",44595,,46285,,46869,,46707,,27203,,27359,,25323,,27251,
2.0,Florida State U.,21396,,24704,,31565,,38670,,15055,,18153,,25070,,26718,
3.0,New York U.,20726,,21235,,21391,,26030,,18043,,18492,,18391,,21423,
4.0,"U. Minnesota, Twin Cities",21661,,25041,,25781,,25539,,16633,,18187,,18322,,19095,
5.0,"Pennsylvania State U., University Park and Hershey Medical Center",31056,,28526,,23476,,24406,,22737,,20806,,15945,,17489,
6.0,U. Pennsylvania,10321,,14512,,14926,,22774,,8892,,11347,,12589,,18365,
7.0,"U. Michigan, Ann Arbor",24914,,24244,,21479,,21989,,15451,,14709,,11838,,11789,
8.0,U. Connecticut,24290,,22981,,18048,,18787,,18011,,16788,,11565,,10457,
9.0,"U. California, San Diego",25447,,21353,,19349,,18632,,17392,,14132,,13285,,13276,
10.0,U. Texas M. D. Anderson Cancer Center,22921,,17292,,16600,,17786,,7803,,6583,,6014,,6639,
11.0,Princeton U.,9810,,9991,,15101,,17778,,5534,,4475,,6805,,8687,
12.0,San Jose State U.,14284,,15798,,17209,,17670,,13648,,15040,,16381,,16545,
13.0,"U. California, Los Angeles",13961,,11099,,13043,,17502,,8987,,7140,,7923,,11210,
14.0,"U. Illinois, Urbana-Champaign",16546,,18190,,17753,,17276,,10255,,9948,,8782,,8463,
15.0,"U. Pittsburgh, Pittsburgh",9905,,10908,,14337,,16920,,8421,,9169,,12533,,15188,
16.0,U. Georgia,21072,,20680,,17578,,16512,,13271,,12646,,9716,,8432,
17.0,Arizona State U.,12419,,12104,,13805,,16367,,10383,,8962,,9688,,11116,
18.0,"Indiana U., Bloomington",11884,,13008,,13043,,15509,,7298,,7283,,8641,,8772,
19.0,Stanford U.,11713,,11799,,14067,,15128,,8260,,7701,,9060,,9067,
20.0,U. Colorado Boulder,17584,,16293,,15675,,14034,,15214,,14652,,14708,,13637,
21.0,Cornell U.,8079,,10506,,11892,,13717,,3435,,3972,,4046,,5099,
22.0,Boston U.,12819,,12726,,13207,,13607,,11585,,9925,,10726,,10515,
23.0,"Rutgers, State U. New Jersey, New Brunswick",12779,,15386,,17562,,13319,,7668,,6375,,8476,,7818,
24.0,U. Miami,11559,,9739,,9430,,13167,,8671,,6963,,6238,,8883,
25.0,San Diego State U.,14677,,12592,,12913,,12298,,11384,,9061,,8310,,8461,
26.0,"U. Nebraska, Lincoln",13690,,17889,,14955,,12287,,9150,,9996,,8722,,5650,
27.0,Vanderbilt U.,14234,,13990,,11101,,12159,,12223,,11414,,9016,,8275,
28.0,U. Rochester,17991,,15621,,15327,,11993,,15411,,13160,,12928,,10027,
29.0,Temple U.,10941,,12707,,12693,,11985,,8387,,10266,,9325,,8641,
30.0,Yale U.,7912,,9694,,10778,,11787,,4286,,4304,,4196,,4131,
31.0,U. Chicago,9947,,11504,,10127,,11503,,9797,,9509,,7054,,7476,
32.0,"U. California, Berkeley",8568,,7081,,10413,,11277,,5364,,4055,,4488,,5445,
33.0,U. Houston,10876,,10964,,11625,,11221,,8700,,8802,,7490,,7379,
34.0,"CUNY, Hunter C.",9421,,10492,,10126,,10997,,6794,,7874,,7221,,8027,
35.0,"U. Illinois, Chicago",13430,,14156,,13303,,10645,,9140,,9453,,8304,,6515,
36.0,U. Kentucky,11048,,9477,,10797,,10568,,8773,,7479,,8947,,8569,
37.0,"U. South Florida, Tampa",14624,,11508,,11201,,10370,,8792,,7164,,7214,,6258,
38.0,Utah State U.,8353,,9264,,13256,,10369,,6310,,6947,,9812,,6917,
39.0,U. Oregon,9010,,8730,,10423,,10177,,8225,,7855,,9155,,9432,
40.0,"SUNY, Binghamton U.",11384,,10229,,9159,,10113,,4720,,4350,,3835,,4550,
41.0,Michigan State U.,8894,,9103,,8099,,9947,,6827,,6648,,5546,,5077,
42.0,"U. Texas, Austin",9429,,8375,,8295,,9938,,7245,,6943,,6379,,7706,
43.0,U. Southern California,10488,,9642,,10059,,9935,,8249,,6963,,7368,,6361,
44.0,Florida International U.,3459,,5761,,7798,,9741,,2557,,3527,,5127,,5773,
45.0,"U. Washington, Seattle",8395,,9203,,9637,,9314,,7850,,7980,,7920,,7518,
46.0,Brown U.,4358,,3487,,9127,i,8826,i,3373,,3471,,6009,,5944,
47.0,Virginia Commonwealth U.,4759,,3632,,6427,,8799,,4184,,3254,,5132,,7368,
48.0,Tufts U.,5362,,7634,,8983,,8651,,2220,,2542,,2597,,3164,
49.0,U. New Mexico,13487,,9435,,8203,,8354,,11720,,8152,,6577,,6441,
50.0,Duke U.,17778,,23851,,10297,,8239,,15583,,20433,,7358,,5935,
51.0,Carnegie Mellon U.,10812,,10125,,8607,,7757,,9068,,8840,,7623,,7039,
52.0,"U. South Carolina, Columbia",7467,,7358,,7358,,7634,,4476,,5418,,5413,,5780,
53.0,U. Iowa,8906,,8929,,8776,,7519,,6791,,6851,,6527,,5660,
54.0,George Mason U.,6160,,6234,,6806,,7509,,5146,,5333,,4844,,5419,
55.0,Georgia Institute of Technology,6249,,7070,,6416,,7431,,4312,,5235,,4790,,5803,
