Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
129.0,Northern Arizona U.,4787,,1565,,2304,,661,,65,,34,,6,,0,,138,,14,
130.0,"U. California, Santa Barbara",4778,,1589,,1764,,0,,42,,0,,632,,0,,59,,692,
131.0,Drexel U.,4640,,668,,3104,,11,,58,,93,,0,,0,,447,,259,
132.0,"U. Massachusetts, Medical School",4615,,0,,4615,,0,,0,,0,,0,,0,,0,,0,
133.0,U. Toledo,4547,,54,,13,,0,,2009,,9,,51,,0,,2410,,1,
134.0,Medical U. South Carolina,4519,,0,,4519,,0,,0,,0,,0,,0,,0,,0,
135.0,C. of William and Mary and Virginia Institute of Marine Science,4513,,2189,,484,,32,,493,,7,,793,,0,,0,,515,
136.0,Texas A&M U.-Corpus Christi,4440,,2424,,1117,,107,,172,,0,,90,,88,,53,,389,
137.0,"U. Minnesota, Duluth",4406,,3800,,126,,0,,0,,0,,23,,0,,413,,44,
138.0,"U. Massachusetts, Boston",4394,,118,,1226,,14,,0,,0,,401,,0,,0,,2635,
139.0,"U. Texas Health Science Center, Tyler",4385,,0,,4385,,0,,0,,0,,0,,0,,0,,0,
140.0,New Mexico Institute of Mining and Technology,4361,,2664,,0,,0,,126,,0,,218,,0,,1353,,0,
141.0,Texas A&M U.-Kingsville,4332,,132,,3212,,0,,0,,49,,0,,7,,325,,607,
142.0,U. New Hampshire,4153,,76,,2031,,67,,0,,0,,24,,0,,1465,,490,
143.0,Tulane U.,4063,,0,,3587,,12,,335,,5,,107,,0,,17,,0,
144.0,"Rutgers, State U. New Jersey, Newark",4021,,7,,1797,,26,,0,,2,,1753,,157,,0,,279,
145.0,"U. Maryland, Center for Environmental Science",3968,,3811,,0,,0,,0,,0,,0,,0,,0,,157,
146.0,"U. North Carolina, general administration",3860,,20,,441,,1540,,0,,0,,7,,62,,1790,,0,
147.0,Harvard U.,3805,,37,,1938,,0,,0,,0,,306,,1364,,0,,160,
148.0,U. Memphis,3784,,1040,,365,,43,,0,,1115,,151,,0,,267,,803,
149.0,"U. Virginia, Charlottesville",3768,,0,,790,,74,,0,,0,,2,,0,,1517,,1385,
150.0,U. Akron,3739,,17,,98,,0,,2298,,52,,35,,0,,1010,,229,
151.0,"Montana State U., Bozeman",3540,,5,,3002,,0,,135,,0,,7,,14,,377,,0,
152.0,Louisiana Tech U.,3501,,0,,189,,579,,198,,0,,0,,0,,1606,,929,
153.0,U. West Florida,3480,,0,,182,,3,,0,,91,,2711,,0,,34,,459,
154.0,Old Dominion U.,3456,,294,,453,,27,,8,,2,,75,,0,,1930,,667,
155.0,"U. Alabama, Birmingham",3401,,0,,2132,,120,,0,,75,,20,,0,,659,,395,
156.0,U. Wyoming,3362,,1342,,1051,,87,,72,,0,,133,,46,,545,,86,
157.0,New Jersey Institute of Technology,3355,,0,,10,,3,,0,,0,,0,,281,,1473,,1588,
158.0,"U. California, Santa Cruz",3262,,1171,,894,,89,,0,,0,,40,,0,,1068,,0,
159.0,"U. Louisiana, Lafayette",3221,,49,,523,,514,,177,,2,,29,,40,,818,,1069,
160.0,Tennessee Technological U.,3216,,0,,871,,0,,0,,0,,0,,0,,2273,,72,
161.0,"U. Massachusetts, Lowell",3215,,0,,23,,0,,0,,66,,55,,0,,1194,,1877,
162.0,"U. Tennessee, Health Science Center",3187,,0,,2490,,0,,0,,0,,0,,0,,697,,0,
163.0,"Indiana U., Bloomington",3158,,239,,1244,,0,,0,,50,,966,,0,,0,,659,
164.0,Creighton U.,3135,,0,i,2432,i,76,i,163,i,0,i,161,i,0,i,0,i,303,i
165.0,"U. Puerto Rico, Medical Sciences Campus",3119,,0,,3119,,0,,0,,0,,0,,0,,0,,0,
166.0,"U. Alaska, Anchorage",3071,,46,,923,,4,,0,,0,,1106,,116,,30,,846,
167.0,"Arkansas State U., Jonesboro",3067,,0,,2779,,72,,61,,25,,0,,0,,129,,1,
168.0,"U. Nebraska, Medical Center",3058,,0,,3058,,0,,0,,0,,0,,0,,0,,0,
169.0,Van Andel Institute,3039,,0,,3039,i,0,,0,,0,,0,,0,,0,,0,
170.0,California Institute of Technology,3032,,814,,0,,0,,0,,0,,0,,0,,2218,,0,
171.0,Prairie View A&M U.,2938,,0,,2264,,69,,94,,0,,3,,0,,353,,155,
172.0,"U. Nevada, Las Vegas",2930,,335,,475,,0,,16,,0,,66,,0,,1623,,415,
173.0,Tuskegee U.,2898,i,0,i,1966,i,61,i,131,i,39,i,130,i,0,i,325,i,246,i
