Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All environmental sciences,Unnamed: 10,Atmospheric sciences,Unnamed: 12,Earth sciences,Unnamed: 14,Oceanography,Unnamed: 16,"Environmental sciences, nec"
65.0,Naval Postgraduate School,18326,,14456,,10692,,11271,,7503,,0,,3690,,78,
66.0,Northern Arizona U.,6490,,7286,,7773,,10753,,175,,5083,,30,,5465,
67.0,Ohio State U.,10494,,10769,,11517,,10700,,0,,10700,,0,,0,
68.0,Washington State U.,6939,,7129,,7557,i,10614,,966,,2190,,1196,,6262,
69.0,Colorado School of Mines,10491,,10617,,11081,,10586,,0,,10586,,0,,0,
70.0,U. Connecticut,8601,,9094,,9488,,10348,,0,,64,,10284,,0,
71.0,"U. Massachusetts, Dartmouth",9359,,10977,,8812,,10225,,0,,0,,10225,,0,
72.0,West Virginia U.,6044,,8927,,9015,,10160,,0,,7384,,0,,2776,
73.0,"Montana State U., Bozeman",9280,,7556,,11591,,10073,,0,,792,,0,,9281,
74.0,"U. California, Berkeley",11996,,11535,,9951,,10019,,20,,9999,,0,,0,
75.0,George Mason U.,8635,,9249,,9770,,9836,,4466,,5301,,69,,0,
76.0,U. Central Florida,15107,,12138,,9132,,9540,,9534,,0,,6,,0,
77.0,"SUNY, U. Albany",6994,,5848,,6872,,9391,,5401,,0,,0,,3990,
78.0,U. Chicago,6561,,7124,,8295,,8518,,0,,8518,,0,,0,
79.0,U. North Dakota,12140,,9675,,8648,,8499,,5041,,3267,,0,,191,
80.0,New Mexico Institute of Mining and Technology,10764,,11297,i,10296,,8492,,0,,7212,,0,,1280,
81.0,"U. California, Irvine",8460,,12130,,10995,,8414,,87,,0,,0,,8327,
82.0,"U. Alabama, Birmingham",1067,,319,,342,,8362,,0,,500,,0,,7862,
83.0,U. Mississippi,5418,,8744,,8687,,8186,,0,,154,,8032,,0,
84.0,"U. California, Riverside",8889,,8844,,9147,,8129,,0,,3621,,0,,4508,
85.0,Yale U.,5048,,6126,,6117,,8128,,0,,8097,,0,,31,
86.0,Oregon Health and Science U.,9260,,10699,,8194,,7629,,0,,0,,0,,7629,
87.0,Boston U.,6003,,6850,,6984,,7419,,0,,6529,,0,,890,
88.0,"U. Illinois, Urbana-Champaign",8576,,8471,,8446,,7214,,2869,,4345,,0,,0,
89.0,"U. Puerto Rico, Mayaguez",7093,,7517,,7033,,6988,,0,,719,,6269,,0,
90.0,Southern Methodist U.,5327,,4522,,11432,,6915,,0,,6915,,0,,0,
91.0,Montana Tech of U. Montana,6758,,6971,,6794,,6867,,0,,6867,,0,,0,
92.0,Florida International U.,5155,,5360,,4495,,6785,,3211,,2917,,657,,0,
93.0,Portland State U.,4865,,6119,,6603,,6580,,0,,1208,,0,,5372,
94.0,Brown U.,11977,,14513,,8801,i,6524,i,486,i,3405,i,350,i,2283,i
95.0,Boston C.,8938,,9009,,6817,,6161,,5614,,547,,0,,0,
96.0,South Dakota State U.,3558,,4788,,4585,,6130,,0,,6130,,0,,0,
97.0,Virginia Polytechnic Institute and State U.,7998,,9070,,7515,,6107,,52,,6055,,0,,0,
98.0,"Washington U., Saint Louis",9250,,12693,,9374,,6066,,0,,6066,,0,,0,
99.0,Rice U.,3881,,4733,,4000,,6013,,0,,6013,,0,,0,
100.0,"U. Tennessee, Knoxville",6389,,6591,,6711,,6011,,0,,3116,,0,,2895,
101.0,"U. Virginia, Charlottesville",5515,,5489,,5560,,5873,,5873,,0,,0,,0,
102.0,"Oklahoma State U., Stillwater",3174,,3921,,4448,,5673,,0,,5673,,0,,0,
103.0,U. Houston,6524,,7276,,8039,,5656,,0,,5656,,0,,0,
104.0,U. New Mexico,5452,,6190,,5588,,5528,,1779,,3749,,0,,0,
105.0,"U. Texas, El Paso",4447,,5590,,5461,,5357,,2284,,2893,,0,,180,
106.0,Boise State U.,4918,,5115,,5922,,5353,,1,,3788,,0,,1564,
107.0,Nova Southeastern U.,5509,,5083,,5634,,5312,,0,,0,,5312,,0,
108.0,San Francisco State U.,6453,,7302,,6060,,5257,,29,,757,,4051,,420,
109.0,U. Idaho,6450,,6449,,5683,,5219,,237,,4704,,0,,278,
110.0,Morgan State U.,6330,,5969,,5787,,5119,,0,,5119,,0,,0,
111.0,"U. Puerto Rico, Rio Piedras",3469,,4085,,4316,,5079,,0,,15,,224,,4840,
112.0,Hampton U.,2953,,3286,,4244,,4977,,3462,,0,,662,,853,
113.0,Old Dominion U.,9526,,8457,,6306,,4758,,0,,0,,4758,,0,
114.0,"U. Massachusetts, Amherst",4713,,4321,,4029,,4754,,0,,4746,,0,,8,
115.0,"U. Maryland, Eastern Shore",2013,,3859,,3942,,4724,,0,,0,,3013,,1711,
116.0,"U. North Carolina, Wilmington",7281,,5159,,4453,,4551,,77,,579,,3895,,0,
117.0,"U. Alaska, Anchorage",2731,,3128,,3762,,4541,,1578,,1309,,226,,1428,
118.0,"Purdue U., West Lafayette",5967,,6166,,5096,,4492,,3422,,1052,,0,,18,
119.0,"U. Massachusetts, Boston",3096,,3340,,4164,,4463,,0,,0,,4201,,262,
120.0,Drexel U.,0,,0,,0,,4337,,0,,0,,0,,4337,
121.0,Vanderbilt U.,1819,,2311,,3618,,4299,,0,,4299,,0,,0,
122.0,"U. South Carolina, Columbia",13649,,7350,,7394,,4289,,0,,4282,,7,,0,
123.0,"U. Nevada, Las Vegas",9723,,11071,,8504,,4254,,0,,2021,,0,,2233,
124.0,Mississippi State U.,9698,,5518,,3920,,4250,,964,,2088,,1198,,0,
125.0,U. Memphis,4587,,4333,,4358,,4228,,0,,4228,,0,,0,
126.0,"Indiana U., Bloomington",3490,,4912,,5862,,4209,,0,,4209,,0,,0,
127.0,Humboldt State U.,1165,,1181,,1408,,4118,,49,,139,,1717,,2213,
128.0,Stevens Institute of Technology,2199,,1795,,1177,,3872,,2572,,0,,365,,935,
129.0,"U. Nebraska, Lincoln",5567,,5602,,3820,,3703,,0,,3703,,0,,0,
130.0,U. Oregon,3760,,3229,,5008,,3687,,0,,2073,,517,,1097,
131.0,"Auburn U., Auburn",2092,,2386,,2988,,3461,,117,,858,,352,,2134,
132.0,Missouri U. of Science and Technology,3182,,2513,,3111,,3426,,0,,3400,,0,,26,
133.0,Florida A&M U.,3771,,3899,,3394,,3288,,0,,62,,3206,,20,
134.0,Northeastern U.,2472,,2564,,2948,,3203,,0,,853,,2350,,0,
135.0,Grand Valley State U.,3198,i,3728,,3362,,3085,,1,,45,,5,,3034,
136.0,Dartmouth C.,2449,,2257,,2961,,2972,,0,,2140,,0,,832,
137.0,U. New Orleans,3711,,2713,,2624,,2919,,0,,1210,,0,,1709,
138.0,Tarleton State U.,2935,,3028,,3310,,2895,,25,,41,,0,,2829,
139.0,"SUNY, U. Buffalo",3076,,3298,,3470,,2883,,0,,2883,,0,,0,
140.0,Iowa State U.,2358,,5357,,4864,,2882,,0,,2882,,0,,0,
141.0,U. Iowa,2211,,2406,,2766,,2839,,0,,1410,,0,,1429,
142.0,Texas State U.,3958,,4064,,3333,,2808,,0,,1832,,0,,976,
143.0,"U. Arkansas, Fayetteville",2771,,2533,,2398,,2735,,0,,2735,,0,,0,
144.0,U. Toledo,3192,,3672,,3349,,2715,,130,,2578,,0,,7,
145.0,Western Washington U.,2615,,2227,,2661,,2709,,0,,1390,,1255,,64,
146.0,Michigan State U.,12198,,1564,,2767,,2685,,0,,2451,,0,,234,
147.0,U. South Alabama,2060,,1912,,1860,,2626,,34,,54,,2538,,0,
148.0,Howard U.,2710,,2725,,1080,,2502,,0,,45,,2457,,0,
149.0,Ohio U.,1134,,1227,,1144,i,2470,i,180,i,1700,i,0,i,590,i
150.0,Idaho State U.,2411,,1596,,1272,,2354,,0,,2354,,0,,0,
151.0,Florida Institute of Technology,2216,,2097,,1402,i,2338,,0,,0,,2338,,0,
152.0,U. Kentucky,3493,,5061,,3052,,2332,,0,,2332,,0,,0,
153.0,"U. California, Merced",1695,,1938,,2920,,2286,,0,,2286,,0,,0,
154.0,Syracuse U.,2525,,2229,,1723,,2224,,0,,2224,,0,,0,
155.0,Rensselaer Polytechnic Institute,2615,,2422,,2023,,2205,,0,,2015,,0,,190,
156.0,"U. Illinois, Chicago",2911,,2456,,2903,,2193,,0,,894,,0,,1299,
157.0,Clark U.,2328,,1344,,1618,,2165,,0,,803,,327,,1035,
158.0,Rochester Institute of Technology,2084,,2099,,1987,,2155,,0,,0,,0,,2155,
159.0,"U. Louisiana, Lafayette",1429,,1456,,1801,,2146,,2,,344,,0,,1800,
160.0,Utah State U.,3010,,3066,,2608,,2039,,1973,,66,,0,,0,
161.0,San Diego State U.,2613,,4826,,2117,,1983,,0,,1398,,585,,0,
162.0,"California State U., Monterey Bay",2413,,2939,,1721,,1963,,12,,806,,1145,,0,
163.0,U. Rochester,809,,1278,,1380,,1941,,0,,1941,,0,,0,
164.0,Northwestern U.,1680,,1624,,1990,,1924,,0,,1924,,0,,0,
165.0,"California State U., Northridge",1691,,1258,,1589,,1885,,0,,568,,1313,,4,
166.0,Alabama A&M U.,1849,i,1837,i,1825,i,1813,i,0,i,1813,i,0,i,0,i
167.0,New Mexico State U.,1478,,1655,,2872,,1800,,86,,559,,0,,1155,
168.0,East Carolina U.,2584,,2316,,1449,,1778,,0,,855,,923,,0,
169.0,U. Notre Dame,1213,,1953,,2294,,1768,,0,,0,,0,,1768,
170.0,Jackson State U.,483,,165,,1962,,1732,,0,,0,,0,,1732,
171.0,Baylor U.,1120,,1285,,1445,,1674,,35,,1164,,0,,475,
172.0,"U. Texas, Arlington",1906,,1504,,1842,,1661,,0,,1661,,0,,0,
173.0,"Pennsylvania State U., Behrend",1568,,1709,,2136,,1653,,37,,37,,1579,,0,
174.0,Texas A&M U.-Kingsville,923,,873,,2000,,1615,,87,,59,,0,,1469,
175.0,Coastal Carolina U.,1945,,2065,,1805,,1603,,0,,19,,1576,,8,
176.0,"CUNY, City C.",1040,,4217,,1472,,1599,,0,,1390,,0,,209,
177.0,"U. Washington, Tacoma",0,,0,,0,,1557,,0,,0,,1557,,0,
178.0,"Southern Illinois U., Edwardsville",1362,,1512,,1583,,1549,,0,,1549,,0,,0,
179.0,"U. Texas, San Antonio",796,,833,,799,,1519,,0,,1519,,0,,0,
180.0,U. Guam,1585,,1343,,1491,,1479,,0,,0,,557,,922,
181.0,Central Washington U.,1135,,956,,951,,1452,,0,,1403,,0,,49,
182.0,"Lincoln U., Jefferson City",1668,,1842,,1676,,1450,,0,,209,,0,,1241,
183.0,"Rutgers, State U. New Jersey, Newark",1261,,1749,,1946,,1439,,0,,1298,,104,,37,
184.0,"U. Montana, Missoula",2366,,1734,,1688,,1429,,0,,1238,,0,,191,
185.0,"U. Missouri, Columbia",1585,,1522,,1094,,1422,,0,,1420,,0,,2,
186.0,"U. Maryland, Baltimore",2391,,1893,,2077,,1391,,0,,0,,1391,,0,
187.0,U. Pennsylvania,1842,,3697,,1976,,1359,,0,,1270,,89,,0,
188.0,"SUNY, Buffalo State",372,,380,,608,,1354,,0,,50,,0,,1304,
189.0,Emory U.,0,,947,,1283,i,1343,,289,,0,,0,,1054,
190.0,"California State U., Bakersfield",313,,1321,,1012,,1339,,0,,1339,,0,,0,
191.0,U. Cincinnati,951,,1195,,1528,,1320,,0,,1320,,0,,0,
192.0,C. Charleston,2037,,2100,,1746,,1259,,0,,1247,,0,,12,
193.0,Kansas State U.,595,,610,,756,,1220,,0,,1220,,0,,0,
194.0,U. New England,931,,706,,1568,,1215,,0,,629,,488,,98,
195.0,Miami U.,949,,1894,i,1166,,1212,,45,,640,,0,,527,
196.0,"SUNY, Binghamton U.",1573,,1395,,1271,,1208,,0,,1208,,0,,0,
197.0,Salisbury U.,279,,727,,1067,,1207,,0,,1196,,0,,11,
198.0,"CUNY, Hunter C.",1889,,1726,,1455,,1205,,0,,1205,,0,,0,
199.0,Lehigh U.,1681,,1643,,1870,,1163,,0,,1156,,0,,7,
200.0,George Washington U.,864,,1185,,1441,,1140,,359,,311,,0,,470,
201.0,Saint Louis U.,935,,674,,862,,1137,,1137,,0,,0,,0,
202.0,"U. Alaska, Southeast",410,,706,,1102,,1130,,888,,113,,112,,17,
203.0,Stockton U.,388,,ne,,842,,1123,,0,,91,,109,,923,
204.0,Heidelberg U.,ne,,1087,,1521,,1096,,0,,1096,,0,,0,
205.0,"Southern Illinois U., Carbondale",1380,,1333,,1122,,1066,,0,,1066,,0,,0,
206.0,U. San Diego,826,,871,,1310,,1065,,0,,0,,1048,,17,
207.0,"SUNY, C. of Environmental Science and Forestry",1328,i,1190,i,1044,i,1053,,295,,738,,20,,0,
208.0,U. Vermont,1198,,1115,,806,,1038,,0,,471,,185,,382,
209.0,"U. North Texas, Denton",3842,,1585,,762,,1036,,0,,1036,,0,,0,
210.0,Virginia Commonwealth U.,740,,647,,955,,1027,,0,,0,,0,,1027,
211.0,"Indiana U.-Purdue U., Indianapolis",1233,,771,,669,,1004,,0,,761,,0,,243,
212.0,Salish Kootenai C.,200,,105,,1164,i,987,,860,,0,,0,,127,
213.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1301,,1072,,1326,,982,,0,,982,,0,,0,
