Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All environmental sciences,Unnamed: 10,Atmospheric sciences,Unnamed: 12,Earth sciences,Unnamed: 14,Oceanography,Unnamed: 16,"Environmental sciences, nec"
314.0,"U. North Carolina, Charlotte",674,,479,,517,,213,,0,,213,,0,,0,
315.0,Bucknell U.,261,,186,,266,,212,,0,,147,,0,,65,
316.0,"U. Arkansas, Little Rock",512,,395,,370,,210,,0,,210,,0,,0,
317.0,"Southern U. and A&M C., Agricultural Research and Extension Center",306,,188,,206,,206,,0,,0,,0,,206,
318.0,Elizabeth City State U.,34,,151,,228,,205,,0,,0,,0,,205,
318.0,Sewanee: U. of the South,115,,ne,,99,,205,,0,,0,,0,,205,
320.0,Eastern Michigan U.,305,,72,,55,,202,,0,,202,,0,,0,
321.0,U. Tulsa,357,,340,,253,,195,,0,,195,,0,,0,
322.0,Indiana State U.,357,,184,,190,,188,,0,,188,,0,,0,
322.0,Rider U.,150,,180,i,206,i,188,,0,,80,,73,,35,
324.0,Duquesne U.,0,,0,,261,,187,,0,,0,,0,,187,
324.0,Kean U.,0,,96,,ne,,187,,0,,55,,27,,105,
324.0,U. Northern Colorado,213,,228,,229,,187,,5,,182,,0,,0,
327.0,"SUNY, Geneseo",242,,233,,218,,186,,0,,186,,0,,0,
328.0,Macalester C.,324,,364,,255,,184,,0,,120,,0,,64,
329.0,Trinity U.,162,,213,,216,,183,,0,,183,,0,,0,
329.0,U. San Francisco,312,,152,,121,,183,,151,,32,,0,,0,
331.0,Central State U.,192,,90,,192,,176,,4,,108,,0,,64,
331.0,U. Redlands,1341,,1122,,837,,176,,0,,59,,46,,71,
333.0,Dickinson C.,544,,347,,307,,171,,0,,73,,0,,98,
334.0,Towson U.,83,,122,,133,,166,,0,,0,,0,,166,
335.0,New Jersey Institute of Technology,0,,63,,709,,165,,0,,0,,0,,165,
336.0,Tufts U.,346,,256,,192,,160,,0,,160,,0,,0,
337.0,Lake Superior State U.,ne,,ne,,ne,,155,,0,,10,,145,,0,
338.0,Oregon Institute of Technology,ne,,ne,,ne,,150,,0,,0,,0,,150,
339.0,U. Wisconsin-Green Bay,138,i,142,i,145,i,149,i,0,i,149,i,0,i,0,i
340.0,Villanova U.,40,i,3,i,75,,148,,0,,0,,0,,148,
341.0,Bowling Green State U.,1141,,2273,,942,,147,,0,,81,,0,,66,
342.0,C. Wooster,140,,ne,,153,,146,i,0,i,144,i,0,i,2,i
343.0,"California State U., Fresno",490,,488,,160,,145,,0,,145,,0,,0,
344.0,U. Richmond,121,,101,,125,,136,,0,,0,,0,,136,
345.0,Norwich U.,101,,111,,109,,135,,0,,135,,0,,0,
346.0,Carleton C.,1496,,2622,,2621,,134,,0,,130,,0,,4,
347.0,Texas Southern U.,218,,123,,59,,130,,0,,0,,0,,130,
348.0,Amherst C.,152,i,177,,180,,129,,0,,129,,0,,0,
348.0,Eastern Connecticut State U.,ne,,ne,,133,,129,,17,,33,,0,,79,
350.0,U. Metropolitana,0,,28,,0,,128,,0,,0,,0,,128,
351.0,Marshall U.,163,,402,,182,,126,,0,,1,,0,,125,
352.0,Eastern Kentucky U.,314,,46,,96,,123,,0,,3,,0,,120,
353.0,"U. Texas, Brownsville",9,,53,,30,,120,,0,,105,,0,,15,
353.0,U. Wisconsin-Oshkosh,55,,49,i,155,i,120,i,0,i,85,i,0,i,35,i
355.0,Furman U.,6,,11,,6,,117,,0,,117,,0,,0,
355.0,Rowan U.,116,,112,,244,,117,,0,,117,,0,,0,
357.0,Santa Clara U.,73,,85,,76,,114,,0,,27,,0,,87,
357.0,U. Houston-Downtown,89,,17,,20,,114,,0,,0,,0,,114,
359.0,Air Force Institute of Technology,330,,957,,250,,112,,0,,0,,0,,112,
360.0,U. Wisconsin-Platteville,ne,,ne,,66,i,111,i,0,i,111,i,0,i,0,i
361.0,"U. Puerto Rico, Cayey",92,,53,,142,,107,,0,,107,,0,,0,
362.0,U. Dayton,178,,91,,165,,106,,0,,106,,0,,0,
363.0,"U. South Florida, Saint Petersburg",149,,227,,475,,105,,105,,0,,0,,0,
364.0,West Texas A&M U.,453,,346,,256,,103,,0,,0,,0,,103,
365.0,U. del Turabo,15,,2,,109,,101,,14,,0,,0,,87,
366.0,Smith C.,146,,119,,262,,100,,0,,61,,0,,39,
367.0,U. Colorado Denver and Anschutz Medical Campus,168,,169,,318,,98,,22,,52,,0,,24,
367.0,"U. Minnesota, Morris",ne,,166,,150,,98,,0,,98,,0,,0,
369.0,"California State U., Fullerton",853,,1035,,162,,93,,0,,15,,76,,2,
370.0,"U. South Carolina, Beaufort",ne,,ne,,ne,,91,,81,,10,,0,,0,
370.0,Vassar C.,20,,89,,0,,91,i,0,i,89,i,0,i,2,i
372.0,Willamette U.,60,,52,,52,,89,,0,,89,,0,,0,
373.0,Louisiana Tech U.,65,,66,,78,,88,,0,,0,,0,,88,
373.0,U. South Dakota,0,,85,,161,,88,,0,,78,,0,,10,
375.0,"California State U., Los Angeles",68,,115,,16,,87,,0,,87,,0,,0,
375.0,"California State U., San Marcos",85,i,85,,24,i,87,,80,,2,,0,,5,
375.0,Maine Maritime Academy,ne,,ne,,ne,,87,i,0,i,0,i,87,i,0,i
378.0,Barnard C.,386,,249,,121,,86,,0,,0,,0,,86,
378.0,Western Illinois U.,73,,54,,59,,86,,0,,86,,0,,0,
380.0,Washington and Lee U.,ne,,2,,ne,,83,,0,,83,,0,,0,
381.0,Hamilton C.,306,,441,,82,,80,,0,,80,,0,,0,
382.0,Gallaudet U.,48,,55,,139,,79,,0,,0,,79,,0,
382.0,West Chester U. Pennsylvania,26,,48,,0,,79,,0,,79,,0,,0,
384.0,Jacksonville State U.,ne,,ne,,ne,,78,,0,,0,,0,,78,
385.0,Lafayette C.,131,,207,,89,,75,,0,,75,,0,,0,
386.0,Dillard U.,114,,0,,0,,74,,0,,0,,0,,74,
387.0,Texas A&M International U.,103,,98,,101,,72,,0,,72,,0,,0,
388.0,Southeastern Louisiana U.,0,,97,,69,,67,,0,,0,,0,,67,
389.0,U. of Mary Washington,61,,ne,,ne,,65,,0,,50,,0,,15,
390.0,Sam Houston State U.,56,,22,,7,,64,,0,,64,,0,,0,
391.0,Hofstra U.,92,,42,,129,,63,,0,,63,,0,,0,
391.0,Siena C.,0,,28,,82,,63,,0,,0,,0,,63,
393.0,Haverford C.,0,i,54,i,107,i,61,i,0,i,61,i,0,i,0,i
394.0,Pittsburg State U.,0,,0,,0,,60,,51,,0,,0,,9,
395.0,Keene State C.,273,i,200,,260,,59,,0,,0,,0,,59,
395.0,U. Baltimore,0,,0,,0,,59,,26,,0,,0,,33,
397.0,U. Texas Pan American,111,,178,,101,,58,,0,,0,,0,,58,
398.0,Calvin C.,137,,123,,57,,55,i,0,i,55,i,0,i,0,i
398.0,U. New Haven,53,,0,,32,i,55,,0,,0,,16,,39,
400.0,"California State U., San Bernardino",339,,1143,,166,,54,,0,,39,,0,,15,
400.0,Loma Linda U.,1316,,1432,,57,,54,,0,,52,,0,,2,
402.0,Albany State U.,93,,69,,40,,53,,36,,17,,0,,0,
402.0,Georgetown U.,0,,5,,2,,53,,0,,0,,0,,53,
402.0,U. of the District of Columbia,374,,168,,320,,53,,0,,0,,0,,53,
405.0,Youngstown State U.,0,,64,,25,,52,,36,,16,,0,,0,
406.0,U. of the Pacific,64,,110,,147,,49,,45,,4,,0,,0,
407.0,Virginia State U.,0,,0,,0,,48,,48,,0,,0,,0,
408.0,U. North Florida,38,,74,,64,,46,,0,,0,,0,,46,
409.0,"Indiana U.-Purdue U., Fort Wayne",55,,49,,11,,44,,0,,0,,0,,44,
409.0,Morehead State U.,1,,23,,4,,44,,0,,44,,0,,0,
411.0,"Arkansas State U., Jonesboro",30,,3,,0,,43,,0,,0,,0,,43,
411.0,St. Olaf C.,16,,121,,74,,43,,0,,0,,0,,43,
413.0,Wellesley C.,19,,30,,28,,42,,0,,0,,0,,42,
414.0,"CUNY, Baruch C.",246,,104,,79,,41,,0,,27,,5,,9,
415.0,"SUNY, C. Brockport",54,,90,,99,,37,,2,,35,,0,,0,
416.0,Eastern Washington U.,78,,64,,44,,36,,0,,36,,0,,0,
416.0,U. Wisconsin-La Crosse,40,,50,,40,,36,,0,,36,,0,,0,
418.0,Pepperdine U.,0,i,0,i,7,,34,,0,,0,,0,,34,
419.0,Mercyhurst U.,51,,45,,84,,32,,0,,32,,0,,0,
419.0,"U. Nebraska, Omaha",86,,45,,73,,32,,0,,23,,0,,9,
421.0,U. West Georgia,270,,281,,165,,31,,0,,31,,0,,0,
422.0,Ithaca C.,21,,85,,22,,29,,0,,0,,0,,29,
423.0,Pacific U.,0,,2,,38,i,28,,0,,0,,25,,3,
423.0,"U. South Carolina, Aiken",ne,,0,,22,i,28,,2,,14,,0,,12,
425.0,Ball State U.,65,,60,,24,,27,,0,,27,,0,,0,
426.0,Nicholls State U.,35,,61,,93,,24,,0,,24,,0,,0,
427.0,Elon U.,15,i,18,i,17,,23,,0,,0,,0,,23,
428.0,"U. Texas, Tyler",0,,201,,0,,22,,0,,0,,0,,22,
428.0,"Wheaton C., Wheaton",14,,ne,,48,,22,,0,,22,,0,,0,
430.0,"California State U., Dominguez Hills",83,,889,,27,i,20,,0,,20,,0,,0,
430.0,Davidson C.,0,,16,,28,,20,,0,,0,,0,,20,
430.0,"U. North Carolina, general administration",ne,,ne,,ne,,20,,0,,0,,0,,20,
433.0,Saint Michael's C.,ne,,4,,6,,18,,0,,18,,0,,0,
434.0,"CUNY, Graduate Center",60,,159,,49,,15,,0,,15,,0,,0,
434.0,Lamar U.,3,,14,,23,,15,,0,,15,,0,,0,
434.0,Missouri State U.,136,,117,,35,,15,,0,,15,,0,,0,
437.0,Hope C.,0,,3,,9,,14,,0,,14,,0,,0,
438.0,California Maritime Academy,0,,0,,19,,13,,0,,0,,13,,0,
438.0,DePaul U.,192,,126,,84,,13,,0,,13,,0,,0,
440.0,"CUNY, Lehman C.",26,,30,,10,,12,,0,,12,,0,,0,
441.0,C. of Saint Benedict,ne,,20,,12,,10,,0,,0,,0,,10,
441.0,Winthrop U.,4,,0,,7,,10,,0,,10,,0,,0,
443.0,"Saint John's U., Collegeville",ne,,18,,11,,9,,0,,0,,0,,9,
444.0,"U. Louisiana, Monroe",561,,212,,5,,7,,0,,0,,0,,7,
445.0,Alcorn State U.,3,,3,,4,,6,,0,,6,,0,,0,
445.0,Sul Ross State U.,25,,5,,2,,6,,0,,6,,0,,0,
447.0,Christopher Newport U.,0,,0,,81,,5,,0,,5,,0,,0,
448.0,Austin Peay State U.,7,,309,,1,,4,,0,,4,,0,,0,
448.0,Azusa Pacific U.,0,i,ne,,ne,,4,,0,,0,,0,,4,
448.0,Seattle U.,41,,ne,,168,,4,,0,,4,,0,,0,
448.0,"Trinity C., Hartford",9,,14,,3,,4,,0,,0,,0,,4,
452.0,"CUNY, C. Staten Island",0,,0,i,0,,3,,0,,3,,0,,0,
452.0,Saint Joseph's U.,7,,0,,3,,3,,0,,0,,0,,3,
454.0,"CUNY, system office",0,,0,,61,,1,,0,,1,,0,,0,
454.0,"Pennsylvania State U., Harrisburg",1,,1,,1,,1,,0,,1,,0,,0,
454.0,Tennessee Technological U.,4,,0,,10,,1,,0,,1,,0,,0,
454.0,"U. Tennessee, Chattanooga",60,,16,,0,,1,,0,,1,,0,,0,
,All other surveyed institutions,16003,,7664,,8780,,0,,0,,0,,0,,0,
