Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
304.0,Valparaiso U.,326,,327,,336,,174,,203,,205,,205,,130,
305.0,Wellesley C.,178,,157,,159,,166,,178,,157,,157,,166,
306.0,Pomona C.,68,,615,,281,,163,,21,,559,,195,,42,
307.0,U. Wisconsin-Stevens Point,34,,0,,0,i,162,i,23,,0,,0,i,96,i
308.0,Colgate U.,372,,266,,199,,159,,294,,173,,136,,0,
308.0,U. Central Arkansas,18,,54,,95,,159,,8,,18,,13,,54,
310.0,"Augustana C., Sioux Falls",62,,159,,408,,156,,49,,141,,266,,142,
311.0,"U. Missouri, Saint Louis",378,,262,,269,,155,,313,,173,,105,,61,
312.0,St. Olaf C.,247,,200,,221,,154,,220,,175,,165,,65,
313.0,"California State U., Channel Islands",ne,,0,,20,,150,,ne,,0,,0,,101,
314.0,"CUNY, Medgar Evers C.",446,,310,,206,,149,,283,,310,,139,,111,
315.0,Harvey Mudd C.,272,,351,,242,,147,,46,,103,,63,,83,
316.0,Hobart and William Smith Colleges,80,,37,,158,,145,,80,,37,,158,,113,
317.0,"Rutgers, State U. New Jersey, Newark",488,,20,,3,,137,,247,,0,,0,,114,
318.0,"St. John's U., Manhattan",135,,60,,68,,136,,85,,56,,63,,52,
319.0,C. Wooster,68,,ne,,138,,131,i,0,,ne,,75,,69,i
320.0,Grinnell C.,31,,131,,142,,129,,0,,0,,0,,0,
321.0,Kennesaw State U.,42,i,47,,169,,128,,42,i,47,,169,,128,
321.0,Macalester C.,101,,189,,100,,128,,84,,173,,84,,110,
321.0,Santa Clara U.,187,,290,,250,,128,,182,,290,,250,,128,
324.0,"California State U., Dominguez Hills",52,,122,,166,i,124,,52,,122,,166,i,124,
325.0,Elon U.,25,i,30,i,28,,123,,0,,0,,0,,0,
326.0,West Chester U. Pennsylvania,37,,100,,100,,121,,13,,85,,70,,81,
327.0,Texas Southern U.,257,,244,,431,,120,,225,,182,,408,,111,
328.0,Central Washington U.,58,,38,,67,,117,,52,,25,,65,,104,
328.0,DePaul U.,451,,353,,310,,117,,414,,325,,310,,90,
328.0,Hamilton C.,29,,141,,140,,117,,28,,47,,75,,71,
331.0,Northern Arizona U.,202,,171,,93,,116,,158,,161,,80,,115,
332.0,Albany State U.,259,,100,,90,,113,,259,,100,,90,,113,
333.0,Austin Peay State U.,22,,23,,26,,111,,0,,0,,26,,111,
334.0,Saint Joseph's U.,32,,78,,79,,110,,3,,7,,40,,76,
335.0,Dakota State U.,38,,0,,154,,108,,0,,0,,20,,0,
335.0,Morehouse C.,485,,457,,314,,108,,485,,457,,314,,108,
337.0,Colby C.,124,,121,,87,,106,,109,,97,,68,,67,
338.0,Illinois State U.,117,,120,,118,,100,,105,,116,,106,,89,
339.0,Appalachian State U.,4,,20,,95,,99,,0,,20,,82,,83,
340.0,Northern Kentucky U.,146,,72,,54,,97,,130,,56,,28,,79,
341.0,"CUNY, York C.",7,,13,,ne,,95,,7,,12,,ne,,95,
342.0,U. North Florida,348,,136,,37,,94,,100,,81,,12,,24,
343.0,Calvin C.,180,,107,,95,,89,i,94,,75,,76,,70,i
343.0,Reed C.,208,,114,,113,,89,,0,,9,,0,,0,
345.0,Dickinson C.,134,,92,,117,,88,,117,,79,,78,,77,
346.0,Marquette U.,152,,176,,117,,86,,87,,158,,107,,76,
347.0,Southeastern Louisiana U.,188,,132,,113,,85,,28,,30,,32,,2,
347.0,Willamette U.,102,,134,,241,,85,,40,,74,,184,,42,
349.0,U. of the Pacific,83,,90,,5,,84,,83,,90,,5,,84,
350.0,Rowan U.,320,,204,i,356,,83,,279,,204,i,270,,71,
351.0,Middlebury C.,82,,97,,81,,82,,82,,97,,81,,82,
352.0,Fordham U.,137,,139,,14,,80,,98,,119,,7,,0,
353.0,South Dakota State U.,31,,0,,0,,78,,9,,0,,0,,2,
354.0,"Pennsylvania State U., Behrend",55,,71,,80,,76,,0,,32,,34,,38,
355.0,East Tennessee State U.,409,,355,,164,,75,,399,,355,,164,,75,
356.0,U. Northern Colorado,45,,141,,22,,71,,31,,113,,22,,32,
357.0,Humboldt State U.,32,,48,,79,,69,,31,,48,,63,,55,
358.0,"U. North Carolina, general administration",ne,,ne,,ne,,68,,ne,,ne,,ne,,68,
359.0,Washington and Lee U.,ne,,97,,ne,,67,,ne,,97,,ne,,67,
360.0,Kettering U.,12,,37,,143,,65,,0,,0,,76,,2,
361.0,Norwich U.,2,,23,,24,,64,,0,,0,,0,,40,
361.0,U. Wisconsin-Oshkosh,0,,0,i,45,i,64,i,0,,0,i,41,i,38,i
363.0,U. Akron,56,,62,,111,,60,,11,,14,,16,,6,
364.0,Texas A&M U.-Kingsville,36,,65,,5,,57,,0,,0,,0,,34,
365.0,Milwaukee School of Engineering,49,,60,,27,,54,,46,,60,,27,,54,
365.0,Towson U.,164,,71,,86,,54,,128,,71,,86,,54,
365.0,Villanova U.,9,i,0,i,26,,54,,0,i,0,,0,,0,
368.0,Ball State U.,77,,28,,32,,53,,55,,10,,9,,9,
369.0,U. West Georgia,12,,35,,322,,46,,10,,30,,27,,39,
370.0,Murray State U.,77,,30,,64,,45,,37,,0,,0,,0,
371.0,"Wheaton C., Wheaton",238,,ne,,72,,43,,29,,ne,,51,,32,
372.0,La Sierra U.,ne,,ne,,50,,42,,ne,,ne,,0,,0,
372.0,U. South Alabama,271,,33,,5,,42,,205,,20,,5,,34,
374.0,Central Connecticut State U.,70,,47,,99,,41,,52,,14,,62,,0,
374.0,U. of the Virgin Islands,66,i,94,i,41,i,41,,0,,0,,41,i,41,
374.0,U. Wisconsin-Green Bay,44,i,42,i,41,i,41,i,32,i,29,i,27,i,25,i
377.0,C. of Saint Benedict,ne,,37,,58,,39,,ne,,0,,0,,0,
378.0,Loyola Marymount U.,199,,192,,44,,38,,120,,133,,21,,15,
378.0,Stockton U.,16,,ne,,72,,38,,0,,ne,,72,,38,
380.0,Pacific U.,168,,0,,56,i,37,,168,,0,,50,,31,
380.0,"SUNY, Buffalo State",139,,52,,0,,37,,139,,40,,0,,37,
382.0,"Saint John's U., Collegeville",ne,,35,,54,,36,,ne,,0,,0,,0,
382.0,"U. Arkansas, Little Rock",838,,438,,273,,36,,819,,389,,241,,4,
384.0,Rhode Island C.,2,,85,,90,,33,,2,,85,,90,,33,
385.0,Lafayette C.,66,,33,,38,,31,,66,,33,,38,,31,
385.0,Skidmore C.,52,,18,,37,,31,,40,,18,,24,,22,
387.0,Grand Valley State U.,105,i,130,,42,,30,,99,i,123,,34,,22,
388.0,"U. California, San Francisco",0,,0,,5,,28,,0,,0,,0,,19,
389.0,Coastal Carolina U.,0,,0,,0,,27,,0,,0,,0,,27,
389.0,Franklin and Marshall C.,51,,0,,25,,27,,0,,0,,0,,0,
389.0,U. Wisconsin-Platteville,ne,,ne,,17,i,27,i,ne,,ne,,14,i,14,i
389.0,"Union C., Schenectady",130,,475,,67,,27,,88,,440,,57,,9,
393.0,"U. North Carolina, Wilmington",100,,32,,48,,26,,100,,32,,44,,23,
394.0,Salisbury U.,1,,5,,12,,24,,0,,0,,0,,3,
395.0,"U. Puerto Rico, Cayey",0,,45,,45,,21,,0,,0,,0,,0,
396.0,Mercyhurst U.,20,,29,,43,,20,,0,,0,,0,,0,
396.0,Rider U.,0,,17,i,20,i,20,,0,,0,,0,,0,
396.0,Sam Houston State U.,39,,7,,38,,20,,0,,0,,4,,0,
396.0,Spelman C.,195,,48,,99,,20,,195,,48,,99,,20,
396.0,U. of the Sciences Philadelphia,10,,12,,87,,20,,10,,12,,27,,15,
401.0,Doane C.,8,,ne,,2,,17,,5,,ne,,0,,9,
401.0,"Trinity C., Hartford",26,,23,,28,,17,,8,,12,,14,,1,
401.0,U. del Turabo,0,,0,,75,,17,,0,,0,,0,,0,
404.0,"U. Nebraska, Kearney",14,,28,,28,,16,,14,,14,,16,,13,
405.0,Indiana State U.,96,,106,,108,,13,,96,,106,,108,,12,
405.0,Middle Tennessee State U.,77,,174,,66,,13,,77,,174,,66,,13,
405.0,Saint Louis U.,96,,171,,119,,13,,96,,24,,101,,0,
408.0,Sewanee: U. of the South,0,,ne,,22,,11,,0,,ne,,0,,0,
408.0,"U. Hawaii, Hilo",0,,0,,0,,11,,0,,0,,0,,11,
410.0,"California State U., Sacramento",3,,12,,20,,9,,0,,12,,0,,0,
410.0,Hawaii Pacific U.,0,,0,,43,,9,,0,,0,,43,,9,
410.0,"Lincoln U., Jefferson City",45,,0,,4,,9,,45,,0,,4,,9,
410.0,U. Houston-Clear Lake,116,,8,,6,,9,,98,,8,,0,,0,
414.0,California Maritime Academy,0,,0,,0,,8,,0,,0,,0,,8,
415.0,Texas A&M International U.,19,,5,,4,,7,,19,,0,,0,,0,
416.0,"CUNY, Baruch C.",236,,206,,330,,6,,206,,199,,270,,0,
416.0,Eastern Washington U.,0,,0,,0,,6,,0,,0,,0,,6,
418.0,Saginaw Valley State U.,0,,0,,ne,,5,,0,,0,,ne,,0,
419.0,"Pennsylvania State U., Harrisburg",6,,6,,3,,3,,0,,0,,0,,0,
419.0,Saint Michael's C.,ne,,0,,0,,3,,ne,,0,,0,,3,
421.0,"Indiana U.-Purdue U., Fort Wayne",3,,1,,0,,2,,1,,0,,0,,2,
421.0,"Minnesota State U., Mankato",0,,0,,5,,2,,0,,0,,0,,0,
423.0,Bradley U.,0,,0,,4,,1,,0,,0,,0,,0,
423.0,Gonzaga U.,0,,0,,0,,1,,0,,0,,0,,1,
423.0,Pepperdine U.,0,i,0,i,0,,1,,0,,0,,0,,0,
,All other surveyed institutions,5717,,4699,,1831,,0,,4522,,3701,,1235,,0,
