Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
65.0,West Virginia U.,6226,,6242,,6695,,7417,,3833,,3284,,3760,,4995,
66.0,U. Utah,9543,,7155,,7341,,7398,,6840,,5032,,4580,,4657,
67.0,"U. California, Riverside",7411,,6485,,5995,,7359,,6246,,4897,,4029,,5801,
68.0,U. Mississippi,13910,,11682,,10182,,7042,,10038,,9241,,7547,,4751,
69.0,U. Miami,3332,,3935,,4073,,6932,,2577,,3091,,3008,,4730,
70.0,U. Houston,5761,,7518,,7666,,6852,,3125,,3458,,3006,,2558,
71.0,"U. Hawaii, Manoa",3967,,5127,,5607,,6760,,3202,,4438,,4472,,5730,
72.0,Carnegie Mellon U.,7207,,7494,,6799,,6743,,5998,,6496,,5976,,5945,
73.0,Idaho State U.,6617,,4864,,4377,,6620,,5410,,3771,,2923,,3195,
74.0,C. of William and Mary and Virginia Institute of Marine Science,8027,,7283,,4909,,6535,,6553,,5404,,4241,,5185,
75.0,Arizona State U.,10668,,6201,,6238,,6520,,8217,,4254,,3788,,4247,
76.0,U. Oregon,11675,,9671,,7976,,6391,,10555,,8407,,6661,,5686,
77.0,Texas Tech U.,2949,,2775,,3658,,6379,,1090,,798,,680,,785,
78.0,"Washington U., Saint Louis",10660,,9871,,7943,,6374,,8532,,7750,,6013,,5385,
79.0,Ohio U.,5487,,5179,,6449,i,6362,i,3950,,3631,,2936,,3006,
80.0,"Montana State U., Bozeman",8216,,7170,,7088,,6322,,6742,,5904,,5758,,4967,
81.0,Brandeis U.,4430,,5022,,6259,i,6251,i,4135,,4669,,4908,,4859,
82.0,Temple U.,3631,,5970,,4111,,6178,,2734,,4858,,3634,,4776,
83.0,New York U.,5666,,6325,,5376,,6113,,4332,,4408,,3930,,4346,
84.0,Rensselaer Polytechnic Institute,9074,,7916,,6699,,5999,,6273,,4613,,3553,,3941,
85.0,Kansas State U.,7937,,8222,,6417,,5922,,7133,,6952,,5310,,5026,
86.0,Fisk U.,3958,,4724,i,6409,,5918,i,3958,,4724,i,6409,,5918,i
87.0,U. New Mexico,8392,,8383,,7099,,5900,,7001,,7210,,6181,,5316,
88.0,U. Wisconsin-Milwaukee,5886,,6212,,6170,,5883,,4800,,5491,,5073,,4565,
89.0,Georgia State U.,2691,,3706,,2697,i,5840,,2620,,2494,,1938,,4074,
90.0,U. Toledo,10368,,8678,,7003,,5789,,3616,,2088,,2679,,2446,
91.0,Air Force Institute of Technology,7214,,5986,,5577,,5764,,4521,,4988,,5067,,4471,
