Rank,Institution,NSF R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
53.0,"U. Hawaii, Manoa",29215,,1026,,18782,,1644,,51,,4230,,64,,411,,1197,,1803,,7,
54.0,"Indiana U., Bloomington",29031,,12841,,738,,5561,,1222,,5158,,762,,1310,,97,,0,,1342,
55.0,Brown U.,28783,,4154,,1409,,4730,,6606,,3656,,0,,1634,,698,,4306,,1590,
56.0,Boston U.,28370,,2965,,1834,,6429,,1117,,6372,,477,,631,,0,,7732,,813,
57.0,Rice U.,28219,,3861,,2921,,1791,,2215,,5536,,74,,752,,185,,10723,,161,
58.0,U. Delaware,27616,,2184,,8484,,3648,,951,,3813,,298,,1240,,1,,5903,,1094,
59.0,U. Georgia,27327,,862,,4815,,13376,,1411,,2412,,54,,602,,0,,1074,,2721,
60.0,"U. Nebraska, Lincoln",27084,,3153,,934,,6829,,1698,,7953,,179,,507,,2604,,2759,,468,
61.0,"U. Alaska, Fairbanks",26775,,275,,13670,,4903,,28,,2481,,0,,1094,,2992,,645,,687,
62.0,"U. Pittsburgh, Pittsburgh",25861,,1547,,736,,3579,,1269,,4357,,103,,995,,2895,,7837,,2543,
63.0,"SUNY, Stony Brook U.",25485,,4217,,4644,,2345,,2143,,6595,,228,,201,,1453,,3659,,0,
64.0,"SUNY, U. Buffalo",24920,,4797,,978,,7046,,456,,4947,,598,,289,,0,,5380,,429,
65.0,"U. California, Riverside",23379,,2226,,2485,,6729,,511,,4617,,684,,1784,,21,,4308,,14,
66.0,U. Notre Dame,23004,,1861,,0,,1544,,1148,,10839,,711,,157,,449,,6239,,56,
67.0,Rensselaer Polytechnic Institute,22331,,3000,,632,,506,,683,,2000,,99,,173,,0,,15127,,111,
68.0,"U. Virginia, Charlottesville",22009,,2265,,1747,,1432,,841,,3813,,513,,576,,1141,,7243,,2438,
69.0,Vanderbilt U.,21474,,0,,1661,,1773,,842,,4371,,818,,272,,102,,8174,,3461,
70.0,Northeastern U.,21286,,4378,,888,,608,,474,,4043,,481,,1105,,0,,9258,,51,
71.0,U. New Hampshire,20505,,626,,9534,,4324,,150,,1177,,0,,434,,0,,3782,,478,
72.0,U. Connecticut,19754,,1515,,1811,,3501,,574,,2094,,1098,,523,,473,,7390,,775,
73.0,U. Kansas,19008,,479,,4038,,5208,,775,,3179,,88,,420,,755,,3620,,446,
