Rank,Institution,NSF R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
252.0,"Columbia U., Teachers C.",1594,,242,,0,,693,,0,,0,,659,,0,,0,,0,,0,
253.0,U. Colorado Colorado Springs,1589,,824,,0,,203,,107,,455,,0,,0,,0,,0,,0,
254.0,Harvey Mudd C.,1583,,832,,0,,66,,336,,127,,0,,0,,0,,222,,0,
255.0,Illinois State U.,1543,,0,,145,,155,,644,,293,,0,,0,,0,,0,,306,
256.0,"Loyola U., Chicago",1525,,104,,0,,661,,195,,353,,149,,32,,0,,0,,31,
257.0,"California State U., Fresno",1509,,0,,65,,173,,358,,362,,18,,0,,0,,0,,533,
258.0,"California State U., Los Angeles",1502,,0,,87,,322,,0,,281,,0,,2,,0,,810,,0,
259.0,"California State U., Bakersfield",1495,,69,,1189,,237,,0,,0,,0,,0,,0,,0,,0,
260.0,"California State U., Fullerton",1487,,0,,0,,381,,0,,673,,0,,7,,0,,282,,144,
261.0,James Madison U.,1458,,57,,289,,264,,104,,332,,89,,0,,0,,323,,0,
262.0,Amherst C.,1452,,0,,17,,330,,162,,812,,0,,131,,0,,0,,0,
263.0,Williams C.,1437,,284,,141,,154,,168,,470,,51,,169,,0,,0,,0,
264.0,"U. Hawaii, Hilo",1432,,0,,0,,1135,,161,,0,,0,,82,,0,,0,,54,
265.0,Barnard C.,1429,,0,,0,,131,,154,,722,,204,,0,,0,,0,,218,
266.0,Gallaudet U.,1414,,4,,0,,262,,0,,81,,787,,4,,0,,0,,276,
267.0,Tuskegee U.,1411,i,171,i,0,i,182,i,79,i,397,i,22,i,58,i,0,i,477,i,25,i
268.0,Embry-Riddle Aeronautical U.,1404,,0,,304,,0,,125,,605,,0,,0,,0,,263,,107,
269.0,"CUNY, Graduate Center",1383,,18,,10,,87,,72,,0,,44,,1015,,0,,0,,137,
270.0,Wesleyan U.,1378,,0,,27,,340,,94,,587,,330,,0,,0,,0,,0,
271.0,Central Michigan U.,1375,,0,,163,,126,,85,,540,,2,,87,,0,,339,,33,
272.0,Tougaloo C.,1371,,0,,0,,550,,0,,0,,0,,0,,0,,0,,821,
273.0,U. San Diego,1357,,0,,830,,113,,0,,370,,0,,0,,0,,44,,0,
274.0,Rockefeller U.,1337,,0,,0,,1310,,27,,0,,0,,0,,0,,0,,0,
275.0,"U. Maryland, Baltimore",1324,,0,,142,,1008,,0,,0,,0,,0,,0,,174,,0,
276.0,"California State U., Long Beach",1318,,0,,195,,152,,39,,289,,392,,90,,0,,161,,0,
277.0,Catholic U. of America,1313,,0,,0,,154,,0,,727,,0,,2,,0,,430,,0,
278.0,Kennesaw State U.,1306,,0,,0,,245,,0,,66,,0,,0,,0,,0,,995,
279.0,Oakland U.,1303,,225,,0,,168,,56,,505,,0,,0,,0,,349,,0,
280.0,Montclair State U.,1280,,100,,93,,353,,249,,10,,262,,77,,0,,0,,136,
281.0,"SUNY, Polytechnic Institute",1262,,0,,0,,148,,0,,0,,0,,0,,0,,1114,,0,
282.0,Black Hills State U.,1255,,0,,0,,104,,0,,181,,0,,0,,0,,0,,970,
283.0,"Toyota Technological Institute, Chicago",1245,,1245,,0,,0,,0,,0,,0,,0,,0,,0,,0,
284.0,"U. Puerto Rico, Medical Sciences Campus",1226,,0,,0,,1226,,0,,0,,0,,0,,0,,0,,0,
284.0,U. Texas Southwestern Medical Center,1226,,0,,0,,1226,,0,,0,,0,,0,,0,,0,,0,
286.0,Central Washington U.,1224,,0,,996,,22,,0,,171,,0,,35,,0,,0,,0,
287.0,"U. Washington, Bothell",1208,,228,,473,,185,,14,,0,,0,,0,,0,,0,,308,
288.0,Saint Louis U.,1187,,0,,234,,394,,171,,254,,0,,11,,0,,76,,47,
289.0,East Carolina U.,1162,,0,,472,,414,,28,,17,,0,,61,,0,,164,,6,
290.0,Bates C.,1159,,0,,237,,791,,131,,0,,0,,0,,0,,0,,0,
291.0,Oberlin C.,1154,,139,,59,,611,,0,,342,,0,,3,,0,,0,,0,
292.0,Wellesley C.,1150,,395,,42,,516,,57,,48,,0,,71,,21,,0,,0,
293.0,"Southern U. and A&M C., Baton Rouge",1147,,0,,0,,8,,0,,395,,0,,0,,0,,744,,0,
293.0,U. Northern Iowa,1147,,0,,0,,53,,0,,151,,10,,260,,561,,0,,112,
295.0,"SUNY, C. of Environmental Science and Forestry",1144,,0,,47,,722,,0,,108,,0,,52,,0,,215,,0,
296.0,"CUNY, Lehman C.",1134,,37,,12,,60,,132,,147,,0,,746,,0,,0,,0,
297.0,Cleveland State U.,1111,,0,,0,,158,,169,,37,,28,,53,,0,,574,,92,
298.0,U. Texas Pan American,1100,,65,,0,,43,,38,,0,,0,,0,,0,,826,,128,
299.0,"California State U., Sacramento",1089,,231,,4,,138,,0,,0,,0,,0,,375,,65,,276,
299.0,Haverford C.,1089,,36,,0,,253,,0,,782,,0,,18,,0,,0,,0,
301.0,Morgan State U.,1074,,0,,6,,42,,168,,325,,0,,0,,0,,483,,50,
302.0,"U. Missouri, Saint Louis",1059,,0,,0,,554,,97,,333,,0,,36,,0,,0,,39,
303.0,Tennessee State U.,1054,,166,,0,,54,,11,,201,,116,,0,,0,,338,,168,
304.0,Bucknell U.,1053,,0,,147,,122,,40,,434,,18,,0,,0,,292,,0,
305.0,"Rutgers, State U. New Jersey, Camden",1051,,230,,0,,714,,64,,0,,43,,0,,0,,0,,0,
306.0,Saint Michael's C.,1050,,21,,0,,946,,30,,50,,3,,0,,0,,0,,0,
307.0,Hope C.,1046,,0,,0,,213,,14,,669,,0,,0,,0,,150,,0,
308.0,Texas Southern U.,1044,,707,,70,,258,,0,,0,,0,,0,,0,,0,,9,
309.0,Bryn Mawr C.,1038,,235,,155,,266,,244,,115,,0,,23,,0,,0,,0,
310.0,Duquesne U.,1033,,0,,0,,131,,152,,619,,0,,0,,0,,0,,131,
311.0,"California State U., San Marcos",1027,,482,,0,,0,,7,,0,,0,,41,,0,,0,,497,
312.0,Siena C.,1013,,88,,0,,85,,0,,400,,0,,0,,440,,0,,0,
313.0,Xavier U. Louisiana,1009,,0,,0,,154,,0,,723,,0,,0,,0,,132,,0,
314.0,Bowie State U.,974,,648,,0,,131,,0,,195,,0,,0,,0,,0,,0,
314.0,Clark U.,974,,0,,289,,338,,0,,75,,0,,225,,0,,0,,47,
316.0,U. Dayton,966,,0,,9,,335,,0,,0,,0,,0,,167,,455,,0,
317.0,Trinity U.,965,,0,,92,,110,,130,,619,,0,,1,,0,,0,,13,
318.0,Vassar C.,961,,306,,0,,341,,0,,129,,6,,19,,0,,55,,105,
319.0,Bowdoin C.,956,,2,,138,,519,,145,,106,,0,,42,,2,,0,,2,
320.0,"U. Missouri, Kansas City",955,,262,,77,,202,,97,,117,,9,,3,,0,,32,,156,
321.0,Western Kentucky U.,930,,0,,0,,266,,0,,423,,29,,0,,0,,212,,0,
322.0,Virginia State U.,914,,0,,0,,0,,59,,51,,173,,0,,0,,533,,98,
323.0,Prairie View A&M U.,909,,218,,0,,68,,41,,156,,0,,0,,0,,426,,0,
323.0,Yeshiva U.,909,,0,,0,,909,,0,,0,,0,,0,,0,,0,,0,
325.0,Rowan U.,882,,30,,0,,222,,0,,239,,0,,0,,0,,382,,9,
326.0,"U. Tennessee, Chattanooga",869,,170,,0,,546,,80,,0,,0,,0,,0,,73,,0,
327.0,Mount Holyoke C.,866,,97,,156,,104,,0,,509,,0,,0,,0,,0,,0,
328.0,"Union C., Schenectady",861,,0,,246,,54,,44,,135,,7,,26,,0,,349,,0,
329.0,Calvin C.,839,i,33,i,16,i,372,i,82,i,336,i,0,i,0,i,0,i,0,i,0,i
330.0,Fordham U.,827,,143,,0,,462,,0,,0,,108,,34,,0,,0,,80,
331.0,"U. Texas Health Science Center, Houston",826,,0,,0,,826,,0,,0,,0,,0,,0,,0,,0,
331.0,Wichita State U.,826,,0,,0,,87,,1,,115,,0,,0,,0,,572,,51,
333.0,U. of the Pacific,821,,10,,4,,212,,0,,394,,0,,0,,0,,201,,0,
334.0,Stephen F. Austin State U.,818,,460,,0,,0,,0,,0,,0,,0,,0,,0,,358,
335.0,Seattle U.,810,,0,,0,,266,,108,,189,,0,,21,,0,,226,,0,
336.0,"U. Nebraska, Omaha",805,,405,,0,,56,,0,,213,,6,,0,,0,,0,,125,
337.0,"CUNY, C. Staten Island",797,,55,,3,,44,,55,,238,,40,,51,,0,,186,,125,
338.0,Texas A&M U.-Commerce,794,,0,,0,,156,,0,,620,,18,,0,,0,,0,,0,
339.0,Middle Tennessee State U.,789,,0,,166,,75,,59,,222,,40,,0,,0,,0,,227,
340.0,Franklin W. Olin C. of Engineering,784,,0,,0,,0,,0,,0,,0,,0,,0,,784,,0,
341.0,"California State U., Dominguez Hills",782,,95,,12,,135,,25,,0,,0,,0,,0,,0,,515,
342.0,Creighton U.,778,i,141,i,0,i,144,i,65,i,328,i,0,i,34,i,0,i,0,i,66,i
343.0,Appalachian State U.,775,,122,,226,,223,,0,,93,,111,,0,,0,,0,,0,
343.0,Pomona C.,775,,0,,396,,2,,242,,126,,0,,9,,0,,0,,0,
345.0,Colgate U.,772,,147,,222,,53,,0,,315,,0,,35,,0,,0,,0,
346.0,"U. Alaska, Southeast",769,,0,,769,,0,,0,,0,,0,,0,,0,,0,,0,
347.0,Medical U. South Carolina,763,,0,,0,,763,,0,,0,,0,,0,,0,,0,,0,
348.0,Elizabeth City State U.,740,,0,,13,,0,,431,,296,,0,,0,,0,,0,,0,
349.0,West Virginia State U.,737,,145,,146,,291,,0,,155,,0,,0,,0,,0,,0,
350.0,Occidental C.,735,,0,,91,,201,,0,,343,,100,,0,,0,,0,,0,
351.0,West Texas A&M U.,730,,0,,0,,0,,117,,353,,0,,0,,0,,260,,0,
352.0,Icahn School of Medicine at Mt. Sinai,727,,0,,0,,727,,0,,0,,0,,0,,0,,0,,0,
353.0,"CUNY, John Jay C. of Criminal Justice",724,,244,,0,,60,,0,,0,,345,,75,,0,,0,,0,
354.0,Seattle Pacific U.,717,,0,,0,,0,,0,,0,,0,,0,,0,,0,,717,
355.0,Spelman C.,709,,147,,0,,142,,72,,243,,33,,0,,0,,72,,0,
356.0,St. Cloud State U.,708,,0,,25,,69,,0,,417,,0,,0,,197,,0,,0,
356.0,U. Central Oklahoma,708,,0,,0,,330,,0,,0,,0,,0,,0,,378,,0,
358.0,"CUNY, Brooklyn C.",704,,116,,0,,1,,52,,42,,300,,0,,0,,0,,193,
359.0,Willamette U.,684,,42,,0,,342,,147,,42,,4,,107,,0,,0,,0,
360.0,"U. Massachusetts, Medical School",680,,0,,0,,680,,0,,0,,0,,0,,0,,0,,0,
361.0,Davidson C.,674,,0,,0,,513,,7,,0,,66,,88,,0,,0,,0,
362.0,"California State Polytechnic U., Pomona",669,,0,,102,,113,,0,,118,,0,,13,,0,,312,,11,
363.0,Kettering U.,661,,56,,0,,0,,0,,2,,0,,0,,0,,602,,1,
363.0,Middlebury C.,661,,78,,259,,92,,0,,126,,0,,106,,0,,0,,0,
365.0,"U. Washington, Tacoma",658,,0,,99,,0,,0,,0,,0,,0,,0,,0,,559,
366.0,U. New England,657,,0,,622,,11,,0,,24,,0,,0,,0,,0,,0,
367.0,U. North Florida,656,,0,,0,,98,,0,,407,,135,,16,,0,,0,,0,
368.0,U. Southern Maine,654,i,78,i,105,i,89,i,29,i,117,i,9,i,21,i,0,i,179,i,27,i
369.0,Claflin U.,652,,0,,0,,197,,23,,432,,0,,0,,0,,0,,0,
370.0,Towson U.,650,,142,,61,,172,,0,,215,,0,,60,,0,,0,,0,
370.0,U. Northern Colorado,650,,0,,141,,6,,236,,251,,0,,16,,0,,0,,0,
372.0,Reed C.,647,,0,,0,,581,,52,,0,,0,,14,,0,,0,,0,
373.0,Dakota State U.,644,,507,,0,,137,,0,,0,,0,,0,,0,,0,,0,
374.0,Chapman U.,638,,0,,283,,200,,0,,0,,0,,82,,0,,0,,73,
375.0,Christopher Newport U.,637,,0,,0,,469,,0,,168,,0,,0,,0,,0,,0,
376.0,"Trinity C., Hartford",632,,339,,0,,185,,34,,0,,0,,24,,0,,50,,0,
377.0,"U. Michigan, Dearborn",621,,0,,0,,0,,0,,34,,0,,0,,0,,587,,0,
378.0,East Tennessee State U.,620,,0,,0,,367,,92,,151,,0,,10,,0,,0,,0,
378.0,South Carolina State U.,620,,0,,0,,0,,0,,0,,0,,0,,0,,0,,620,
380.0,Macalester C.,617,,0,,85,,90,,143,,272,,0,,27,,0,,0,,0,
381.0,Georgia Southern U.,616,,26,,0,,80,,18,,100,,46,,48,,0,,258,,40,
382.0,Furman U.,613,,12,,92,,17,,0,,492,,0,,0,,0,,0,,0,
383.0,Ball State U.,612,,364,,1,,0,,0,,43,,60,,125,,0,,0,,19,
384.0,Augsburg C.,604,,0,,0,,74,,0,,520,,10,,0,,0,,0,,0,
384.0,Murray State U.,604,,0,,0,,425,,23,,156,,0,,0,,0,,0,,0,
386.0,Lafayette C.,598,,115,,74,,0,,112,,40,,0,,0,,4,,241,,12,
387.0,Montana Tech of U. Montana,579,,0,,209,,53,,0,,165,,0,,0,,0,,152,,0,
388.0,Central State U.,574,,9,,108,,0,,3,,39,,0,,410,,0,,5,,0,
388.0,Colorado C.,574,,0,,99,,133,,35,,143,,0,,132,,0,,0,,32,
390.0,Milwaukee School of Engineering,571,,0,,0,,262,,0,,0,,0,,0,,0,,309,,0,
391.0,Savannah State U.,564,,0,,564,,0,,0,,0,,0,,0,,0,,0,,0,
392.0,Texas A&M U.-Kingsville,554,,0,,0,,0,,0,,0,,0,,0,,0,,554,,0,
393.0,Franklin and Marshall C.,551,,0,,84,,46,,0,,237,,0,,0,,0,,164,,20,
394.0,St. Olaf C.,545,,45,,0,,166,,265,,69,,0,,0,,0,,0,,0,
395.0,Shaw U.,538,i,35,i,0,i,216,i,39,i,150,i,6,i,41,i,0,i,0,i,51,i
396.0,Santa Clara U.,532,,0,,35,,136,,0,,194,,0,,37,,0,,130,,0,
397.0,Roger Williams U.,529,,0,,0,,0,,0,,529,,0,,0,,0,,0,,0,
398.0,"U. Puerto Rico, Humacao",524,,0,,0,,0,,0,,524,,0,,0,,0,,0,,0,
399.0,U. Houston-Downtown,522,,301,,0,,0,,132,,89,,0,,0,,0,,0,,0,
400.0,Georgia Regents U.,504,,0,,0,,504,,0,,0,,0,,0,,0,,0,,0,
400.0,"U. Tennessee, Knoxville, Institute of Agriculture",504,,0,,0,,463,,0,,0,,0,,26,,0,,15,,0,
402.0,Sam Houston State U.,500,,56,,44,,33,,367,,0,,0,,0,,0,,0,,0,
403.0,Connecticut C.,494,,0,,0,,238,,0,,236,,0,,20,,0,,0,,0,
404.0,U. Texas Medical Branch,483,,0,,0,,483,,0,,0,,0,,0,,0,,0,,0,
405.0,"California State U., Chico",482,,0,,267,,2,,39,,0,,0,,0,,16,,92,,66,
406.0,Youngstown State U.,479,,0,,0,,8,,0,,420,,0,,0,,0,,51,,0,
407.0,"CUNY, Baruch C.",477,,0,,0,,0,,0,,0,,151,,319,,0,,0,,7,
408.0,Colby C.,474,,0,,59,,118,,0,,297,,0,,0,,0,,0,,0,
409.0,Mills C.,473,,0,,0,,0,,0,,0,,0,,0,,0,,0,,473,
410.0,Swarthmore C.,467,,28,,0,,95,,54,,106,,0,,0,,157,,0,,27,
411.0,Saint Joseph's U.,465,,0,,0,,0,,0,,148,,0,,0,,0,,0,,317,
412.0,U. Central Arkansas,460,,61,,0,,222,,0,,76,,101,,0,,0,,0,,0,
413.0,Salisbury U.,459,,143,,0,,69,,0,,3,,0,,0,,149,,0,,95,
414.0,Keene State C.,457,,0,,0,,457,,0,,0,,0,,0,,0,,0,,0,
415.0,Sonoma State U.,450,,0,,196,,147,,0,,107,,0,,0,,0,,0,,0,
415.0,Texas Christian U.,450,,58,,26,,0,,52,,212,,101,,1,,0,,0,,0,
417.0,New York Institute of Technology,449,,0,,0,,54,,0,,0,,0,,0,,0,,254,,141,
418.0,"Lincoln U., Jefferson City",447,,0,,35,,0,,98,,9,,0,,0,,305,,0,,0,
419.0,U.S. Naval Academy,442,,66,,54,,0,,0,,322,,0,,0,,0,,0,,0,
420.0,Indiana State U.,432,,0,,156,,151,,0,,14,,0,,0,,0,,111,,0,
421.0,"Pennsylvania State U., Harrisburg",421,,0,,0,,0,,0,,0,,0,,0,,0,,421,,0,
422.0,U. Richmond,419,,0,,0,,30,,0,,306,,69,,14,,0,,0,,0,
423.0,Pepperdine U.,417,,0,,0,,93,,14,,0,,0,,0,,0,,0,,310,
424.0,Plymouth State U.,414,,0,,402,,9,,0,,0,,0,,0,,0,,0,,3,
425.0,"Indiana U., South Bend",408,,0,,0,,47,,0,,337,,0,,24,,0,,0,,0,
425.0,"Southern Illinois U., Edwardsville",408,,8,,0,,0,,62,,44,,0,,74,,105,,115,,0,
427.0,Hobart and William Smith Colleges,403,,0,,111,,49,,0,,179,,0,,0,,0,,0,,64,
428.0,Dickinson C.,390,,0,,75,,111,,0,,204,,0,,0,,0,,0,,0,
429.0,Southeastern Louisiana U.,389,,0,,0,,81,,0,,308,,0,,0,,0,,0,,0,
429.0,Valparaiso U.,389,,0,,0,,45,,107,,172,,0,,0,,0,,65,,0,
431.0,U. Wisconsin-La Crosse,386,,13,,0,,106,,16,,251,,0,,0,,0,,0,,0,
432.0,"Purdue U., Calumet",373,,0,,0,,0,,57,,114,,0,,0,,0,,201,,1,
433.0,Pace U.,372,,20,,0,,0,,0,,0,,0,,0,,0,,0,,352,
434.0,Grambling State U.,369,,0,,0,,0,,0,,369,,0,,0,,0,,0,,0,
435.0,Benedict C.,360,,59,,59,,65,,59,,59,,0,,0,,0,,59,,0,
436.0,Humboldt State U.,355,,0,,198,,102,,0,,55,,0,,0,,0,,0,,0,
437.0,Grand Valley State U.,350,,0,,22,,179,,83,,37,,29,,0,,0,,0,,0,
438.0,U.S. Air Force Academy,348,,0,,0,,0,,0,,348,,0,,0,,0,,0,,0,
439.0,Grinnell C.,343,,0,,0,,310,,22,,11,,0,,0,,0,,0,,0,
440.0,Elon U.,342,,4,,0,,25,,0,,29,,0,,0,,0,,0,,284,
441.0,"California State U., Monterey Bay",339,,49,,290,,0,,0,,0,,0,,0,,0,,0,,0,
442.0,Loyola Marymount U.,338,,17,,0,,147,,79,,15,,0,,23,,0,,47,,10,
443.0,"Pennsylvania State U., Behrend",330,,15,,36,,36,,36,,72,,0,,0,,0,,135,,0,
443.0,U. West Georgia,330,,0,,4,,61,,52,,181,,0,,32,,0,,0,,0,
445.0,U. Guam,328,,0,,127,,201,,0,,0,,0,,0,,0,,0,,0,
446.0,Lewis and Clark C.,322,,38,,0,,225,,20,,29,,10,,0,,0,,0,,0,
447.0,Alfred U.,321,,0,,0,,9,,0,,0,,0,,0,,0,,236,,76,
447.0,Rhode Island C.,321,,0,,0,,188,,0,,0,,0,,0,,0,,0,,133,
449.0,Northern Kentucky U.,309,,0,,0,,83,,0,,92,,0,,106,,0,,0,,28,
450.0,Winthrop U.,308,,0,,0,,0,,112,,6,,0,,0,,0,,0,,190,
451.0,"U. Arkansas, Pine Bluff",303,,0,,0,,48,,255,,0,,0,,0,,0,,0,,0,
452.0,"Augustana C., Sioux Falls",300,,0,,0,,205,,0,,95,,0,,0,,0,,0,,0,
453.0,U. Wisconsin-Stevens Point,296,i,37,i,49,i,48,i,14,i,56,i,4,i,11,i,0,i,65,i,12,i
454.0,"St. John's U., Manhattan",295,,0,,0,,192,,51,,52,,0,,0,,0,,0,,0,
455.0,Alaska Pacific U.,294,,0,,24,,0,,0,,0,,0,,0,,0,,0,,270,
456.0,"Indiana U.-Purdue U., Fort Wayne",293,,0,,0,,0,,23,,81,,0,,66,,0,,123,,0,
456.0,U. Texas M. D. Anderson Cancer Center,293,,0,,0,,266,,0,,27,,0,,0,,0,,0,,0,
458.0,Coastal Carolina U.,289,,0,,190,,40,,0,,59,,0,,0,,0,,0,,0,
459.0,Skidmore C.,279,,20,,135,,17,,0,,100,,7,,0,,0,,0,,0,
459.0,Washington and Lee U.,279,,0,,35,,169,,0,,67,,4,,4,,0,,0,,0,
461.0,Eastern Michigan U.,271,,57,,194,,0,,0,,0,,0,,20,,0,,0,,0,
462.0,Doane C.,269,,0,,0,,72,,0,,197,,0,,0,,0,,0,,0,
462.0,New School,269,,15,,0,,0,,0,,0,,154,,100,,0,,0,,0,
464.0,"Texas Tech U., Health Sciences Center",265,,0,,0,,265,,0,,0,,0,,0,,0,,0,,0,
465.0,Thomas Jefferson U.,261,,0,,0,,261,,0,,0,,0,,0,,0,,0,,0,
466.0,"U. Texas Health Science Center, San Antonio",257,,0,,0,,257,,0,,0,,0,,0,,0,,0,,0,
467.0,C. Wooster,253,i,51,i,70,i,13,i,25,i,94,i,0,i,0,i,0,i,0,i,0,i
467.0,Lamar U.,253,,138,,0,,0,,0,,0,,0,,0,,0,,115,,0,
469.0,Rhode Island School of Design,252,,0,,252,,0,,0,,0,,0,,0,,0,,0,,0,
470.0,Providence C.,250,,0,,0,,250,,0,,0,,0,,0,,0,,0,,0,
471.0,Eastern Kentucky U.,245,,0,,0,,199,,0,,29,,0,,0,,0,,0,,17,
472.0,Claremont Graduate U.,244,i,0,i,0,i,35,i,66,i,0,i,19,i,35,i,0,i,0,i,89,i
472.0,Kean U.,244,,76,,95,,0,,73,,0,,0,,0,,0,,0,,0,
474.0,Austin Peay State U.,241,,0,,4,,157,,0,,80,,0,,0,,0,,0,,0,
475.0,West Chester U. Pennsylvania,238,,0,,0,,79,,0,,51,,0,,108,,0,,0,,0,
476.0,"U. North Texas, Health Science Center",231,,0,,0,,231,,0,,0,,0,,0,,0,,0,,0,
477.0,Florida Gulf Coast U.,229,,0,,33,,7,,25,,0,,0,,0,,0,,0,,164,
478.0,Gonzaga U.,227,,41,,0,,30,,0,,156,,0,,0,,0,,0,,0,
479.0,U. Detroit Mercy,221,,20,,0,,12,,0,,102,,63,,24,,0,,0,,0,
480.0,Southern Connecticut State U.,215,i,35,i,47,i,40,i,13,i,52,i,5,i,10,i,0,i,0,i,13,i
481.0,"U. Nebraska, Medical Center",213,,0,,0,,213,,0,,0,,0,,0,,0,,0,,0,
481.0,U. San Francisco,213,,27,,111,,0,,58,,0,,0,,17,,0,,0,,0,
483.0,"California State U., Channel Islands",208,,0,,0,,31,,131,,35,,0,,0,,11,,0,,0,
483.0,"U. North Carolina, Asheville",208,,1,,1,,1,,0,,205,,0,,0,,0,,0,,0,
485.0,Fairfield U.,206,,0,,0,,85,,121,,0,,0,,0,,0,,0,,0,
486.0,"U. Minnesota, Morris",201,,0,,76,,125,,0,,0,,0,,0,,0,,0,,0,
487.0,Fort Valley State U.,191,,0,,0,,20,,57,,114,,0,,0,,0,,0,,0,
488.0,Lawrence Technological U.,189,,0,,0,,0,,0,,0,,0,,0,,0,,189,,0,
488.0,Quinnipiac U.,189,i,15,i,0,i,56,i,16,i,63,i,3,i,4,i,0,i,11,i,21,i
488.0,"U. Massachusetts, central office",189,,0,,0,,0,,0,,0,,0,,0,,0,,0,,189,
491.0,Keck Graduate Institute,187,,0,,0,,187,,0,,0,,0,,0,,0,,0,,0,
491.0,Rosalind Franklin U. of Medicine and Science,187,,0,,0,,187,,0,,0,,0,,0,,0,,0,,0,
493.0,Pacific U.,184,,0,,18,,14,,0,,42,,0,,0,,0,,0,,110,
494.0,Dillard U.,183,,0,,74,,72,,0,,37,,0,,0,,0,,0,,0,
495.0,Fayetteville State U.,178,,0,,0,,178,,0,,0,,0,,0,,0,,0,,0,
496.0,U. del Turabo,177,,0,,14,,0,,56,,0,,0,,0,,0,,6,,101,
497.0,"Louisiana State U., Health Sciences Center – New Orleans",176,,0,,0,,176,,0,,0,,0,,0,,0,,0,,0,
498.0,"U. Oklahoma, Tulsa",175,,0,,0,,0,,0,,0,,0,,0,,0,,175,,0,
499.0,Northeast Ohio Medical U.,168,,0,,0,,168,,0,,0,,0,,0,,0,,0,,0,
500.0,"Minnesota State U., Mankato",167,,74,,0,,25,,0,,5,,0,,0,,0,,61,,2,
501.0,Langston U.,163,,0,,0,,0,,0,,163,,0,,0,,0,,0,,0,
502.0,Van Andel Institute,159,i,0,,0,,159,i,0,,0,,0,,0,,0,,0,,0,
503.0,Hamilton C.,157,,0,,71,,4,,2,,80,,0,,0,,0,,0,,0,
504.0,U. Hartford,152,,3,,0,,0,,101,,0,,0,,0,,0,,0,,48,
505.0,"U. Texas, Tyler",149,,43,,0,,3,,0,,0,,4,,76,,0,,23,,0,
506.0,U. Wisconsin-Oshkosh,146,i,17,i,24,i,21,i,6,i,26,i,2,i,6,i,0,i,39,i,5,i
507.0,Suffolk U.,145,,0,,0,,0,,0,,66,,0,,0,,0,,79,,0,
508.0,U. New Haven,144,,0,,0,,0,,0,,0,,0,,0,,0,,144,,0,
509.0,Ithaca C.,142,,69,,10,,8,,0,,55,,0,,0,,0,,0,,0,
510.0,U. of Mary Washington,141,,0,,27,,0,,0,,15,,0,,6,,93,,0,,0,
511.0,Albany State U.,140,,0,,17,,0,,0,,0,,0,,0,,0,,0,,123,
512.0,"U. Nebraska, Kearney",119,,0,,0,,37,,0,,82,,0,,0,,0,,0,,0,
513.0,"Wheaton C., Wheaton",118,,0,,0,,0,,0,,87,,0,,0,,0,,0,,31,
514.0,Lake Superior State U.,117,,3,,114,,0,,0,,0,,0,,0,,0,,0,,0,
515.0,U. West Florida,113,,0,,0,,0,,0,,0,,113,,0,,0,,0,,0,
516.0,Northwest Indian C.,105,i,0,i,0,i,0,i,0,i,0,i,0,i,82,i,0,i,0,i,23,i
517.0,"SUNY, Geneseo",103,,0,,41,,0,,6,,52,,0,,4,,0,,0,,0,
517.0,U. Houston-Clear Lake,103,,0,,26,,47,,30,,0,,0,,0,,0,,0,,0,
519.0,U. Wisconsin-Green Bay,102,i,6,i,25,i,25,i,8,i,20,i,2,i,2,i,0,i,3,i,11,i
520.0,Western Illinois U.,100,,0,,86,,0,,0,,0,,0,,14,,0,,0,,0,
521.0,Alcorn State U.,94,,0,,0,,0,,94,,0,,0,,0,,0,,0,,0,
522.0,Rush U.,93,,0,,0,,93,,0,,0,,0,,0,,0,,0,,0,
522.0,Wheeling Jesuit U.,93,,0,,0,,0,,0,,0,,0,,0,,0,,0,,93,
524.0,Wiley C.,91,,0,,0,,22,,69,,0,,0,,0,,0,,0,,0,
525.0,Marist C.,89,,89,,0,,0,,0,,0,,0,,0,,0,,0,,0,
526.0,"SUNY, Buffalo State",88,,0,,50,,1,,0,,37,,0,,0,,0,,0,,0,
527.0,"CUNY, Medgar Evers C.",87,,0,,0,,0,,25,,59,,0,,0,,0,,3,,0,
528.0,U. Central del Caribe,83,,0,,0,,83,,0,,0,,0,,0,,0,,0,,0,
529.0,Salish Kootenai C.,81,,0,,81,,0,,0,,0,,0,,0,,0,,0,,0,
530.0,U. of the Sciences Philadelphia,76,,0,,0,,0,,0,,76,,0,,0,,0,,0,,0,
531.0,Eastern Washington U.,73,,0,,0,,0,,0,,73,,0,,0,,0,,0,,0,
532.0,Sewanee: U. of the South,72,,0,,8,,64,,0,,0,,0,,0,,0,,0,,0,
533.0,"CUNY, Advanced Science Research Center",70,,0,,0,,0,,0,,0,,0,,0,,0,,70,,0,
533.0,"U. Puerto Rico, Cayey",70,,0,,70,,0,,0,,0,,0,,0,,0,,0,,0,
535.0,"U. South Carolina, Beaufort",69,,68,,0,,1,,0,,0,,0,,0,,0,,0,,0,
536.0,Air Force Institute of Technology,64,,0,,0,,0,,64,,0,,0,,0,,0,,0,,0,
