Rank,Institution,DOE R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
39.0,Yale U.,12294.0,,0.0,,146.0,,2261.0,,0.0,,8199.0,,0.0,,57.0,,0.0,,1631.0,,0.0,,0
40.0,"Colorado State U., Fort Collins",11936.0,,139.0,,3295.0,,2075.0,,532.0,,2824.0,,0.0,,0.0,,63.0,,2994.0,,14.0,,0
41.0,"Washington U., Saint Louis",11820.0,,0.0,,603.0,,3009.0,,0.0,,2734.0,,0.0,,0.0,,0.0,,5474.0,,0.0,,0
42.0,U. Georgia,11811.0,,0.0,,125.0,,10872.0,,36.0,,644.0,,0.0,,21.0,,0.0,,113.0,,0.0,,0
43.0,"U. California, Davis",11440.0,,1446.0,,137.0,,2016.0,,0.0,,4354.0,,0.0,,0.0,,0.0,,3487.0,,0.0,,0
44.0,Columbia U. in the City of New York,11406.0,,0.0,,1116.0,,151.0,,0.0,,7102.0,,0.0,,73.0,,0.0,,2964.0,,0.0,,0
44.0,U. Pennsylvania,11406.0,,0.0,,0.0,,1327.0,,0.0,,6105.0,,0.0,,0.0,,0.0,,3727.0,,247.0,,0
46.0,Carnegie Mellon U.,11176.0,,1523.0,,0.0,,0.0,,0.0,,3215.0,,0.0,,0.0,,0.0,,6438.0,,0.0,,0
47.0,"Montana State U., Bozeman",11153.0,,0.0,,7987.0,,236.0,,0.0,,1834.0,,0.0,,0.0,,234.0,,862.0,,0.0,,0
48.0,"U. Hawaii, Manoa",10497.0,,0.0,,2206.0,,258.0,,0.0,,3661.0,,0.0,,0.0,,4223.0,,149.0,,0.0,,0
49.0,Vanderbilt U.,10422.0,,0.0,,0.0,,151.0,,0.0,,2836.0,,0.0,,0.0,,0.0,,7435.0,,0.0,,0
50.0,U. Southern California,10334.0,,3080.0,,421.0,,1125.0,,0.0,,1697.0,,0.0,,0.0,,0.0,,3521.0,,490.0,,0
51.0,Mississippi State U.,10236.0,,3192.0,,0.0,,336.0,,21.0,,817.0,,0.0,,0.0,,0.0,,5870.0,,0.0,,0
52.0,West Virginia U.,10100.0,,0.0,,1621.0,,3080.0,,0.0,,405.0,,0.0,,87.0,,1.0,,4882.0,,24.0,,0
53.0,Duke U.,9832.0,,0.0,,557.0,,304.0,,0.0,,7216.0,,0.0,,0.0,,0.0,,1755.0,,0.0,,0
54.0,U. Delaware,9807.0,,130.0,,292.0,,60.0,,181.0,,1940.0,,0.0,,0.0,,77.0,,7127.0,,0.0,,0
55.0,New Mexico Institute of Mining and Technology,9727.0,,0.0,,103.0,,0.0,,18.0,,22.0,,0.0,,172.0,,0.0,,9369.0,,43.0,,0
56.0,"U. Pittsburgh, Pittsburgh",9269.0,,214.0,,383.0,,1099.0,,143.0,,2887.0,,0.0,,0.0,,0.0,,4543.0,,0.0,,0
57.0,U. Chicago,9067.0,,1241.0,,1402.0,,395.0,,295.0,,4856.0,,0.0,,6.0,,0.0,,752.0,,120.0,,0
58.0,"U. Oklahoma, Norman and Health Science Center",9000.0,,0.0,,1754.0,,2550.0,,0.0,,1065.0,,0.0,,560.0,,0.0,,3007.0,,64.0,,0
59.0,"Rutgers, State U. New Jersey, New Brunswick",8662.0,,130.0,,803.0,,623.0,,46.0,,3675.0,,0.0,,510.0,,0.0,,2875.0,,0.0,,0
60.0,"U. Nevada, Las Vegas",8441.0,,0.0,,544.0,,204.0,,0.0,,4132.0,,0.0,,0.0,,0.0,,3561.0,,0.0,,0
61.0,"U. South Carolina, Columbia",8430.0,,3.0,,240.0,,24.0,,120.0,,1254.0,,0.0,,713.0,,0.0,,6066.0,,10.0,,0
62.0,"U. Virginia, Charlottesville",8312.0,,137.0,,36.0,,647.0,,0.0,,6730.0,,0.0,,0.0,,0.0,,762.0,,0.0,,0
63.0,U. New Mexico,8032.0,,310.0,,80.0,,1184.0,,193.0,,1768.0,,19.0,,9.0,,0.0,,4234.0,,235.0,,0
64.0,"Indiana U., Bloomington",8015.0,,1268.0,,303.0,,478.0,,0.0,,5780.0,,0.0,,186.0,,0.0,,0.0,,0.0,,0
65.0,Johns Hopkins U.a,8003.0,,192.0,,1773.0,,147.0,,85.0,,3200.0,,0.0,,91.0,,0.0,,2515.0,,0.0,,0
66.0,Brown U.,7986.0,,0.0,,0.0,,0.0,,951.0,,3342.0,,0.0,,0.0,,0.0,,3693.0,,0.0,,0
67.0,"U. Massachusetts, Amherst",7950.0,,67.0,,130.0,,1765.0,,450.0,,3909.0,,0.0,,0.0,,0.0,,1629.0,,0.0,,0
68.0,"CUNY, Queens C.",7881.0,,0.0,,0.0,,7771.0,,0.0,,110.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
69.0,"U. California, Santa Barbara",7759.0,,0.0,,8.0,,383.0,,80.0,,3307.0,,0.0,,0.0,,0.0,,3981.0,,0.0,,0
70.0,Florida State U.,7683.0,,561.0,,398.0,,85.0,,318.0,,2624.0,,0.0,,0.0,,0.0,,3697.0,,0.0,,0
71.0,Rensselaer Polytechnic Institute,7490.0,,511.0,,443.0,,0.0,,148.0,,1644.0,,0.0,,0.0,,0.0,,4744.0,,0.0,,0
72.0,"U. North Carolina, Chapel Hill",7475.0,,1206.0,,243.0,,470.0,,0.0,,5532.0,,0.0,,24.0,,0.0,,0.0,,0.0,,0
73.0,Rice U.,7270.0,,1848.0,,0.0,,0.0,,70.0,,3027.0,,0.0,,83.0,,0.0,,2167.0,,75.0,,0
74.0,"U. California, Irvine",7238.0,,36.0,,924.0,,140.0,,0.0,,5379.0,,0.0,,0.0,,0.0,,759.0,,0.0,,0
75.0,Illinois Institute of Technology,7140.0,,394.0,,0.0,,0.0,,6.0,,3238.0,,0.0,,0.0,,0.0,,3502.0,,0.0,,0
76.0,"U. Alabama, Birmingham",7027.0,,0.0,,2200.0,,121.0,,0.0,,434.0,,0.0,,0.0,,0.0,,4272.0,,0.0,,0
77.0,"U. Nevada, Reno",6976.0,,0.0,,1313.0,,1514.0,,0.0,,3026.0,,0.0,,0.0,,0.0,,1123.0,,0.0,,0
78.0,Iowa State U.,6733.0,,0.0,,106.0,,2063.0,,0.0,,2050.0,,0.0,,1.0,,10.0,,2503.0,,0.0,,0
79.0,Catholic U. of America,6703.0,,0.0,,0.0,,0.0,,0.0,,6703.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
80.0,U. Houston,6507.0,,160.0,,39.0,,0.0,,0.0,,1210.0,,0.0,,0.0,,0.0,,5098.0,,0.0,,0
81.0,Boston U.,6073.0,,146.0,,322.0,,317.0,,0.0,,3713.0,,0.0,,0.0,,0.0,,1575.0,,0.0,,0
82.0,U. Central Florida,6016.0,,43.0,,3567.0,,212.0,,0.0,,811.0,,0.0,,0.0,,0.0,,1261.0,,122.0,,0
83.0,New Mexico State U.,5909.0,,83.0,,85.0,,320.0,,0.0,,1208.0,,0.0,,1.0,,0.0,,4212.0,,0.0,,0
84.0,U. Kentucky,5822.0,,0.0,,143.0,,486.0,,0.0,,1665.0,,0.0,,0.0,,0.0,,3528.0,,0.0,,0
85.0,"Louisiana State U., Baton Rouge",5637.0,,215.0,,419.0,,118.0,,0.0,,3132.0,,0.0,,17.0,,14.0,,1722.0,,0.0,,0
86.0,Desert Research Institute,5574.0,,0.0,,4985.0,,6.0,,0.0,,0.0,,0.0,,0.0,,26.0,,557.0,,0.0,,0
87.0,"U. California, Riverside",5408.0,,0.0,,0.0,,423.0,,0.0,,4235.0,,0.0,,0.0,,0.0,,750.0,,0.0,,0
88.0,U. Oregon,5337.0,,1700.0,,157.0,,2.0,,0.0,,3478.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
89.0,Kansas State U.,4959.0,,70.0,,127.0,,330.0,,0.0,,3532.0,,0.0,,0.0,,0.0,,900.0,,0.0,,0
90.0,U. Connecticut,4909.0,,0.0,,93.0,,68.0,,0.0,,1954.0,,0.0,,0.0,,0.0,,2794.0,,0.0,,0
91.0,"SUNY, Polytechnic Institute",4893.0,,0.0,,0.0,,43.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4850.0,,0.0,,0
92.0,U. Kansas,4848.0,,0.0,,1492.0,,369.0,,0.0,,1412.0,,0.0,,0.0,,0.0,,1575.0,,0.0,,0
93.0,Case Western Reserve U.,4724.0,,0.0,,0.0,,53.0,,0.0,,724.0,,0.0,,0.0,,0.0,,3947.0,,0.0,,0
