Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources
59.0,"SUNY, U. Buffalo",382935,,177441,,31156,,111688.0,,27077.0,,20326.0,,15247.0,
60.0,California Institute of Technology,374424,,272673,,3032,,30045.0,,13054.0,,36765.0,,18855.0,
61.0,U. Georgia,374264,,132118,,31373,,161929.0,,14737.0,,27299.0,,6808.0,
62.0,"U. Virginia, Charlottesville",373218,,203401,,3768,,122572.0,,17404.0,,22951.0,,3122.0,
63.0,U. Miami,365574,,216008,,9565,,89768.0,,29842.0,,19553.0,,838.0,
64.0,Uniformed Services U. of the Health Sciences,361173,,299007,,0,,58599.0,,0.0,,3567.0,,0.0,
65.0,"U. Illinois, Chicago",354560,,196010,,10863,,112874.0,,6519.0,,24786.0,,3508.0,
66.0,U. Rochester,346932,,262681,,8826,,38418.0,,18056.0,,16307.0,,2644.0,
67.0,Brown U.,342040,,132142,,1058,,187228.0,,3197.0,,15679.0,,2736.0,
68.0,Washington State U.,333134,,134889,,56775,,115560.0,,12548.0,,9593.0,,3769.0,
69.0,U. Kentucky,331705,,146548,,45761,,100866.0,,10574.0,,13379.0,,14577.0,
70.0,"U. California, Irvine",329798,,174875,,20810,,64650.0,,15369.0,,23572.0,,30522.0,
71.0,Oregon Health and Science U.,326915,,245509,,189,,29458.0,,18816.0,,29924.0,,3019.0,
72.0,Rockefeller U.,323932,,81949,,606,,224343.0,,5539.0,,10479.0,,1016.0,
73.0,"Colorado State U., Fort Collins",317219,,219321,,16803,,46484.0,,11345.0,,15635.0,,7631.0,
74.0,"U. Hawaii, Manoa",316497,,200202,,13969,,84190.0,,6502.0,,9547.0,,2087.0,
75.0,U. Kansas,311383,,155835,,16080,,101932.0,,14017.0,,23092.0,,427.0,
76.0,Yeshiva U.,306174,,180791,,8255,,84418.0,,2910.0,,15570.0,,14230.0,
77.0,Iowa State U.,306125,,114518,,44056,,118479.0,,16319.0,,9737.0,,3016.0,
78.0,"SUNY, Polytechnic Institute",295313,,14641,,27531,,39434.0,,187237.0,,26379.0,,91.0,
79.0,"U. Nebraska, Lincoln",284438,,95831,,4906,,159693.0,,12085.0,,3401.0,,8522.0,
80.0,"Louisiana State U., Baton Rouge",281154,,83644,,73766,,102379.0,,10535.0,,9755.0,,1075.0,
81.0,Princeton U.,279851,,158313,,408,,85666.0,,8641.0,,20795.0,,6028.0,
82.0,U. Connecticut,259397,,137980,,8965,,87332.0,,10073.0,,10146.0,,4901.0,
83.0,Florida State U.,256449,,139597,,4985,,98315.0,,1563.0,,11024.0,,965.0,
84.0,"U. Massachusetts, Medical School",250338,,183588,,4615,,32641.0,,9452.0,,17609.0,,2433.0,
85.0,"U. Missouri, Columbia",246684,,105015,,2029,,118193.0,,5429.0,,9713.0,,6305.0,
86.0,Oregon State U.,245317,,153017,,43165,,25320.0,,9792.0,,2085.0,,11938.0,
87.0,Medical U. South Carolina,243534,,117255,,4519,,91169.0,,15021.0,,8022.0,,7548.0,
88.0,"U. Oklahoma, Norman and Health Science Center",242367,,127709,,28961,,59364.0,,9114.0,,8893.0,,8326.0,
89.0,Carnegie Mellon U.,242004,,187259,,1630,,15254.0,,22833.0,,5938.0,,9090.0,
90.0,George Washington U.,241117,,139016,,1074,,64282.0,,1957.0,,33631.0,,1157.0,
91.0,"U. Texas Health Science Center, Houston",234299,,125890,,39270,,25195.0,,9850.0,,20728.0,,13366.0,
92.0,U. New Mexico,232271,,154794,,2895,,58782.0,,3729.0,,10313.0,,1758.0,
93.0,Temple U.,227468,,129499,,2816,,63462.0,,7632.0,,17315.0,,6744.0,
94.0,Mississippi State U.,226359,,80097,,77189,,57142.0,,10854.0,,705.0,,372.0,
95.0,"U. California, Santa Barbara",222870,,116232,,4778,,43393.0,,20689.0,,20046.0,,17732.0,
96.0,"SUNY, Stony Brook U.",220580,,115150,,6251,,83173.0,,6957.0,,7457.0,,1592.0,
97.0,Virginia Commonwealth U.,218925,,142447,,6698,,51736.0,,6924.0,,11120.0,,0.0,
98.0,Woods Hole Oceanographic Institution,216592,,172995,,989,,16204.0,,7472.0,,,,18932.0,
99.0,U. Central Florida,215519,,88814,,7504,,100841.0,,8175.0,,3127.0,,7058.0,
100.0,"U. Massachusetts, Amherst",213902,,103417,,26172,,69756.0,,7393.0,,5278.0,,1886.0,
101.0,Wayne State U.,213878,,109586,,2744,,78172.0,,6596.0,,12123.0,,4657.0,
102.0,Dartmouth C.,209646,,146233,,726,,41017.0,,6621.0,,10562.0,,4487.0,
103.0,"U. South Carolina, Columbia",208736,,90453,,980,,100890.0,,9411.0,,7002.0,,0.0,
104.0,Medical C. Wisconsin,199283,,109542,,554,,57423.0,,10135.0,,17659.0,,3970.0,
105.0,U. Notre Dame,190954,,83710,,832,,71917.0,,4796.0,,14216.0,,15483.0,
106.0,Kansas State U.,188721,,69918,,39492,,65000.0,,4676.0,,6210.0,,3425.0,
107.0,U. Louisville,179499,,68069,,11038,,70150.0,,4999.0,,8844.0,,16399.0,
108.0,Georgetown U.,176131,,88015,,2315,,44429.0,,7260.0,,23185.0,,10927.0,
