Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21,shift
All institutions,68667801,,3249068,,38820016,,2605284,,4711297,,1184016,,2321892,,1082007,,11070258,,3623963,,,-1
1.0,Johns Hopkins U.a,2305679.0,,31854.0,i,867715.0,i,171205.0,i,167009.0,i,3663.0,i,11034.0,i,54640.0,i,991937.0,i,6622.0,i,0
2.0,"U. Michigan, Ann Arbor",1369278.0,,14609.0,,779922.0,,25434.0,,52449.0,,21989.0,,149805.0,,1627.0,,254505.0,,68938.0,,0
3.0,"U. Washington, Seattle",1180563.0,,111208.0,,764570.0,,24756.0,,46940.0,,9314.0,,14591.0,,29.0,,129670.0,,79485.0,,0
4.0,"U. California, San Francisco",1126620.0,,0.0,,1075635.0,,0.0,,50985.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
5.0,"U. California, San Diego",1101466.0,,169678.0,,642371.0,,45002.0,,71434.0,,18632.0,,17581.0,,11916.0,,117170.0,,7682.0,,0
6.0,U. Wisconsin-Madison,1069077.0,,50144.0,,589652.0,,28586.0,,73139.0,,6352.0,,45158.0,,9778.0,,135557.0,,130711.0,,0
7.0,Duke U.,1036698.0,,17810.0,,855980.0,,17819.0,,18093.0,,8239.0,,25672.0,,0.0,,85580.0,,7505.0,,0
8.0,Stanford U.,1022551.0,,32596.0,,647800.0,,27826.0,,96039.0,,15128.0,,16111.0,,0.0,,134143.0,,52908.0,,0
9.0,"U. California, Los Angeles",1021227.0,,29136.0,,718661.0,,27505.0,,58445.0,,17502.0,,36206.0,,22014.0,,82540.0,,29218.0,,0
10.0,Harvard U.,1013753.0,,31544.0,,533231.0,,16161.0,,72929.0,,6772.0,,97165.0,,123658.0,,73786.0,,58507.0,,0
11.0,"U. North Carolina, Chapel Hill",966781.0,,28972.0,,716708.0,,25242.0,,27727.0,,46707.0,,88667.0,,215.0,,5014.0,,27529.0,,0
12.0,Cornell U.,954412.0,,24990.0,,631729.0,,22674.0,,105562.0,,13717.0,,41127.0,,2139.0,,104481.0,,7993.0,,0
13.0,Massachusetts Institute of Technology,930719.0,,59351.0,,129161.0,,85558.0,,119516.0,,1307.0,,24159.0,,23463.0,,416402.0,,71802.0,,0
14.0,"U. Minnesota, Twin Cities",880618.0,,15007.0,,581577.0,,29832.0,,40497.0,,25539.0,,35718.0,,1227.0,,114619.0,,36602.0,,0
15.0,Columbia U. in the City of New York,868159.0,,112052.0,,573063.0,,26074.0,,46022.0,,4192.0,,8844.0,,0.0,,55763.0,,42149.0,,0
16.0,"Texas A&M U., College Station and Health Science Center",866678.0,,113175.0,,320555.0,,20523.0,,53824.0,,3666.0,,19796.0,,6173.0,,298538.0,,30428.0,,0
17.0,U. Pennsylvania,864068.0,,1359.0,,680065.0,,17045.0,,29134.0,,22774.0,,25956.0,,6285.0,,46031.0,,35419.0,,0
18.0,"U. Pittsburgh, Pittsburgh",861205.0,,13683.0,,733926.0,,9725.0,,27229.0,,16920.0,,3336.0,,10421.0,,37093.0,,8872.0,,0
19.0,U. Texas M. D. Anderson Cancer Center,833406.0,,0.0,,773837.0,,17797.0,,16214.0,,17786.0,,7772.0,,0.0,,0.0,,0.0,,0
20.0,Ohio State U.,817881.0,,10700.0,,473752.0,,27981.0,,41311.0,,7224.0,,20138.0,,19916.0,,144216.0,,72643.0,,0
21.0,Yale U.,803004.0,,8128.0,,665280.0,,10946.0,,45565.0,,11787.0,,9484.0,,2762.0,,39001.0,,10051.0,,0
22.0,"Pennsylvania State U., University Park and Hershey Medical Center",791031.0,,54902.0,,241215.0,,67824.0,,51598.0,,24406.0,,37747.0,,0.0,,296692.0,,16647.0,,0
23.0,"U. California, Berkeley",788505.0,,10019.0,,211287.0,,14777.0,,169149.0,,11277.0,,52303.0,,94249.0,,185078.0,,40366.0,,0
