Rail Profile,,,,,,,,,,,,,,,,,,,,,,,
Average miles traveled per vehicle,,,,,,,,,,,,,,,,,,,,,,,
Car,"14,332","16,753","17,113","21,579","23,889","24,926","25,565","24,921","24,822","24,730","25,051","26,057","26,684","27,799","28,784","28,739","28,930","27,557","26,724","23,555",,,
Locomotive,N,N,"54,497","67,978","75,910","76,796","76,037","72,304","71,058","74,247","75,036","74,831","70,396","71,449","69,879","69,698","69,941","66,634","64,944",U,,,
Average miles traveled per gallon,,,,,,,,,,,,,,,,,,,,,,,
Car,8.13,8.43,7.50,8.40,8.54,8.73,8.86,8.86,9.11,9.11,9.35,9.23,9.30,9.29,9.13,9.20,9.29,9.40,9.58,10.06,,,
Train,0.12,0.12,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,,,
Amtrak,,,,,,,,,,,,,,,,,,,,,,,
Passenger train car-miles (millions)7,N,213,235,301,304,292,276,288,312,342,371,378,379,332,308,265,264,267,272,283,,,
Passenger train-miles (millions)7,N,26,30,33,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38,,,
Passenger locomotive-miles (millions)7,N,N,41,49,51,48,U,U,U,U,U,U,U,U,U,U,U,U,U,U,,,
Revenue passengers carried (millions)7,N,17,21,22,21,21,20,20,21,22,23,24,23,25,25,25,25,27,29,27,,,
Revenue passenger-miles  (millions)7,N,"3,039","4,503","6,057","5,921","5,545","5,050","5,166","5,304","5,330","5,498","5,559","5,314","5,680","5,511","5,381","5,410","5,784","6,179","5,914",,,
Average passenger fare (dollars)7,N,8.30,17.72,38.50,39.10,39.92,43.31,45.26,44.75,46.85,49.61,51.58,56.05,57.78,56.81,58.29,65.43,66.84,68.44,66.70,,,
Average passenger revenue / passenger-mile (cents)7,N,4.5,8.2,14.1,14.0,14.9,16.9,17.7,17.8,18.9,20.3,21.8,24.5,25.0,26.0,27.16,29.69,30.68,31.80,30.77,,,
Average passenger trip length (miles)7,N,182.6,217.0,273.0,279.3,267.9,256.3,255.7,251.4,247.9,244.4,236.6,228.4,230.9,218.6,214.6,220.4,217.9,215.2,216.8,,,
Locomotive fuel consumed8,,,,,,,,,,,,,,,,,,,,,,,
Diesel (million gallons),N,N,64,82,75,66,71,75,75,74,76,97,84,75,69,65,62,62,63,U,,,
Electric kWh (millions),N,N,254,330,309,304,293,282,275,283,350,456,518,537,551,531,549,578,582,U,,,
"SAFETY b,9",,,,,,,,,,,,,,,,,,,,,,,
"Number of fatalities, railroads and grade crossings, total","2,345","2,331","1,417","1,297","1,226","1,146","1,039","1,063","1,008",932,937,971,951,865,891,884,903,(R) 851,(R) 804,708,,,
Passengers on Trains,34,10,4,3,5,0,12,6,4,14,4,3,7,3,3,16,2,5,24,3,,,
 Employees on duty,215,179,97,40,31,34,33,37,27,31,24,22,20,19,25,25,16,17,(R) 26,16,,,
 Employees not on duty,N,N,4,0,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,,,
 Trespassers,637,607,566,700,682,660,620,646,644,570,570,673,646,631,617,588,641,(R) 624,(R) 590,566,,,
 Nontrespassers,"1,459","1,535",739,551,505,443,365,363,326,305,335,269,267,206,242,250,237,(R) 200,(R) 159,119,,,
 Contractor employees,N,N,7,3,3,7,9,11,5,12,3,4,10,5,4,5,7,5,5,4,,,
Grade crossing only,"1,421","1,440",833,698,615,579,488,461,431,402,425,421,357,334,371,359,369,(R) 339,(R) 290,250,,,
Railroad onlyc,924,785,584,599,611,567,551,602,577,530,512,550,594,531,520,525,534,512,514,458,,,
KEY:  kWh = kilowatt-hour; N = data do not exist; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
a Data for Class I exclude Amtrak and all non-Class I railroads.,,,,,,,,,,,,,,,,,,,,,,,
b Safety figures are for all railroads.,,,,,,,,,,,,,,,,,,,,,,,
c  Figures may not appear directly in data source.,,,,,,,,,,,,,,,,,,,,,,,
"d  Amtrak data in this column are for 1972, Amtrak's first full year of operation.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NOTES  ,,,,,,,,,,,,,,,,,,,,,,,
Amtrak figures are based on Amtrak fiscal year (October 1-September 30).,,,,,,,,,,,,,,,,,,,,,,,
Data for Amtrak is directly from data source.,,,,,,,,,,,,,,,,,,,,,,,
Miles of road owned includes trackage rights counted as government owned.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SOURCES  ,,,,,,,,,,,,,,,,,,,,,,,
"(Unless otherwise noted, refer to chapter tables for sources)",,,,,,,,,,,,,,,,,,,,,,,
"1 Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), pp. 3, 9, 10, 27, 33, 34, 36, 40, 49, 52, 69, 77 and similar pages in earlier issues.",,,,,,,,,,,,,,,,,,,,,,,
"2 Amtrak, National Railroad Passenger Corporation Annual Report, Statistical Appendix to Amtrak Annual Report, Annual Issues.",,,,,,,,,,,,,,,,,,,,,,,
"3 1970-80: National Passenger Railroad Corporation (Amtrak), National Railroad Passenger Corporation Annual Report,1972, 1980, 1990, and 1993-95. 1990-2000: Ibid., National Railroad Passenger Corporation Annual Report, Statistical Appendix to Amtrak Annual Report (Washington, DC: Annual Issues).  2001-09: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p.77.",,,,,,,,,,,,,,,,,,,,,,,
"4 1970-90: National Passenger Railroad Corporation (Amtrak), Public Affairs, personal communication. 1994-1997: Ibid., National Railroad Passenger Corporation Annual Report,1972, 1980, 1990, and 1993-95. 1998-2009: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77. ",,,,,,,,,,,,,,,,,,,,,,,
"5 1980-90: National Passenger Railroad Corporation (Amtrak), Route Miles by Railroad, Corp. Planning & Development. 1994-2001: Amtrak, National Railroad Passenger Corporation Annual Report, Statistical Appendix to Amtrak Annual Report (Washington, DC: Annual Issues). 2002-09: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77.",,,,,,,,,,,,,,,,,,,,,,,
"6 1980-97: Association of American Railroads, Analysis of Class 1 Railroads (Washington, DC: Annual Issues). 1998-2008: Ibid., Railroad Ten-Year Trends (Washington, DC: Annual Issues), p. 121.",,,,,,,,,,,,,,,,,,,,,,,
"7 1970-90: National Passenger Railroad Corporation (Amtrak), Train Information System Reports. 1994-99: Amtrak Corporate Reporting, Route Profitability System, Washington DC, personal communication, August 2001. 2000-09: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77 and similar pages in earlier issues.",,,,,,,,,,,,,,,,,,,,,,,
"8 1960-99: Amtrak General Accounting, Pennsylvania, personal communication, June 1999. 2000: Amtrak, State and Local Affairs Department, personal communication. 2001-09: Ibid., State and Local Affairs Department, personal communication, Mar. 23, 2009 and Feb. 15, 2011.",,,,,,,,,,,,,,,,,,,,,,,
"9 1960-70: U.S. Department of Transportation, Federal Railroad Administration, Systems Support Division, RRS-22, personal communication. 1980-94: Ibid., Office of Safety Analysis (Washington, DC: Annual Issues), table 4-08. 1995-2004: Ibid., Office of Safety Analysis, Railroad Safety Statistics Annual Report (Washington, DC: Annual Issues), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.asp as of Mar. 3, 2010. 2005-09: Ibid, Office of Safety Analysis, Railroad Safety Statistics 2009 Preliminary Annual Report (Washington, DC: November 2010 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.asp as of Feb. 15, 2011.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
