Table 1-6M:  Estimated U.S. Roadway Lane-Kilometers by Functional Systema,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TOTAL lane-kilometers,"12,749,503","12,903,711","12,956,959","13,016,041","13,074,455","13,087,501","13,104,911","13,129,436","13,162,268","13,264,917","13,133,628","13,161,188","13,235,639","13,280,089","13,349,784","13,381,890","13,420,032","13,472,974","13,551,624","13,610,790","13,653,625","13,747,278","13,810,035","13,788,245","13,850,020","13,930,595","14,107,589"
"Urban, total","2,245,429","2,482,154","2,688,403","2,708,127","2,830,403","2,902,894","2,938,464","2,961,365","2,989,596","3,029,873","3,044,248","3,051,294","3,082,703","3,165,650","3,229,046","3,393,543","3,539,197","3,642,525","3,715,335","3,772,074","3,849,593","3,931,200","3,964,415","3,959,806","4,027,161","4,250,054","4,312,552"
Interstate,"77,986","92,207","100,124","101,109","108,254","111,341","113,993","114,870","115,535","116,286","117,492","117,954","118,950","119,867","120,873","128,089","133,456","138,381","141,532","143,666","146,069","146,368","148,546","149,208","151,432","159,219","165,024"
Other arterialb,"536,995","598,111","642,733","647,536","673,041","700,686","712,093","717,491","723,368","730,035","730,739","724,866","734,152","736,347","744,893","779,198","813,247","843,036","857,673","869,350","888,965","915,059","918,165","903,600","914,828","936,475","923,032"
Collectorc,"233,561","261,320","270,000","266,005","283,465","289,123","295,078","297,780","300,823","303,925","301,805","299,876","303,474","305,032","307,132","333,707","350,274","362,984","373,131","376,350","390,612","406,331","414,060","405,620","412,239","436,343","479,744"
Local,"1,396,888","1,530,515","1,675,546","1,693,477","1,765,643","1,801,744","1,817,300","1,831,224","1,849,870","1,879,627","1,894,212","1,908,598","1,926,127","2,004,404","2,056,148","2,152,549","2,242,220","2,298,124","2,342,999","2,382,708","2,423,947","2,463,442","2,483,644","2,501,377","2,548,662","2,718,016","2,744,752"
"Rural, total","10,504,074","10,421,557","10,268,556","10,307,914","10,244,052","10,184,606","10,166,447","10,168,070","10,172,671","10,235,043","10,089,380","10,109,894","10,152,936","10,114,439","10,120,738","9,988,347","9,880,835","9,830,449","9,836,290","9,838,716","9,804,032","9,816,078","9,845,621","9,828,439","9,822,859","9,680,541","9,795,036"
Interstate,"210,792","212,284","218,663","219,680","214,794","212,655","211,252","212,298","213,983","214,308","214,415","215,971","216,597","216,713","216,569","209,833","205,817","202,076","200,170","198,773","197,668","196,144","198,916","199,293","200,791","194,511","191,010"
Other arterialb,"816,095","820,773","832,581","833,339","847,664","846,364","852,659","854,089","857,549","864,200","865,816","867,908","869,781","872,807","875,501","859,837","856,243","852,236","853,147","853,718","853,928","864,848","872,507","866,282","866,324","853,884","851,236"
Collectorc,"2,303,401","2,360,568","2,361,876","2,361,810","2,319,815","2,308,561","2,304,885","2,281,129","2,279,896","2,283,075","2,278,467","2,275,537","2,276,686","2,275,862","2,267,167","2,234,598","2,222,041","2,210,189","2,202,341","2,203,997","2,198,491","2,219,178","2,225,165","2,203,875","2,199,352","2,187,047","2,157,542"
Local,"7,173,786","7,027,931","6,855,435","6,893,084","6,861,779","6,817,027","6,797,650","6,820,554","6,821,243","6,873,460","6,730,682","6,750,479","6,789,872","6,749,058","6,761,501","6,684,079","6,596,733","6,565,948","6,580,632","6,582,228","6,553,946","6,535,908","6,549,033","6,558,989","6,556,391","6,445,099","6,595,249"
a Includes the 50 States and the District of Columbia.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Urban other arterial includes other freeways and expressways, other principal arterial, and minor arterial. Rural other arterial includes other principal arterial and minor arterial prior to 2009 and other freeways and expressways, other principal arterial and minor arterial for 2009 and later.",,,,,,,,,,,,,,,,,,,,,,,,,,,
c Collector is the sum of major and minor collectors. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When estimating rural and urban lane kilometers, the U.S. Department of Transportation, Federal Highway Administration assumes that rural minor collector and urban/rural local roads are two lanes wide.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009 data exclude 1,325 kilometers of federal agency owned roads and 114 kilometers of other non federal agency owned roads. 2008 data exclude 1,268 kilometers of federal agency owned roads. 2007 data exclude 1,268 kilometers of federal owned roads and 703 kilometers of local government owned roads. 2006 data exclude 1,268 kilometers of federal owned roads and include 441 kilometers of miscoded roads. 2005 data exclude 1,239 kilometers of federal agency owned roads.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1.609344 kilometer = 1 mile.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-95: U.S. Department of Transportation, Federal Highway Administration, Office of Highway Information Management, Highway Statistics Summary to 1995 (Washington, DC), table HM-260, available at  http://www.fhwa.dot.gov/policy/ohpi/hss/hsspubs.cfm as of Mar. 11, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table HM-60, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
