Table 4-58:  Motor Vehicles Scrapped (Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TOTAL motor vehicles,"8,298","6,576","10,137","9,829","11,073","10,850","12,781","8,413","12,369","10,332","10,811","12,509","11,665","11,664","14,299","14,122","12,097 ","12,441 ","13,078","13,464","13,597","13,441","12,954 ","13,077 ","(R) 11,438","(R) 13,412","(R) 14,187","(R) 11,632","11,047"
Passenger cars,"7,461","5,669","8,405","7,729","8,897","8,565","11,194","7,366","7,824","7,414","7,527","8,244","6,819","7,216","8,085","7,650",U,U,U,U,U,U,U,U,U,U,U,U,U
Trucks,837,908,"1,732","2,100","2,177","2,284","1,587","1,048","4,545","2,918","3,284","4,265","4,846","4,447","6,214","6,472",U,U,U,U,U,U,U,U,U,U,U,U,U
KEY:  R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures represent vehicles that are not re-registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2001: The Polk Co., personal communication, July 31, 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-14: National Automobile Dealers Association, NADA Data 2014: Vehicles in Operation and Scrappage, available at https://www.nada.org/nadadata/ as of Nov. 30, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
